representation,direction,width,confirmations,quantile,tp,fp,risk_recall,early4_risk_recall,early8_risk_recall,precision,timely_fpr,max_suite_fpr,max_task_fpr,spatial_tp,spatial_fp,spatial_recall,spatial_fpr,logical_gpu,eligible
L2,low,1,2,0.95,299,25,0.6139630390143738,0.5523613963039015,0.36344969199178645,0.9228395061728395,0.0017466638720044715,0.006594259291887283,0.02240896411240101,44,2,0.3492063492063492,0.0005162622612287042,0,False
L2,low,1,2,0.96,287,24,0.5893223819301848,0.5420944558521561,0.36344969199178645,0.9228295819935691,0.0016767973171242926,0.006594259291887283,0.02240896411240101,32,1,0.25396825396825395,0.0002581311306143521,0,False
L2,low,1,2,0.975,277,24,0.5687885010266941,0.5256673511293635,0.36344969199178645,0.920265780730897,0.0016767973171242926,0.006594259291887283,0.02240896411240101,22,1,0.1746031746031746,0.0002581311306143521,0,False
L2,low,1,2,0.98,272,24,0.5585215605749486,0.5215605749486653,0.3613963039014374,0.918918918918919,0.0016767973171242926,0.006594259291887283,0.02240896411240101,17,1,0.1349206349206349,0.0002581311306143521,0,False
L2,low,1,2,0.99,268,23,0.5503080082135524,0.5092402464065708,0.35728952772073924,0.9209621993127147,0.0016069307622441137,0.006594259291887283,0.02240896411240101,13,0,0.10317460317460317,0.0,0,False
L2,low,1,2,0.995,261,23,0.5359342915811088,0.5010266940451745,0.35728952772073924,0.9190140845070423,0.0016069307622441137,0.006594259291887283,0.02240896411240101,6,0,0.047619047619047616,0.0,0,False
L2,low,1,3,0.5,343,44,0.704312114989733,0.5790554414784395,0.36344969199178645,0.8863049095607235,0.00307412841472787,0.006594259291887283,0.02500000037252903,88,21,0.6984126984126984,0.0054207537429013936,0,False
L2,low,1,3,0.55,339,38,0.6960985626283368,0.5790554414784395,0.36344969199178645,0.8992042440318302,0.0026549290854467967,0.006594259291887283,0.02240896411240101,84,15,0.6666666666666666,0.0038719669592152815,0,False
L2,low,1,3,0.6,335,34,0.6878850102669405,0.5708418891170431,0.3613963039014374,0.907859078590786,0.0023754628659260813,0.006594259291887283,0.02240896411240101,80,11,0.6349206349206349,0.002839442436757873,0,False
L2,low,1,3,0.65,331,32,0.6796714579055442,0.5687885010266941,0.3613963039014374,0.9118457300275482,0.0022357297561657235,0.006594259291887283,0.02240896411240101,76,9,0.6031746031746031,0.0023231801755291687,0,False
L2,low,1,3,0.7,330,30,0.6776180698151951,0.5667351129363449,0.3613963039014374,0.9166666666666666,0.0020959966464053656,0.006594259291887283,0.02240896411240101,75,7,0.5952380952380952,0.0018069179143004647,0,False
L2,low,1,3,0.725,327,27,0.6714579055441479,0.5646817248459959,0.3613963039014374,0.923728813559322,0.0018863969817648292,0.006594259291887283,0.02240896411240101,72,4,0.5714285714285714,0.0010325245224574084,0,False
L2,low,1,3,0.75,326,26,0.6694045174537988,0.5626283367556468,0.3613963039014374,0.9261363636363636,0.0018165304268846503,0.006594259291887283,0.02240896411240101,71,3,0.5634920634920635,0.0007743933918430562,0,False
L2,low,1,3,0.775,322,24,0.6611909650924025,0.5585215605749486,0.3613963039014374,0.930635838150289,0.0016767973171242926,0.006594259291887283,0.02240896411240101,67,1,0.5317460317460317,0.0002581311306143521,0,False
L2,low,1,3,0.8,320,24,0.6570841889117043,0.5564681724845996,0.3613963039014374,0.9302325581395349,0.0016767973171242926,0.006594259291887283,0.02240896411240101,65,1,0.5158730158730159,0.0002581311306143521,0,False
L2,low,1,3,0.825,318,24,0.6529774127310062,0.5503080082135524,0.3613963039014374,0.9298245614035088,0.0016767973171242926,0.006594259291887283,0.02240896411240101,63,1,0.5,0.0002581311306143521,0,False
L2,low,1,3,0.85,314,24,0.6447638603696099,0.5441478439425051,0.3613963039014374,0.9289940828402367,0.0016767973171242926,0.006594259291887283,0.02240896411240101,59,1,0.46825396825396826,0.0002581311306143521,0,False
L2,low,1,3,0.875,307,24,0.6303901437371663,0.5420944558521561,0.3613963039014374,0.9274924471299094,0.0016767973171242926,0.006594259291887283,0.02240896411240101,52,1,0.4126984126984127,0.0002581311306143521,0,False
L2,low,1,3,0.9,299,24,0.6139630390143738,0.5318275154004107,0.3593429158110883,0.9256965944272446,0.0016767973171242926,0.006594259291887283,0.02240896411240101,44,1,0.3492063492063492,0.0002581311306143521,0,False
L2,low,1,3,0.925,290,24,0.5954825462012321,0.5236139630390144,0.3593429158110883,0.9235668789808917,0.0016767973171242926,0.006594259291887283,0.02240896411240101,35,1,0.2777777777777778,0.0002581311306143521,0,False
L2,low,1,3,0.95,281,23,0.5770020533880903,0.5133470225872689,0.3593429158110883,0.9243421052631579,0.0016069307622441137,0.006594259291887283,0.02240896411240101,26,0,0.20634920634920634,0.0,0,False
L2,low,1,3,0.96,273,23,0.5605749486652978,0.5133470225872689,0.3593429158110883,0.9222972972972973,0.0016069307622441137,0.006594259291887283,0.02240896411240101,18,0,0.14285714285714285,0.0,0,False
L2,low,1,3,0.975,271,23,0.5564681724845996,0.5112936344969199,0.3593429158110883,0.9217687074829932,0.0016069307622441137,0.006594259291887283,0.02240896411240101,16,0,0.12698412698412698,0.0,0,False
L2,low,1,3,0.98,268,23,0.5503080082135524,0.5092402464065708,0.35728952772073924,0.9209621993127147,0.0016069307622441137,0.006594259291887283,0.02240896411240101,13,0,0.10317460317460317,0.0,0,False
L2,low,1,3,0.99,263,23,0.5400410677618069,0.4989733059548255,0.35728952772073924,0.9195804195804196,0.0016069307622441137,0.006594259291887283,0.02240896411240101,8,0,0.06349206349206349,0.0,0,False
L2,low,1,3,0.995,260,23,0.5338809034907598,0.4948665297741273,0.35728952772073924,0.9187279151943463,0.0016069307622441137,0.006594259291887283,0.02240896411240101,5,0,0.03968253968253968,0.0,0,False
L2,low,1,4,0.5,327,23,0.6714579055441479,0.5585215605749486,0.35728952772073924,0.9342857142857143,0.0016069307622441137,0.006594259291887283,0.02240896411240101,72,0,0.5714285714285714,0.0,0,False
L2,low,1,4,0.55,325,23,0.6673511293634496,0.5523613963039015,0.35728952772073924,0.9339080459770115,0.0016069307622441137,0.006594259291887283,0.02240896411240101,70,0,0.5555555555555556,0.0,0,False
L2,low,1,4,0.6,320,23,0.6570841889117043,0.5462012320328542,0.35728952772073924,0.9329446064139941,0.0016069307622441137,0.006594259291887283,0.02240896411240101,65,0,0.5158730158730159,0.0,0,False
L2,low,1,4,0.65,316,23,0.648870636550308,0.5420944558521561,0.35728952772073924,0.9321533923303835,0.0016069307622441137,0.006594259291887283,0.02240896411240101,61,0,0.48412698412698413,0.0,0,False
L2,low,1,4,0.7,313,23,0.6427104722792608,0.5420944558521561,0.35728952772073924,0.9315476190476191,0.0016069307622441137,0.006594259291887283,0.02240896411240101,58,0,0.4603174603174603,0.0,0,False
L2,low,1,4,0.725,310,23,0.6365503080082136,0.5379876796714579,0.35728952772073924,0.9309309309309309,0.0016069307622441137,0.006594259291887283,0.02240896411240101,55,0,0.4365079365079365,0.0,0,False
L2,low,1,4,0.75,307,23,0.6303901437371663,0.5338809034907598,0.35728952772073924,0.9303030303030303,0.0016069307622441137,0.006594259291887283,0.02240896411240101,52,0,0.4126984126984127,0.0,0,False
L2,low,1,4,0.775,303,23,0.62217659137577,0.5318275154004107,0.35728952772073924,0.9294478527607362,0.0016069307622441137,0.006594259291887283,0.02240896411240101,48,0,0.38095238095238093,0.0,0,False
L2,low,1,4,0.8,300,23,0.6160164271047228,0.5297741273100616,0.35728952772073924,0.9287925696594427,0.0016069307622441137,0.006594259291887283,0.02240896411240101,45,0,0.35714285714285715,0.0,0,False
L2,low,1,4,0.825,296,23,0.6078028747433265,0.5277207392197125,0.35728952772073924,0.9278996865203761,0.0016069307622441137,0.006594259291887283,0.02240896411240101,41,0,0.3253968253968254,0.0,0,False
L2,low,1,4,0.85,293,23,0.6016427104722792,0.5256673511293635,0.35728952772073924,0.9272151898734177,0.0016069307622441137,0.006594259291887283,0.02240896411240101,38,0,0.30158730158730157,0.0,0,False
L2,low,1,4,0.875,293,23,0.6016427104722792,0.5256673511293635,0.35728952772073924,0.9272151898734177,0.0016069307622441137,0.006594259291887283,0.02240896411240101,38,0,0.30158730158730157,0.0,0,False
L2,low,1,4,0.9,290,23,0.5954825462012321,0.5236139630390144,0.35728952772073924,0.9265175718849841,0.0016069307622441137,0.006594259291887283,0.02240896411240101,35,0,0.2777777777777778,0.0,0,False
L2,low,1,4,0.925,282,23,0.5790554414784395,0.5215605749486653,0.35728952772073924,0.9245901639344263,0.0016069307622441137,0.006594259291887283,0.02240896411240101,27,0,0.21428571428571427,0.0,0,False
L2,low,1,4,0.95,275,23,0.5646817248459959,0.5112936344969199,0.35728952772073924,0.9228187919463087,0.0016069307622441137,0.006594259291887283,0.02240896411240101,20,0,0.15873015873015872,0.0,0,False
L2,low,1,4,0.96,270,23,0.5544147843942505,0.5112936344969199,0.35728952772073924,0.9215017064846417,0.0016069307622441137,0.006594259291887283,0.02240896411240101,15,0,0.11904761904761904,0.0,0,False
L2,low,1,4,0.975,267,23,0.5482546201232033,0.5071868583162218,0.35728952772073924,0.9206896551724137,0.0016069307622441137,0.006594259291887283,0.02240896411240101,12,0,0.09523809523809523,0.0,0,False
L2,low,1,4,0.98,267,23,0.5482546201232033,0.5071868583162218,0.35728952772073924,0.9206896551724137,0.0016069307622441137,0.006594259291887283,0.02240896411240101,12,0,0.09523809523809523,0.0,0,False
L2,low,1,4,0.99,260,23,0.5338809034907598,0.4948665297741273,0.35728952772073924,0.9187279151943463,0.0016069307622441137,0.006594259291887283,0.02240896411240101,5,0,0.03968253968253968,0.0,0,False
L2,low,1,4,0.995,258,23,0.5297741273100616,0.4948665297741273,0.35728952772073924,0.9181494661921709,0.0016069307622441137,0.006594259291887283,0.02240896411240101,3,0,0.023809523809523808,0.0,0,False
L2,low,1,6,0.5,306,23,0.6283367556468172,0.5215605749486653,0.35728952772073924,0.9300911854103343,0.0016069307622441137,0.006594259291887283,0.02240896411240101,51,0,0.40476190476190477,0.0,0,False
L2,low,1,6,0.55,304,23,0.6242299794661191,0.5215605749486653,0.35728952772073924,0.9296636085626911,0.0016069307622441137,0.006594259291887283,0.02240896411240101,49,0,0.3888888888888889,0.0,0,False
L2,low,1,6,0.6,302,23,0.6201232032854209,0.5174537987679672,0.35728952772073924,0.9292307692307692,0.0016069307622441137,0.006594259291887283,0.02240896411240101,47,0,0.373015873015873,0.0,0,False
L2,low,1,6,0.65,299,23,0.6139630390143738,0.5154004106776181,0.35728952772073924,0.9285714285714286,0.0016069307622441137,0.006594259291887283,0.02240896411240101,44,0,0.3492063492063492,0.0,0,False
L2,low,1,6,0.7,296,23,0.6078028747433265,0.5154004106776181,0.35728952772073924,0.9278996865203761,0.0016069307622441137,0.006594259291887283,0.02240896411240101,41,0,0.3253968253968254,0.0,0,False
L2,low,1,6,0.725,296,23,0.6078028747433265,0.5154004106776181,0.35728952772073924,0.9278996865203761,0.0016069307622441137,0.006594259291887283,0.02240896411240101,41,0,0.3253968253968254,0.0,0,False
L2,low,1,6,0.75,292,23,0.5995893223819302,0.5133470225872689,0.35728952772073924,0.926984126984127,0.0016069307622441137,0.006594259291887283,0.02240896411240101,37,0,0.29365079365079366,0.0,0,False
L2,low,1,6,0.775,290,23,0.5954825462012321,0.5133470225872689,0.35728952772073924,0.9265175718849841,0.0016069307622441137,0.006594259291887283,0.02240896411240101,35,0,0.2777777777777778,0.0,0,False
L2,low,1,6,0.8,286,23,0.5872689938398358,0.5112936344969199,0.35728952772073924,0.9255663430420712,0.0016069307622441137,0.006594259291887283,0.02240896411240101,31,0,0.24603174603174602,0.0,0,False
L2,low,1,6,0.825,286,23,0.5872689938398358,0.5071868583162218,0.35728952772073924,0.9255663430420712,0.0016069307622441137,0.006594259291887283,0.02240896411240101,31,0,0.24603174603174602,0.0,0,False
L2,low,1,6,0.85,285,23,0.5852156057494866,0.5051334702258727,0.35728952772073924,0.9253246753246753,0.0016069307622441137,0.006594259291887283,0.02240896411240101,30,0,0.23809523809523808,0.0,0,False
L2,low,1,6,0.875,284,23,0.5831622176591376,0.5030800821355236,0.35728952772073924,0.9250814332247557,0.0016069307622441137,0.006594259291887283,0.02240896411240101,29,0,0.23015873015873015,0.0,0,False
L2,low,1,6,0.9,283,23,0.5811088295687885,0.5010266940451745,0.35728952772073924,0.9248366013071896,0.0016069307622441137,0.006594259291887283,0.02240896411240101,28,0,0.2222222222222222,0.0,0,False
L2,low,1,6,0.925,279,23,0.5728952772073922,0.5010266940451745,0.35728952772073924,0.9238410596026491,0.0016069307622441137,0.006594259291887283,0.02240896411240101,24,0,0.19047619047619047,0.0,0,False
L2,low,1,6,0.95,270,23,0.5544147843942505,0.5010266940451745,0.35728952772073924,0.9215017064846417,0.0016069307622441137,0.006594259291887283,0.02240896411240101,15,0,0.11904761904761904,0.0,0,False
L2,low,1,6,0.96,266,23,0.5462012320328542,0.5010266940451745,0.35728952772073924,0.9204152249134948,0.0016069307622441137,0.006594259291887283,0.02240896411240101,11,0,0.0873015873015873,0.0,0,False
L2,low,1,6,0.975,264,23,0.5420944558521561,0.5010266940451745,0.35728952772073924,0.9198606271777003,0.0016069307622441137,0.006594259291887283,0.02240896411240101,9,0,0.07142857142857142,0.0,0,False
L2,low,1,6,0.98,264,23,0.5420944558521561,0.4989733059548255,0.35728952772073924,0.9198606271777003,0.0016069307622441137,0.006594259291887283,0.02240896411240101,9,0,0.07142857142857142,0.0,0,False
L2,low,1,6,0.99,258,23,0.5297741273100616,0.4948665297741273,0.35728952772073924,0.9181494661921709,0.0016069307622441137,0.006594259291887283,0.02240896411240101,3,0,0.023809523809523808,0.0,0,False
L2,low,1,6,0.995,256,23,0.5256673511293635,0.4948665297741273,0.35728952772073924,0.9175627240143369,0.0016069307622441137,0.006594259291887283,0.02240896411240101,1,0,0.007936507936507936,0.0,0,False
L2,low,1,8,0.5,280,23,0.5749486652977412,0.4948665297741273,0.35728952772073924,0.9240924092409241,0.0016069307622441137,0.006594259291887283,0.02240896411240101,25,0,0.1984126984126984,0.0,0,False
L2,low,1,8,0.55,278,23,0.5708418891170431,0.4948665297741273,0.35728952772073924,0.9235880398671097,0.0016069307622441137,0.006594259291887283,0.02240896411240101,23,0,0.18253968253968253,0.0,0,False
L2,low,1,8,0.6,277,23,0.5687885010266941,0.4948665297741273,0.35728952772073924,0.9233333333333333,0.0016069307622441137,0.006594259291887283,0.02240896411240101,22,0,0.1746031746031746,0.0,0,False
L2,low,1,8,0.65,276,23,0.5667351129363449,0.4948665297741273,0.35728952772073924,0.9230769230769231,0.0016069307622441137,0.006594259291887283,0.02240896411240101,21,0,0.16666666666666666,0.0,0,False
L2,low,1,8,0.7,276,23,0.5667351129363449,0.4948665297741273,0.35728952772073924,0.9230769230769231,0.0016069307622441137,0.006594259291887283,0.02240896411240101,21,0,0.16666666666666666,0.0,0,False
L2,low,1,8,0.725,274,23,0.5626283367556468,0.4948665297741273,0.35728952772073924,0.9225589225589226,0.0016069307622441137,0.006594259291887283,0.02240896411240101,19,0,0.15079365079365079,0.0,0,False
L2,low,1,8,0.75,272,23,0.5585215605749486,0.4948665297741273,0.35728952772073924,0.9220338983050848,0.0016069307622441137,0.006594259291887283,0.02240896411240101,17,0,0.1349206349206349,0.0,0,False
L2,low,1,8,0.775,272,23,0.5585215605749486,0.4948665297741273,0.35728952772073924,0.9220338983050848,0.0016069307622441137,0.006594259291887283,0.02240896411240101,17,0,0.1349206349206349,0.0,0,False
L2,low,1,8,0.8,271,23,0.5564681724845996,0.4948665297741273,0.35728952772073924,0.9217687074829932,0.0016069307622441137,0.006594259291887283,0.02240896411240101,16,0,0.12698412698412698,0.0,0,False
L2,low,1,8,0.825,270,23,0.5544147843942505,0.4948665297741273,0.35728952772073924,0.9215017064846417,0.0016069307622441137,0.006594259291887283,0.02240896411240101,15,0,0.11904761904761904,0.0,0,False
L2,low,1,8,0.85,269,23,0.5523613963039015,0.4948665297741273,0.35728952772073924,0.9212328767123288,0.0016069307622441137,0.006594259291887283,0.02240896411240101,14,0,0.1111111111111111,0.0,0,False
L2,low,1,8,0.875,268,23,0.5503080082135524,0.4948665297741273,0.35728952772073924,0.9209621993127147,0.0016069307622441137,0.006594259291887283,0.02240896411240101,13,0,0.10317460317460317,0.0,0,False
L2,low,1,8,0.9,268,23,0.5503080082135524,0.4948665297741273,0.35728952772073924,0.9209621993127147,0.0016069307622441137,0.006594259291887283,0.02240896411240101,13,0,0.10317460317460317,0.0,0,False
L2,low,1,8,0.925,267,23,0.5482546201232033,0.4948665297741273,0.35728952772073924,0.9206896551724137,0.0016069307622441137,0.006594259291887283,0.02240896411240101,12,0,0.09523809523809523,0.0,0,False
L2,low,1,8,0.95,264,23,0.5420944558521561,0.4948665297741273,0.35728952772073924,0.9198606271777003,0.0016069307622441137,0.006594259291887283,0.02240896411240101,9,0,0.07142857142857142,0.0,0,False
L2,low,1,8,0.96,263,23,0.5400410677618069,0.4948665297741273,0.35728952772073924,0.9195804195804196,0.0016069307622441137,0.006594259291887283,0.02240896411240101,8,0,0.06349206349206349,0.0,0,False
L2,low,1,8,0.975,260,23,0.5338809034907598,0.4948665297741273,0.35728952772073924,0.9187279151943463,0.0016069307622441137,0.006594259291887283,0.02240896411240101,5,0,0.03968253968253968,0.0,0,False
L2,low,1,8,0.98,259,23,0.5318275154004107,0.4948665297741273,0.35728952772073924,0.9184397163120568,0.0016069307622441137,0.006594259291887283,0.02240896411240101,4,0,0.031746031746031744,0.0,0,False
L2,low,1,8,0.99,256,23,0.5256673511293635,0.4948665297741273,0.35728952772073924,0.9175627240143369,0.0016069307622441137,0.006594259291887283,0.02240896411240101,1,0,0.007936507936507936,0.0,0,False
L2,low,1,8,0.995,256,23,0.5256673511293635,0.4948665297741273,0.35728952772073924,0.9175627240143369,0.0016069307622441137,0.006594259291887283,0.02240896411240101,1,0,0.007936507936507936,0.0,0,False
L2,low,1,10,0.5,265,23,0.5441478439425051,0.4948665297741273,0.35728952772073924,0.9201388888888888,0.0016069307622441137,0.006594259291887283,0.02240896411240101,10,0,0.07936507936507936,0.0,0,False
L2,low,1,10,0.55,265,23,0.5441478439425051,0.4948665297741273,0.35728952772073924,0.9201388888888888,0.0016069307622441137,0.006594259291887283,0.02240896411240101,10,0,0.07936507936507936,0.0,0,False
L2,low,1,10,0.6,265,23,0.5441478439425051,0.4948665297741273,0.35728952772073924,0.9201388888888888,0.0016069307622441137,0.006594259291887283,0.02240896411240101,10,0,0.07936507936507936,0.0,0,False
L2,low,1,10,0.65,264,23,0.5420944558521561,0.4948665297741273,0.35728952772073924,0.9198606271777003,0.0016069307622441137,0.006594259291887283,0.02240896411240101,9,0,0.07142857142857142,0.0,0,False
L2,low,1,10,0.7,264,23,0.5420944558521561,0.4948665297741273,0.35728952772073924,0.9198606271777003,0.0016069307622441137,0.006594259291887283,0.02240896411240101,9,0,0.07142857142857142,0.0,0,False
L2,low,1,10,0.725,264,23,0.5420944558521561,0.4948665297741273,0.35728952772073924,0.9198606271777003,0.0016069307622441137,0.006594259291887283,0.02240896411240101,9,0,0.07142857142857142,0.0,0,False
L2,low,1,10,0.75,263,23,0.5400410677618069,0.4948665297741273,0.35728952772073924,0.9195804195804196,0.0016069307622441137,0.006594259291887283,0.02240896411240101,8,0,0.06349206349206349,0.0,0,False
L2,low,1,10,0.775,263,23,0.5400410677618069,0.4948665297741273,0.35728952772073924,0.9195804195804196,0.0016069307622441137,0.006594259291887283,0.02240896411240101,8,0,0.06349206349206349,0.0,0,False
L2,low,1,10,0.8,262,23,0.5379876796714579,0.4948665297741273,0.35728952772073924,0.9192982456140351,0.0016069307622441137,0.006594259291887283,0.02240896411240101,7,0,0.05555555555555555,0.0,0,False
L2,low,1,10,0.825,260,23,0.5338809034907598,0.4948665297741273,0.35728952772073924,0.9187279151943463,0.0016069307622441137,0.006594259291887283,0.02240896411240101,5,0,0.03968253968253968,0.0,0,False
L2,low,1,10,0.85,259,23,0.5318275154004107,0.4948665297741273,0.35728952772073924,0.9184397163120568,0.0016069307622441137,0.006594259291887283,0.02240896411240101,4,0,0.031746031746031744,0.0,0,False
L2,low,1,10,0.875,259,23,0.5318275154004107,0.4948665297741273,0.35728952772073924,0.9184397163120568,0.0016069307622441137,0.006594259291887283,0.02240896411240101,4,0,0.031746031746031744,0.0,0,False
