cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,max_suite_fpr,max_task_fpr,spatial_tp,spatial_fp,spatial_recall,spatial_fpr,eligible,representation,direction,width,confirmations,quantile,gpu_rank
development_main,all,candidate,14800,487,14313,30,457,400,366,34,121,14279,0.7515400410677618,0.0023754628659260813,0.915,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6652977412731006,0.38193018480492813,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,11,0.8809523809523809,0.002839442436757873,True,all_max,low,1,2,0.825,11
development_main,all,candidate,14800,487,14313,30,457,396,368,28,119,14285,0.75564681724846,0.001956263536645008,0.9292929292929293,0.6666666666666666,0.7614879649890591,8.0,0.7227926078028748,0.6632443531827515,0.3798767967145791,0.30390143737166325,0.0065942591155934835,0.022408963585434174,113,5,0.8968253968253969,0.0012906556530717604,True,back_min,low,1,2,0.875,12
development_main,all,candidate,14800,487,14313,30,457,394,367,27,120,14286,0.7535934291581109,0.0018863969817648292,0.9314720812182741,0.6666666666666666,0.7592997811816192,8.0,0.7207392197125256,0.6632443531827515,0.3860369609856263,0.30184804928131415,0.0065942591155934835,0.022408963585434174,112,4,0.8888888888888888,0.0010325245224574084,True,L14,low,1,2,0.9,13
development_main,all,candidate,14800,487,14313,30,457,394,367,27,120,14286,0.7535934291581109,0.0018863969817648292,0.9314720812182741,0.6666666666666666,0.7592997811816192,8.0,0.7207392197125256,0.6632443531827515,0.37782340862423,0.30390143737166325,0.0065942591155934835,0.022408963585434174,112,4,0.8888888888888888,0.0010325245224574084,True,back_min,low,1,2,0.9,14
development_main,all,candidate,14800,487,14313,30,457,393,366,27,121,14286,0.7515400410677618,0.0018863969817648292,0.9312977099236641,0.6666666666666666,0.7571115973741794,8.0,0.7125256673511293,0.6632443531827515,0.3860369609856263,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,4,0.8809523809523809,0.0010325245224574084,True,L14,low,1,2,0.925,15
development_main,all,candidate,14800,487,14313,30,457,393,366,27,121,14286,0.7515400410677618,0.0018863969817648292,0.9312977099236641,0.6666666666666666,0.7571115973741794,8.0,0.7248459958932238,0.6632443531827515,0.38193018480492813,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,4,0.8809523809523809,0.0010325245224574084,True,back_median,low,1,2,0.875,16
development_main,all,candidate,14800,487,14313,30,457,395,366,29,121,14284,0.7515400410677618,0.002026130091525187,0.9265822784810127,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6632443531827515,0.3798767967145791,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,6,0.8809523809523809,0.0015487867836861124,True,all_max,low,1,2,0.875,17
development_main,all,candidate,14800,487,14313,30,457,395,366,29,121,14284,0.7515400410677618,0.002026130091525187,0.9265822784810127,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6632443531827515,0.3798767967145791,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,6,0.8809523809523809,0.0015487867836861124,True,back_max,low,1,2,0.875,18
development_main,all,candidate,14800,487,14313,30,457,397,366,31,121,14282,0.7515400410677618,0.0021658632012855447,0.9219143576826196,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6632443531827515,0.3798767967145791,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,8,0.8809523809523809,0.002065049044914817,True,all_max,low,1,2,0.85,19
development_main,all,candidate,14800,487,14313,30,457,401,367,34,120,14279,0.7535934291581109,0.0023754628659260813,0.9152119700748129,0.6666666666666666,0.7592997811816192,8.0,0.7186858316221766,0.6611909650924025,0.37782340862423,0.30390143737166325,0.0065942591155934835,0.022408963585434174,112,11,0.8888888888888888,0.002839442436757873,True,L15,low,1,2,0.85,20
development_main,all,candidate,14800,487,14313,30,457,392,366,26,121,14287,0.7515400410677618,0.0018165304268846503,0.9336734693877551,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6611909650924025,0.3798767967145791,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,3,0.8809523809523809,0.0007743933918430562,True,back_mean,low,1,2,0.9,21
development_main,all,candidate,14800,487,14313,30,457,392,366,26,121,14287,0.7515400410677618,0.0018165304268846503,0.9336734693877551,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6611909650924025,0.38193018480492813,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,3,0.8809523809523809,0.0007743933918430562,True,back_median,low,1,2,0.9,22
development_main,all,candidate,14800,487,14313,30,457,392,366,26,121,14287,0.7515400410677618,0.0018165304268846503,0.9336734693877551,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6611909650924025,0.3798767967145791,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,3,0.8809523809523809,0.0007743933918430562,True,back_mean,low,1,2,0.875,23
development_main,all,candidate,14800,487,14313,30,457,393,366,27,121,14286,0.7515400410677618,0.0018863969817648292,0.9312977099236641,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6611909650924025,0.3839835728952772,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,4,0.8809523809523809,0.0010325245224574084,True,back_mean,low,1,2,0.85,24
development_main,all,candidate,14800,487,14313,30,457,397,367,30,120,14283,0.7535934291581109,0.0020959966464053656,0.924433249370277,0.6666666666666666,0.7592997811816192,7.0,0.7166324435318275,0.6529774127310062,0.3757700205338809,0.30390143737166325,0.0065942591155934835,0.022408963585434174,112,7,0.8888888888888888,0.0018069179143004647,True,L15,low,1,2,0.875,25
development_main,all,candidate,14800,487,14313,30,457,395,367,28,120,14285,0.7535934291581109,0.001956263536645008,0.9291139240506329,0.6666666666666666,0.7592997811816192,7.0,0.7145790554414785,0.6509240246406571,0.3737166324435318,0.30390143737166325,0.0065942591155934835,0.022408963585434174,112,5,0.8888888888888888,0.0012906556530717604,True,L15,low,1,2,0.9,26
development_main,all,candidate,14800,487,14313,30,457,397,368,29,119,14284,0.75564681724846,0.002026130091525187,0.9269521410579346,0.6666666666666666,0.7614879649890591,7.0,0.6899383983572895,0.6180698151950719,0.3593429158110883,0.30390143737166325,0.0065942591155934835,0.022408963585434174,113,6,0.8968253968253969,0.0015487867836861124,True,back_median,low,6,3,0.875,27
development_main,all,candidate,14800,487,14313,30,457,396,367,29,120,14284,0.7535934291581109,0.002026130091525187,0.9267676767676768,0.6666666666666666,0.7592997811816192,7.0,0.6919917864476386,0.6160164271047228,0.3613963039014374,0.30390143737166325,0.0065942591155934835,0.022408963585434174,112,6,0.8888888888888888,0.0015487867836861124,True,back_min,low,6,3,0.9,28
development_main,all,candidate,14800,487,14313,30,457,402,368,34,119,14279,0.75564681724846,0.0023754628659260813,0.9154228855721394,0.6666666666666666,0.7614879649890591,7.0,0.6960985626283368,0.6139630390143738,0.3593429158110883,0.30390143737166325,0.0065942591155934835,0.022408963585434174,113,11,0.8968253968253969,0.002839442436757873,True,back_mean,low,6,3,0.85,29
development_main,all,candidate,14800,487,14313,30,457,394,367,27,120,14286,0.7535934291581109,0.0018863969817648292,0.9314720812182741,0.6666666666666666,0.7592997811816192,7.0,0.6837782340862423,0.6139630390143738,0.3593429158110883,0.30184804928131415,0.0065942591155934835,0.022408963585434174,112,4,0.8888888888888888,0.0010325245224574084,True,back_median,low,6,3,0.9,30
development_main,all,candidate,14800,487,14313,30,457,399,368,31,119,14282,0.75564681724846,0.0021658632012855447,0.9223057644110275,0.6666666666666666,0.7614879649890591,7.0,0.6899383983572895,0.6119096509240246,0.3593429158110883,0.30390143737166325,0.0065942591155934835,0.022408963585434174,113,8,0.8968253968253969,0.002065049044914817,True,back_mean,low,6,3,0.875,31
