method,alpha,suite,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
c32_assigned_radius,0.05,libero_long,8000,541,7459,434,273,107,7186,0.8022181146025879,0.03660008043973723,0.6138613861386139,415,31.0,14.0
c32_assigned_radius,0.05,libero_object,8000,81,7919,77,78,4,7841,0.9506172839506173,0.009849728501073367,0.4967741935483871,70,17.0,14.0
c32_assigned_radius,0.05,libero_spatial,8000,266,7734,264,302,2,7432,0.9924812030075187,0.03904835790018102,0.4664310954063604,241,13.0,10.0
c32_union_radius,0.05,libero_goal,8000,208,7792,206,1293,2,6499,0.9903846153846154,0.16593942505133472,0.13742494996664442,203,16.0,9.0
c32_union_radius,0.05,libero_long,8000,541,7459,374,112,167,7347,0.6913123844731978,0.015015417616302453,0.7695473251028807,352,33.0,23.0
c32_union_radius,0.05,libero_object,8000,81,7919,76,64,5,7855,0.9382716049382716,0.008081828513701225,0.5428571428571428,66,18.0,14.0
c32_union_radius,0.05,libero_spatial,8000,266,7734,265,330,1,7404,0.9962406015037594,0.04266873545384019,0.44537815126050423,244,13.0,10.0
cosine_knn20,0.05,libero_goal,8000,208,7792,26,301,182,7491,0.125,0.03862936344969199,0.07951070336391437,26,12.0,13.0
cosine_knn20,0.05,libero_long,8000,541,7459,7,203,534,7256,0.012939001848428836,0.027215444429548197,0.03333333333333333,7,26.0,14.0
cosine_knn20,0.05,libero_object,8000,81,7919,0,73,81,7846,0.0,0.00921833564844046,0.0,0,,11.0
cosine_knn20,0.05,libero_spatial,8000,266,7734,5,95,261,7639,0.018796992481203006,0.012283423842772175,0.05,5,8.0,7.0
