fold,method,alpha,calibration,threshold,rank,groups
libero_long_full_2,knn20,0.02,task_init,6.398590087890625,68,68
libero_long_full_2,knn20,0.05,task_init,3.875976085662842,66,68
libero_long_full_2,norm_only,0.02,task_init,14.33917236328125,68,68
libero_long_full_2,norm_only,0.05,task_init,10.923628807067871,66,68
libero_long_full_2,c4_assigned_radius,0.02,task_init,2.52708101272583,68,68
libero_long_full_2,c4_assigned_radius,0.05,task_init,2.1592681407928467,66,68
libero_long_full_2,c32_assigned_radius,0.02,task_init,2.87483811378479,68,68
libero_long_full_2,c32_assigned_radius,0.05,task_init,2.190000534057617,66,68
libero_long_full_2,c32_union_radius,0.02,task_init,2.4249227046966553,68,68
libero_long_full_2,c32_union_radius,0.05,task_init,2.0642480850219727,66,68
libero_long_full_2,cosine_knn20,0.02,task_init,0.4114142060279846,68,68
libero_long_full_2,cosine_knn20,0.05,task_init,0.38027602434158325,66,68
libero_long_full_3,v7_calibrated,0.02,task_init,8.527668952941895,67,67
libero_long_full_3,v7_calibrated,0.05,task_init,6.223528861999512,65,67
libero_long_full_3,v8_calibrated,0.02,task_init,8.527668952941895,67,67
libero_long_full_3,v8_calibrated,0.05,task_init,6.223528861999512,65,67
libero_long_full_3,v82_calibrated,0.02,task_init,8.527668952941895,67,67
libero_long_full_3,v82_calibrated,0.05,task_init,6.223528861999512,65,67
libero_long_full_3,clock,0.02,task_init,51.0,67,67
libero_long_full_3,clock,0.05,task_init,41.0,65,67
libero_long_full_3,eef_motion_low,0.02,task_init,2.182955741882324,67,67
libero_long_full_3,eef_motion_low,0.05,task_init,2.17812442779541,65,67
libero_long_full_3,knn20,0.02,task_init,6.712695121765137,67,67
libero_long_full_3,knn20,0.05,task_init,4.464548110961914,65,67
libero_long_full_3,norm_only,0.02,task_init,17.80001449584961,67,67
libero_long_full_3,norm_only,0.05,task_init,14.248290061950684,65,67
libero_long_full_3,c4_assigned_radius,0.02,task_init,3.254790782928467,67,67
libero_long_full_3,c4_assigned_radius,0.05,task_init,2.369981050491333,65,67
libero_long_full_3,c32_assigned_radius,0.02,task_init,2.2490665912628174,67,67
libero_long_full_3,c32_assigned_radius,0.05,task_init,1.9025100469589233,65,67
libero_long_full_3,c32_union_radius,0.02,task_init,1.8372130393981934,67,67
libero_long_full_3,c32_union_radius,0.05,task_init,1.6441373825073242,65,67
libero_long_full_3,cosine_knn20,0.02,task_init,0.4419662654399872,67,67
libero_long_full_3,cosine_knn20,0.05,task_init,0.4352206289768219,65,67
libero_object_full_0,v7_calibrated,0.02,task_init,4.55650520324707,70,70
libero_object_full_0,v7_calibrated,0.05,task_init,3.0357704162597656,68,70
libero_object_full_0,v8_calibrated,0.02,task_init,4.55650520324707,70,70
libero_object_full_0,v8_calibrated,0.05,task_init,3.0552315711975098,68,70
libero_object_full_0,v82_calibrated,0.02,task_init,4.55650520324707,70,70
libero_object_full_0,v82_calibrated,0.05,task_init,3.2043285369873047,68,70
libero_object_full_0,clock,0.02,task_init,26.0,70,70
libero_object_full_0,clock,0.05,task_init,20.0,68,70
libero_object_full_0,eef_motion_low,0.02,task_init,4.544409275054932,70,70
libero_object_full_0,eef_motion_low,0.05,task_init,3.801715612411499,68,70
libero_object_full_0,knn20,0.02,task_init,5.362501621246338,70,70
libero_object_full_0,knn20,0.05,task_init,2.798142433166504,68,70
libero_object_full_0,norm_only,0.02,task_init,9.643845558166504,70,70
libero_object_full_0,norm_only,0.05,task_init,8.035072326660156,68,70
libero_object_full_0,c4_assigned_radius,0.02,task_init,3.519155502319336,70,70
libero_object_full_0,c4_assigned_radius,0.05,task_init,2.352975368499756,68,70
libero_object_full_0,c32_assigned_radius,0.02,task_init,4.238770008087158,70,70
libero_object_full_0,c32_assigned_radius,0.05,task_init,2.205275535583496,68,70
libero_object_full_0,c32_union_radius,0.02,task_init,4.238770008087158,70,70
libero_object_full_0,c32_union_radius,0.05,task_init,2.1345696449279785,68,70
libero_object_full_0,cosine_knn20,0.02,task_init,0.5189040303230286,70,70
libero_object_full_0,cosine_knn20,0.05,task_init,0.4424794614315033,68,70
libero_object_full_1,v7_calibrated,0.02,task_init,2.656205654144287,70,70
libero_object_full_1,v7_calibrated,0.05,task_init,2.392435073852539,68,70
libero_object_full_1,v8_calibrated,0.02,task_init,2.656205654144287,70,70
libero_object_full_1,v8_calibrated,0.05,task_init,2.4839279651641846,68,70
libero_object_full_1,v82_calibrated,0.02,task_init,2.656205654144287,70,70
libero_object_full_1,v82_calibrated,0.05,task_init,2.6182830333709717,68,70
libero_object_full_1,clock,0.02,task_init,20.0,70,70
libero_object_full_1,clock,0.05,task_init,16.0,68,70
libero_object_full_1,eef_motion_low,0.02,task_init,4.758028030395508,70,70
libero_object_full_1,eef_motion_low,0.05,task_init,3.24741792678833,68,70
libero_object_full_1,knn20,0.02,task_init,2.7198710441589355,70,70
libero_object_full_1,knn20,0.05,task_init,2.344538450241089,68,70
libero_object_full_1,norm_only,0.02,task_init,6.615744113922119,70,70
libero_object_full_1,norm_only,0.05,task_init,5.6797566413879395,68,70
libero_object_full_1,c4_assigned_radius,0.02,task_init,2.5043129920959473,70,70
libero_object_full_1,c4_assigned_radius,0.05,task_init,1.9782921075820923,68,70
libero_object_full_1,c32_assigned_radius,0.02,task_init,3.159353494644165,70,70
libero_object_full_1,c32_assigned_radius,0.05,task_init,2.163538932800293,68,70
libero_object_full_1,c32_union_radius,0.02,task_init,2.231255531311035,70,70
libero_object_full_1,c32_union_radius,0.05,task_init,2.1332783699035645,68,70
libero_object_full_1,cosine_knn20,0.02,task_init,0.49129900336265564,70,70
libero_object_full_1,cosine_knn20,0.05,task_init,0.4150772988796234,68,70
libero_object_full_2,v7_calibrated,0.02,task_init,3.22765851020813,70,70
libero_object_full_2,v7_calibrated,0.05,task_init,3.058682680130005,68,70
libero_object_full_2,v8_calibrated,0.02,task_init,3.4227824211120605,70,70
libero_object_full_2,v8_calibrated,0.05,task_init,3.1790575981140137,68,70
libero_object_full_2,v82_calibrated,0.02,task_init,3.604318857192993,70,70
libero_object_full_2,v82_calibrated,0.05,task_init,3.22765851020813,68,70
libero_object_full_2,clock,0.02,task_init,24.0,70,70
libero_object_full_2,clock,0.05,task_init,18.0,68,70
libero_object_full_2,eef_motion_low,0.02,task_init,4.504240036010742,70,70
libero_object_full_2,eef_motion_low,0.05,task_init,3.820657730102539,68,70
libero_object_full_2,knn20,0.02,task_init,2.49825119972229,70,70
libero_object_full_2,knn20,0.05,task_init,2.1025044918060303,68,70
libero_object_full_2,norm_only,0.02,task_init,8.012550354003906,70,70
libero_object_full_2,norm_only,0.05,task_init,7.5216522216796875,68,70
libero_object_full_2,c4_assigned_radius,0.02,task_init,2.0133650302886963,70,70
libero_object_full_2,c4_assigned_radius,0.05,task_init,1.6570727825164795,68,70
libero_object_full_2,c32_assigned_radius,0.02,task_init,2.1026253700256348,70,70
libero_object_full_2,c32_assigned_radius,0.05,task_init,1.8917913436889648,68,70
libero_object_full_2,c32_union_radius,0.02,task_init,1.9287587404251099,70,70
libero_object_full_2,c32_union_radius,0.05,task_init,1.805740475654602,68,70
libero_object_full_2,cosine_knn20,0.02,task_init,0.44196999073028564,70,70
libero_object_full_2,cosine_knn20,0.05,task_init,0.3816905617713928,68,70
libero_object_full_3,v7_calibrated,0.02,task_init,3.610224723815918,70,70
libero_object_full_3,v7_calibrated,0.05,task_init,2.965594530105591,68,70
libero_object_full_3,v8_calibrated,0.02,task_init,3.610224723815918,70,70
libero_object_full_3,v8_calibrated,0.05,task_init,3.0569920539855957,68,70
libero_object_full_3,v82_calibrated,0.02,task_init,3.610224723815918,70,70
libero_object_full_3,v82_calibrated,0.05,task_init,3.2563977241516113,68,70
libero_object_full_3,clock,0.02,task_init,21.0,70,70
libero_object_full_3,clock,0.05,task_init,20.0,68,70
libero_object_full_3,eef_motion_low,0.02,task_init,4.676161766052246,70,70
libero_object_full_3,eef_motion_low,0.05,task_init,4.432866096496582,68,70
libero_object_full_3,knn20,0.02,task_init,3.4803082942962646,70,70
libero_object_full_3,knn20,0.05,task_init,2.761309862136841,68,70
libero_object_full_3,norm_only,0.02,task_init,9.546978950500488,70,70
libero_object_full_3,norm_only,0.05,task_init,7.221375465393066,68,70
libero_object_full_3,c4_assigned_radius,0.02,task_init,3.6170480251312256,70,70
libero_object_full_3,c4_assigned_radius,0.05,task_init,2.3769071102142334,68,70
libero_object_full_3,c32_assigned_radius,0.02,task_init,2.2337005138397217,70,70
libero_object_full_3,c32_assigned_radius,0.05,task_init,2.1045665740966797,68,70
libero_object_full_3,c32_union_radius,0.02,task_init,2.2337005138397217,70,70
libero_object_full_3,c32_union_radius,0.05,task_init,1.9814704656600952,68,70
libero_object_full_3,cosine_knn20,0.02,task_init,0.434352844953537,70,70
libero_object_full_3,cosine_knn20,0.05,task_init,0.40082550048828125,68,70
libero_spatial_full_0,v7_calibrated,0.02,task_init,3.338531494140625,70,70
libero_spatial_full_0,v7_calibrated,0.05,task_init,3.0724499225616455,68,70
libero_spatial_full_0,v8_calibrated,0.02,task_init,4.361178874969482,70,70
libero_spatial_full_0,v8_calibrated,0.05,task_init,3.491922378540039,68,70
libero_spatial_full_0,v82_calibrated,0.02,task_init,4.646650314331055,70,70
libero_spatial_full_0,v82_calibrated,0.05,task_init,3.805941104888916,68,70
libero_spatial_full_0,clock,0.02,task_init,13.0,70,70
libero_spatial_full_0,clock,0.05,task_init,13.0,68,70
libero_spatial_full_0,eef_motion_low,0.02,task_init,3.560676336288452,70,70
libero_spatial_full_0,eef_motion_low,0.05,task_init,3.3486483097076416,68,70
libero_spatial_full_0,knn20,0.02,task_init,2.431532621383667,70,70
libero_spatial_full_0,knn20,0.05,task_init,2.021517753601074,68,70
libero_spatial_full_0,norm_only,0.02,task_init,7.5375165939331055,70,70
libero_spatial_full_0,norm_only,0.05,task_init,6.885584831237793,68,70
libero_spatial_full_0,c4_assigned_radius,0.02,task_init,1.5909706354141235,70,70
libero_spatial_full_0,c4_assigned_radius,0.05,task_init,1.5464491844177246,68,70
libero_spatial_full_0,c32_assigned_radius,0.02,task_init,1.6325191259384155,70,70
libero_spatial_full_0,c32_assigned_radius,0.05,task_init,1.5597972869873047,68,70
libero_spatial_full_0,c32_union_radius,0.02,task_init,1.5967365503311157,70,70
libero_spatial_full_0,c32_union_radius,0.05,task_init,1.4749202728271484,68,70
libero_spatial_full_0,cosine_knn20,0.02,task_init,0.42688998579978943,70,70
libero_spatial_full_0,cosine_knn20,0.05,task_init,0.38040366768836975,68,70
libero_spatial_full_1,v7_calibrated,0.02,task_init,2.914098024368286,70,70
libero_spatial_full_1,v7_calibrated,0.05,task_init,2.6682095527648926,68,70
libero_spatial_full_1,v8_calibrated,0.02,task_init,4.210565090179443,70,70
libero_spatial_full_1,v8_calibrated,0.05,task_init,3.5557100772857666,68,70
libero_spatial_full_1,v82_calibrated,0.02,task_init,4.481675624847412,70,70
libero_spatial_full_1,v82_calibrated,0.05,task_init,3.8268210887908936,68,70
libero_spatial_full_1,clock,0.02,task_init,14.0,70,70
libero_spatial_full_1,clock,0.05,task_init,13.0,68,70
libero_spatial_full_1,eef_motion_low,0.02,task_init,3.6494414806365967,70,70
libero_spatial_full_1,eef_motion_low,0.05,task_init,3.148937940597534,68,70
libero_spatial_full_1,knn20,0.02,task_init,2.4401607513427734,70,70
libero_spatial_full_1,knn20,0.05,task_init,2.192049026489258,68,70
libero_spatial_full_1,norm_only,0.02,task_init,6.581629753112793,70,70
libero_spatial_full_1,norm_only,0.05,task_init,5.962634086608887,68,70
libero_spatial_full_1,c4_assigned_radius,0.02,task_init,1.9303627014160156,70,70
libero_spatial_full_1,c4_assigned_radius,0.05,task_init,1.649815559387207,68,70
libero_spatial_full_1,c32_assigned_radius,0.02,task_init,2.1666347980499268,70,70
libero_spatial_full_1,c32_assigned_radius,0.05,task_init,2.035749673843384,68,70
libero_spatial_full_1,c32_union_radius,0.02,task_init,2.1285219192504883,70,70
libero_spatial_full_1,c32_union_radius,0.05,task_init,1.8999663591384888,68,70
libero_spatial_full_1,cosine_knn20,0.02,task_init,0.4277689456939697,70,70
libero_spatial_full_1,cosine_knn20,0.05,task_init,0.36977940797805786,68,70
libero_spatial_full_2,v7_calibrated,0.02,task_init,3.4522933959960938,70,70
libero_spatial_full_2,v7_calibrated,0.05,task_init,3.2161736488342285,68,70
libero_spatial_full_2,v8_calibrated,0.02,task_init,3.4522933959960938,70,70
libero_spatial_full_2,v8_calibrated,0.05,task_init,3.2161736488342285,68,70
libero_spatial_full_2,v82_calibrated,0.02,task_init,3.4522933959960938,70,70
libero_spatial_full_2,v82_calibrated,0.05,task_init,3.2414021492004395,68,70
libero_spatial_full_2,clock,0.02,task_init,13.0,70,70
libero_spatial_full_2,clock,0.05,task_init,13.0,68,70
libero_spatial_full_2,eef_motion_low,0.02,task_init,3.0612194538116455,70,70
libero_spatial_full_2,eef_motion_low,0.05,task_init,2.993044376373291,68,70
libero_spatial_full_2,knn20,0.02,task_init,3.0450398921966553,70,70
libero_spatial_full_2,knn20,0.05,task_init,1.9988833665847778,68,70
libero_spatial_full_2,norm_only,0.02,task_init,7.322845935821533,70,70
libero_spatial_full_2,norm_only,0.05,task_init,6.720889091491699,68,70
libero_spatial_full_2,c4_assigned_radius,0.02,task_init,1.9729748964309692,70,70
libero_spatial_full_2,c4_assigned_radius,0.05,task_init,1.682902455329895,68,70
libero_spatial_full_2,c32_assigned_radius,0.02,task_init,1.958335518836975,70,70
libero_spatial_full_2,c32_assigned_radius,0.05,task_init,1.6329121589660645,68,70
libero_spatial_full_2,c32_union_radius,0.02,task_init,1.958335518836975,70,70
libero_spatial_full_2,c32_union_radius,0.05,task_init,1.5390897989273071,68,70
libero_spatial_full_2,cosine_knn20,0.02,task_init,0.48428741097450256,70,70
libero_spatial_full_2,cosine_knn20,0.05,task_init,0.3380890488624573,68,70
libero_spatial_full_3,v7_calibrated,0.02,task_init,3.828152894973755,70,70
libero_spatial_full_3,v7_calibrated,0.05,task_init,3.312472343444824,68,70
libero_spatial_full_3,v8_calibrated,0.02,task_init,3.868893623352051,70,70
libero_spatial_full_3,v8_calibrated,0.05,task_init,3.627664566040039,68,70
libero_spatial_full_3,v82_calibrated,0.02,task_init,4.194115161895752,70,70
libero_spatial_full_3,v82_calibrated,0.05,task_init,3.907989740371704,68,70
libero_spatial_full_3,clock,0.02,task_init,16.0,70,70
libero_spatial_full_3,clock,0.05,task_init,13.0,68,70
libero_spatial_full_3,eef_motion_low,0.02,task_init,3.3868327140808105,70,70
libero_spatial_full_3,eef_motion_low,0.05,task_init,2.942613124847412,68,70
libero_spatial_full_3,knn20,0.02,task_init,3.829882860183716,70,70
libero_spatial_full_3,knn20,0.05,task_init,2.3054089546203613,68,70
libero_spatial_full_3,norm_only,0.02,task_init,8.330849647521973,70,70
libero_spatial_full_3,norm_only,0.05,task_init,7.897656440734863,68,70
libero_spatial_full_3,c4_assigned_radius,0.02,task_init,2.022775173187256,70,70
libero_spatial_full_3,c4_assigned_radius,0.05,task_init,1.6275709867477417,68,70
libero_spatial_full_3,c32_assigned_radius,0.02,task_init,2.237746238708496,70,70
libero_spatial_full_3,c32_assigned_radius,0.05,task_init,1.6180744171142578,68,70
libero_spatial_full_3,c32_union_radius,0.02,task_init,2.237746238708496,70,70
libero_spatial_full_3,c32_union_radius,0.05,task_init,1.6180744171142578,68,70
libero_spatial_full_3,cosine_knn20,0.02,task_init,0.4323640763759613,70,70
libero_spatial_full_3,cosine_knn20,0.05,task_init,0.39142635464668274,68,70
