ref_variant,corpus,suite,task,scene,repeat,episode_id,n_queries,loop_valid_onset,static_onset_q,trap_valid_onset,dev_fixed,argmax_fixed,n_fixed_cells,dev_event,n_event_cells,has_event,event_unverified
task_pooled,grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,45,3,363,30,-1,-1,-1,39.08045977011494,A@t12,27,,0,False,False
task_pooled,grid50x8,libero_goal,put_the_bowl_on_the_stove,4,6,38,30,-1,-1,-1,36.597938144329895,mob1_w8@t8,9,,0,False,False
task_pooled,grid50x8,libero_goal,put_the_cream_cheese_in_the_bowl,2,2,18,30,23,-1,23,36.70212765957447,D_layer@t8,9,,0,True,True
task_pooled,grid50x8,libero_goal,put_the_wine_bottle_on_the_rack,47,3,379,30,-1,-1,-1,32.97872340425532,S_ent@t12,18,,0,False,False
task_pooled,grid50x8,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,12,3,99,22,21,-1,21,39.03061224489796,A@t8,9,,0,True,True
task_pooled,grid50x8,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,32,3,259,22,16,-1,16,37.5,S_margin@t12,18,37.5,9,True,False
task_pooled,grid50x8,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,48,0,384,22,-1,-1,-1,39.25831202046036,flow_com@t8,18,,0,False,False
task_pooled,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,10,2,82,22,15,-1,15,27.26027397260274,V@t8,9,,0,True,True
task_pooled,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,10,6,86,22,17,21,17,38.21917808219178,D_tok@t8,9,,0,True,True
task_pooled,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,40,5,325,22,14,21,14,24.246575342465754,S_ent@t8,9,,0,True,True
task_pooled,main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,13,16,144,30,-1,-1,-1,38.93617021276596,mob1_w8@t8,27,,0,False,False
task_pooled,main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,13,2,130,22,-1,-1,-1,38.034188034188034,S_margin@t12,18,,0,False,False
