task,suite,query,method,auc,failures,successes
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,recovery_confirm3,0.5395808753300747,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,reference_confirm3,0.5391875948086972,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,recent4_confirm2,0.5575594134501939,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,selected,0.6344738468453284,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v82_reference,0.5942468678015619,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,recent4,0.5942468678015619,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,absolute_gate,0.5925613798528008,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,recovery,0.5925613798528008,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,recovery_fixed,0.5984605876734648,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,recovery_confirm2,0.6054272711950109,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,recovery_confirm3,0.5664363166470027,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,reference_confirm3,0.5619416821169728,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,recent4_confirm2,0.6143603573234452,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,selected,0.6070565762121467,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v82_reference,0.4981740547221754,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,recent4,0.4981740547221754,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,absolute_gate,0.5041856284060903,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,recovery,0.5041856284060903,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,recovery_fixed,0.5157593123209169,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,recovery_confirm2,0.5609303893477162,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,recovery_confirm3,0.5813809764593516,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,reference_confirm3,0.5759312320916905,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,recent4_confirm2,0.555312096185179,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,selected,0.5159840440474184,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v82_reference,0.586718354963762,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,recent4,0.586718354963762,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,absolute_gate,0.5932917579639305,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,recovery,0.5932917579639305,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,recovery_fixed,0.5898645991347828,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,recovery_confirm2,0.5246923984493511,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,recovery_confirm3,0.5739648294848025,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,reference_confirm3,0.5693016461598966,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,recent4_confirm2,0.5196921175346929,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,selected,0.6023933928872408,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v82_reference,0.575537951570313,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,recent4,0.575537951570313,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,absolute_gate,0.5796393055789651,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,recovery,0.5796393055789651,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,recovery_fixed,0.5712118658351593,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,recovery_confirm2,0.5922242822630485,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,recovery_confirm3,0.5242429349963481,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,reference_confirm3,0.5194673858081915,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,recent4_confirm2,0.5857632451261306,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,selected,0.5913815382886679,51,349
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v82_reference,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,recent4,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,absolute_gate,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,recovery,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,recovery_fixed,0.11528822055137844,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,recovery_confirm2,0.3483709273182957,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,recent4_confirm2,0.3483709273182957,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,selected,0.10526315789473684,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v82_reference,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,recent4,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,absolute_gate,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,recovery,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,recovery_fixed,0.13533834586466165,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,recovery_confirm2,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,recovery_confirm3,0.3483709273182957,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,reference_confirm3,0.3483709273182957,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,recent4_confirm2,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,selected,0.12531328320802004,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v82_reference,0.6591478696741855,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,recent4,0.6591478696741855,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,absolute_gate,0.43609022556390975,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,recovery,0.43609022556390975,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,recovery_fixed,0.44110275689223055,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,recovery_confirm2,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,recovery_confirm3,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,reference_confirm3,0.09523809523809523,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,recent4_confirm2,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,selected,0.6766917293233082,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v82_reference,0.6491228070175439,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,recent4,0.6491228070175439,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,absolute_gate,0.3132832080200501,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,recovery,0.3132832080200501,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,recovery_fixed,0.3208020050125313,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,recovery_confirm2,0.43609022556390975,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,recovery_confirm3,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,reference_confirm3,0.12030075187969924,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,recent4_confirm2,0.6591478696741855,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,selected,0.6716791979949874,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v82_reference,0.6641604010025063,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,recent4,0.6641604010025063,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,absolute_gate,0.37092731829573933,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,recovery,0.37092731829573933,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,recovery_fixed,0.39097744360902253,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,recovery_confirm2,0.3258145363408521,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,recovery_confirm3,0.44611528822055135,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,reference_confirm3,0.6591478696741855,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,recent4_confirm2,0.6516290726817042,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,selected,0.6992481203007519,1,399
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,v82_reference,0.8267045454545454,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,recent4,0.8267045454545454,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,absolute_gate,0.6022727272727273,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,recovery,0.6022727272727273,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,recovery_fixed,0.6164772727272727,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,recovery_confirm2,0.5795454545454546,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,recovery_confirm3,0.39488636363636365,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,reference_confirm3,0.8011363636363636,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,recent4_confirm2,0.8465909090909091,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,12,selected,0.8721590909090909,1,352
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,v82_reference,0.768361581920904,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,recent4,0.768361581920904,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,absolute_gate,0.7457627118644068,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,recovery,0.7457627118644068,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,recovery_fixed,0.6271186440677966,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,recovery_confirm2,0.6610169491525424,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,recovery_confirm3,0.6497175141242938,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,reference_confirm3,0.847457627118644,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,recent4_confirm2,0.8192090395480226,1,177
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,13,selected,0.7966101694915254,1,177
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,v82_reference,0.8647798742138365,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,recent4,0.8647798742138365,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,absolute_gate,0.8647798742138365,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,recovery,0.8647798742138365,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,recovery_fixed,0.8602875112309074,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,recovery_confirm2,0.32929020664869724,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,recent4_confirm2,0.32929020664869724,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,7,selected,0.8740640910452231,18,371
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,v82_reference,0.8444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,recent4,0.8444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,absolute_gate,0.8444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,recovery,0.8444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,recovery_fixed,0.8444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,recovery_confirm2,0.9444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,recovery_confirm3,0.7555555555555555,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,reference_confirm3,0.7555555555555555,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,recent4_confirm2,0.9444444444444444,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,8,selected,0.8555555555555555,18,5
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,v82_reference,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,recent4,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,absolute_gate,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,recovery,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,recovery_fixed,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,recovery_confirm2,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,recovery_confirm3,0.9444444444444444,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,reference_confirm3,0.9444444444444444,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,recent4_confirm2,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,9,selected,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,v82_reference,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,recent4,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,absolute_gate,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,recovery,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,recovery_fixed,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,recovery_confirm2,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,recovery_confirm3,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,reference_confirm3,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,recent4_confirm2,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,10,selected,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,v82_reference,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,recent4,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,absolute_gate,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,recovery,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,recovery_fixed,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,recovery_confirm2,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,recovery_confirm3,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,reference_confirm3,0.2777777777777778,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,recent4_confirm2,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,11,selected,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,v82_reference,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,recent4,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,absolute_gate,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,recovery,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,recovery_fixed,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,recovery_confirm2,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,recovery_confirm3,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,reference_confirm3,0.3333333333333333,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,recent4_confirm2,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,12,selected,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,v82_reference,0.16666666666666666,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,recent4,0.16666666666666666,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,absolute_gate,0.16666666666666666,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,recovery,0.16666666666666666,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,recovery_fixed,0.16666666666666666,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,recovery_confirm2,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,recovery_confirm3,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,reference_confirm3,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,recent4_confirm2,0.5555555555555556,18,1
libero_goal/put_the_bowl_on_the_plate,libero_goal,13,selected,0.16666666666666666,18,1
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,v82_reference,0.4063654447286161,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,recent4,0.4063654447286161,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,absolute_gate,0.40807047456663825,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,recovery,0.40807047456663825,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,recovery_fixed,0.41375390736004547,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,recovery_confirm2,0.4492753623188406,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,recent4_confirm2,0.4427394146064223,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,7,selected,0.41091219096334186,9,391
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,v82_reference,0.44501718213058417,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,recent4,0.44501718213058417,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,absolute_gate,0.44501718213058417,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,recovery,0.44501718213058417,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,recovery_fixed,0.44587628865979384,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,recovery_confirm2,0.40578465063001146,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,recovery_confirm3,0.4504581901489118,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,reference_confirm3,0.4438717067583047,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,recent4_confirm2,0.4040664375715922,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,selected,0.44587628865979384,9,388
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,v82_reference,0.4878048780487805,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,recent4,0.4878048780487805,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,absolute_gate,0.4878048780487805,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,recovery,0.4878048780487805,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,recovery_fixed,0.4878048780487805,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,recovery_confirm2,0.4065040650406504,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,recovery_confirm3,0.3956639566395664,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,reference_confirm3,0.3956639566395664,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,recent4_confirm2,0.4065040650406504,9,41
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,selected,0.5013550135501355,9,41
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,v82_reference,0.5753580729166666,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,recent4,0.5753580729166666,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,absolute_gate,0.5213216145833334,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,recovery,0.5213216145833334,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,recovery_fixed,0.52294921875,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,recovery_confirm2,0.4210611979166667,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,recent4_confirm2,0.41552734375,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,7,selected,0.64208984375,16,384
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,v82_reference,0.74079754601227,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,recent4,0.74079754601227,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,absolute_gate,0.7471242331288344,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,recovery,0.7471242331288344,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,recovery_fixed,0.7471242331288344,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,recovery_confirm2,0.4838957055214724,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,recovery_confirm3,0.38055981595092025,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,reference_confirm3,0.48600460122699385,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,recent4_confirm2,0.6997699386503068,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,selected,0.7430981595092024,16,326
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,v82_reference,0.5865384615384616,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,recent4,0.5865384615384616,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,absolute_gate,0.5865384615384616,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,recovery,0.5865384615384616,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,recovery_fixed,0.5625,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,recovery_confirm2,0.6322115384615384,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,recovery_confirm3,0.30288461538461536,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,reference_confirm3,0.59375,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,recent4_confirm2,0.6322115384615384,16,26
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,9,selected,0.59375,16,26
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,7,v82_reference,0.9812446717817562,9,391
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,7,recent4,0.9812446717817562,9,391
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,7,absolute_gate,0.9812446717817562,9,391
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,7,recovery,0.9812446717817562,9,391
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,7,recovery_fixed,0.9815288434214265,9,391
