method,calibration,alpha,scope,query,tp,fp,failures,successes,active_failure,active_success,recall,fpr
v82_reference,episode,0.005,libero_goal,41,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,42,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,43,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,44,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,45,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,46,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,47,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,48,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,49,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,50,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,51,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_long,0,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,1,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,2,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,3,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,4,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,5,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,6,0,0,274,3726,274,3726,0.0,0.0
v82_reference,episode,0.005,libero_long,7,0,1,274,3726,274,3726,0.0,0.00026838432635534085
v82_reference,episode,0.005,libero_long,8,7,1,274,3726,274,3726,0.025547445255474453,0.00026838432635534085
v82_reference,episode,0.005,libero_long,9,11,1,274,3726,274,3726,0.040145985401459854,0.00026838432635534085
v82_reference,episode,0.005,libero_long,10,14,1,274,3726,274,3726,0.051094890510948905,0.00026838432635534085
v82_reference,episode,0.005,libero_long,11,17,1,274,3726,274,3726,0.06204379562043796,0.00026838432635534085
v82_reference,episode,0.005,libero_long,12,18,1,274,3726,274,3726,0.06569343065693431,0.00026838432635534085
v82_reference,episode,0.005,libero_long,13,18,1,274,3726,274,3726,0.06569343065693431,0.00026838432635534085
v82_reference,episode,0.005,libero_long,14,21,2,274,3726,274,3726,0.07664233576642336,0.0005367686527106817
v82_reference,episode,0.005,libero_long,15,25,2,274,3726,274,3694,0.09124087591240876,0.0005367686527106817
v82_reference,episode,0.005,libero_long,16,27,5,274,3726,274,3644,0.09854014598540146,0.0013419216317767043
v82_reference,episode,0.005,libero_long,17,27,6,274,3726,274,3560,0.09854014598540146,0.001610305958132045
v82_reference,episode,0.005,libero_long,18,27,8,274,3726,274,3475,0.09854014598540146,0.0021470746108427268
v82_reference,episode,0.005,libero_long,19,27,13,274,3726,274,3421,0.09854014598540146,0.003488996242619431
v82_reference,episode,0.005,libero_long,20,27,18,274,3726,274,3380,0.09854014598540146,0.004830917874396135
v82_reference,episode,0.005,libero_long,21,27,22,274,3726,274,3183,0.09854014598540146,0.005904455179817499
v82_reference,episode,0.005,libero_long,22,28,30,274,3726,274,2761,0.10218978102189781,0.008051529790660225
v82_reference,episode,0.005,libero_long,23,28,33,274,3726,274,2316,0.10218978102189781,0.008856682769726247
v82_reference,episode,0.005,libero_long,24,30,38,274,3726,274,1743,0.10948905109489052,0.010198604401502952
v82_reference,episode,0.005,libero_long,25,31,38,274,3726,274,1114,0.11313868613138686,0.010198604401502952
v82_reference,episode,0.005,libero_long,26,33,39,274,3726,274,705,0.12043795620437957,0.010466988727858293
v82_reference,episode,0.005,libero_long,27,34,39,274,3726,274,497,0.12408759124087591,0.010466988727858293
v82_reference,episode,0.005,libero_long,28,36,40,274,3726,274,388,0.13138686131386862,0.010735373054213635
v82_reference,episode,0.005,libero_long,29,42,41,274,3726,274,354,0.15328467153284672,0.011003757380568975
v82_reference,episode,0.005,libero_long,30,60,42,274,3726,274,333,0.21897810218978103,0.011272141706924315
v82_reference,episode,0.005,libero_long,31,84,46,274,3726,274,313,0.30656934306569344,0.012345679012345678
v82_reference,episode,0.005,libero_long,32,117,49,274,3726,274,295,0.42700729927007297,0.013150831991411701
v82_reference,episode,0.005,libero_long,33,136,52,274,3726,274,287,0.49635036496350365,0.013955984970477724
v82_reference,episode,0.005,libero_long,34,149,52,274,3726,274,284,0.5437956204379562,0.013955984970477724
v82_reference,episode,0.005,libero_long,35,160,53,274,3726,274,278,0.583941605839416,0.014224369296833066
v82_reference,episode,0.005,libero_long,36,165,54,274,3726,274,270,0.6021897810218978,0.014492753623188406
v82_reference,episode,0.005,libero_long,37,168,54,274,3726,274,245,0.6131386861313869,0.014492753623188406
v82_reference,episode,0.005,libero_long,38,168,54,274,3726,274,185,0.6131386861313869,0.014492753623188406
v82_reference,episode,0.005,libero_long,39,171,54,274,3726,274,110,0.6240875912408759,0.014492753623188406
v82_reference,episode,0.005,libero_long,40,175,54,274,3726,274,60,0.6386861313868614,0.014492753623188406
v82_reference,episode,0.005,libero_long,41,178,54,274,3726,274,37,0.6496350364963503,0.014492753623188406
v82_reference,episode,0.005,libero_long,42,179,54,274,3726,274,28,0.6532846715328468,0.014492753623188406
v82_reference,episode,0.005,libero_long,43,183,54,274,3726,274,23,0.6678832116788321,0.014492753623188406
v82_reference,episode,0.005,libero_long,44,184,54,274,3726,274,14,0.6715328467153284,0.014492753623188406
v82_reference,episode,0.005,libero_long,45,185,54,274,3726,274,11,0.6751824817518248,0.014492753623188406
v82_reference,episode,0.005,libero_long,46,187,54,274,3726,274,8,0.6824817518248175,0.014492753623188406
v82_reference,episode,0.005,libero_long,47,190,54,274,3726,274,5,0.6934306569343066,0.014492753623188406
v82_reference,episode,0.005,libero_long,48,193,54,274,3726,274,2,0.7043795620437956,0.014492753623188406
v82_reference,episode,0.005,libero_long,49,195,54,274,3726,274,2,0.7116788321167883,0.014492753623188406
v82_reference,episode,0.005,libero_long,50,198,54,274,3726,274,2,0.7226277372262774,0.014492753623188406
v82_reference,episode,0.005,libero_long,51,201,54,274,3726,274,0,0.7335766423357665,0.014492753623188406
v82_reference,episode,0.005,libero_object,0,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,1,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,2,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,3,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,4,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,5,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,6,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,7,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,8,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,9,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,10,0,0,44,3956,44,3956,0.0,0.0
v82_reference,episode,0.005,libero_object,11,0,0,44,3956,44,3932,0.0,0.0
v82_reference,episode,0.005,libero_object,12,0,2,44,3956,44,3355,0.0,0.0005055611729019212
v82_reference,episode,0.005,libero_object,13,1,10,44,3956,44,2091,0.022727272727272728,0.0025278058645096056
v82_reference,episode,0.005,libero_object,14,1,10,44,3956,44,1298,0.022727272727272728,0.0025278058645096056
v82_reference,episode,0.005,libero_object,15,4,10,44,3956,44,470,0.09090909090909091,0.0025278058645096056
v82_reference,episode,0.005,libero_object,16,4,10,44,3956,44,195,0.09090909090909091,0.0025278058645096056
v82_reference,episode,0.005,libero_object,17,5,11,44,3956,44,90,0.11363636363636363,0.002780586450960566
v82_reference,episode,0.005,libero_object,18,7,13,44,3956,44,38,0.1590909090909091,0.0032861476238624874
v82_reference,episode,0.005,libero_object,19,9,13,44,3956,44,23,0.20454545454545456,0.0032861476238624874
v82_reference,episode,0.005,libero_object,20,11,14,44,3956,44,16,0.25,0.003538928210313448
v82_reference,episode,0.005,libero_object,21,14,14,44,3956,44,9,0.3181818181818182,0.003538928210313448
v82_reference,episode,0.005,libero_object,22,16,14,44,3956,44,6,0.36363636363636365,0.003538928210313448
v82_reference,episode,0.005,libero_object,23,17,14,44,3956,44,4,0.38636363636363635,0.003538928210313448
v82_reference,episode,0.005,libero_object,24,17,14,44,3956,44,2,0.38636363636363635,0.003538928210313448
v82_reference,episode,0.005,libero_object,25,18,14,44,3956,44,2,0.4090909090909091,0.003538928210313448
v82_reference,episode,0.005,libero_object,26,19,14,44,3956,44,1,0.4318181818181818,0.003538928210313448
v82_reference,episode,0.005,libero_object,27,20,14,44,3956,44,1,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,28,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,29,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,30,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,31,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,32,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,33,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,34,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,35,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,36,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,37,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,38,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,39,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,40,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,41,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,42,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,43,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,44,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,45,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,46,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,47,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,48,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,49,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,50,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_object,51,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448
v82_reference,episode,0.005,libero_spatial,0,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,1,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,2,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,3,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,4,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,5,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,6,0,0,140,3860,140,3860,0.0,0.0
v82_reference,episode,0.005,libero_spatial,7,0,0,140,3860,140,3846,0.0,0.0
v82_reference,episode,0.005,libero_spatial,8,0,0,140,3860,140,3537,0.0,0.0
v82_reference,episode,0.005,libero_spatial,9,0,0,140,3860,140,2835,0.0,0.0
v82_reference,episode,0.005,libero_spatial,10,0,0,140,3860,140,1930,0.0,0.0
v82_reference,episode,0.005,libero_spatial,11,1,0,140,3860,140,1360,0.007142857142857143,0.0
v82_reference,episode,0.005,libero_spatial,12,1,0,140,3860,140,624,0.007142857142857143,0.0
v82_reference,episode,0.005,libero_spatial,13,1,0,140,3860,140,189,0.007142857142857143,0.0
v82_reference,episode,0.005,libero_spatial,14,4,1,140,3860,140,24,0.02857142857142857,0.00025906735751295336
v82_reference,episode,0.005,libero_spatial,15,8,1,140,3860,140,7,0.05714285714285714,0.00025906735751295336
v82_reference,episode,0.005,libero_spatial,16,14,1,140,3860,140,6,0.1,0.00025906735751295336
v82_reference,episode,0.005,libero_spatial,17,22,2,140,3860,140,5,0.15714285714285714,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,18,32,2,140,3860,140,5,0.22857142857142856,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,19,57,2,140,3860,140,3,0.40714285714285714,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,20,72,2,140,3860,140,2,0.5142857142857142,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,21,88,2,140,3860,140,2,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,22,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,23,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,24,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,25,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,26,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,27,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,28,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,29,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,30,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,31,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,32,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,33,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,34,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,35,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,36,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,37,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,38,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,39,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,40,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,41,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,42,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,43,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,44,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,45,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,46,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,47,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,48,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,49,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,50,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
v82_reference,episode,0.005,libero_spatial,51,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067
recent4,episode,0.005,all,0,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,1,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,2,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,3,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,4,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,5,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,6,0,0,564,15436,564,15436,0.0,0.0
recent4,episode,0.005,all,7,0,1,564,15436,564,15299,0.0,6.47836227001814e-05
recent4,episode,0.005,all,8,7,1,564,15436,564,14292,0.012411347517730497,6.47836227001814e-05
recent4,episode,0.005,all,9,11,1,564,15436,564,12438,0.01950354609929078,6.47836227001814e-05
recent4,episode,0.005,all,10,14,3,564,15436,564,11178,0.024822695035460994,0.00019435086810054417
recent4,episode,0.005,all,11,19,3,564,15436,564,10571,0.03368794326241135,0.00019435086810054417
recent4,episode,0.005,all,12,20,6,564,15436,564,8982,0.03546099290780142,0.00038870173620108835
recent4,episode,0.005,all,13,23,15,564,15436,564,6735,0.040780141843971635,0.0009717543405027209
recent4,episode,0.005,all,14,39,17,564,15436,564,5543,0.06914893617021277,0.0011013215859030838
recent4,episode,0.005,all,15,54,17,564,15436,564,4584,0.09574468085106383,0.0011013215859030838
recent4,episode,0.005,all,16,64,20,564,15436,564,4239,0.11347517730496454,0.001295672454003628
recent4,episode,0.005,all,17,78,23,564,15436,564,4024,0.13829787234042554,0.0014900233221041722
recent4,episode,0.005,all,18,92,28,564,15436,564,3739,0.16312056737588654,0.001813941435605079
recent4,episode,0.005,all,19,123,33,564,15436,564,3530,0.21808510638297873,0.002137859549105986
recent4,episode,0.005,all,20,140,39,564,15436,564,3431,0.24822695035460993,0.0025265612853070745
