method,calibration,alpha,scope,tp,fp,failures,successes,active_failure,active_success,recall,fpr,recall_lo,recall_hi,fpr_lo,fpr_hi
recovery,episode,0.005,all,350,81,564,15436,274,0,0.6205673758865248,0.005247473438714693,0.5562378693266293,0.6847578115018241,0.002947322563327528,0.00797191749920233
recovery,episode,0.005,libero_goal,82,23,106,3894,0,0,0.7735849056603774,0.005906522855675398,0.665,1.0,0.0015205174851629505,0.011683561382016632
recovery,episode,0.005,libero_long,190,56,274,3726,274,0,0.6934306569343066,0.015029522275899088,0.6428571428571429,0.8103448275862069,0.007083462829422158,0.02498612263429219
recovery,episode,0.005,libero_object,23,1,44,3956,0,0,0.5227272727272727,0.0002527805864509606,0.3055253623188406,0.6739256825075833,0.0,0.0007600709399543957
recovery,episode,0.005,libero_spatial,55,1,140,3860,0,0,0.39285714285714285,0.00025906735751295336,0.2807017543859649,0.5495819972514886,0.0,0.0007867820613690008
recovery_fixed,episode,0.005,all,346,83,564,15436,274,0,0.6134751773049646,0.005377040684115056,0.531486721941841,0.6828019735277799,0.003006859033724145,0.008248747241192258
recovery_fixed,episode,0.005,libero_goal,88,22,106,3894,0,0,0.8301886792452831,0.005649717514124294,0.751240464344942,1.0,0.0010219658807398664,0.011515210132824368
recovery_fixed,episode,0.005,libero_long,188,57,274,3726,274,0,0.6861313868613139,0.015297906602254429,0.6396961412770236,0.8295514990328821,0.006731655157633933,0.025420350480609637
recovery_fixed,episode,0.005,libero_object,22,1,44,3956,0,0,0.5,0.0002527805864509606,0.21949314024390243,0.7455681818181812,0.0,0.0007600709399543957
recovery_fixed,episode,0.005,libero_spatial,48,3,140,3860,0,0,0.34285714285714286,0.0007772020725388601,0.21604814814814813,0.5164146410401356,0.0,0.0020774094840552864
recovery_confirm2,episode,0.005,all,364,96,564,15436,274,0,0.6453900709219859,0.006219227779217414,0.5733632433690836,0.7253599027795089,0.0033427167264436057,0.009621948054362605
recovery_confirm2,episode,0.005,libero_goal,79,27,106,3894,0,0,0.7452830188679245,0.006933744221879815,0.603448275862069,1.0,0.0015205174851629505,0.013810918386312291
recovery_confirm2,episode,0.005,libero_long,197,64,274,3726,274,0,0.718978102189781,0.017176596886741814,0.6638871082621083,0.8375040584415584,0.006848775469091746,0.02989930976713803
recovery_confirm2,episode,0.005,libero_object,27,1,44,3956,0,0,0.6136363636363636,0.0002527805864509606,0.35714285714285715,0.7954661410018552,0.0,0.0007600709399543957
recovery_confirm2,episode,0.005,libero_spatial,61,4,140,3860,0,0,0.4357142857142857,0.0010362694300518134,0.32043875172651937,0.6176628716002529,0.0,0.002861621113079635
recovery_confirm3,episode,0.005,all,362,85,564,15436,274,0,0.6418439716312057,0.005506607929515419,0.5710195471506107,0.713874841972187,0.0029712549452608475,0.008368862792523624
recovery_confirm3,episode,0.005,libero_goal,78,20,106,3894,0,0,0.7358490566037735,0.005136106831022085,0.6011560693641619,1.0,0.0012774573509248329,0.010126616015762058
recovery_confirm3,episode,0.005,libero_long,195,60,274,3726,274,0,0.7116788321167883,0.01610305958132045,0.6719514684340706,0.8103760619690152,0.00678288940886164,0.026825956718955702
