fold,calibration,alpha,method,tp,fp,utility,eligible,selected
0,task_init,0.01,v82_reference,47,3,0.11360762788589024,True,True
0,task_init,0.01,recent4,47,3,0.11360762788589024,True,False
0,task_init,0.01,absolute_gate,44,5,0.13052110052310023,False,False
0,task_init,0.01,recovery,44,5,0.13052110052310023,False,False
0,task_init,0.01,recovery_fixed,38,3,0.10989368798502289,False,False
0,task_init,0.01,recovery_confirm2,49,5,0.13178042196269363,False,False
0,task_init,0.01,recovery_confirm3,46,4,0.1168583093044119,False,False
0,task_init,0.01,reference_confirm3,46,3,0.09285415290530123,False,False
0,task_init,0.01,recent4_confirm2,46,3,0.10064401054622006,False,False
0,task_init,0.02,v82_reference,73,11,0.1931564241477267,True,True
0,task_init,0.02,recent4,73,11,0.1931564241477267,True,False
0,task_init,0.02,absolute_gate,63,12,0.17977894233676095,False,False
0,task_init,0.02,recovery,63,12,0.17977894233676095,False,False
0,task_init,0.02,recovery_fixed,68,13,0.1837892273666134,False,False
0,task_init,0.02,recovery_confirm2,65,14,0.16981667143561016,False,False
0,task_init,0.02,recovery_confirm3,70,19,0.17115432187023844,False,False
0,task_init,0.02,reference_confirm3,74,12,0.18433805007935344,False,False
0,task_init,0.02,recent4_confirm2,71,12,0.18103626301583212,False,False
0,task_init,0.05,v82_reference,96,70,0.2958125135548989,True,True
0,task_init,0.05,recent4,96,70,0.2958125135548989,True,False
0,task_init,0.05,absolute_gate,85,54,0.26099285653564974,False,False
0,task_init,0.05,recovery,85,54,0.26099285653564974,False,False
0,task_init,0.05,recovery_fixed,88,59,0.2762745663537652,False,False
0,task_init,0.05,recovery_confirm2,86,62,0.25519541486699204,False,False
0,task_init,0.05,recovery_confirm3,89,51,0.2558478901113703,False,False
0,task_init,0.05,reference_confirm3,95,46,0.25790625001766715,False,False
0,task_init,0.05,recent4_confirm2,96,60,0.27197196389881245,True,False
1,episode,0.005,v82_reference,86,12,0.19413535959319395,True,True
1,episode,0.005,recent4,86,12,0.19413535959319395,True,False
1,episode,0.005,absolute_gate,82,19,0.22269937367899006,False,False
1,episode,0.005,recovery,82,19,0.22269937367899006,False,False
1,episode,0.005,recovery_fixed,82,17,0.21707273101006097,False,False
1,episode,0.005,recovery_confirm2,87,22,0.23093285027583918,False,False
1,episode,0.005,recovery_confirm3,84,16,0.20914106291478973,False,False
1,episode,0.005,reference_confirm3,87,10,0.1833631506604834,True,False
1,episode,0.005,recent4_confirm2,82,11,0.1735918172190238,False,False
1,episode,0.01,v82_reference,98,42,0.2562853810309323,True,True
1,episode,0.01,recent4,98,42,0.2562853810309323,True,False
1,episode,0.01,absolute_gate,92,36,0.2623496969942865,False,False
1,episode,0.01,recovery,92,36,0.2623496969942865,False,False
1,episode,0.01,recovery_fixed,90,28,0.25396808567936,False,False
1,episode,0.01,recovery_confirm2,93,35,0.25237017788637117,False,False
1,episode,0.01,recovery_confirm3,93,28,0.2529087443777103,False,False
1,episode,0.01,reference_confirm3,96,33,0.22982829329091428,False,False
1,episode,0.01,recent4_confirm2,95,26,0.2282751965273981,False,False
1,episode,0.02,v82_reference,103,62,0.2815482973864299,True,True
1,episode,0.02,recent4,103,62,0.2815482973864299,True,False
1,episode,0.02,absolute_gate,97,64,0.29528493696887337,False,False
1,episode,0.02,recovery,97,64,0.29528493696887337,False,False
1,episode,0.02,recovery_fixed,91,48,0.27078894498916456,False,False
1,episode,0.02,recovery_confirm2,97,53,0.29694297564902367,False,False
1,episode,0.02,recovery_confirm3,100,50,0.2956410278641114,False,False
1,episode,0.02,reference_confirm3,105,63,0.27706078567033704,False,False
1,episode,0.02,recent4_confirm2,100,57,0.25867813826683067,False,False
1,episode,0.05,v82_reference,108,160,0.33583891741467364,True,False
1,episode,0.05,recent4,108,160,0.33583891741467364,True,False
1,episode,0.05,absolute_gate,108,127,0.3730234564865586,True,False
1,episode,0.05,recovery,108,127,0.3730234564865586,True,False
1,episode,0.05,recovery_fixed,108,139,0.39994322900312784,True,True
1,episode,0.05,recovery_confirm2,110,141,0.38016246703725326,True,False
1,episode,0.05,recovery_confirm3,111,151,0.3772466826001107,True,False
1,episode,0.05,reference_confirm3,108,127,0.3115626217267335,True,False
1,episode,0.05,recent4_confirm2,108,160,0.317290971876322,True,False
1,task_init,0.005,v82_reference,24,0,0.03824165394096601,True,False
1,task_init,0.005,recent4,24,0,0.03824165394096601,True,False
1,task_init,0.005,absolute_gate,37,2,0.08198409445508091,False,False
1,task_init,0.005,recovery,37,2,0.08198409445508091,False,False
1,task_init,0.005,recovery_fixed,35,2,0.06743074318552682,False,False
1,task_init,0.005,recovery_confirm2,45,4,0.08608717046873994,False,False
1,task_init,0.005,recovery_confirm3,42,2,0.07680914830817717,False,False
1,task_init,0.005,reference_confirm3,28,1,0.04035688913569831,False,False
1,task_init,0.005,recent4_confirm2,30,0,0.048048989539238626,True,True
1,task_init,0.01,v82_reference,66,2,0.1328460749874745,True,True
1,task_init,0.01,recent4,66,2,0.1328460749874745,True,False
1,task_init,0.01,absolute_gate,74,16,0.18619005884053016,False,False
1,task_init,0.01,recovery,74,16,0.18619005884053016,False,False
1,task_init,0.01,recovery_fixed,73,13,0.18777697988546901,False,False
1,task_init,0.01,recovery_confirm2,71,12,0.17089416280254419,False,False
1,task_init,0.01,recovery_confirm3,71,11,0.16663224652312136,False,False
1,task_init,0.01,reference_confirm3,66,3,0.12388161089946934,False,False
1,task_init,0.01,recent4_confirm2,64,2,0.12317552144978954,False,False
1,task_init,0.02,v82_reference,83,10,0.18619659117654938,True,True
1,task_init,0.02,recent4,83,10,0.18619659117654938,True,False
1,task_init,0.02,absolute_gate,79,18,0.21044724254880395,False,False
1,task_init,0.02,recovery,79,18,0.21044724254880395,False,False
1,task_init,0.02,recovery_fixed,75,13,0.19446319362140244,False,False
1,task_init,0.02,recovery_confirm2,82,16,0.21127593213588414,False,False
1,task_init,0.02,recovery_confirm3,80,14,0.19809872966502842,False,False
1,task_init,0.02,reference_confirm3,79,6,0.16275014884789996,False,False
1,task_init,0.02,recent4_confirm2,80,10,0.1707481838558502,False,False
1,task_init,0.05,v82_reference,97,40,0.2536463706587747,True,True
1,task_init,0.05,recent4,97,40,0.2536463706587747,True,False
1,task_init,0.05,absolute_gate,92,36,0.26287740438833407,False,False
1,task_init,0.05,recovery,92,36,0.26287740438833407,False,False
1,task_init,0.05,recovery_fixed,90,30,0.25482329319896296,False,False
1,task_init,0.05,recovery_confirm2,93,37,0.2534648534384349,False,False
1,task_init,0.05,recovery_confirm3,91,26,0.2381159696951685,False,False
1,task_init,0.05,reference_confirm3,100,42,0.2492937184845258,False,False
1,task_init,0.05,recent4_confirm2,96,29,0.23018478686804109,False,False
2,episode,0.005,v82_reference,75,15,0.17305215584651862,True,True
2,episode,0.005,recent4,75,15,0.17305215584651862,True,False
2,episode,0.005,absolute_gate,60,7,0.13878373243746428,False,False
2,episode,0.005,recovery,60,7,0.13878373243746428,False,False
2,episode,0.005,recovery_fixed,63,11,0.14776459893434546,False,False
2,episode,0.005,recovery_confirm2,62,11,0.13549515236120108,False,False
2,episode,0.005,recovery_confirm3,64,10,0.13327070699453533,False,False
2,episode,0.005,reference_confirm3,74,15,0.15901829631816075,False,False
2,episode,0.005,recent4_confirm2,71,13,0.15581139885755038,False,False
2,episode,0.01,v82_reference,81,27,0.2102072977141761,True,True
2,episode,0.01,recent4,81,27,0.2102072977141761,True,False
2,episode,0.01,absolute_gate,76,29,0.19433891523382657,False,False
2,episode,0.01,recovery,76,29,0.19433891523382657,False,False
2,episode,0.01,recovery_fixed,71,30,0.1793802461757924,False,False
2,episode,0.01,recovery_confirm2,73,27,0.17541642432623727,False,False
2,episode,0.01,recovery_confirm3,76,28,0.17411151465212385,False,False
2,episode,0.01,reference_confirm3,83,28,0.21002749567561693,False,False
2,episode,0.01,recent4_confirm2,80,26,0.1936187153440186,False,False
2,episode,0.02,v82_reference,85,39,0.2521733163719207,True,True
2,episode,0.02,recent4,85,39,0.2521733163719207,True,False
2,episode,0.02,absolute_gate,82,53,0.2253636187581711,False,False
2,episode,0.02,recovery,82,53,0.2253636187581711,False,False
2,episode,0.02,recovery_fixed,75,42,0.20015344299798107,False,False
2,episode,0.02,recovery_confirm2,83,42,0.22175368550899696,False,False
2,episode,0.02,recovery_confirm3,87,42,0.2323859503398592,False,False
2,episode,0.02,reference_confirm3,87,54,0.24183102878210613,False,False
2,episode,0.02,recent4_confirm2,85,42,0.24344753138276262,False,False
2,episode,0.05,v82_reference,89,106,0.2940144739012245,True,False
2,episode,0.05,recent4,89,106,0.2940144739012245,True,False
2,episode,0.05,absolute_gate,94,106,0.3166199000052479,True,True
2,episode,0.05,recovery,94,106,0.3166199000052479,True,False
2,episode,0.05,recovery_fixed,89,118,0.2987031597360185,False,False
2,episode,0.05,recovery_confirm2,94,97,0.306211218732304,True,False
2,episode,0.05,recovery_confirm3,93,106,0.2830404418617652,True,False
2,episode,0.05,reference_confirm3,90,121,0.26201682621269484,False,False
2,episode,0.05,recent4_confirm2,87,116,0.27490460051644067,False,False
2,task_init,0.005,v82_reference,22,0,0.038520517396385935,True,True
2,task_init,0.005,recent4,22,0,0.038520517396385935,True,False
2,task_init,0.005,absolute_gate,15,0,0.029941701443945964,False,False
2,task_init,0.005,recovery,15,0,0.029941701443945964,False,False
2,task_init,0.005,recovery_fixed,21,0,0.03371435362844987,False,False
2,task_init,0.005,recovery_confirm2,19,0,0.03182970338053653,False,False
2,task_init,0.005,recovery_confirm3,19,0,0.0209665226253785,False,False
2,task_init,0.005,reference_confirm3,22,0,0.024059676884308198,True,False
2,task_init,0.005,recent4_confirm2,25,0,0.033547170416943384,True,False
2,task_init,0.01,v82_reference,55,7,0.1055869549824162,True,True
2,task_init,0.01,recent4,55,7,0.1055869549824162,True,False
2,task_init,0.01,absolute_gate,38,2,0.07375049859864408,False,False
2,task_init,0.01,recovery,38,2,0.07375049859864408,False,False
2,task_init,0.01,recovery_fixed,38,3,0.0685759160532647,False,False
2,task_init,0.01,recovery_confirm2,32,0,0.05302199522361074,False,False
2,task_init,0.01,recovery_confirm3,29,0,0.04177566733003606,False,False
2,task_init,0.01,reference_confirm3,56,6,0.10252133057760951,True,False
2,task_init,0.01,recent4_confirm2,59,8,0.11780917798623844,False,False
2,task_init,0.02,v82_reference,68,12,0.1511728036320587,True,True
2,task_init,0.02,recent4,68,12,0.1511728036320587,True,False
2,task_init,0.02,absolute_gate,57,4,0.13183771718587686,False,False
2,task_init,0.02,recovery,57,4,0.13183771718587686,False,False
2,task_init,0.02,recovery_fixed,53,4,0.11288344898541743,False,False
2,task_init,0.02,recovery_confirm2,59,9,0.1272022540907761,False,False
2,task_init,0.02,recovery_confirm3,56,6,0.11265137069874558,False,False
2,task_init,0.02,reference_confirm3,63,9,0.1275474884305308,False,False
2,task_init,0.02,recent4_confirm2,66,12,0.1402845778456639,False,False
2,task_init,0.05,v82_reference,81,30,0.21547615348405674,True,True
2,task_init,0.05,recent4,81,30,0.21547615348405674,True,False
2,task_init,0.05,absolute_gate,76,36,0.1961284375370948,False,False
2,task_init,0.05,recovery,76,36,0.1961284375370948,False,False
2,task_init,0.05,recovery_fixed,72,36,0.18639602118051546,False,False
2,task_init,0.05,recovery_confirm2,73,32,0.179237044814743,False,False
2,task_init,0.05,recovery_confirm3,79,32,0.1911285813429988,False,False
2,task_init,0.05,reference_confirm3,83,33,0.21443748372252544,False,False
2,task_init,0.05,recent4_confirm2,81,27,0.19659541984805942,True,False
3,episode,0.005,v82_reference,50,9,0.14306644611144645,True,False
3,episode,0.005,recent4,50,9,0.14306644611144645,True,False
3,episode,0.005,absolute_gate,55,4,0.1616455488700714,True,True
3,episode,0.005,recovery,55,4,0.1616455488700714,True,False
3,episode,0.005,recovery_fixed,51,4,0.1444396780610193,True,False
3,episode,0.005,recovery_confirm2,53,3,0.13685183129761827,True,False
3,episode,0.005,recovery_confirm3,48,2,0.10918118478811012,False,False
3,episode,0.005,reference_confirm3,51,12,0.12753869303103177,False,False
3,episode,0.005,recent4_confirm2,50,11,0.13203478353394754,False,False
3,episode,0.01,v82_reference,55,18,0.15353864050382074,True,False
3,episode,0.01,recent4,55,18,0.15353864050382074,True,False
3,episode,0.01,absolute_gate,62,7,0.19332852224993954,True,True
3,episode,0.01,recovery,62,7,0.19332852224993954,True,False
3,episode,0.01,recovery_fixed,60,13,0.19331348629162573,True,False
3,episode,0.01,recovery_confirm2,60,7,0.17432230780975622,True,False
3,episode,0.01,recovery_confirm3,58,7,0.1526324501086175,True,False
3,episode,0.01,reference_confirm3,57,16,0.13940174600366176,True,False
3,episode,0.01,recent4_confirm2,58,17,0.15357197384421623,True,False
3,episode,0.02,v82_reference,64,32,0.18921978300013959,True,False
3,episode,0.02,recent4,64,32,0.18921978300013959,True,False
3,episode,0.02,absolute_gate,63,23,0.2079900278545744,False,False
3,episode,0.02,recovery,63,23,0.2079900278545744,False,False
3,episode,0.02,recovery_fixed,63,30,0.2100016824241027,False,False
3,episode,0.02,recovery_confirm2,64,22,0.20302075646524828,True,True
3,episode,0.02,recovery_confirm3,65,32,0.19744237000637796,True,False
3,episode,0.02,reference_confirm3,62,35,0.17042918432488877,False,False
3,episode,0.02,recent4_confirm2,63,43,0.18039830205839,False,False
3,episode,0.05,v82_reference,71,131,0.2509960851833445,True,True
3,episode,0.05,recent4,71,131,0.2509960851833445,True,False
3,episode,0.05,absolute_gate,70,137,0.2538079137271414,False,False
3,episode,0.05,recovery,70,137,0.2538079137271414,False,False
3,episode,0.05,recovery_fixed,68,131,0.25399935172883076,False,False
3,episode,0.05,recovery_confirm2,74,132,0.26462125722750507,False,False
3,episode,0.05,recovery_confirm3,73,120,0.24709251696993126,True,False
3,episode,0.05,reference_confirm3,69,130,0.212826377923265,False,False
3,episode,0.05,recent4_confirm2,69,134,0.22777130311186955,False,False
3,task_init,0.005,v82_reference,21,1,0.04566033790790153,True,True
3,task_init,0.005,recent4,21,1,0.04566033790790153,True,False
3,task_init,0.005,absolute_gate,19,0,0.05165731904312447,False,False
3,task_init,0.005,recovery,19,0,0.05165731904312447,False,False
3,task_init,0.005,recovery_fixed,15,0,0.037442102010363375,False,False
3,task_init,0.005,recovery_confirm2,15,0,0.03824168147731912,False,False
3,task_init,0.005,recovery_confirm3,11,0,0.0255169108706075,False,False
3,task_init,0.005,reference_confirm3,18,0,0.03415874769168944,False,False
3,task_init,0.005,recent4_confirm2,20,0,0.04075478618889682,False,False
3,task_init,0.01,v82_reference,31,3,0.06899769109964168,True,False
3,task_init,0.01,recent4,31,3,0.06899769109964168,True,False
3,task_init,0.01,absolute_gate,29,0,0.06945238720295374,False,False
3,task_init,0.01,recovery,29,0,0.06945238720295374,False,False
3,task_init,0.01,recovery_fixed,32,2,0.0781045170780041,True,True
3,task_init,0.01,recovery_confirm2,32,0,0.07261074773587994,True,False
3,task_init,0.01,recovery_confirm3,35,0,0.07651635123287484,True,False
3,task_init,0.01,reference_confirm3,29,2,0.05632260337164487,False,False
3,task_init,0.01,recent4_confirm2,29,3,0.060073923639727446,False,False
3,task_init,0.02,v82_reference,39,3,0.09289128549235125,True,False
3,task_init,0.02,recent4,39,3,0.09289128549235125,True,False
3,task_init,0.02,absolute_gate,39,3,0.09797674031304555,True,False
3,task_init,0.02,recovery,39,3,0.09797674031304555,True,False
3,task_init,0.02,recovery_fixed,43,3,0.10950151799064942,True,True
3,task_init,0.02,recovery_confirm2,38,1,0.08736651759821337,False,False
3,task_init,0.02,recovery_confirm3,39,1,0.08200914824401703,True,False
3,task_init,0.02,reference_confirm3,33,3,0.06372452712100342,False,False
3,task_init,0.02,recent4_confirm2,33,3,0.06658570790161464,False,False
3,task_init,0.05,v82_reference,53,17,0.1503568949428809,True,False
3,task_init,0.05,recent4,53,17,0.1503568949428809,True,False
3,task_init,0.05,absolute_gate,59,5,0.17177331485866207,True,False
3,task_init,0.05,recovery,59,5,0.17177331485866207,True,False
3,task_init,0.05,recovery_fixed,58,8,0.1793603852996085,True,True
3,task_init,0.05,recovery_confirm2,56,5,0.15592606508519277,True,False
3,task_init,0.05,recovery_confirm3,55,3,0.13832225807736234,True,False
3,task_init,0.05,reference_confirm3,57,16,0.13940174600366176,True,False
3,task_init,0.05,recent4_confirm2,58,17,0.15343195974711663,True,False
4,episode,0.005,v82_reference,95,19,0.2575856756184495,True,True
4,episode,0.005,recent4,95,19,0.2575856756184495,True,False
4,episode,0.005,absolute_gate,70,20,0.16632667225441986,False,False
4,episode,0.005,recovery,70,20,0.16632667225441986,False,False
4,episode,0.005,recovery_fixed,71,23,0.1834219490440141,False,False
4,episode,0.005,recovery_confirm2,70,23,0.16649957455301423,False,False
4,episode,0.005,recovery_confirm3,76,25,0.17825403847862584,False,False
4,episode,0.005,reference_confirm3,93,26,0.2295487724880868,False,False
4,episode,0.005,recent4_confirm2,97,22,0.25371331404348607,False,False
4,episode,0.01,v82_reference,106,38,0.2989659637127247,True,True
4,episode,0.01,recent4,106,38,0.2989659637127247,True,False
4,episode,0.01,absolute_gate,75,45,0.2018465975555166,False,False
4,episode,0.01,recovery,75,45,0.2018465975555166,False,False
4,episode,0.01,recovery_fixed,78,73,0.21495326669592382,False,False
4,episode,0.01,recovery_confirm2,79,56,0.21044851784535762,False,False
4,episode,0.01,recovery_confirm3,79,68,0.20548854481292625,False,False
4,episode,0.01,reference_confirm3,101,37,0.255379691882938,False,False
4,episode,0.01,recent4_confirm2,102,48,0.27373440495814516,False,False
4,episode,0.02,v82_reference,106,88,0.30729876677613027,True,True
4,episode,0.02,recent4,106,88,0.30729876677613027,True,False
4,episode,0.02,absolute_gate,84,103,0.24012743748205398,False,False
4,episode,0.02,recovery,84,103,0.24012743748205398,False,False
4,episode,0.02,recovery_fixed,94,102,0.26560150933481086,False,False
4,episode,0.02,recovery_confirm2,89,119,0.2567107201848956,False,False
4,episode,0.02,recovery_confirm3,88,132,0.24682506479414,False,False
4,episode,0.02,reference_confirm3,109,84,0.2837909489750531,True,False
4,episode,0.02,recent4_confirm2,108,85,0.28968469571393435,True,False
4,episode,0.05,v82_reference,116,176,0.3502114651399003,True,True
4,episode,0.05,recent4,116,176,0.3502114651399003,True,False
4,episode,0.05,absolute_gate,101,216,0.3258040222606727,False,False
4,episode,0.05,recovery,101,216,0.3258040222606727,False,False
4,episode,0.05,recovery_fixed,105,202,0.3368485696103229,False,False
4,episode,0.05,recovery_confirm2,101,206,0.31804831335954575,False,False
4,episode,0.05,recovery_confirm3,102,216,0.3086521987085961,False,False
4,episode,0.05,reference_confirm3,117,211,0.3483575745337092,False,False
4,episode,0.05,recent4_confirm2,117,171,0.34496716893001167,True,False
4,task_init,0.005,v82_reference,57,1,0.1325495754195383,True,False
4,task_init,0.005,recent4,57,1,0.1325495754195383,True,False
4,task_init,0.005,absolute_gate,28,1,0.04605389204907694,False,False
4,task_init,0.005,recovery,28,1,0.04605389204907694,False,False
4,task_init,0.005,recovery_fixed,27,0,0.042979729518587244,False,False
4,task_init,0.005,recovery_confirm2,33,3,0.05884856276201163,False,False
4,task_init,0.005,recovery_confirm3,32,3,0.051686057280682145,False,False
4,task_init,0.005,reference_confirm3,49,1,0.09950678562267175,False,False
4,task_init,0.005,recent4_confirm2,63,1,0.142898225871884,True,True
4,task_init,0.01,v82_reference,83,3,0.2194936425988401,True,True
4,task_init,0.01,recent4,83,3,0.2194936425988401,True,False
4,task_init,0.01,absolute_gate,56,12,0.12164942369980734,False,False
4,task_init,0.01,recovery,56,12,0.12164942369980734,False,False
4,task_init,0.01,recovery_fixed,66,16,0.16953467988934748,False,False
4,task_init,0.01,recovery_confirm2,60,11,0.12827319397515138,False,False
4,task_init,0.01,recovery_confirm3,60,9,0.12006988467148307,False,False
4,task_init,0.01,reference_confirm3,88,14,0.2081191744837947,False,False
4,task_init,0.01,recent4_confirm2,79,4,0.19908960258673922,False,False
4,task_init,0.02,v82_reference,91,11,0.2425568754853686,True,True
4,task_init,0.02,recent4,91,11,0.2425568754853686,True,False
4,task_init,0.02,absolute_gate,72,24,0.18364953549725138,False,False
4,task_init,0.02,recovery,72,24,0.18364953549725138,False,False
4,task_init,0.02,recovery_fixed,71,23,0.18306289580907611,False,False
4,task_init,0.02,recovery_confirm2,70,21,0.1662286340347064,False,False
4,task_init,0.02,recovery_confirm3,76,30,0.17965450697466573,False,False
4,task_init,0.02,reference_confirm3,93,23,0.22842460808527495,False,False
4,task_init,0.02,recent4_confirm2,90,15,0.22718057427263746,False,False
4,task_init,0.05,v82_reference,106,69,0.30516420815685674,True,True
4,task_init,0.05,recent4,106,69,0.30516420815685674,True,False
4,task_init,0.05,absolute_gate,78,58,0.2135641231894581,False,False
4,task_init,0.05,recovery,78,58,0.2135641231894581,False,False
4,task_init,0.05,recovery_fixed,80,80,0.22098905290753434,False,False
4,task_init,0.05,recovery_confirm2,81,64,0.21278391410289943,False,False
4,task_init,0.05,recovery_confirm3,79,69,0.2060517314241987,False,False
4,task_init,0.05,reference_confirm3,108,72,0.275774574322931,False,False
4,task_init,0.05,recent4_confirm2,108,82,0.2884348562691348,False,False
deploy,episode,0.005,v82_reference,83,17,0.23526542313950996,True,True
deploy,episode,0.005,recent4,83,17,0.23526542313950996,True,False
deploy,episode,0.005,absolute_gate,63,12,0.17920740984779668,False,False
deploy,episode,0.005,recovery,63,12,0.17920740984779668,False,False
deploy,episode,0.005,recovery_fixed,68,17,0.18654905281917436,False,False
deploy,episode,0.005,recovery_confirm2,68,17,0.17621776619635274,False,False
deploy,episode,0.005,recovery_confirm3,70,19,0.17053737407959482,False,False
deploy,episode,0.005,reference_confirm3,79,14,0.20262267321029112,False,False
deploy,episode,0.005,recent4_confirm2,80,15,0.21434095420541693,False,False
deploy,episode,0.01,v82_reference,94,35,0.2786181334265668,True,True
deploy,episode,0.01,recent4,94,35,0.2786181334265668,True,False
deploy,episode,0.01,absolute_gate,81,44,0.23101263436963523,False,False
deploy,episode,0.01,recovery,81,44,0.23101263436963523,False,False
deploy,episode,0.01,recovery_fixed,80,37,0.2333817334231343,False,False
deploy,episode,0.01,recovery_confirm2,82,42,0.2316324329686726,False,False
deploy,episode,0.01,recovery_confirm3,85,46,0.23355190361199643,False,False
deploy,episode,0.01,reference_confirm3,95,39,0.2517448977968329,False,False
deploy,episode,0.01,recent4_confirm2,92,36,0.25523355342296267,False,False
deploy,episode,0.02,v82_reference,96,63,0.29540938047196774,True,True
deploy,episode,0.02,recent4,96,63,0.29540938047196774,True,False
deploy,episode,0.02,absolute_gate,90,68,0.28662107794030756,False,False
deploy,episode,0.02,recovery,90,68,0.28662107794030756,False,False
deploy,episode,0.02,recovery_fixed,87,57,0.27125088014255555,False,False
deploy,episode,0.02,recovery_confirm2,87,65,0.26880187558589064,False,False
deploy,episode,0.02,recovery_confirm3,97,60,0.2908173441248834,True,False
deploy,episode,0.02,reference_confirm3,95,66,0.26213757887858746,False,False
deploy,episode,0.02,recent4_confirm2,96,63,0.2730714279173733,True,False
deploy,episode,0.05,v82_reference,99,147,0.339502375357094,True,False
deploy,episode,0.05,recent4,99,147,0.339502375357094,True,False
deploy,episode,0.05,absolute_gate,99,134,0.37357974766068663,True,True
deploy,episode,0.05,recovery,99,134,0.37357974766068663,True,False
deploy,episode,0.05,recovery_fixed,99,145,0.3732190501406111,True,False
deploy,episode,0.05,recovery_confirm2,100,134,0.3581725718407801,True,False
deploy,episode,0.05,recovery_confirm3,101,121,0.35069210142072704,True,False
deploy,episode,0.05,reference_confirm3,101,145,0.3197404911743856,True,False
deploy,episode,0.05,recent4_confirm2,100,151,0.3358553054173888,False,False
deploy,task_init,0.005,v82_reference,33,1,0.06338461695939462,True,True
deploy,task_init,0.005,recent4,33,1,0.06338461695939462,True,False
deploy,task_init,0.005,absolute_gate,24,1,0.0709138553459211,False,False
deploy,task_init,0.005,recovery,24,1,0.0709138553459211,False,False
deploy,task_init,0.005,recovery_fixed,31,2,0.08960487103112004,False,False
deploy,task_init,0.005,recovery_confirm2,29,2,0.0778977243475778,False,False
deploy,task_init,0.005,recovery_confirm3,30,2,0.07503443164774062,False,False
deploy,task_init,0.005,reference_confirm3,32,2,0.05852886913663707,False,False
deploy,task_init,0.005,recent4_confirm2,34,2,0.06908418362885255,False,False
deploy,task_init,0.01,v82_reference,62,9,0.15061475033787883,True,True
deploy,task_init,0.01,recent4,62,9,0.15061475033787883,True,False
deploy,task_init,0.01,absolute_gate,42,5,0.12017299676014273,False,False
deploy,task_init,0.01,recovery,42,5,0.12017299676014273,False,False
deploy,task_init,0.01,recovery_fixed,38,3,0.11046659434669981,False,False
deploy,task_init,0.01,recovery_confirm2,38,3,0.10220106523241242,False,False
deploy,task_init,0.01,recovery_confirm3,33,2,0.08082043724155873,False,False
