method,calibration,alpha,scope,gained_tp,lost_tp,added_fp,removed_fp,shared_tp,earlier,later,median_delta_q,recall_delta_lo,recall_delta_hi,fpr_delta_lo,fpr_delta_hi
recovery_confirm2,episode,0.005,libero_long,15,19,35,25,182,16,155,2.0,-0.0643604279782817,0.07408033033033029,-0.0010412196059937,0.00699709382117078
recovery_confirm2,episode,0.005,libero_object,14,7,0,13,13,4,9,1.0,-0.1786525974025974,0.40543976179569385,-0.007310448371110095,-0.0005092719714867507
recovery_confirm2,episode,0.005,libero_spatial,30,57,3,1,31,21,8,-2.0,-0.4197622178391409,0.07409722222222209,-0.0005185511816449219,0.0018339129838980308
recovery_confirm3,episode,0.005,all,67,97,48,39,295,58,223,2.0,-0.15960067460965127,0.050421683096315444,-0.0010177615678611993,0.0021688376857312125
recovery_confirm3,episode,0.005,libero_goal,9,14,14,0,69,21,43,2.0,-0.22403186813186812,0.30952380952380953,0.0007617983567633343,0.007088474665266474
recovery_confirm3,episode,0.005,libero_long,14,20,31,25,181,15,164,2.0,-0.10067729819592389,0.047374686716791944,-0.002081178991330644,0.005567890597384232
recovery_confirm3,episode,0.005,libero_object,14,5,0,13,15,3,11,3.0,-0.1251008064516129,0.45454545454545453,-0.007310448371110095,-0.0005092719714867507
recovery_confirm3,episode,0.005,libero_spatial,30,58,3,1,30,19,5,-1.0,-0.4318215438407746,0.07407407407407407,-0.0005192175425820286,0.0018210316174143131
reference_confirm3,episode,0.005,all,22,30,9,7,362,20,324,1.0,-0.05498946828600482,0.02200759327898691,-0.00038755058484445825,0.0007709036208936895
reference_confirm3,episode,0.005,libero_goal,3,9,2,1,74,5,65,1.0,-0.12917025862068968,0.06384694577899784,0.0,0.0007767995857068876
reference_confirm3,episode,0.005,libero_long,7,2,2,4,199,10,180,1.0,0.0,0.04242746615087039,-0.001307993575247907,0.0
reference_confirm3,episode,0.005,libero_object,4,2,5,2,18,1,17,1.0,-0.048843026891807376,0.11764705882352941,-0.0010134279199391944,0.0030303221658361844
reference_confirm3,episode,0.005,libero_spatial,8,17,0,0,71,4,62,1.0,-0.1279144305307096,0.028329633740288417,0.0,0.0
recent4_confirm2,episode,0.005,all,10,21,5,7,371,12,253,1.0,-0.04700980392156863,0.003944838056680161,-0.0004591744747184241,0.00019436440428204164
recent4_confirm2,episode,0.005,libero_goal,3,6,2,1,77,4,56,1.0,-0.08001149425287356,0.06384694577899784,0.0,0.0007708119218910585
recent4_confirm2,episode,0.005,libero_long,2,1,1,4,200,6,129,1.0,-0.013893779342723003,0.0194222349133828,-0.0017192223521989433,0.0
recent4_confirm2,episode,0.005,libero_object,2,1,2,2,19,0,11,1.0,0.0,0.058823529411764705,-0.0010134279199391944,0.0010068022089689494
recent4_confirm2,episode,0.005,libero_spatial,3,13,0,0,75,2,57,1.0,-0.11875744047619047,-0.011904761904761904,0.0,0.0
selected,episode,0.005,all,7,36,9,10,356,10,41,0.0,-0.1298606383783375,-0.008601996487660598,-0.000794485390131848,0.0008474358906754504
selected,episode,0.005,libero_goal,0,1,7,0,82,3,3,0.0,-0.01653006712022282,0.0,0.0,0.004881808838643371
selected,episode,0.005,libero_long,2,8,2,7,193,2,34,0.0,-0.0547945205479452,0.0,-0.0033050799902246755,0.0002678111132904446
selected,episode,0.005,libero_object,2,2,0,3,18,1,2,0.0,-0.15,0.08333333333333333,-0.0015170670037926676,-0.0002512562814070352
selected,episode,0.005,libero_spatial,3,25,0,0,63,4,2,0.0,-0.32967464472700075,0.0,0.0,0.0
recent4,episode,0.01,all,0,0,0,0,435,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.01,libero_goal,0,0,0,0,94,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.01,libero_long,0,0,0,0,213,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.01,libero_object,0,0,0,0,23,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.01,libero_spatial,0,0,0,0,105,0,0,0.0,0.0,0.0,0.0,0.0
absolute_gate,episode,0.01,all,58,80,99,104,355,108,203,1.0,-0.13208240843507213,0.04290411227794672,-0.0057445274108765204,0.004951001842507349
absolute_gate,episode,0.01,libero_goal,5,5,37,2,89,42,38,0.0,-0.06557377049180328,0.14460021905805026,0.001778003556007112,0.019243165114141054
absolute_gate,episode,0.01,libero_long,15,15,55,33,198,20,147,1.0,-0.03897385509227614,0.05114903435766105,-0.004717635742642768,0.02010440125785643
absolute_gate,episode,0.01,libero_object,14,5,3,66,18,7,11,1.5,-0.1,0.5,-0.03254712962713744,-0.002031488065007618
absolute_gate,episode,0.01,libero_spatial,24,55,4,3,50,39,7,-2.0,-0.4358974358974359,0.029030100334447917,-0.0007882394724583962,0.0013010838114017357
recovery,episode,0.01,all,58,80,99,104,355,108,203,1.0,-0.13208240843507213,0.04290411227794672,-0.0057445274108765204,0.004951001842507349
recovery,episode,0.01,libero_goal,5,5,37,2,89,42,38,0.0,-0.06557377049180328,0.14460021905805026,0.001778003556007112,0.019243165114141054
recovery,episode,0.01,libero_long,15,15,55,33,198,20,147,1.0,-0.03897385509227614,0.05114903435766105,-0.004717635742642768,0.02010440125785643
recovery,episode,0.01,libero_object,14,5,3,66,18,7,11,1.5,-0.1,0.5,-0.03254712962713744,-0.002031488065007618
recovery,episode,0.01,libero_spatial,24,55,4,3,50,39,7,-2.0,-0.4358974358974359,0.029030100334447917,-0.0007882394724583962,0.0013010838114017357
recovery_fixed,episode,0.01,all,42,76,87,92,359,110,168,0.0,-0.15254352745577981,0.010533136296464666,-0.0052764487899538285,0.00422239056833252
recovery_fixed,episode,0.01,libero_goal,3,2,45,1,92,42,32,0.0,-0.01639344262295082,0.07230010952902513,0.0025575120685777646,0.02208605047989737
recovery_fixed,episode,0.01,libero_long,6,16,36,22,197,22,115,1.0,-0.12138998433363946,-0.0062106993827279215,-0.0007878878027225651,0.008547580789144794
recovery_fixed,episode,0.01,libero_object,12,2,2,66,21,7,14,2.0,-0.02943404634581105,0.5192708333333331,-0.032716145595854985,-0.0027747336180542945
recovery_fixed,episode,0.01,libero_spatial,21,56,4,3,49,39,7,-2.0,-0.4424791475943444,-0.023795681063123,-0.0007882394724583962,0.0013010838114017357
recovery_confirm2,episode,0.01,all,60,79,103,101,356,95,239,1.0,-0.1294966977237882,0.06151304682833074,-0.005022849875584038,0.004883457423565359
recovery_confirm2,episode,0.01,libero_goal,5,8,32,2,86,31,46,1.0,-0.11475409836065574,0.14460021905805026,0.0007684377033437585,0.017129091922570176
recovery_confirm2,episode,0.01,libero_long,13,14,63,31,199,20,173,2.0,-0.044446693657219975,0.057398933630431206,0.0,0.018530856442454266
recovery_confirm2,episode,0.01,libero_object,14,3,2,66,20,8,12,2.5,-0.022222222222222223,0.5814437984496121,-0.03276673650775621,-0.002782679091873776
recovery_confirm2,episode,0.01,libero_spatial,28,54,6,2,51,36,8,-2.0,-0.4329268292682927,0.1092723453017569,-0.0007670044058080868,0.0031348372052627865
recovery_confirm3,episode,0.01,all,67,81,98,96,354,85,245,2.0,-0.12441958390797853,0.07333585313174945,-0.004723627878095837,0.0043739534355343905
recovery_confirm3,episode,0.01,libero_goal,6,7,23,1,87,25,54,2.0,-0.09836065573770492,0.18075027382256284,0.0007590997124830285,0.01220880821646657
recovery_confirm3,episode,0.01,libero_long,18,17,67,27,196,22,171,2.0,-0.04895678092399404,0.08696209587513933,0.002859241101882339,0.018345819456260837
recovery_confirm3,episode,0.01,libero_object,15,3,1,66,20,7,12,3.0,-0.052667140825035555,0.6046664626682985,-0.032719961178752845,-0.0027890113129684824
recovery_confirm3,episode,0.01,libero_spatial,28,54,7,2,51,31,8,-1.0,-0.42941865808823526,0.11544117647058794,-0.0007670044058080868,0.0039124652177643755
reference_confirm3,episode,0.01,all,14,18,24,33,417,19,383,1.0,-0.038965008097037436,0.017945666322602936,-0.0015013594585821044,0.00032292186943814365
reference_confirm3,episode,0.01,libero_goal,0,5,3,2,89,4,83,1.0,-0.07759099616858238,0.0,-0.0005116430786053129,0.0010568031704095112
reference_confirm3,episode,0.01,libero_long,5,2,9,13,211,5,199,1.0,-0.02531645569620253,0.025211145064086237,-0.003911326052767476,0.0013294283434026406
reference_confirm3,episode,0.01,libero_object,5,0,12,17,23,5,17,1.0,0.03333333333333333,0.20693247126436762,-0.0032903270763049892,0.0012613521695257316
reference_confirm3,episode,0.01,libero_spatial,4,11,0,1,94,5,84,1.0,-0.10346206896551724,0.010878724963360965,-0.0007936560440529745,0.0
recent4_confirm2,episode,0.01,all,5,16,15,22,419,8,318,1.0,-0.03921820010055304,-0.002014938404876816,-0.0011669576101542328,0.00032712183656488235
recent4_confirm2,episode,0.01,libero_goal,0,4,2,2,90,0,67,1.0,-0.05434782608695652,0.0,-0.0007604610941006794,0.0007672634271099745
recent4_confirm2,episode,0.01,libero_long,1,3,1,9,210,1,167,1.0,-0.042765567765567766,0.013940962850272345,-0.003937257613731466,-0.0007698032067338688
recent4_confirm2,episode,0.01,libero_object,1,0,12,10,23,2,16,1.0,0.0,0.08108108108108109,-0.0015212981744421906,0.0030349013657056147
recent4_confirm2,episode,0.01,libero_spatial,3,9,0,1,96,5,68,1.0,-0.06976744186046512,0.0,-0.0007936560440529745,0.0
selected,episode,0.01,all,5,32,14,17,403,16,46,0.0,-0.12397335865715313,-0.008473682328541806,-0.001436518932431354,0.0011245722401138235
selected,episode,0.01,libero_goal,0,0,10,0,94,3,5,0.0,0.0,0.0,0.0,0.006680369989722507
selected,episode,0.01,libero_long,2,6,4,9,207,3,36,0.0,-0.037037037037037035,0.01117634062430955,-0.004512910435837285,0.001102985003457072
selected,episode,0.01,libero_object,1,1,0,7,22,2,4,0.0,-0.07897368421052631,0.06060606060606061,-0.0042994707924332454,-0.0002518241515843846
selected,episode,0.01,libero_spatial,2,25,0,1,80,8,1,0.0,-0.3248015873015873,-0.022218137254901984,-0.0007936560440529745,0.0
recent4,episode,0.02,all,0,0,0,0,460,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.02,libero_goal,0,0,0,0,95,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.02,libero_long,0,0,0,0,224,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.02,libero_object,0,0,0,0,26,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.02,libero_spatial,0,0,0,0,115,0,0,0.0,0.0,0.0,0.0,0.0
absolute_gate,episode,0.02,all,60,63,211,214,397,148,192,0.0,-0.10420123305932015,0.09224764296260125,-0.011510697938781227,0.009739604439370254
absolute_gate,episode,0.02,libero_goal,7,1,82,6,94,46,35,0.0,0.0,0.18075027382256284,0.0038656566372103247,0.04075288366841623
absolute_gate,episode,0.02,libero_long,18,14,111,33,210,34,136,1.0,-0.045046239873826076,0.13568449041323116,0.007630999973303789,0.03768893039539144
absolute_gate,episode,0.02,libero_object,14,2,5,174,24,11,11,0.0,0.03571428571428571,0.5926426426426423,-0.08067179228636248,-0.010089058014566589
absolute_gate,episode,0.02,libero_spatial,21,46,13,1,69,57,10,-2.0,-0.4248922690196481,0.1104076479076478,0.000514386775250291,0.006461785172016127
recovery,episode,0.02,all,59,63,211,214,397,148,192,0.0,-0.10432242834925572,0.08901378168798685,-0.011510697938781227,0.009739604439370254
recovery,episode,0.02,libero_goal,7,1,82,6,94,46,35,0.0,0.0,0.18075027382256284,0.0038656566372103247,0.04075288366841623
recovery,episode,0.02,libero_long,17,14,111,33,210,34,136,1.0,-0.045046239873826076,0.12210442316461462,0.007630999973303789,0.03768893039539144
recovery,episode,0.02,libero_object,14,2,5,174,24,11,11,0.0,0.03571428571428571,0.5926426426426423,-0.08067179228636248,-0.010089058014566589
recovery,episode,0.02,libero_spatial,21,46,13,1,69,57,10,-2.0,-0.4248922690196481,0.1104076479076478,0.000514386775250291,0.006461785172016127
recovery_fixed,episode,0.02,all,46,64,170,210,396,145,165,0.0,-0.1328322684716599,0.05256809116355148,-0.014078122897843074,0.007786693966820711
recovery_fixed,episode,0.02,libero_goal,5,0,90,4,95,45,28,0.0,0.0,0.14460021905805026,0.0036079461947296364,0.04553967904790881
recovery_fixed,episode,0.02,libero_long,10,14,61,28,210,38,112,1.0,-0.08165369240479696,0.03922213622291018,0.0020789615894783384,0.016806782542076657
recovery_fixed,episode,0.02,libero_object,12,2,4,174,24,10,14,1.0,0.0,0.5161568409343713,-0.08091756995210486,-0.01034118486726492
recovery_fixed,episode,0.02,libero_spatial,19,48,15,4,67,52,11,-2.0,-0.4395883777239709,0.07249040920716099,0.0002576572618519854,0.005980278092788211
recovery_confirm2,episode,0.02,all,59,60,217,219,400,135,221,1.0,-0.11167580192245383,0.09910052457520811,-0.01145319154686128,0.00947620773660632
recovery_confirm2,episode,0.02,libero_goal,7,1,63,8,94,41,38,0.0,0.0,0.18075027382256284,0.0010298661174047373,0.03162260238465526
recovery_confirm2,episode,0.02,libero_long,19,14,127,35,210,31,157,1.5,-0.04266538497174094,0.13070162531691404,0.010910812795776709,0.039791342135581255
recovery_confirm2,episode,0.02,libero_object,13,1,6,174,25,9,14,1.0,0.03571428571428571,0.5926426426426423,-0.0806667056903132,-0.009910051240787325
recovery_confirm2,episode,0.02,libero_spatial,20,44,21,2,71,54,12,-1.0,-0.4431871783876501,0.1429089026915111,0.0010305300981566378,0.0098172842298853
recovery_confirm3,episode,0.02,all,62,59,206,212,401,120,254,1.0,-0.10243702883048085,0.10394253737945673,-0.011633790746614124,0.009474256169201915
recovery_confirm3,episode,0.02,libero_goal,7,1,59,6,94,32,56,1.0,0.0,0.18075027382256284,0.00025246149962130775,0.03208858559190313
recovery_confirm3,episode,0.02,libero_long,21,14,127,31,210,35,170,2.0,-0.05407256571640134,0.13546154365588492,0.013076753801013603,0.03836647328257854
recovery_confirm3,episode,0.02,libero_object,13,1,2,173,25,8,15,2.0,0.03571428571428571,0.5926426426426423,-0.0812221160252242,-0.010376334166208274
recovery_confirm3,episode,0.02,libero_spatial,21,43,18,2,72,45,13,-1.0,-0.4206746031746032,0.14707800511508942,0.0010245901639344263,0.008792630066221812
reference_confirm3,episode,0.02,all,20,13,65,63,447,26,392,1.0,-0.017495276283953046,0.03786421236778465,-0.0020146256230605254,0.0022400106361424115
reference_confirm3,episode,0.02,libero_goal,2,2,7,9,93,4,80,1.0,0.0,0.0,-0.003787878787878788,0.002356637863315004
reference_confirm3,episode,0.02,libero_long,7,1,16,14,223,12,205,1.0,0.0,0.04411764705882353,-0.002111402909608046,0.0034122909025126364
reference_confirm3,episode,0.02,libero_object,5,0,41,38,26,5,19,1.0,0.0,0.2558139534883721,-0.006057738048993872,0.008068735653509029
reference_confirm3,episode,0.02,libero_spatial,6,10,1,2,105,5,88,1.0,-0.10843373493975904,0.06034627401064568,-0.0007936560440529745,0.0
recent4_confirm2,episode,0.02,all,5,9,37,48,451,13,342,1.0,-0.022831339962450455,0.008157283214242432,-0.0018164361642004202,0.000514172688162656
recent4_confirm2,episode,0.02,libero_goal,0,2,3,6,93,1,76,1.0,-0.03306013424044564,0.0,-0.0018144116122343183,0.0
recent4_confirm2,episode,0.02,libero_long,1,1,3,10,223,7,167,1.0,0.0,0.0,-0.003374545809350995,-0.0005221898038061083
recent4_confirm2,episode,0.02,libero_object,3,0,31,30,26,4,16,1.0,0.0,0.16335034013605396,-0.0037860144861028254,0.00504289614306727
recent4_confirm2,episode,0.02,libero_spatial,1,6,0,2,109,1,83,1.0,-0.06803107606679036,0.0075261395676691325,-0.0013141123312414673,0.0
selected,episode,0.02,all,19,41,57,90,419,45,105,0.0,-0.12,0.022729867164798658,-0.0070189994390195505,0.0020755778207896805
selected,episode,0.02,libero_goal,3,1,23,0,94,12,22,0.0,0.0,0.037037037037037035,0.00025246149962130775,0.015738228057590172
selected,episode,0.02,libero_long,5,11,30,16,213,9,71,0.0,-0.09774436090225563,0.033153775322283585,0.0002491057741440985,0.007638150964734808
selected,episode,0.02,libero_object,3,1,0,72,25,2,5,0.0,0.0,0.14285714285714285,-0.03454534252204688,-0.005082495322995632
selected,episode,0.02,libero_spatial,8,28,4,2,87,22,7,0.0,-0.32857632093933464,0.07060924369747888,-0.0005271550794169786,0.0018083182640144665
recent4,episode,0.05,all,0,0,0,0,499,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.05,libero_goal,0,0,0,0,100,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.05,libero_long,0,0,0,0,240,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.05,libero_object,0,0,0,0,34,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.05,libero_spatial,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0
absolute_gate,episode,0.05,all,44,43,524,544,456,215,164,0.0,-0.08102465826435916,0.0842508272415129,-0.026406870632574127,0.021519081046079386
absolute_gate,episode,0.05,libero_goal,6,1,208,4,99,63,29,-1.0,0.0,0.10910753880266066,0.011730434978587384,0.10320008872902821
absolute_gate,episode,0.05,libero_long,16,12,248,54,228,56,108,0.0,-0.014141652372784448,0.089657382847038,0.029764204695180752,0.07526005292069751
absolute_gate,episode,0.05,libero_object,7,0,9,485,34,19,13,-1.0,0.037020202020202016,0.3056089743589741,-0.20419697873772824,-0.042194426579099116
absolute_gate,episode,0.05,libero_spatial,15,30,59,1,95,77,14,-2.0,-0.3402175144443186,0.17461953853706422,0.004930617483317711,0.025981190521330817
recovery,episode,0.05,all,44,43,524,544,456,215,164,0.0,-0.08102465826435916,0.0842508272415129,-0.026406870632574127,0.021519081046079386
recovery,episode,0.05,libero_goal,6,1,208,4,99,63,29,-1.0,0.0,0.10910753880266066,0.011730434978587384,0.10320008872902821
recovery,episode,0.05,libero_long,16,12,248,54,228,56,108,0.0,-0.014141652372784448,0.089657382847038,0.029764204695180752,0.07526005292069751
recovery,episode,0.05,libero_object,7,0,9,485,34,19,13,-1.0,0.037020202020202016,0.3056089743589741,-0.20419697873772824,-0.042194426579099116
recovery,episode,0.05,libero_spatial,15,30,59,1,95,77,14,-2.0,-0.3402175144443186,0.17461953853706422,0.004930617483317711,0.025981190521330817
recovery_fixed,episode,0.05,all,37,44,546,537,455,215,136,0.0,-0.07884238921723818,0.057849570520803334,-0.02740758048778132,0.029712271880358458
recovery_fixed,episode,0.05,libero_goal,6,1,277,1,99,63,17,-1.0,0.0,0.10910753880266066,0.013515501170981119,0.15388637727013646
recovery_fixed,episode,0.05,libero_long,11,15,188,50,225,60,87,0.0,-0.0731796987087518,0.06369504808292743,0.017988050483351236,0.05696139180431896
recovery_fixed,episode,0.05,libero_object,6,0,10,485,34,18,13,-1.0,0.03636363636363636,0.25806451612903225,-0.20400133574964235,-0.04218809425893705
recovery_fixed,episode,0.05,libero_spatial,14,28,71,1,97,74,19,-2.0,-0.28929223524889486,0.127405041168246,0.005690257881172289,0.03265531906497969
recovery_confirm2,episode,0.05,all,41,34,542,545,465,198,211,0.0,-0.04829671958130927,0.08707115829304181,-0.02665794887503626,0.025090069325963256
recovery_confirm2,episode,0.05,libero_goal,6,1,193,5,99,49,34,0.0,0.0,0.10910753880266066,0.00457198011907451,0.10853114498558215
recovery_confirm2,episode,0.05,libero_long,14,12,268,54,228,50,151,1.0,-0.02545570458685213,0.089657382847038,0.03269660159419598,0.08320614259962052
recovery_confirm2,episode,0.05,libero_object,7,0,8,485,34,16,14,0.0,0.037020202020202016,0.3056089743589741,-0.2047514427772014,-0.04295364066220739
recovery_confirm2,episode,0.05,libero_spatial,14,21,73,1,104,83,12,-2.0,-0.23216750657318141,0.1826353149955633,0.005832276359306125,0.032268753802917764
recovery_confirm3,episode,0.05,all,44,35,552,542,464,179,245,1.0,-0.05353790429548005,0.09135699775256621,-0.026923504089720763,0.028420001479580053
recovery_confirm3,episode,0.05,libero_goal,5,1,198,4,99,43,45,0.0,0.0,0.1084501642935377,0.003041825095057034,0.12178887902641082
recovery_confirm3,episode,0.05,libero_long,17,13,276,52,227,54,168,2.0,-0.024715099715099713,0.08544501533886652,0.03459639422938193,0.08631587519286817
recovery_confirm3,episode,0.05,libero_object,7,0,12,485,34,15,16,0.0,0.037020202020202016,0.3056089743589741,-0.20418568846305282,-0.04041329543856615
recovery_confirm3,episode,0.05,libero_spatial,15,21,66,1,104,67,16,-1.5,-0.2439117482777881,0.21770708283313314,0.005449875418391745,0.029306973547995573
reference_confirm3,episode,0.05,all,25,7,135,116,492,35,411,1.0,0.003897508704323429,0.06207279693486588,-0.0038637502606066894,0.005170199289818846
reference_confirm3,episode,0.05,libero_goal,3,2,20,15,98,5,87,1.5,-0.01639344262295082,0.07230010952902513,-0.0005238378992385119,0.004056846587897742
reference_confirm3,episode,0.05,libero_long,10,0,38,22,240,14,205,1.0,0.0,0.06956659328563565,0.0,0.0094953421433028
reference_confirm3,episode,0.05,libero_object,5,0,72,77,34,6,21,1.0,0.02857142857142857,0.22502016129032248,-0.020222446916076844,0.012119541692237801
reference_confirm3,episode,0.05,libero_spatial,7,5,5,2,120,10,98,1.0,-0.05064097395791341,0.11236306179775278,-0.0005250790935684311,0.002577386081942272
recent4_confirm2,episode,0.05,all,12,9,99,65,490,14,348,1.0,-0.009729533836881056,0.027364973424009474,0.0005903812972674742,0.004233170745525012
recent4_confirm2,episode,0.05,libero_goal,2,2,13,18,98,2,75,1.0,-0.01639344262295082,0.036150054764512565,-0.0033401849948612537,0.0
recent4_confirm2,episode,0.05,libero_long,3,4,17,17,236,6,178,1.0,-0.02531645569620253,0.025807842046718567,-0.001402593527258565,0.001270987183750603
recent4_confirm2,episode,0.05,libero_object,2,0,67,29,34,2,19,1.0,0.0,0.10869565217391304,0.003556910569105691,0.01715893473860679
recent4_confirm2,episode,0.05,libero_spatial,5,3,2,1,122,4,76,1.0,-0.027273969200198707,0.06944746376811593,0.0,0.0007764025401041574
selected,episode,0.05,all,34,17,319,326,482,133,86,0.0,-0.00913399464651236,0.0763480366088427,-0.01604175685646638,0.013961954762351137
selected,episode,0.05,libero_goal,5,1,144,4,99,45,20,0.0,0.0,0.1084501642935377,0.009390565388302356,0.06905864847393516
selected,episode,0.05,libero_long,15,5,129,32,235,38,53,0.0,0.011494252873563218,0.089657382847038,0.01509163005111728,0.03752526706112286
selected,episode,0.05,libero_object,3,0,5,290,34,10,3,0.0,0.0,0.21428571428571427,-0.12484521498998316,-0.0250818647715137
selected,episode,0.05,libero_spatial,11,11,41,0,114,40,10,0.0,-0.13,0.14657382847038006,0.00334892489625095,0.020692139817780335
recent4,task_init,0.005,all,0,0,0,0,164,0,0,0.0,0.0,0.0,0.0,0.0
recent4,task_init,0.005,libero_goal,0,0,0,0,28,0,0,0.0,0.0,0.0,0.0,0.0
recent4,task_init,0.005,libero_long,0,0,0,0,114,0,0,0.0,0.0,0.0,0.0,0.0
recent4,task_init,0.005,libero_object,0,0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0
recent4,task_init,0.005,libero_spatial,0,0,0,0,15,0,0,0.0,0.0,0.0,0.0,0.0
absolute_gate,task_init,0.005,all,50,56,6,9,108,14,80,1.5,-0.07277095450976621,0.07142857142857142,-0.0007811154733103298,0.0003209036647198511
absolute_gate,task_init,0.005,libero_goal,21,3,4,0,25,3,20,2.0,0.00619326325848065,0.6222916666666662,0.00025226884329711415,0.002297779630661024
absolute_gate,task_init,0.005,libero_long,13,31,2,6,83,11,60,1.0,-0.1509467897380209,0.026333570412517684,-0.0031737559817501945,0.0005098204189900678
absolute_gate,task_init,0.005,libero_object,2,7,0,1,0,0,0,,-0.28125,0.02002083333333322,-0.0007600709399543957,0.0
absolute_gate,task_init,0.005,libero_spatial,14,15,0,2,0,0,0,,-0.1951546167247387,0.15315496948561463,-0.0012976901116013497,0.0
recovery,task_init,0.005,all,50,56,6,9,108,14,80,1.5,-0.07277095450976621,0.07142857142857142,-0.0007811154733103298,0.0003209036647198511
recovery,task_init,0.005,libero_goal,21,3,4,0,25,3,20,2.0,0.00619326325848065,0.6222916666666662,0.00025226884329711415,0.002297779630661024
recovery,task_init,0.005,libero_long,13,31,2,6,83,11,60,1.0,-0.1509467897380209,0.026333570412517684,-0.0031737559817501945,0.0005098204189900678
recovery,task_init,0.005,libero_object,2,7,0,1,0,0,0,,-0.28125,0.02002083333333322,-0.0007600709399543957,0.0
recovery,task_init,0.005,libero_spatial,14,15,0,2,0,0,0,,-0.1951546167247387,0.15315496948561463,-0.0012976901116013497,0.0
recovery_fixed,task_init,0.005,all,35,48,3,8,116,16,80,1.0,-0.07599492555767348,0.0297163355644419,-0.0007772826658152661,6.485421456306848e-05
