quantity,family,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_fp,dev_lift,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,median_alarm_chunk
mobility_step_range,derived_step_summary,per_task,True,L2,high,0.85,154.0,29.0,32.0,21.0,1.3672428747977425,165,41,0.2925531914893617,0.0027267890396382014,0.8009708737864077,26,29,0.4727272727272727,0.15757575757575756,0.6105358804857879,1.3119144990284528,21.0
mobility_step_range,derived_step_summary,global,True,all_median,low,0.975,190.0,15.0,19.0,5.0,1.5671396344712194,226,20,0.40070921985815605,0.0013301409949454642,0.9186991869918699,42,7,0.8571428571428571,0.18584070796460178,0.5650198252602169,1.6259592069513098,33.0
token_differentiation_s0,exploratory_within_query,per_task,True,L12,low,0.7,39.0,17.0,29.0,17.0,2.812908060656694,37,8,0.06560283687943262,0.0005320563979781857,0.8222222222222222,26,8,0.7647058823529411,0.7027027027027027,0.28749252110847257,2.8599777797767234,14.0
token_differentiation_s0,exploratory_within_query,global,True,L5,high,0.98,16.0,2.0,6.0,2.0,1.5003102150860375,16,52,0.028368794326241134,0.003458366586858207,0.23529411764705882,8,51,0.13559322033898305,0.5,0.1619229792504433,1.453123693352589,8.0
token_differentiation_s3,exploratory_within_query,per_task,True,L14,low,0.8,65.0,9.0,25.0,8.0,1.5688474251498883,74,5,0.13120567375886524,0.00033253524873636604,0.9367088607594937,32,5,0.8648648648648649,0.43243243243243246,0.5419575103479509,1.7283806255551326,19.0
token_differentiation_s3,exploratory_within_query,global,True,front_median,high,0.99,10.0,4.0,7.0,4.0,2.867643469594094,1,4,0.0017730496453900709,0.00026602819898909286,0.2,1,4,0.2,1.0,0.036303565061342656,5.509100818667729,7.0
token_differentiation_s6,exploratory_within_query,per_task,True,L14,low,0.9,44.0,0.0,23.0,0.0,1.9210312179793667,43,1,0.07624113475177305,6.650704974727321e-05,0.9772727272727273,26,1,0.9629629629629629,0.6046511627906976,0.4044834632255603,2.416100573010944,15.0
token_differentiation_s6,exploratory_within_query,global,True,front_median,high,0.975,39.0,5.0,9.0,5.0,1.2803507991383245,30,6,0.05319148936170213,0.0003990422984836393,0.8333333333333334,2,5,0.2857142857142857,0.06666666666666667,0.7867932500099044,1.0591516047231506,17.0
token_differentiation_s9,exploratory_within_query,per_task,True,L2,high,0.95,111.0,33.0,33.0,20.0,1.429232361050093,101,33,0.17907801418439717,0.002194732641660016,0.753731343283582,35,21,0.625,0.3465346534653465,0.5047872512948999,1.4931663613731945,18.5
token_differentiation_s9,exploratory_within_query,global,True,L15,low,0.975,15.0,6.0,13.0,6.0,3.428669193249158,15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053,16.0
conditional_effective_rank_s0,exploratory_within_query,per_task,True,L13,low,0.9,61.0,11.0,22.0,9.0,1.4776829115202395,60,10,0.10638297872340426,0.0006650704974727321,0.8571428571428571,25,8,0.7575757575757576,0.4166666666666667,0.5350621719018971,1.6019500203053283,17.5
conditional_effective_rank_s0,exploratory_within_query,global,True,back_median,low,0.95,20.0,7.0,11.0,6.0,1.6811942565650697,19,6,0.03368794326241135,0.0003990422984836393,0.76,11,6,0.6470588235294118,0.5789473684210527,0.4253750904459575,1.7866584505529608,16.0
conditional_effective_rank_s3,exploratory_within_query,per_task,True,L13,low,0.85,78.0,15.0,23.0,14.0,1.381940196856302,86,13,0.1524822695035461,0.0008645916467145518,0.8686868686868687,26,11,0.7027027027027027,0.3023255813953488,0.6329066052937126,1.372535633885094,24.0
conditional_effective_rank_s3,exploratory_within_query,global,True,L12,low,0.95,35.0,16.0,16.0,9.0,1.5338706969968405,35,11,0.06205673758865248,0.0007315775472200053,0.7608695652173914,18,9,0.6666666666666666,0.5142857142857142,0.4258513230194609,1.7867023632156722,16.0
conditional_effective_rank_s6,exploratory_within_query,per_task,True,L13,low,0.85,84.0,11.0,22.0,9.0,1.3256764399358298,88,6,0.15602836879432624,0.0003990422984836393,0.9361702127659575,25,4,0.8620689655172413,0.2840909090909091,0.6926530267808568,1.3515716766832886,25.0
conditional_effective_rank_s6,exploratory_within_query,global,True,L3,high,0.925,33.0,12.0,26.0,10.0,3.8464083555300617,67,127,0.11879432624113476,0.008446395317903697,0.34536082474226804,37,125,0.22839506172839505,0.5522388059701493,0.1877112966305157,1.8398510422207786,17.0
conditional_effective_rank_s9,exploratory_within_query,per_task,True,L13,low,0.9,118.0,20.0,26.0,16.0,1.2737293276309822,103,10,0.18262411347517732,0.0006650704974727321,0.911504424778761,25,7,0.78125,0.24271844660194175,0.6906157065227762,1.3198431720705444,21.0
conditional_effective_rank_s9,exploratory_within_query,global,True,L3,high,0.925,42.0,20.0,27.0,17.0,2.9898808562259394,88,158,0.15602836879432624,0.010508113860069168,0.35772357723577236,46,155,0.22885572139303484,0.5227272727272727,0.18227520306494632,1.962546584618601,17.0
load_entropy_s0,exploratory_within_query,per_task,True,L5,low,0.99,32.0,6.0,10.0,4.0,1.624165100779083,9,1,0.015957446808510637,6.650704974727321e-05,0.9,2,1,0.6666666666666666,0.2222222222222222,0.5550084755426445,1.6215968578138367,16.5
load_entropy_s0,exploratory_within_query,global,True,front_median,low,0.975,55.0,16.0,35.0,16.0,3.120664898726426,66,21,0.11702127659574468,0.0013966480446927375,0.7586206896551724,35,20,0.6363636363636364,0.5303030303030303,0.31041924142820126,2.4438584611084373,12.0
load_entropy_s3,exploratory_within_query,per_task,True,back_median,low,0.975,104.0,21.0,25.0,14.0,1.4608271778404687,100,16,0.1773049645390071,0.0010641127959563714,0.8620689655172413,16,8,0.6666666666666666,0.16,0.6797846291592338,1.2681501295247866,19.0
load_entropy_s3,exploratory_within_query,global,True,front_median,low,0.975,87.0,24.0,38.0,23.0,2.118502638817752,109,31,0.19326241134751773,0.0020617185421654693,0.7785714285714286,49,29,0.6282051282051282,0.44954128440366975,0.41610097939320295,1.8711117424112138,12.0
load_entropy_s6,exploratory_within_query,per_task,True,L15,low,0.975,111.0,29.0,36.0,22.0,1.5647177105891086,107,23,0.18971631205673758,0.0015296621441872838,0.823076923076923,22,17,0.5641025641025641,0.205607476635514,0.5943535750973293,1.3848270752676783,18.5
load_entropy_s6,exploratory_within_query,global,True,L2,low,0.975,45.0,8.0,15.0,8.0,1.8947247125050137,58,5,0.10283687943262411,0.00033253524873636604,0.9206349206349206,16,5,0.7619047619047619,0.27586206896551724,0.5099934607417037,1.8051896573262032,13.0
load_entropy_s9,exploratory_within_query,per_task,True,L3,low,0.85,322.0,45.0,58.0,32.0,1.453000774065528,370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162837667346665,1.5478620878761244,18.0
load_entropy_s9,exploratory_within_query,global,True,L3,low,0.925,214.0,15.0,12.0,8.0,1.2105769156948392,238,36,0.4219858156028369,0.0023942537909018356,0.8686131386861314,30,22,0.5769230769230769,0.12605042016806722,0.6722388905291479,1.292119737378492,17.0
flow_speed_s1,exploratory_within_query,per_task,True,L13,high,0.975,101.0,23.0,29.0,15.0,1.5519010217809899,81,18,0.14361702127659576,0.0011971268954509178,0.8181818181818182,13,5,0.7222222222222222,0.16049382716049382,0.6538454125573144,1.2513383170828603,19.0
flow_speed_s1,exploratory_within_query,global,True,L4,low,0.98,1.0,0.0,1.0,0.0,13.460784313725492,1,4,0.0017730496453900709,0.00026602819898909286,0.2,1,4,0.2,1.0,0.08152989107748417,2.4530880313568004,11.0
flow_speed_s3,exploratory_within_query,per_task,True,L15,high,0.975,105.0,22.0,31.0,16.0,1.523192583918443,101,20,0.17907801418439717,0.0013301409949454642,0.8347107438016529,15,8,0.6521739130434783,0.1485148514851485,0.7095798295546504,1.1763450834355562,21.0
flow_speed_s3,exploratory_within_query,global,True,L5,low,0.99,1.0,0.0,1.0,0.0,4.931372549019608,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,
flow_speed_s6,exploratory_within_query,per_task,True,all_median,high,0.975,104.0,21.0,28.0,12.0,1.5502528014007746,99,18,0.17553191489361702,0.0011971268954509178,0.8461538461538461,14,5,0.7368421052631579,0.1414141414141414,0.6772770395534007,1.2493467174257133,20.0
flow_speed_s6,exploratory_within_query,global,True,L14,high,0.99,61.0,3.0,5.0,3.0,1.0834543972359467,70,14,0.12411347517730496,0.000931098696461825,0.8333333333333334,5,11,0.3125,0.07142857142857142,0.7791755906640647,1.0695064672432972,18.0
flow_speed_s9,exploratory_within_query,per_task,True,front_median,high,0.9,253.0,56.0,64.0,40.0,1.3640806167476243,285,62,0.5053191489361702,0.004123437084330939,0.8213256484149856,74,44,0.6271186440677966,0.2596491228070175,0.5808880306814722,1.413913878465429,18.0
flow_speed_s9,exploratory_within_query,global,True,L12,low,0.925,6.0,0.0,6.0,0.0,5.086276239653339,5,0,0.008865248226950355,0.0,1.0,5,0,1.0,1.0,0.20734335260115605,4.822918060573621,15.0
mobility_s0_or_s9,combination,per_task,True,combined,combined,,,,,,,368,86,0.6524822695035462,0.005719606278265496,0.8105726872246696,86,69,0.5548387096774193,0.23369565217391305,0.5758616307563589,1.4075823842613584,21.0
mobility_s0_and_s9,combination,per_task,True,combined,combined,,,,,,,222,21,0.39361702127659576,0.0013966480446927375,0.9135802469135802,61,13,0.8243243243243243,0.2747747747747748,0.6331430896333565,1.4429285604974706,21.0
mobility_s0_or_s9,combination,global,True,combined,combined,,,,,,,200,27,0.3546099290780142,0.0017956903431763766,0.8810572687224669,36,14,0.72,0.18,0.5092338908262292,1.7301622782665866,33.0
mobility_s0_and_s9,combination,global,True,combined,combined,,,,,,,104,1,0.18439716312056736,6.650704974727321e-05,0.9904761904761905,22,1,0.9565217391304348,0.21153846153846154,0.7059352066305032,1.4030695468551977,37.0
