dataset,grouping,task,fold,method,budget,reference_size,calibration_size,calibration_alarms,threshold
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__knn5,0.05,256,128,6,1.0480275743510472
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__knn5,0.1,256,128,12,0.997107521316479
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__deviation,0.01,256,128,1,1.3025915776570802
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__deviation,0.03,256,128,3,1.291414530617558
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__deviation,0.05,256,128,6,1.2068771622982306
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__deviation,0.1,256,128,12,1.159730188327376
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__knn5,0.01,256,128,1,1.542194492422642
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__knn5,0.03,256,128,3,1.49003351070612
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__knn5,0.05,256,128,6,1.3617433352909332
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d9__knn5,0.1,256,128,12,1.2296114108220846
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__deviation,0.01,256,128,1,1.051591770997876
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__deviation,0.03,256,128,3,1.0049818822745524
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__deviation,0.05,256,128,6,1.0030228866849291
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__deviation,0.1,256,128,12,0.9749994587342391
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__knn5,0.01,256,128,1,1.253297509034215
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__knn5,0.03,256,128,3,1.238021880376683
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__knn5,0.05,256,128,6,1.2193637127526435
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_flowmean__knn5,0.1,256,128,12,1.1715268023669285
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,clock,0.01,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,clock,0.03,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,clock,0.05,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,clock,0.1,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,random,0.01,256,128,1,0.9699722515786551
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,random,0.03,256,128,3,0.9624667689726597
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,random,0.05,256,128,6,0.9482350580758405
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,random,0.1,256,128,12,0.930701995243584
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d0,0.01,256,128,1,-3.4613165508218158
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d0,0.03,256,128,3,-3.4615008148217727
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d0,0.05,256,128,6,-3.4615761390503104
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d0,0.1,256,128,12,-3.461728978808476
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d9,0.01,256,128,1,-3.4544256222751466
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d9,0.03,256,128,3,-3.4551897911207705
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d9,0.05,256,128,6,-3.455512554501408
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__d9,0.1,256,128,12,-3.456412193441069
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__flowmean,0.01,256,128,1,-3.4594095851229776
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__flowmean,0.03,256,128,3,-3.4595820768787022
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__flowmean,0.05,256,128,6,-3.4597616161169653
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_entropy_low__flowmean,0.1,256,128,12,-3.460148229137875
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d0,0.01,256,128,1,-0.0007507413538281367
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d0,0.03,256,128,3,-0.0008224417130037589
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d0,0.05,256,128,6,-0.0008315982678821169
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d0,0.1,256,128,12,-0.0008957015260735674
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d9,0.01,256,128,1,-0.0010948334161164411
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d9,0.03,256,128,3,-0.0011566151420001668
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d9,0.05,256,128,6,-0.0011871319524849708
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__d9,0.1,256,128,12,-0.0012290932097267205
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__flowmean,0.01,256,128,1,-0.0009594728309474372
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__flowmean,0.03,256,128,3,-0.0009981509881893304
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__flowmean,0.05,256,128,6,-0.0010283722872360566
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_margin_low__flowmean,0.1,256,128,12,-0.001100384783814505
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d0,0.01,256,128,1,-0.0016504420101682848
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d0,0.03,256,128,3,-0.0017391076450662402
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d0,0.05,256,128,6,-0.0017614764154547657
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d0,0.1,256,128,12,-0.001924253000080256
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d9,0.01,256,128,1,-0.0025078003388581127
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d9,0.03,256,128,3,-0.002547906735708705
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d9,0.05,256,128,6,-0.0026217883433274913
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__d9,0.1,256,128,12,-0.0027165803059656657
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__flowmean,0.01,256,128,1,-0.0021440239101054416
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__flowmean,0.03,256,128,3,-0.0022045368559879376
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__flowmean,0.05,256,128,6,-0.002286181246511321
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_token_collapse__flowmean,0.1,256,128,12,-0.0023904382848466523
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__deviation,0.01,256,128,1,1.1308807633252216
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__deviation,0.03,256,128,3,1.12484221195053
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__deviation,0.05,256,128,6,1.0813704116878646
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__deviation,0.1,256,128,12,1.0396772934005694
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__knn5,0.01,256,128,1,0.8670287116512079
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__knn5,0.03,256,128,3,0.8112947710217039
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__knn5,0.05,256,128,6,0.760224407850424
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_descriptor__knn5,0.1,256,128,12,0.6858559276077605
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__deviation,0.01,256,128,1,17.84839164843694
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__deviation,0.03,256,128,3,15.555992982203707
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__deviation,0.05,256,128,6,15.367639388713782
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__deviation,0.1,256,128,12,14.969429098479928
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__knn5,0.01,256,128,1,9.051212189294528
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__knn5,0.03,256,128,3,8.653497922500282
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__knn5,0.05,256,128,6,7.759362555363717
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,proprio__knn5,0.1,256,128,12,5.341996465604906
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__deviation,0.01,256,128,1,9.239016296331897
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__deviation,0.03,256,128,3,9.064592280196466
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__deviation,0.05,256,128,6,8.878641511717575
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__deviation,0.1,256,128,12,8.562863708209132
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__knn5,0.01,256,128,1,2.2421231406062447
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__knn5,0.03,256,128,3,1.8061121122306791
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__knn5,0.05,256,128,6,1.772481437965182
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,action__knn5,0.1,256,128,12,1.6496724423166165
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__deviation,0.01,256,128,1,0.998594279662808
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__deviation,0.03,256,128,3,0.9784785516792383
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__deviation,0.05,256,128,6,0.9717380877106585
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__deviation,0.1,256,128,12,0.9463082003451276
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__knn5,0.01,256,128,1,1.139598204038835
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__knn5,0.03,256,128,3,1.1278574898630231
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__knn5,0.05,256,128,6,1.0639983873747676
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d0__knn5,0.1,256,128,12,1.0478371791852086
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__deviation,0.01,256,128,1,1.1156914179516586
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__deviation,0.03,256,128,3,1.102499819703164
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__deviation,0.05,256,128,6,1.0957713478387354
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__deviation,0.1,256,128,12,1.0534485269922025
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__knn5,0.01,256,128,1,1.5366368231874463
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__knn5,0.03,256,128,3,1.4804862205776068
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__knn5,0.05,256,128,6,1.4400179568470666
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_d9__knn5,0.1,256,128,12,1.2740961938607
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__deviation,0.01,256,128,1,1.038971229348411
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__deviation,0.03,256,128,3,1.0245483321601674
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__deviation,0.05,256,128,6,1.0080392028942309
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__deviation,0.1,256,128,12,0.9843089042495905
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__knn5,0.01,256,128,1,1.3161691607812345
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__knn5,0.03,256,128,3,1.2904305606028523
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__knn5,0.05,256,128,6,1.2682474082009523
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_flowmean__knn5,0.1,256,128,12,1.2418496919509352
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,clock,0.01,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,clock,0.03,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,clock,0.05,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,clock,0.1,256,128,0,34.0
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,random,0.01,256,128,1,0.981190135147134
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,random,0.03,256,128,3,0.9768495963191797
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,random,0.05,256,128,6,0.9650978941051348
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,random,0.1,256,128,12,0.9332805100364866
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d0,0.01,256,128,1,-3.46140925185001
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d0,0.03,256,128,3,-3.4615849414338884
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d0,0.05,256,128,6,-3.4617024287658027
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d0,0.1,256,128,12,-3.4618974624425634
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d9,0.01,256,128,1,-3.455511424940815
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d9,0.03,256,128,3,-3.456286859994408
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d9,0.05,256,128,6,-3.457420338591691
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__d9,0.1,256,128,12,-3.45810798623078
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__flowmean,0.01,256,128,1,-3.4596024336891866
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__flowmean,0.03,256,128,3,-3.4600259922313725
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__flowmean,0.05,256,128,6,-3.4605012860985207
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_entropy_low__flowmean,0.1,256,128,12,-3.460789792947917
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d0,0.01,256,128,1,-0.0007850658868026637
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d0,0.03,256,128,3,-0.0008186313920203736
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d0,0.05,256,128,6,-0.0008468593017528856
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d0,0.1,256,128,12,-0.0009208713216984276
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d9,0.01,256,128,1,-0.0009163021706341095
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d9,0.03,256,128,3,-0.0010284505929387179
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d9,0.05,256,128,6,-0.0011398489728352151
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__d9,0.1,256,128,12,-0.0011909550891768177
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__flowmean,0.01,256,128,1,-0.0009670303485784069
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__flowmean,0.03,256,128,3,-0.000994338616803971
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__flowmean,0.05,256,128,6,-0.0010108979441162229
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_margin_low__flowmean,0.1,256,128,12,-0.0010656788670785435
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d0,0.01,256,128,1,-0.0015752764188400326
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d0,0.03,256,128,3,-0.0016748892075778565
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d0,0.05,256,128,6,-0.0017588561093503374
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d0,0.1,256,128,12,-0.0018472045670873127
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d9,0.01,256,128,1,-0.002470242592463312
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d9,0.03,256,128,3,-0.0025833564820776367
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d9,0.05,256,128,6,-0.0026092825285162213
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__d9,0.1,256,128,12,-0.002672296389751083
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__flowmean,0.01,256,128,1,-0.002096424369149541
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__flowmean,0.03,256,128,3,-0.002149238920330976
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__flowmean,0.05,256,128,6,-0.002185095091601552
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,route_token_collapse__flowmean,0.1,256,128,12,-0.0022179028671689637
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,hidden_descriptor__deviation,0.01,256,128,1,0.8787389842698058
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,hidden_descriptor__deviation,0.03,256,128,3,0.8610538346448987
