order,task,run_id,episode,query,reason,any_goal_release,any_goal_query_minus_release,failed_goal_release,failed_goal_query_minus_release,drop_goal_release,drop_goal_query_minus_release,pair_id,lead,qualified,static_onset
60,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,1,33,stable_grasp_not_observed,18,15,,,,,15,-4,True,37
62,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,1,35,stable_grasp_not_observed,18,17,,,,,15,-2,True,37
64,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,209,36,object_released_or_dropped_before_goal,22,14,22.0,14.0,22.0,14.0,16,-4,True,40
66,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,209,38,object_released_or_dropped_before_goal,22,16,22.0,16.0,22.0,16.0,16,-2,True,40
68,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,240,36,object_moved_but_goal_unmet,20,16,,,,,17,-4,True,40
70,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,240,38,object_moved_but_goal_unmet,20,18,,,,,17,-2,True,40
72,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,93,32,stable_grasp_not_observed,15,17,,,,,18,-4,True,36
74,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,93,34,stable_grasp_not_observed,15,19,,,,,18,-2,True,36
76,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,307,35,stable_grasp_not_observed,21,14,,,,,19,-4,True,39
78,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,307,37,stable_grasp_not_observed,21,16,,,,,19,-2,True,39
80,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,39,35,object_moved_but_goal_unmet,20,15,,,,,20,-4,True,39
82,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8b-20260903,39,37,object_moved_but_goal_unmet,20,17,,,,,20,-2,True,39
84,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,386,35,stable_grasp_not_observed,19,16,,,,,21,-4,True,39
86,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,386,37,stable_grasp_not_observed,19,18,,,,,21,-2,True,39
88,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,131,32,stable_grasp_not_observed,19,13,,,,,22,-4,True,36
90,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,131,34,stable_grasp_not_observed,19,15,,,,,22,-2,False,36
92,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,298,38,object_released_or_dropped_before_goal,16,22,16.0,22.0,16.0,22.0,23,-4,True,42
94,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,right-50x8-20260903,298,40,object_released_or_dropped_before_goal,16,24,16.0,24.0,16.0,24.0,23,-2,True,42
