record_index,candidate,outcome,relative_query,current_query,stored_layer,model_layer,route_replay_mean_h,route_replay_max_h,route_replay_state_h,route_replay_action_h,action_replay_rms
12,3,success,-3,26,3,5,0.0032237779814749956,0.008896907791495323,0.00886900257319212,0.002659255638718605,0.0032159911934286356
12,3,success,-3,26,4,12,0.003269666340202093,0.007611551322042942,0.007406746502965689,0.0028559579513967037,0.0032159911934286356
12,3,success,-3,26,5,13,0.0033790897578001022,0.007465275935828686,0.007202272303402424,0.0029967715963721275,0.0032159911934286356
12,3,success,-3,26,6,14,0.003574977396056056,0.008799228817224503,0.008627010509371758,0.0030697742477059364,0.0032159911934286356
12,3,success,-3,26,7,15,0.004025766626000404,0.00922580249607563,0.008744732476770878,0.003553869668394327,0.0032159911934286356
13,3,success,-2,27,0,2,0.0023489424493163824,0.0098809115588665,0.009880912490189075,0.0015957453288137913,0.002984389429911971
13,3,success,-2,27,1,3,0.0031295684166252613,0.014638261869549751,0.014638261869549751,0.001978699117898941,0.002984389429911971
13,3,success,-2,27,2,4,0.0026120443362742662,0.006440871860831976,0.006440871860831976,0.002229161560535431,0.002984389429911971
13,3,success,-2,27,3,5,0.0034129933919757605,0.011336119845509529,0.011336119845509529,0.002620680257678032,0.002984389429911971
13,3,success,-2,27,4,12,0.0028849488589912653,0.006831576582044363,0.006803517229855061,0.0024930923245847225,0.002984389429911971
13,3,success,-2,27,5,13,0.0031079829204827547,0.005264613777399063,0.00523394625633955,0.0028953864239156246,0.002984389429911971
13,3,success,-2,27,6,14,0.003148382529616356,0.0050212312489748,0.004859461449086666,0.0029772750567644835,0.002984389429911971
13,3,success,-2,27,7,15,0.003559479024261236,0.007959882728755474,0.007768614683300257,0.003138565691187978,0.002984389429911971
14,3,success,-1,28,0,2,0.00386699172668159,0.01666606217622757,0.01666606031358242,0.002587084425613284,0.004481469746679068
14,3,success,-1,28,1,3,0.004632088355720043,0.016977868974208832,0.01697716675698757,0.0033975800033658743,0.004481469746679068
14,3,success,-1,28,2,4,0.004227482248097658,0.014546356163918972,0.011774799786508083,0.0034727505408227444,0.004481469746679068
14,3,success,-1,28,3,5,0.0054456316865980625,0.02388588897883892,0.014157794415950775,0.0045744143426418304,0.004481469746679068
14,3,success,-1,28,4,12,0.005817192140966654,0.011698387563228607,0.010083593428134918,0.005390551872551441,0.004481469746679068
14,3,success,-1,28,5,13,0.005868106614798307,0.01099175214767456,0.010865796357393265,0.005368338432163,0.004481469746679068
14,3,success,-1,28,6,14,0.005542398896068335,0.012313984334468842,0.012217535637319088,0.004874884616583586,0.004481469746679068
14,3,success,-1,28,7,15,0.007547369226813316,0.019211245700716972,0.014447614550590515,0.006857344415038824,0.004481469746679068
15,3,success,0,29,0,2,0.001773824798874557,0.004645092412829399,0.004645092878490686,0.0014866979327052832,0.0014261112082749605
15,3,success,0,29,1,3,0.002044110558927059,0.00569428876042366,0.004013110417872667,0.0018472106894478202,0.0014261112082749605
15,3,success,0,29,2,4,0.0022182888351380825,0.006721630692481995,0.0043754964135587215,0.002002568216994405,0.0014261112082749605
