task,suite,fold,failure,episodes,knn20_q10,knn20_q25,knn20_q50,knn20_q75,knn20_q90,norm_only_q10,norm_only_q25,norm_only_q50,norm_only_q75,norm_only_q90,c1_centroid_distance_q10,c1_centroid_distance_q25,c1_centroid_distance_q50,c1_centroid_distance_q75,c1_centroid_distance_q90,c4_centroid_distance_q10,c4_centroid_distance_q25,c4_centroid_distance_q50,c4_centroid_distance_q75,c4_centroid_distance_q90,c4_assigned_radius_q10,c4_assigned_radius_q25,c4_assigned_radius_q50,c4_assigned_radius_q75,c4_assigned_radius_q90,c8_centroid_distance_q10,c8_centroid_distance_q25,c8_centroid_distance_q50,c8_centroid_distance_q75,c8_centroid_distance_q90,c32_centroid_distance_q10,c32_centroid_distance_q25,c32_centroid_distance_q50,c32_centroid_distance_q75,c32_centroid_distance_q90,c32_union_radius_q10,c32_union_radius_q25,c32_union_radius_q50,c32_union_radius_q75,c32_union_radius_q90,raw_c4_over_knn20_q10,raw_c4_over_knn20_q25,raw_c4_over_knn20_q50,raw_c4_over_knn20_q75,raw_c4_over_knn20_q90,tau_c4_over_knn20,raw_c4_over_c32_centroid_distance_q10,raw_c4_over_c32_centroid_distance_q25,raw_c4_over_c32_centroid_distance_q50,raw_c4_over_c32_centroid_distance_q75,raw_c4_over_c32_centroid_distance_q90,tau_c4_over_c32_centroid_distance
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,libero_long,libero_long_full_0,True,37,1.081338770498759,1.14624127543119,1.3948666254746802,1.9923237937642757,2.246470041227344,0.8632550569002055,0.9119077849849486,1.1199156854203671,1.407219935390916,1.4995996210698213,0.862513703533815,0.9111666278481074,1.1196982259089625,1.407402280380921,1.499788767006527,0.8186810658308366,0.8898510910829428,1.1712418095146317,1.580032756603992,1.714609257112945,0.8186810540158712,0.8898511228526644,1.1712418438587593,1.580032684939527,1.7146092193808222,0.9939045403899558,1.1096746140137064,1.2924358826036886,1.8933915810846602,2.111343386585136,1.1779945542544112,1.3325943967087763,1.5184051183097302,1.7834308240675572,2.0449463852578664,0.8959276563290166,0.9791750001575787,1.2209525416480602,1.9693103287771259,2.164690968701953,1.5863565444946288,1.6547999382019043,1.7356016635894775,1.8614656925201416,1.976071333885193,2.277158203746526,1.301214909553528,1.3665868043899536,1.7721269130706787,1.9855623245239258,2.170590496063232,2.2395184828153223
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,libero_long_full_2,False,710,0.33355974728950977,0.36108967251197666,0.41084117374018436,0.48247496527961886,0.6158708587587569,0.24872347655958418,0.3016766585866999,0.3749643254842851,0.4808576921851312,0.6060319593024602,0.24581053507028489,0.2920218834748366,0.36066435396204416,0.46835284808091837,0.5952688264610655,0.3727106784412854,0.4148784424210762,0.46670985748449756,0.5391018189222427,0.6614195048624655,0.37516419192266615,0.4187535340143742,0.4705386729518617,0.5383277626427587,0.6449807306848344,0.32760090550536486,0.36604227310743587,0.4128531970149907,0.4896779784669723,0.6172916451829749,0.34383198655245384,0.3844621187612432,0.439659365579145,0.5188806942403867,0.6431750664031832,0.46200869615032614,0.5027443571811039,0.5629702541578483,0.6367203904466623,0.7176748516184412,1.509913945198059,1.6040120124816895,1.7029153108596802,1.8198482990264893,1.9282168745994568,1.51652375201313,1.1828383922576904,1.2539147436618805,1.3525391221046448,1.4568341374397278,1.556368374824524,1.2700657128786115
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,libero_long_full_2,True,90,0.8194703002800882,0.9316512273896167,1.1685765080467996,1.5644396003154821,1.9346050586632657,0.6861384961309138,0.8628789039531597,1.0931996450227448,1.3784206829689054,1.5365978843669887,0.6902211101839495,0.8599917028759791,1.0945677458256293,1.387524741343343,1.5494212106317498,0.8452330073302031,1.0572873300084042,1.216062968683581,1.6423741469999382,1.9457368492781746,0.7675897384313166,0.8916925280239543,1.0588210710234616,1.1790544923623332,1.3862915189065423,0.7783952048645276,0.9141707428687316,1.0858215168590908,1.4147588806927551,1.6808533105389827,0.7361163822680319,0.8778914748409724,1.0486753878584691,1.2929340625148107,1.6635199971975692,0.7430872985293282,0.8095182201974479,0.9531924730690993,1.0900521119915214,1.2501141245568888,1.3961542248725891,1.521434247493744,1.6128575801849365,1.7231643795967102,1.8058493614196778,1.51652375201313,1.1756121516227722,1.3305688798427582,1.5182483792304993,1.690293937921524,1.8349000096321106,1.2700657128786115
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,libero_long,libero_long_full_0,False,786,0.41253250995767654,0.4849490829258332,0.6596000255903006,0.8511880788755825,1.0195982367001153,0.352963276773845,0.4406664607836833,0.5708840673859563,0.7136296825779214,0.8143305150026943,0.3528361594274869,0.43959555541160056,0.5702608419026478,0.713235587618685,0.8138382407115341,0.3082927369407133,0.3507717681627431,0.45264543494499043,0.6243209268933039,0.7558049711742079,0.38963592288721394,0.4576265475333292,0.5431486945006823,0.6518135267959175,0.7670237232873831,0.4588910219663163,0.5251301757038519,0.7356027550788156,0.9244230896202651,1.0560454791533886,0.46106844476551967,0.5363040921984266,0.6948119748592028,0.9511881557587125,1.1902089158571778,0.4485793761675978,0.5027858481324011,0.5792779536194866,0.6848551318061287,0.8032459765299804,1.424620807170868,1.5122331976890564,1.603504717350006,1.763155311346054,1.9595695734024048,2.277158203746526,1.2674148678779602,1.3139881193637848,1.40342515707016,1.5939319729804993,1.8936752676963806,2.2395184828153223
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,libero_long,libero_long_full_0,True,14,0.9704222863673971,1.1564974778747765,1.380965821700575,1.4326245007902498,1.602751830214764,1.0527078763851927,1.1405007039736377,1.2091776250968764,1.2467417710446682,1.2992741552064917,1.0524122385845547,1.1405063792579064,1.2094236633367825,1.246969531619699,1.2996827271567786,1.0795520242783556,1.205872621315355,1.2980093526247352,1.354083662777196,1.4270548063188395,1.0795519511155316,1.2058726120636212,1.2980093364095715,1.354083599516264,1.427054853717871,0.9911203835613082,1.2010760962205378,1.3957402220986355,1.4616524684137358,1.6048122014228763,1.0230668412730444,1.136807052671946,1.333833528227868,1.4222284959390543,1.5481770379138602,0.8524157547706357,1.046699261828466,1.312563849692188,1.423989623318938,1.6196533049594635,2.042291760444641,2.0945117473602295,2.1684088706970215,2.394287586212158,2.491806387901306,2.277158203746526,1.9769257426261901,2.126948654651642,2.2776859998703003,2.376340866088867,2.414172077178955,2.2395184828153223
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,libero_object,libero_object_full_2,False,794,0.522239280343703,0.5736815735887436,0.6395540056900556,0.719819461672977,0.8507172103146745,0.49881425490780806,0.5444762181527532,0.6224326501352094,0.7009663594278399,0.792886074646153,0.5085736655703799,0.5456076273217432,0.6092888609551199,0.6902606447456502,0.7859399512242832,0.4794942869221042,0.5428281438187521,0.633662983930492,0.7372703709589246,0.8815482953412481,0.48046400951215257,0.5367615373625214,0.6357379148167976,0.7708161067769052,0.9146204311287612,0.4714519902457913,0.5293654130899237,0.6134339942326964,0.7259684252071699,0.8495554467467218,0.5002830940916815,0.5616823326246698,0.6481198943768327,0.7384611636972443,0.9293279397842782,0.4422130292298165,0.4872862531340672,0.5566442026746197,0.6273699304756797,0.7788450603786772,1.4997219443321228,1.6344962418079376,1.8094273805618286,1.969264417886734,2.1113972902297973,1.848215742668602,1.2977910399436952,1.425827145576477,1.591955840587616,1.7439467906951904,1.8795966625213623,1.6355424727437518
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,libero_object,libero_object_full_2,True,6,2.2154349080114484,2.4733333499649546,2.492485096460946,3.0884851953434937,3.4477816800348995,1.341628160380899,1.3804983983819499,1.4879410155211903,1.5949642729627804,1.7016521694367863,1.3799426317648382,1.4178696061102585,1.5036195688113352,1.6535122409953582,1.7500226153402016,1.7301960846871842,1.8664057337545563,1.9133693937566303,2.2803782172301004,2.4723107610054136,1.6668439500237904,1.784133868526202,1.8137472992044765,2.1969461389037286,2.3390005736470267,1.91804160076401,2.0679975241426614,2.1069268612961443,2.575108567459689,2.781964707200779,2.103728882340793,2.3193964358904426,2.401676808923179,2.9108724247228213,3.2740048958188455,1.4460326483667532,1.456949226906433,1.46615854381099,1.8072521352983557,1.9966315564877428,1.3264133930206299,1.3565008640289307,1.3990719318389893,1.4262032210826874,1.470456302165985,1.848215742668602,1.23103266954422,1.2736681997776031,1.2924574613571167,1.3348914682865143,1.3679670691490173,1.6355424727437518
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,libero_object_full_1,False,779,0.3424857787607461,0.3829442447288698,0.4364060267404754,0.5394934484015032,0.8195282816541108,0.43797510820175745,0.5001309889178465,0.5726677235330815,0.6459940016688337,1.072872352527383,0.4573344973262187,0.5208690348997826,0.5954875528160917,0.6734719986021143,1.1108802730390832,0.4058178358988512,0.44811694255066536,0.5109744634811181,0.622739614435696,1.0207292643693335,0.4050592532731164,0.4464203385851392,0.510368562029421,0.6213879962400988,1.0330819601934715,0.3531878174849881,0.39772919919398864,0.47371751398298684,0.595466435738049,0.938392292518513,0.32081750083554067,0.3611449927267707,0.41670339994146105,0.5271445891171043,0.7643963800021791,0.38924461795306864,0.435029412297217,0.502087594709564,0.603733613795314,0.7509530245926908,1.5426454305648805,1.6688899397850037,1.8114910125732422,1.9566088318824768,2.0704015254974366,1.5254542361288577,1.2734893560409546,1.375306487083435,1.5221937894821167,1.6784657835960388,1.8123667001724244,1.226102903463973
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,libero_object_full_1,True,21,1.402447113789337,1.6663676271827095,1.9009295273898237,2.4037488609331152,2.669214569846346,1.206890122020973,1.3143003630246304,1.4649264946693954,1.6595812737017321,1.820501568550839,1.2064240849413892,1.3513164079056454,1.4691696617085837,1.6877672862261583,1.8356027604139151,1.3429745074785662,1.5791424097402351,1.7245898404559201,2.068360968397166,2.2131435043434147,1.227710777814944,1.4763265603972542,1.707137828555231,1.9358200367011573,2.150459318846622,1.2523789045696059,1.485905516031949,1.6900117728911845,2.035410288103169,2.161450550590095,1.2839291016873222,1.4945103609086139,1.668935452123336,2.079448004522913,2.378074693616698,1.152197378117841,1.3275860681580283,1.4980911120702738,1.8818952708977965,2.3235395163271386,1.2648099660873413,1.3124375343322754,1.3695818185806274,1.4396148920059204,1.5106327533721924,1.5254542361288577,1.1410666704177856,1.174649953842163,1.2528120279312134,1.3013747930526733,1.376039981842041,1.226102903463973
libero_object/pick_up_the_butter_and_place_it_in_the_basket,libero_object,libero_object_full_2,False,798,0.5433500862897647,0.5867955880013286,0.6415156959602057,0.7201088093577364,0.8492174274140298,0.5480859130135778,0.6326041039053514,0.7601124961709258,0.8990414191715405,1.0084340747536713,0.5573626108249997,0.6275886862204798,0.7529407152950234,0.8957781715687547,1.009516738367128,0.5003396402261057,0.5529095650722732,0.616648055626966,0.7486457094088622,0.9245178748810481,0.5123343426950361,0.5614867835293235,0.6316692941436638,0.7519979628120761,0.8968317548088443,0.4871237180305072,0.538481185270352,0.6171732155826475,0.745094784895763,0.9187028066072201,0.5365511139824257,0.587377077697492,0.6475199839682705,0.74466151736667,0.8754463164853667,0.4729730039295207,0.5163388556204332,0.5662531195435014,0.6323919474236563,0.7250742673004901,1.5360816717147827,1.6484422385692596,1.8147254586219788,1.9570466876029968,2.1645484924316407,1.848215742668602,1.3062655448913574,1.4333683252334595,1.5795210599899292,1.7601077258586884,1.9451861739158631,1.6355424727437518
libero_object/pick_up_the_butter_and_place_it_in_the_basket,libero_object,libero_object_full_2,True,2,2.708175602250848,2.742596424375319,2.799964461249438,2.857332498123556,2.8917533202480277,1.2797554945946659,1.2929559679290947,1.3149567568198093,1.3369575457105238,1.3501580190449527,1.340590930317745,1.3541648148308387,1.3767879556859948,1.3994110965411508,1.4129849810542445,1.9321017119906838,1.9551305728048534,1.993512007495136,2.0318934421854187,2.0549223029995884,1.7935732684801893,1.8149510299388498,1.8505806323699505,1.8862102348010514,1.907587996259712,2.1459017936550917,2.171957079612771,2.215382556208903,2.2588080328050344,2.2848633187627136,2.7233038689091016,2.748233710022781,2.7897834452122465,2.8313331804017126,2.856263021515392,1.6171184320418304,1.6319219569980794,1.6565944985918277,1.681267040185576,1.696070565141825,1.313415777683258,1.314393013715744,1.316021740436554,1.317650467157364,1.31862770318985,1.848215742668602,1.1602558851242066,1.1633157134056091,1.1684154272079468,1.1735151410102844,1.176574969291687,1.6355424727437518
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,libero_object,libero_object_full_2,False,800,0.537913207431205,0.5825402223473878,0.6399654965678571,0.7153913350538745,0.7952881785573875,0.5724001347022654,0.6740705049204871,0.781430422932655,0.8781360054185203,0.9561163437565299,0.581597274936723,0.6660053318450473,0.7768987184116138,0.8749078342947147,0.9559366316856518,0.4857032365416107,0.5397349890205092,0.6137266643638062,0.7141011450697822,0.8372047302309343,0.5036547876506039,0.5585084177341676,0.6261530312432602,0.7132942158912744,0.8282416848158496,0.5040008963791303,0.5531575847925746,0.622636802384878,0.7134337191541841,0.8257679607992772,0.5376885328779905,0.5867867631460483,0.6538617040556383,0.7246250415695039,0.8069771640175578,0.4772573816570479,0.5207789753380211,0.5670434732148864,0.6232060830033757,0.683995456984777,1.5295371174812318,1.6444006264209747,1.7763012647628784,1.9468637108802795,2.105978989601135,1.848215742668602,1.2970604658126832,1.3973667919635773,1.5375642776489258,1.729058712720871,1.9237329125404359,1.6355424727437518
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object,libero_object_full_0,False,788,0.291742857179374,0.32489071262906577,0.3641725515624228,0.41249847694239905,0.46781503647669703,0.293512455930792,0.3330782905562524,0.38259208719744997,0.4569378529215998,0.49802049971846984,0.31850484871986723,0.3611021369511961,0.41187778690958043,0.48763321690588735,0.5308844418913745,0.30359012006685293,0.33724074184125186,0.3903672977471899,0.44327197136051616,0.5064948015548614,0.3089979384125838,0.3428114703335483,0.39666987162144773,0.45153980193116006,0.5095041804242619,0.2986542179829801,0.33574660380181487,0.3785698206641793,0.4277976105860122,0.4797729727052232,0.33236122966028386,0.3768964043470846,0.4263947512796119,0.48774605431595475,0.5530533152786996,0.3677745834540559,0.40806712841702597,0.4589237570191289,0.5280156983654927,0.597147849544635,1.4732328057289124,1.5864296555519104,1.7162628173828125,1.8887466192245483,2.0714824914932253,1.6230373219407204,1.1767017483711242,1.2800838947296143,1.4212157726287842,1.5876842141151428,1.8126094460487367,1.5656069911706265
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object,libero_object_full_0,True,12,1.4522457580183126,1.6322083866581005,2.051900435061936,2.58988838863488,3.084729803191136,1.0037834714714486,1.0845589649088991,1.260561714457169,1.4453410669472158,1.5704487890403571,1.041893561852273,1.1238878641097025,1.3025055800472312,1.4916688469976387,1.618360813200058,1.3737622417183017,1.5111042729705002,1.8425852098350788,2.184005386702539,2.43338730815437,1.3741662608543397,1.511548628475927,1.8431270388143024,2.1846477498339767,2.4341028061947734,1.1922097366332745,1.3392557795844393,1.6778515619124585,2.0608196632136684,2.3404387760375758,1.513993248005326,1.6824275126317367,2.044559219678181,2.5562411567568235,3.098373250101198,1.4026354082872912,1.5799497131363514,1.9884929511046199,2.454469903722023,2.7951399715448417,1.2780058145523072,1.3432396054267883,1.4521316289901733,1.5069229900836945,1.534924054145813,1.6230373219407204,1.2272562503814697,1.2719812989234924,1.3699531555175781,1.3960813879966736,1.4436339139938354,1.5656069911706265
