fold,method,alpha,units,ascending_rank,descending_rank,threshold,tau_over_alpha005
libero_goal_full_1,c4_centroid_distance,0.1,70,64,7,3.245715856552124,0.8000526922718433
libero_goal_full_1,c4_assigned_radius,0.02,70,70,1,1.8959752321243286,1.074694859597203
libero_goal_full_1,c4_assigned_radius,0.03,70,69,2,1.8680360317230225,1.0588580941459491
libero_goal_full_1,c4_assigned_radius,0.05,70,68,3,1.764198660850525,1.0
libero_goal_full_1,c4_assigned_radius,0.1,70,64,7,1.3949360847473145,0.7906910461403548
libero_goal_full_1,c8_centroid_distance,0.02,70,70,1,4.756439685821533,1.2263579163645333
libero_goal_full_1,c8_centroid_distance,0.03,70,69,2,4.301227569580078,1.108990091005188
libero_goal_full_1,c8_centroid_distance,0.05,70,68,3,3.8785085678100586,1.0
libero_goal_full_1,c8_centroid_distance,0.1,70,64,7,2.8909173011779785,0.7453682905772956
libero_goal_full_1,c32_centroid_distance,0.02,70,70,1,3.6672544479370117,1.4356927518684257
libero_goal_full_1,c32_centroid_distance,0.03,70,69,2,3.0969204902648926,1.212412818392602
libero_goal_full_1,c32_centroid_distance,0.05,70,68,3,2.554344892501831,1.0
libero_goal_full_1,c32_centroid_distance,0.1,70,64,7,2.3188300132751465,0.9077983243695759
libero_goal_full_1,c32_union_radius,0.02,70,70,1,2.1672611236572266,1.3838733495416853
libero_goal_full_1,c32_union_radius,0.03,70,69,2,1.6077972650527954,1.0266357672756723
libero_goal_full_1,c32_union_radius,0.05,70,68,3,1.5660834312438965,1.0
libero_goal_full_1,c32_union_radius,0.1,70,64,7,1.4404652118682861,0.9197882967985714
libero_goal_full_2,knn20,0.02,70,70,1,4.470180034637451,2.0121227717986567
libero_goal_full_2,knn20,0.03,70,69,2,2.2480673789978027,1.0119027714251925
libero_goal_full_2,knn20,0.05,70,68,3,2.2216238975524902,1.0
libero_goal_full_2,knn20,0.1,70,64,7,2.0641744136810303,0.92912865042327
libero_goal_full_2,norm_only,0.02,70,70,1,7.253636360168457,1.032750499216644
libero_goal_full_2,norm_only,0.03,70,69,2,7.218382358551025,1.0277311425847464
libero_goal_full_2,norm_only,0.05,70,68,3,7.023609638214111,1.0
libero_goal_full_2,norm_only,0.1,70,64,7,6.457944869995117,0.9194623851044738
libero_goal_full_2,c1_centroid_distance,0.02,70,70,1,7.3368401527404785,1.0824029203305807
libero_goal_full_2,c1_centroid_distance,0.03,70,69,2,6.972158908843994,1.0286015514625535
libero_goal_full_2,c1_centroid_distance,0.05,70,68,3,6.778289318084717,1.0
libero_goal_full_2,c1_centroid_distance,0.1,70,64,7,6.178660869598389,0.911536905501142
libero_goal_full_2,c4_centroid_distance,0.02,70,70,1,6.294393062591553,1.4147722455838938
libero_goal_full_2,c4_centroid_distance,0.03,70,69,2,4.690295696258545,1.0542239908856434
libero_goal_full_2,c4_centroid_distance,0.05,70,68,3,4.449050426483154,1.0
libero_goal_full_2,c4_centroid_distance,0.1,70,64,7,3.9458980560302734,0.886907919169033
libero_goal_full_2,c4_assigned_radius,0.02,70,70,1,2.322385787963867,1.4625044132437175
libero_goal_full_2,c4_assigned_radius,0.03,70,69,2,1.6740562915802002,1.0542239481240514
libero_goal_full_2,c4_assigned_radius,0.05,70,68,3,1.5879513025283813,1.0
libero_goal_full_2,c4_assigned_radius,0.1,70,64,7,1.4505975246429443,0.9135025251298712
libero_goal_full_2,c8_centroid_distance,0.02,70,70,1,6.370814323425293,1.7679777090745221
libero_goal_full_2,c8_centroid_distance,0.03,70,69,2,3.7089719772338867,1.0292843970071892
libero_goal_full_2,c8_centroid_distance,0.05,70,68,3,3.603447198867798,1.0
libero_goal_full_2,c8_centroid_distance,0.1,70,64,7,3.45361328125,0.9584192831617248
libero_goal_full_2,c32_centroid_distance,0.02,70,70,1,5.037378787994385,1.7816239482364928
libero_goal_full_2,c32_centroid_distance,0.03,70,69,2,2.828495502471924,1.0003844334067993
libero_goal_full_2,c32_centroid_distance,0.05,70,68,3,2.8274085521698,1.0
libero_goal_full_2,c32_centroid_distance,0.1,70,64,7,2.526963949203491,0.8937385250759949
libero_goal_full_2,c32_union_radius,0.02,70,70,1,2.2824971675872803,1.439991522637236
libero_goal_full_2,c32_union_radius,0.03,70,69,2,1.8107945919036865,1.1424017951071357
libero_goal_full_2,c32_union_radius,0.05,70,68,3,1.5850768089294434,1.0
libero_goal_full_2,c32_union_radius,0.1,70,64,7,1.4676095247268677,0.9258917400463939
libero_goal_full_3,knn20,0.02,70,70,1,3.0058422088623047,1.4115415210937714
libero_goal_full_3,knn20,0.03,70,69,2,2.3738603591918945,1.1147632608253892
libero_goal_full_3,knn20,0.05,70,68,3,2.1294748783111572,1.0
libero_goal_full_3,knn20,0.1,70,64,7,1.320591926574707,0.6201490987402685
libero_goal_full_3,norm_only,0.02,70,70,1,6.5808820724487305,1.0798791196031121
libero_goal_full_3,norm_only,0.03,70,69,2,6.2933573722839355,1.032698222474139
libero_goal_full_3,norm_only,0.05,70,68,3,6.094091415405273,1.0
libero_goal_full_3,norm_only,0.1,70,64,7,5.561480522155762,0.9126020834044066
libero_goal_full_3,c1_centroid_distance,0.02,70,70,1,6.641025543212891,1.1386465276784774
libero_goal_full_3,c1_centroid_distance,0.03,70,69,2,6.031537055969238,1.0341458078507617
libero_goal_full_3,c1_centroid_distance,0.05,70,68,3,5.832385540008545,1.0
libero_goal_full_3,c1_centroid_distance,0.1,70,64,7,5.528081893920898,0.9478251833661873
libero_goal_full_3,c4_centroid_distance,0.02,70,70,1,4.519144058227539,1.1933458535611823
libero_goal_full_3,c4_centroid_distance,0.03,70,69,2,3.938075304031372,1.0399061801364047
libero_goal_full_3,c4_centroid_distance,0.05,70,68,3,3.786952495574951,1.0
libero_goal_full_3,c4_centroid_distance,0.1,70,64,7,3.4848520755767822,0.9202259810887058
libero_goal_full_3,c4_assigned_radius,0.02,70,70,1,2.4704062938690186,1.4206720967264708
libero_goal_full_3,c4_assigned_radius,0.03,70,69,2,2.1527631282806396,1.238003042171673
libero_goal_full_3,c4_assigned_radius,0.05,70,68,3,1.7388997077941895,1.0
libero_goal_full_3,c4_assigned_radius,0.1,70,64,7,1.5797300338745117,0.9084652937681
libero_goal_full_3,c8_centroid_distance,0.02,70,70,1,4.31954288482666,1.3703646555200866
libero_goal_full_3,c8_centroid_distance,0.03,70,69,2,3.5466973781585693,1.1251812658063935
libero_goal_full_3,c8_centroid_distance,0.05,70,68,3,3.1521120071411133,1.0
libero_goal_full_3,c8_centroid_distance,0.1,70,64,7,2.6001200675964355,0.82488187656589
libero_goal_full_3,c32_centroid_distance,0.02,70,70,1,3.798022508621216,1.5032452231805753
libero_goal_full_3,c32_centroid_distance,0.03,70,69,2,2.946791887283325,1.1663308519659221
libero_goal_full_3,c32_centroid_distance,0.05,70,68,3,2.5265488624572754,1.0
libero_goal_full_3,c32_centroid_distance,0.1,70,64,7,1.7807880640029907,0.704830249065925
libero_goal_full_3,c32_union_radius,0.02,70,70,1,2.898699998855591,1.5942689590096306
libero_goal_full_3,c32_union_radius,0.03,70,69,2,2.2673866748809814,1.2470501242839707
libero_goal_full_3,c32_union_radius,0.05,70,68,3,1.8182001113891602,1.0
libero_goal_full_3,c32_union_radius,0.1,70,64,7,1.449702262878418,0.7973282224533588
libero_long_full_0,knn20,0.02,69,69,1,7.1594767570495605,1.6590062610051552
libero_long_full_0,knn20,0.03,69,68,2,6.011293888092041,1.392947352928697
libero_long_full_0,knn20,0.05,69,67,3,4.315521240234375,1.0
libero_long_full_0,knn20,0.1,69,63,7,3.0619683265686035,0.7095245640367439
libero_long_full_0,norm_only,0.02,69,69,1,18.69838523864746,1.31459445064008
libero_long_full_0,norm_only,0.03,69,68,2,16.222030639648438,1.1404937477123958
libero_long_full_0,norm_only,0.05,69,67,3,14.2236909866333,1.0
libero_long_full_0,norm_only,0.1,69,63,7,9.224591255187988,0.6485370965846199
libero_long_full_0,c1_centroid_distance,0.02,69,69,1,18.65734100341797,1.3146549088319368
libero_long_full_0,c1_centroid_distance,0.03,69,68,2,16.183677673339844,1.14035281299261
libero_long_full_0,c1_centroid_distance,0.05,69,67,3,14.191816329956055,1.0
libero_long_full_0,c1_centroid_distance,0.1,69,63,7,9.195870399475098,0.6479699416673308
libero_long_full_0,c4_centroid_distance,0.02,69,69,1,14.320075035095215,1.4571988882124844
libero_long_full_0,c4_centroid_distance,0.03,69,68,2,11.759050369262695,1.1965911549017434
libero_long_full_0,c4_centroid_distance,0.05,69,67,3,9.82712459564209,1.0
libero_long_full_0,c4_centroid_distance,0.1,69,63,7,5.6227946281433105,0.5721708902151073
libero_long_full_0,c4_assigned_radius,0.02,69,69,1,3.193727970123291,1.4571989487646222
libero_long_full_0,c4_assigned_radius,0.03,69,68,2,2.622556686401367,1.196591219493304
libero_long_full_0,c4_assigned_radius,0.05,69,67,3,2.1916897296905518,1.0
libero_long_full_0,c4_assigned_radius,0.1,69,63,7,1.7481845617294312,0.7976423569664034
libero_long_full_0,c8_centroid_distance,0.02,69,69,1,9.291738510131836,1.634794082615954
libero_long_full_0,c8_centroid_distance,0.03,69,68,2,7.602394104003906,1.3375698079953462
libero_long_full_0,c8_centroid_distance,0.05,69,67,3,5.683736324310303,1.0
libero_long_full_0,c8_centroid_distance,0.1,69,63,7,4.683445453643799,0.8240082203693915
libero_long_full_0,c32_centroid_distance,0.02,69,69,1,6.2025980949401855,1.413519584482896
libero_long_full_0,c32_centroid_distance,0.03,69,68,2,6.00059175491333,1.3674840501072925
libero_long_full_0,c32_centroid_distance,0.05,69,67,3,4.388052463531494,1.0
libero_long_full_0,c32_centroid_distance,0.1,69,63,7,3.829387664794922,0.8726850229390922
libero_long_full_0,c32_union_radius,0.02,69,69,1,3.2661778926849365,1.6605578238812757
libero_long_full_0,c32_union_radius,0.03,69,68,2,2.741604804992676,1.3938595687385118
libero_long_full_0,c32_union_radius,0.05,69,67,3,1.9669160842895508,1.0
libero_long_full_0,c32_union_radius,0.1,69,63,7,1.5649689435958862,0.795646014639792
libero_long_full_1,knn20,0.02,70,70,1,5.159893035888672,1.3115872379056939
libero_long_full_1,knn20,0.03,70,69,2,4.967926502227783,1.262791486927253
libero_long_full_1,knn20,0.05,70,68,3,3.9340829849243164,1.0
libero_long_full_1,knn20,0.1,70,64,7,3.253626823425293,0.8270356359775379
libero_long_full_1,norm_only,0.02,70,70,1,13.806565284729004,1.0510836434792117
libero_long_full_1,norm_only,0.03,70,69,2,13.255078315734863,1.0090993468241405
libero_long_full_1,norm_only,0.05,70,68,3,13.135553359985352,1.0
libero_long_full_1,norm_only,0.1,70,64,7,10.586585998535156,0.8059489926617726
libero_long_full_1,c1_centroid_distance,0.02,70,70,1,13.602694511413574,1.0495962609879177
libero_long_full_1,c1_centroid_distance,0.03,70,69,2,13.04848861694336,1.0068332309010977
libero_long_full_1,c1_centroid_distance,0.05,70,68,3,12.959930419921875,1.0
libero_long_full_1,c1_centroid_distance,0.1,70,64,7,10.382143020629883,0.801095583404565
libero_long_full_1,c4_centroid_distance,0.02,70,70,1,8.875299453735352,1.1863330137757349
libero_long_full_1,c4_centroid_distance,0.03,70,69,2,8.082029342651367,1.0802991242685587
libero_long_full_1,c4_centroid_distance,0.05,70,68,3,7.481288433074951,1.0
libero_long_full_1,c4_centroid_distance,0.1,70,64,7,5.8704752922058105,0.7846877372421978
libero_long_full_1,c4_assigned_radius,0.02,70,70,1,2.631014585494995,1.2047826112114375
libero_long_full_1,c4_assigned_radius,0.03,70,69,2,2.3905651569366455,1.0946770678974977
libero_long_full_1,c4_assigned_radius,0.05,70,68,3,2.1838085651397705,1.0
libero_long_full_1,c4_assigned_radius,0.1,70,64,7,1.9929221868515015,0.9125901503751764
libero_long_full_1,c8_centroid_distance,0.02,70,70,1,8.193181037902832,1.1734704316948377
libero_long_full_1,c8_centroid_distance,0.03,70,69,2,7.3047661781311035,1.0462269881290784
libero_long_full_1,c8_centroid_distance,0.05,70,68,3,6.982008934020996,1.0
libero_long_full_1,c8_centroid_distance,0.1,70,64,7,5.331693172454834,0.7636331065798663
libero_long_full_1,c32_centroid_distance,0.02,70,70,1,5.6004533767700195,1.4185997173067626
libero_long_full_1,c32_centroid_distance,0.03,70,69,2,4.758440017700195,1.2053170002146922
libero_long_full_1,c32_centroid_distance,0.05,70,68,3,3.9478743076324463,1.0
libero_long_full_1,c32_centroid_distance,0.1,70,64,7,3.461564540863037,0.8768173125904176
libero_long_full_1,c32_union_radius,0.02,70,70,1,2.4176812171936035,1.1470831108657684
libero_long_full_1,c32_union_radius,0.03,70,69,2,2.293994188308716,1.0883990706134674
libero_long_full_1,c32_union_radius,0.05,70,68,3,2.107677459716797,1.0
libero_long_full_1,c32_union_radius,0.1,70,64,7,1.6208038330078125,0.7689999366533036
libero_long_full_2,knn20,0.02,68,68,1,6.398590087890625,1.65083322148423
libero_long_full_2,knn20,0.03,68,67,2,4.840559482574463,1.2488620609604884
libero_long_full_2,knn20,0.05,68,66,3,3.875976085662842,1.0
libero_long_full_2,knn20,0.1,68,63,6,2.967848539352417,0.7657035218381325
libero_long_full_2,norm_only,0.02,68,68,1,14.33917236328125,1.3126748094921932
libero_long_full_2,norm_only,0.03,68,67,2,13.402685165405273,1.2269443975186514
libero_long_full_2,norm_only,0.05,68,66,3,10.923628807067871,1.0
libero_long_full_2,norm_only,0.1,68,63,6,9.524643898010254,0.8719303874411736
libero_long_full_2,c1_centroid_distance,0.02,68,68,1,14.061068534851074,1.3166894626971448
libero_long_full_2,c1_centroid_distance,0.03,68,67,2,13.260089874267578,1.2416851940228557
libero_long_full_2,c1_centroid_distance,0.05,68,66,3,10.679107666015625,1.0
libero_long_full_2,c1_centroid_distance,0.1,68,63,6,9.219404220581055,0.8633122269120088
libero_long_full_2,c4_centroid_distance,0.02,68,68,1,9.887794494628906,1.6821670663287656
libero_long_full_2,c4_centroid_distance,0.03,68,67,2,8.448640823364258,1.4373301706486856
libero_long_full_2,c4_centroid_distance,0.05,68,66,3,5.878009796142578,1.0
libero_long_full_2,c4_centroid_distance,0.1,68,63,6,5.470298767089844,0.9306379126281326
libero_long_full_2,c4_assigned_radius,0.02,68,68,1,2.52708101272583,1.1703414527284828
libero_long_full_2,c4_assigned_radius,0.03,68,67,2,2.2092342376708984,1.0231402927381243
libero_long_full_2,c4_assigned_radius,0.05,68,66,3,2.1592681407928467,1.0
libero_long_full_2,c4_assigned_radius,0.1,68,63,6,1.83822500705719,0.8513185427643205
libero_long_full_2,c8_centroid_distance,0.02,68,68,1,9.22848892211914,1.5852031551151364
libero_long_full_2,c8_centroid_distance,0.03,68,67,2,6.77157735824585,1.1631726368191397
libero_long_full_2,c8_centroid_distance,0.05,68,66,3,5.821644306182861,1.0
libero_long_full_2,c8_centroid_distance,0.1,68,63,6,4.706476211547852,0.808444481321085
libero_long_full_2,c32_centroid_distance,0.02,68,68,1,6.666947364807129,1.440532008497959
libero_long_full_2,c32_centroid_distance,0.03,68,67,2,5.734556674957275,1.2390696960393
libero_long_full_2,c32_centroid_distance,0.05,68,66,3,4.628114700317383,1.0
libero_long_full_2,c32_centroid_distance,0.1,68,63,6,3.892789602279663,0.8411177886349072
libero_long_full_2,c32_union_radius,0.02,68,68,1,2.4249227046966553,1.1747244540478008
libero_long_full_2,c32_union_radius,0.03,68,67,2,2.1856720447540283,1.0588223676277568
libero_long_full_2,c32_union_radius,0.05,68,66,3,2.0642480850219727,1.0
libero_long_full_2,c32_union_radius,0.1,68,63,6,1.7263405323028564,0.8363047759758394
libero_long_full_3,knn20,0.02,67,67,1,6.712695121765137,1.5035553330208924
libero_long_full_3,knn20,0.03,67,66,2,5.557528018951416,1.2448131100448625
libero_long_full_3,knn20,0.05,67,65,3,4.464548110961914,1.0
libero_long_full_3,knn20,0.1,67,62,6,3.7817070484161377,0.8470525917574547
libero_long_full_3,norm_only,0.02,67,67,1,17.80001449584961,1.2492737316868374
libero_long_full_3,norm_only,0.03,67,66,2,14.31391429901123,1.0046057622897355
libero_long_full_3,norm_only,0.05,67,65,3,14.248290061950684,1.0
libero_long_full_3,norm_only,0.1,67,62,6,9.652859687805176,0.677474956351614
libero_long_full_3,c1_centroid_distance,0.02,67,67,1,17.791736602783203,1.2490375287947992
libero_long_full_3,c1_centroid_distance,0.03,67,66,2,14.306336402893066,1.004351147148914
libero_long_full_3,c1_centroid_distance,0.05,67,65,3,14.244357109069824,1.0
libero_long_full_3,c1_centroid_distance,0.1,67,62,6,9.667619705200195,0.6786982122938017
libero_long_full_3,c4_centroid_distance,0.02,67,67,1,13.105511665344238,1.3733404288276945
libero_long_full_3,c4_centroid_distance,0.03,67,66,2,10.251587867736816,1.0742747355429303
libero_long_full_3,c4_centroid_distance,0.05,67,65,3,9.54279899597168,1.0
libero_long_full_3,c4_centroid_distance,0.1,67,62,6,5.988624095916748,0.6275542530493137
libero_long_full_3,c4_assigned_radius,0.02,67,67,1,3.254790782928467,1.3733404249176167
libero_long_full_3,c4_assigned_radius,0.03,67,66,2,2.546010732650757,1.074274721362405
libero_long_full_3,c4_assigned_radius,0.05,67,65,3,2.369981050491333,1.0
libero_long_full_3,c4_assigned_radius,0.1,67,62,6,1.7093536853790283,0.7212520475742425
libero_long_full_3,c8_centroid_distance,0.02,67,67,1,7.139590263366699,1.1854207118395952
libero_long_full_3,c8_centroid_distance,0.03,67,66,2,6.049783706665039,1.0044748568874722
libero_long_full_3,c8_centroid_distance,0.05,67,65,3,6.02283239364624,1.0
libero_long_full_3,c8_centroid_distance,0.1,67,62,6,4.821584224700928,0.8005509550269797
libero_long_full_3,c32_centroid_distance,0.02,67,67,1,6.076712131500244,1.2937499593919843
libero_long_full_3,c32_centroid_distance,0.03,67,66,2,5.291923522949219,1.1266661468840657
libero_long_full_3,c32_centroid_distance,0.05,67,65,3,4.6969757080078125,1.0
libero_long_full_3,c32_centroid_distance,0.1,67,62,6,3.910430908203125,0.8325422891875474
libero_long_full_3,c32_union_radius,0.02,67,67,1,1.8372130393981934,1.1174328002909508
libero_long_full_3,c32_union_radius,0.03,67,66,2,1.6983344554901123,1.0329638347497074
libero_long_full_3,c32_union_radius,0.05,67,65,3,1.6441373825073242,1.0
libero_long_full_3,c32_union_radius,0.1,67,62,6,1.5598387718200684,0.9487277574342968
libero_object_full_0,knn20,0.02,70,70,1,5.362501621246338,1.916450555798866
libero_object_full_0,knn20,0.03,70,69,2,2.8620080947875977,1.0228243068916332
libero_object_full_0,knn20,0.05,70,68,3,2.798142433166504,1.0
libero_object_full_0,knn20,0.1,70,64,7,2.181046962738037,0.7794624522633276
libero_object_full_0,norm_only,0.02,70,70,1,9.643845558166504,1.2002188861659007
libero_object_full_0,norm_only,0.03,70,69,2,8.620819091796875,1.0728987545256097
libero_object_full_0,norm_only,0.05,70,68,3,8.035072326660156,1.0
libero_object_full_0,norm_only,0.1,70,64,7,6.277807235717773,0.78130065051041
libero_object_full_0,c1_centroid_distance,0.02,70,70,1,9.423965454101562,1.2008623781166632
libero_object_full_0,c1_centroid_distance,0.03,70,69,2,8.80669116973877,1.1222053129268128
libero_object_full_0,c1_centroid_distance,0.05,70,68,3,7.847664833068848,1.0
libero_object_full_0,c1_centroid_distance,0.1,70,64,7,6.466169834136963,0.8239610089984376
libero_object_full_0,c4_centroid_distance,0.02,70,70,1,6.79233980178833,1.4956193668461604
libero_object_full_0,c4_centroid_distance,0.03,70,69,2,6.207858562469482,1.3669212323898485
libero_object_full_0,c4_centroid_distance,0.05,70,68,3,4.541489601135254,1.0
libero_object_full_0,c4_centroid_distance,0.1,70,64,7,3.945303201675415,0.868724482092658
libero_object_full_0,c4_assigned_radius,0.02,70,70,1,3.519155502319336,1.4956193547249625
libero_object_full_0,c4_assigned_radius,0.03,70,69,2,3.217278003692627,1.3673232821574097
libero_object_full_0,c4_assigned_radius,0.05,70,68,3,2.352975368499756,1.0
libero_object_full_0,c4_assigned_radius,0.1,70,64,7,2.000173568725586,0.8500614139453936
libero_object_full_0,c8_centroid_distance,0.02,70,70,1,6.468122959136963,1.5340341337100611
libero_object_full_0,c8_centroid_distance,0.03,70,69,2,4.666258811950684,1.106688963626755
libero_object_full_0,c8_centroid_distance,0.05,70,68,3,4.216413974761963,1.0
libero_object_full_0,c8_centroid_distance,0.1,70,64,7,3.2676475048065186,0.7749826094794198
libero_object_full_0,c32_centroid_distance,0.02,70,70,1,6.05608606338501,2.0877402598470014
libero_object_full_0,c32_centroid_distance,0.03,70,69,2,3.1318516731262207,1.0796565236062967
libero_object_full_0,c32_centroid_distance,0.05,70,68,3,2.900785207748413,1.0
libero_object_full_0,c32_centroid_distance,0.1,70,64,7,2.5217740535736084,0.8693418757230243
libero_object_full_0,c32_union_radius,0.02,70,70,1,4.238770008087158,1.9857726442231762
libero_object_full_0,c32_union_radius,0.03,70,69,2,2.192042827606201,1.0269249508043865
libero_object_full_0,c32_union_radius,0.05,70,68,3,2.1345696449279785,1.0
libero_object_full_0,c32_union_radius,0.1,70,64,7,1.879743218421936,0.8806192962072968
libero_object_full_1,knn20,0.02,70,70,1,2.7198710441589355,1.160088052247235
libero_object_full_1,knn20,0.03,70,69,2,2.4378302097320557,1.0397910981077634
libero_object_full_1,knn20,0.05,70,68,3,2.344538450241089,1.0
libero_object_full_1,knn20,0.1,70,64,7,1.5517762899398804,0.6618685608590942
libero_object_full_1,norm_only,0.02,70,70,1,6.615744113922119,1.1647935874071986
libero_object_full_1,norm_only,0.03,70,69,2,5.692923545837402,1.0023182163041136
libero_object_full_1,norm_only,0.05,70,68,3,5.6797566413879395,1.0
libero_object_full_1,norm_only,0.1,70,64,7,5.132904052734375,0.9037190106581869
libero_object_full_1,c1_centroid_distance,0.02,70,70,1,6.719184398651123,1.2046121850290477
libero_object_full_1,c1_centroid_distance,0.03,70,69,2,5.580494403839111,1.0004683840349007
libero_object_full_1,c1_centroid_distance,0.05,70,68,3,5.577881813049316,1.0
libero_object_full_1,c1_centroid_distance,0.1,70,64,7,5.035430908203125,0.9027496596329558
libero_object_full_1,c4_centroid_distance,0.02,70,70,1,4.473326206207275,1.250760122579557
libero_object_full_1,c4_centroid_distance,0.03,70,69,2,3.5912578105926514,1.004130227113494
libero_object_full_1,c4_centroid_distance,0.05,70,68,3,3.576486110687256,1.0
libero_object_full_1,c4_centroid_distance,0.1,70,64,7,2.6084439754486084,0.7293314987730711
libero_object_full_1,c4_assigned_radius,0.02,70,70,1,2.5043129920959473,1.2658964682201397
libero_object_full_1,c4_assigned_radius,0.03,70,69,2,2.0022330284118652,1.012101812840488
libero_object_full_1,c4_assigned_radius,0.05,70,68,3,1.9782921075820923,1.0
libero_object_full_1,c4_assigned_radius,0.1,70,64,7,1.3641130924224854,0.6895407847983235
libero_object_full_1,c8_centroid_distance,0.02,70,70,1,4.089247226715088,1.2050085618152664
libero_object_full_1,c8_centroid_distance,0.03,70,69,2,3.4854531288146973,1.027084113327479
libero_object_full_1,c8_centroid_distance,0.05,70,68,3,3.3935420513153076,1.0
libero_object_full_1,c8_centroid_distance,0.1,70,64,7,2.3188679218292236,0.6833178686942897
libero_object_full_1,c32_centroid_distance,0.02,70,70,1,3.195937156677246,1.0956418411303097
libero_object_full_1,c32_centroid_distance,0.03,70,69,2,3.0954201221466064,1.0611822559197515
libero_object_full_1,c32_centroid_distance,0.05,70,68,3,2.916954278945923,1.0
libero_object_full_1,c32_centroid_distance,0.1,70,64,7,1.8924251794815063,0.648767515192373
libero_object_full_1,c32_union_radius,0.02,70,70,1,2.231255531311035,1.045927977703116
libero_object_full_1,c32_union_radius,0.03,70,69,2,2.163538932800293,1.0141850043218206
