method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
c2_union_radius,2,union_radius,episode,0.1,1.2601509094238281,554,500,54
c2_union_radius,2,union_radius,task_init,0.02,2.1712872982025146,70,70,0
c2_union_radius,2,union_radius,task_init,0.03,1.9075909852981567,70,69,1
c2_union_radius,2,union_radius,task_init,0.05,1.8014377355575562,70,68,2
c2_union_radius,2,union_radius,task_init,0.1,1.5762100219726562,70,64,6
c4_centroid_distance,4,centroid_distance,episode,0.02,3.3525099754333496,554,544,10
c4_centroid_distance,4,centroid_distance,episode,0.03,3.218533515930176,554,539,15
c4_centroid_distance,4,centroid_distance,episode,0.05,3.02781343460083,554,528,26
c4_centroid_distance,4,centroid_distance,episode,0.1,2.7552082538604736,554,500,54
c4_centroid_distance,4,centroid_distance,task_init,0.02,4.186011791229248,70,70,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,4.050969123840332,70,69,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,3.8858819007873535,70,68,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.3616838455200195,70,64,6
c4_assigned_radius,4,assigned_radius,episode,0.02,1.4959512948989868,554,544,10
c4_assigned_radius,4,assigned_radius,episode,0.03,1.4347885847091675,554,539,15
c4_assigned_radius,4,assigned_radius,episode,0.05,1.3569812774658203,554,528,26
c4_assigned_radius,4,assigned_radius,episode,0.1,1.2378462553024292,554,500,54
c4_assigned_radius,4,assigned_radius,task_init,0.02,2.0133650302886963,70,70,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,1.8358937501907349,70,69,1
c4_assigned_radius,4,assigned_radius,task_init,0.05,1.6570727825164795,70,68,2
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.4817826747894287,70,64,6
c4_union_radius,4,union_radius,episode,0.02,1.4551336765289307,554,544,10
c4_union_radius,4,union_radius,episode,0.03,1.4087154865264893,554,539,15
c4_union_radius,4,union_radius,episode,0.05,1.3440195322036743,554,528,26
c4_union_radius,4,union_radius,episode,0.1,1.201722264289856,554,500,54
c4_union_radius,4,union_radius,task_init,0.02,1.8982456922531128,70,70,0
c4_union_radius,4,union_radius,task_init,0.03,1.7435052394866943,70,69,1
c4_union_radius,4,union_radius,task_init,0.05,1.6570727825164795,70,68,2
c4_union_radius,4,union_radius,task_init,0.1,1.432712197303772,70,64,6
c8_centroid_distance,8,centroid_distance,episode,0.02,2.8226065635681152,554,544,10
c8_centroid_distance,8,centroid_distance,episode,0.03,2.7489073276519775,554,539,15
c8_centroid_distance,8,centroid_distance,episode,0.05,2.491262674331665,554,528,26
c8_centroid_distance,8,centroid_distance,episode,0.1,2.3078575134277344,554,500,54
c8_centroid_distance,8,centroid_distance,task_init,0.02,3.920224666595459,70,70,0
c8_centroid_distance,8,centroid_distance,task_init,0.03,3.3537657260894775,70,69,1
c8_centroid_distance,8,centroid_distance,task_init,0.05,3.1635615825653076,70,68,2
c8_centroid_distance,8,centroid_distance,task_init,0.1,2.8464410305023193,70,64,6
c8_assigned_radius,8,assigned_radius,episode,0.02,1.5254849195480347,554,544,10
c8_assigned_radius,8,assigned_radius,episode,0.03,1.445563793182373,554,539,15
c8_assigned_radius,8,assigned_radius,episode,0.05,1.304718255996704,554,528,26
c8_assigned_radius,8,assigned_radius,episode,0.1,1.2202380895614624,554,500,54
c8_assigned_radius,8,assigned_radius,task_init,0.02,2.2290420532226562,70,70,0
c8_assigned_radius,8,assigned_radius,task_init,0.03,1.702702283859253,70,69,1
c8_assigned_radius,8,assigned_radius,task_init,0.05,1.6371053457260132,70,68,2
c8_assigned_radius,8,assigned_radius,task_init,0.1,1.498759150505066,70,64,6
c8_union_radius,8,union_radius,episode,0.02,1.5070942640304565,554,544,10
c8_union_radius,8,union_radius,episode,0.03,1.3788244724273682,554,539,15
c8_union_radius,8,union_radius,episode,0.05,1.2846698760986328,554,528,26
c8_union_radius,8,union_radius,episode,0.1,1.2048829793930054,554,500,54
c8_union_radius,8,union_radius,task_init,0.02,2.063516616821289,70,70,0
c8_union_radius,8,union_radius,task_init,0.03,1.702702283859253,70,69,1
c8_union_radius,8,union_radius,task_init,0.05,1.6371053457260132,70,68,2
c8_union_radius,8,union_radius,task_init,0.1,1.4839025735855103,70,64,6
c16_centroid_distance,16,centroid_distance,episode,0.02,2.456648826599121,554,544,10
c16_centroid_distance,16,centroid_distance,episode,0.03,2.419203758239746,554,539,15
c16_centroid_distance,16,centroid_distance,episode,0.05,2.241588592529297,554,528,26
c16_centroid_distance,16,centroid_distance,episode,0.1,2.0430595874786377,554,500,54
c16_centroid_distance,16,centroid_distance,task_init,0.02,3.5652031898498535,70,70,0
c16_centroid_distance,16,centroid_distance,task_init,0.03,3.0083556175231934,70,69,1
