run,comparison,relative_query,signal,raw_auc,raw_auc_ci_low,raw_auc_ci_high,mixed_cells,positive_events_in_cells,control_events_in_cells,direction_frozen_from_A,oriented_auc
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,2,back_chunk_jump,0.7566445182724252,0.6647286821705427,0.8460755813953488,43,87,172,high,0.7566445182724252
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,2,front_action_distance_to_healthy,0.7797619047619048,0.655827380952381,0.8889434523809525,40,76,169,high,0.7797619047619048
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,3,layer5_state_action_gap,0.6578373015873016,0.5419479875283446,0.7601658163265306,42,86,163,high,0.6578373015873016
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,3,front_state_action_gap,0.8152210884353743,0.708922193877551,0.9077416383219956,42,86,163,high,0.8152210884353743
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,3,back_state_action_gap,0.6450255102040815,0.5313049178004536,0.7492963435374148,42,86,163,high,0.6450255102040815
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,3,front_chunk_jump,0.7077239229024944,0.6012471655328798,0.801393140589569,42,86,163,high,0.7077239229024944
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,3,back_chunk_jump,0.8165532879818594,0.7277678571428571,0.9022746598639455,42,86,163,high,0.8165532879818594
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,3,front_action_distance_to_healthy,0.8273809523809523,0.7089598997493735,0.9260651629072681,38,74,159,high,0.8273809523809523
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,4,layer5_state_action_gap,0.6238095238095237,0.508875,0.733642857142857,40,84,153,high,0.6238095238095237
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,4,front_state_action_gap,0.8264880952380953,0.7315252976190476,0.9134002976190475,40,84,153,high,0.8264880952380953
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,4,back_state_action_gap,0.5546130952380952,0.43684300595238096,0.6776912202380952,40,84,153,high,0.5546130952380952
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,4,front_chunk_jump,0.6870238095238095,0.5909642857142857,0.7815922619047619,40,84,153,high,0.6870238095238095
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,4,back_chunk_jump,0.624717261904762,0.4966067708333333,0.7420844494047617,40,84,153,high,0.624717261904762
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,4,front_action_distance_to_healthy,0.668918918918919,0.527027027027027,0.8041103603603601,37,73,150,high,0.668918918918919
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,5,layer5_state_action_gap,0.8938797313797314,0.8109603937728938,0.9611584249084251,39,83,142,high,0.8938797313797314
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,5,front_state_action_gap,0.9249694749694749,0.8461477411477412,0.9839484126984127,39,83,142,high,0.9249694749694749
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,5,back_state_action_gap,0.5025641025641026,0.38307692307692304,0.6271169108669109,39,83,142,low,0.49743589743589745
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,5,front_chunk_jump,0.6018620268620268,0.49627518315018315,0.7081532356532356,39,83,142,high,0.6018620268620268
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,5,back_chunk_jump,0.594368131868132,0.4903930097680097,0.6946050824175823,39,83,142,low,0.405631868131868
seed1008_1015,belief_mismatch_vs_successful_coupled_grasp,5,front_action_distance_to_healthy,0.7390476190476191,0.6171428571428573,0.847642857142857,35,67,138,high,0.7390476190476191
