query,executed_actions_before_query,standardized_vector_norm,euclidean_score,euclidean_threshold,euclidean_ratio,euclidean_current_exceeds,euclidean_alarm_latched,cosine_score,cosine_threshold,cosine_ratio,cosine_current_exceeds,cosine_alarm_latched
22,220,1.771748541295003,1.0565667,4.067817211151123,0.259738,False,False,0.09628484,0.4215928316116333,0.22838348,False,False
23,230,1.8034803597943978,0.87321377,4.067817211151123,0.21466397,False,False,0.067746766,0.4215928316116333,0.16069241,False,False
24,240,1.4896833737720419,0.93429154,4.067817211151123,0.22967884,False,False,0.17044018,0.4215928316116333,0.40427676,False,False
25,250,1.461332193233978,0.9836256,4.067817211151123,0.24180673,False,False,0.14980881,0.4215928316116333,0.35534003,False,False
26,260,2.3637109223927815,1.3935008,4.067817211151123,0.3425672,False,False,0.16321743,0.4215928316116333,0.38714468,False,False
27,270,3.1266722201089867,1.6730268,4.067817211151123,0.41128367,False,False,0.14141347,0.4215928316116333,0.33542663,False,False
28,280,4.032784000792118,2.0845816,4.067817211151123,0.5124571,False,False,0.11627692,0.4215928316116333,0.27580383,False,False
29,290,5.2682365402313795,2.4242926,4.067817211151123,0.5959689,False,False,0.07548247,0.4215928316116333,0.17904116,False,False
30,300,8.00452683064133,2.6975267,4.067817211151123,0.6631386,False,False,0.04138698,0.4215928316116333,0.098168135,False,False
31,310,10.643792355154453,2.9319727,4.067817211151123,0.720773,False,False,0.021391382,0.4215928316116333,0.050739437,False,False
32,320,12.30006827869286,3.1511686,4.067817211151123,0.7746584,False,False,0.0136487335,0.4215928316116333,0.032374207,False,False
33,330,14.620795198981675,4.6653957,4.067817211151123,1.146904,True,True,0.013039546,0.4215928316116333,0.030929241,False,False
34,340,15.067176455521684,4.9804235,4.067817211151123,1.224348,True,True,0.012999203,0.4215928316116333,0.030833548,False,False
35,350,14.282936037493943,4.4061213,4.067817211151123,1.083166,True,True,0.014100896,0.4215928316116333,0.033446718,False,False
36,360,13.393702220014392,3.7450747,4.067817211151123,0.92065954,False,True,0.015004284,0.4215928316116333,0.035589512,False,False
37,370,12.249328346411971,3.0045235,4.067817211151123,0.7386083,False,True,0.015707748,0.4215928316116333,0.0372581,False,False
38,380,12.122335198858773,2.9608598,4.067817211151123,0.72787434,False,True,0.014894381,0.4215928316116333,0.035328828,False,False
39,390,12.796070324925225,3.2713447,4.067817211151123,0.8042015,False,True,0.012315201,0.4215928316116333,0.029211124,False,False
40,400,13.665964742212424,4.0392127,4.067817211151123,0.9929681,False,True,0.013694257,0.4215928316116333,0.032482184,False,False
41,410,14.067392528520692,4.485991,4.067817211151123,1.1028005,True,True,0.014261194,0.4215928316116333,0.033826936,False,False
42,420,13.904675481910472,4.512368,4.067817211151123,1.1092849,True,True,0.016061356,0.4215928316116333,0.038096845,False,False
43,430,14.811842390987527,5.196778,4.067817211151123,1.2775347,True,True,0.018339312,0.4215928316116333,0.043500055,False,False
44,440,14.266054384193422,5.0428715,4.067817211151123,1.2396996,True,True,0.022062352,0.4215928316116333,0.052330945,False,False
45,450,13.90844132941175,4.8602567,4.067817211151123,1.194807,True,True,0.023322731,0.4215928316116333,0.055320513,False,False
46,460,13.710313197824508,4.746822,4.067817211151123,1.1669211,True,True,0.022690438,0.4215928316116333,0.05382074,False,False
47,470,13.829841345038993,4.882927,4.067817211151123,1.2003801,True,True,0.02448495,0.4215928316116333,0.058077242,False,False
48,480,14.123747576464577,4.9960723,4.067817211151123,1.2281948,True,True,0.023127291,0.4215928316116333,0.054856937,False,False
49,490,13.868986246783928,4.8127937,4.067817211151123,1.1831391,True,True,0.022358496,0.4215928316116333,0.053033385,False,False
50,500,13.64397298181827,4.720733,4.067817211151123,1.1605077,True,True,0.02284382,0.4215928316116333,0.054184552,False,False
51,510,14.000413721792652,4.938666,4.067817211151123,1.2140826,True,True,0.02313252,0.4215928316116333,0.05486934,False,False
