method,scope,failure,query,count,episodes
cosine,unseen,True,23,0,491
cosine,unseen,True,24,0,491
cosine,unseen,True,25,0,491
cosine,unseen,True,26,0,491
cosine,unseen,True,27,0,491
cosine,unseen,True,28,0,491
cosine,unseen,True,29,0,491
cosine,unseen,True,30,0,491
cosine,unseen,True,31,0,491
cosine,unseen,True,32,0,491
cosine,unseen,True,33,0,491
cosine,unseen,True,34,0,491
cosine,unseen,True,35,0,491
cosine,unseen,True,36,0,491
cosine,unseen,True,37,0,491
cosine,unseen,True,38,1,491
cosine,unseen,True,39,0,491
cosine,unseen,True,40,0,491
cosine,unseen,True,41,0,491
cosine,unseen,True,42,0,491
cosine,unseen,True,43,0,491
cosine,unseen,True,44,0,491
cosine,unseen,True,45,0,491
cosine,unseen,True,46,0,491
cosine,unseen,True,47,0,491
cosine,unseen,True,48,0,491
cosine,unseen,True,49,0,491
cosine,unseen,True,50,0,491
cosine,unseen,True,51,0,491
euclidean,seen,False,-1,6400,6469
euclidean,seen,False,0,0,6469
euclidean,seen,False,1,0,6469
euclidean,seen,False,2,0,6469
euclidean,seen,False,3,0,6469
euclidean,seen,False,4,0,6469
euclidean,seen,False,5,0,6469
euclidean,seen,False,6,0,6469
euclidean,seen,False,7,0,6469
euclidean,seen,False,8,3,6469
euclidean,seen,False,9,2,6469
euclidean,seen,False,10,9,6469
euclidean,seen,False,11,11,6469
euclidean,seen,False,12,10,6469
euclidean,seen,False,13,5,6469
euclidean,seen,False,14,1,6469
euclidean,seen,False,15,2,6469
euclidean,seen,False,16,1,6469
euclidean,seen,False,17,0,6469
euclidean,seen,False,18,2,6469
euclidean,seen,False,19,1,6469
euclidean,seen,False,20,1,6469
euclidean,seen,False,21,1,6469
euclidean,seen,False,22,2,6469
euclidean,seen,False,23,1,6469
euclidean,seen,False,24,3,6469
euclidean,seen,False,25,4,6469
euclidean,seen,False,26,0,6469
euclidean,seen,False,27,2,6469
euclidean,seen,False,28,0,6469
euclidean,seen,False,29,0,6469
euclidean,seen,False,30,0,6469
euclidean,seen,False,31,0,6469
euclidean,seen,False,32,3,6469
euclidean,seen,False,33,3,6469
euclidean,seen,False,34,1,6469
euclidean,seen,False,35,1,6469
euclidean,seen,False,36,0,6469
euclidean,seen,False,37,0,6469
euclidean,seen,False,38,0,6469
euclidean,seen,False,39,0,6469
euclidean,seen,False,40,0,6469
euclidean,seen,False,41,0,6469
euclidean,seen,False,42,0,6469
euclidean,seen,False,43,0,6469
euclidean,seen,False,44,0,6469
euclidean,seen,False,45,0,6469
euclidean,seen,False,46,0,6469
euclidean,seen,False,47,0,6469
euclidean,seen,False,48,0,6469
euclidean,seen,False,49,0,6469
euclidean,seen,False,50,0,6469
euclidean,seen,False,51,0,6469
euclidean,seen,True,-1,57,251
euclidean,seen,True,0,0,251
euclidean,seen,True,1,0,251
euclidean,seen,True,2,0,251
euclidean,seen,True,3,0,251
euclidean,seen,True,4,0,251
euclidean,seen,True,5,0,251
euclidean,seen,True,6,0,251
euclidean,seen,True,7,0,251
euclidean,seen,True,8,0,251
euclidean,seen,True,9,0,251
euclidean,seen,True,10,0,251
euclidean,seen,True,11,12,251
euclidean,seen,True,12,22,251
euclidean,seen,True,13,23,251
euclidean,seen,True,14,22,251
euclidean,seen,True,15,15,251
euclidean,seen,True,16,10,251
euclidean,seen,True,17,5,251
euclidean,seen,True,18,3,251
euclidean,seen,True,19,2,251
euclidean,seen,True,20,1,251
euclidean,seen,True,21,3,251
euclidean,seen,True,22,12,251
euclidean,seen,True,23,5,251
euclidean,seen,True,24,1,251
euclidean,seen,True,25,2,251
euclidean,seen,True,26,0,251
euclidean,seen,True,27,3,251
euclidean,seen,True,28,3,251
euclidean,seen,True,29,0,251
euclidean,seen,True,30,4,251
euclidean,seen,True,31,2,251
euclidean,seen,True,32,6,251
euclidean,seen,True,33,9,251
euclidean,seen,True,34,5,251
euclidean,seen,True,35,6,251
euclidean,seen,True,36,5,251
euclidean,seen,True,37,4,251
euclidean,seen,True,38,1,251
euclidean,seen,True,39,1,251
euclidean,seen,True,40,1,251
euclidean,seen,True,41,1,251
euclidean,seen,True,42,2,251
euclidean,seen,True,43,1,251
euclidean,seen,True,44,2,251
euclidean,seen,True,45,0,251
euclidean,seen,True,46,0,251
euclidean,seen,True,47,0,251
euclidean,seen,True,48,0,251
euclidean,seen,True,49,0,251
euclidean,seen,True,50,0,251
euclidean,seen,True,51,0,251
euclidean,unseen,False,-1,13062,13909
euclidean,unseen,False,0,0,13909
euclidean,unseen,False,1,0,13909
euclidean,unseen,False,2,0,13909
euclidean,unseen,False,3,0,13909
euclidean,unseen,False,4,0,13909
euclidean,unseen,False,5,0,13909
euclidean,unseen,False,6,0,13909
euclidean,unseen,False,7,0,13909
euclidean,unseen,False,8,82,13909
euclidean,unseen,False,9,201,13909
euclidean,unseen,False,10,252,13909
euclidean,unseen,False,11,90,13909
euclidean,unseen,False,12,55,13909
euclidean,unseen,False,13,53,13909
euclidean,unseen,False,14,46,13909
euclidean,unseen,False,15,6,13909
euclidean,unseen,False,16,5,13909
euclidean,unseen,False,17,9,13909
euclidean,unseen,False,18,6,13909
euclidean,unseen,False,19,4,13909
euclidean,unseen,False,20,7,13909
euclidean,unseen,False,21,9,13909
euclidean,unseen,False,22,3,13909
euclidean,unseen,False,23,0,13909
euclidean,unseen,False,24,1,13909
euclidean,unseen,False,25,1,13909
euclidean,unseen,False,26,3,13909
euclidean,unseen,False,27,0,13909
euclidean,unseen,False,28,0,13909
euclidean,unseen,False,29,1,13909
euclidean,unseen,False,30,3,13909
euclidean,unseen,False,31,3,13909
euclidean,unseen,False,32,3,13909
euclidean,unseen,False,33,0,13909
euclidean,unseen,False,34,4,13909
euclidean,unseen,False,35,0,13909
euclidean,unseen,False,36,0,13909
euclidean,unseen,False,37,0,13909
euclidean,unseen,False,38,0,13909
euclidean,unseen,False,39,0,13909
euclidean,unseen,False,40,0,13909
euclidean,unseen,False,41,0,13909
euclidean,unseen,False,42,0,13909
euclidean,unseen,False,43,0,13909
euclidean,unseen,False,44,0,13909
euclidean,unseen,False,45,0,13909
euclidean,unseen,False,46,0,13909
euclidean,unseen,False,47,0,13909
euclidean,unseen,False,48,0,13909
euclidean,unseen,False,49,0,13909
euclidean,unseen,False,50,0,13909
euclidean,unseen,False,51,0,13909
euclidean,unseen,True,-1,50,491
euclidean,unseen,True,0,0,491
euclidean,unseen,True,1,0,491
euclidean,unseen,True,2,0,491
euclidean,unseen,True,3,0,491
euclidean,unseen,True,4,0,491
euclidean,unseen,True,5,0,491
euclidean,unseen,True,6,0,491
euclidean,unseen,True,7,0,491
euclidean,unseen,True,8,4,491
euclidean,unseen,True,9,8,491
euclidean,unseen,True,10,16,491
euclidean,unseen,True,11,32,491
euclidean,unseen,True,12,35,491
euclidean,unseen,True,13,39,491
euclidean,unseen,True,14,26,491
euclidean,unseen,True,15,19,491
euclidean,unseen,True,16,19,491
euclidean,unseen,True,17,23,491
euclidean,unseen,True,18,13,491
euclidean,unseen,True,19,4,491
euclidean,unseen,True,20,4,491
euclidean,unseen,True,21,6,491
euclidean,unseen,True,22,16,491
euclidean,unseen,True,23,2,491
euclidean,unseen,True,24,2,491
euclidean,unseen,True,25,1,491
euclidean,unseen,True,26,0,491
euclidean,unseen,True,27,1,491
euclidean,unseen,True,28,6,491
euclidean,unseen,True,29,11,491
euclidean,unseen,True,30,13,491
euclidean,unseen,True,31,20,491
euclidean,unseen,True,32,26,491
euclidean,unseen,True,33,22,491
euclidean,unseen,True,34,14,491
euclidean,unseen,True,35,4,491
euclidean,unseen,True,36,5,491
euclidean,unseen,True,37,2,491
euclidean,unseen,True,38,2,491
euclidean,unseen,True,39,3,491
euclidean,unseen,True,40,2,491
euclidean,unseen,True,41,5,491
euclidean,unseen,True,42,2,491
euclidean,unseen,True,43,7,491
euclidean,unseen,True,44,5,491
euclidean,unseen,True,45,6,491
euclidean,unseen,True,46,5,491
euclidean,unseen,True,47,6,491
euclidean,unseen,True,48,1,491
euclidean,unseen,True,49,2,491
euclidean,unseen,True,50,2,491
euclidean,unseen,True,51,0,491
