suite,method,scope,task,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_goal,euclidean,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,240,2,238,2,0,0,238,1.0,0.0,1.0
libero_goal,euclidean,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,0,80,,0.0,
libero_goal,euclidean,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,3,0,397,,0.0075,0.0
libero_goal,euclidean,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,50,20,1,329,0.9803921568627451,0.05730659025787966,0.7142857142857143
libero_goal,euclidean,unseen,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,399,1,387,0,12,1.0,0.9699248120300752,0.002577319587628866
libero_goal,euclidean,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,1,0,381,1.0,0.002617801047120419,0.9473684210526315
libero_goal,euclidean,unseen,libero_goal/put_the_bowl_on_the_stove,800,18,782,18,0,0,782,1.0,0.0,1.0
libero_goal,euclidean,unseen,libero_goal/put_the_wine_bottle_on_the_rack,400,1,399,1,93,0,306,1.0,0.23308270676691728,0.010638297872340425
libero_goal,euclidean,unseen,libero_goal/turn_on_the_stove,800,0,800,0,0,0,800,,0.0,
libero_long,cosine,seen,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,160,1,159,0,0,1,159,0.0,0.0,
libero_long,cosine,seen,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,160,1,159,0,0,1,159,0.0,0.0,
libero_long,cosine,seen,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,160,43,117,0,1,43,116,0.0,0.008547008547008548,0.0
libero_long,cosine,seen,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,160,8,152,0,4,8,148,0.0,0.02631578947368421,0.0
libero_long,cosine,seen,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,240,0,240,0,0,0,240,,0.0,
libero_long,cosine,seen,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,160,2,158,0,2,2,156,0.0,0.012658227848101266,0.0
libero_long,cosine,seen,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,240,19,221,0,0,19,221,0.0,0.0,
libero_long,cosine,seen,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,160,27,133,0,0,27,133,0.0,0.0,
libero_long,cosine,seen,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,240,8,232,0,1,8,231,0.0,0.004310344827586207,0.0
libero_long,cosine,unseen,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,396,0,4,4,392,0.0,0.010101010101010102,0.0
libero_long,cosine,unseen,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1200,3,1197,0,9,3,1188,0.0,0.007518796992481203,0.0
libero_long,cosine,unseen,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,399,0,3,1,396,0.0,0.007518796992481203,0.0
libero_long,cosine,unseen,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,249,0,0,151,249,0.0,0.0,
