method,task,query,successes,failures,success_zero_fraction,failure_zero_fraction,zero_cross_class_tie_fraction
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,16,396,4,0.9848484848484849,1.0,0.9848484848484849
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,17,396,4,0.9646464646464646,1.0,0.9646464646464646
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,18,396,4,0.8611111111111112,0.5,0.4305555555555556
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,19,396,4,0.7045454545454546,0.5,0.3522727272727273
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,20,396,4,0.6565656565656566,0.5,0.3282828282828283
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,21,396,4,0.7272727272727273,0.5,0.36363636363636365
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,22,393,4,0.8447837150127226,0.5,0.4223918575063613
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,23,335,4,0.9134328358208955,0.5,0.45671641791044776
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,24,225,4,0.9511111111111111,0.5,0.47555555555555556
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,25,106,4,0.9245283018867925,0.5,0.46226415094339623
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,26,47,4,0.9361702127659575,0.5,0.46808510638297873
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,27,12,4,0.9166666666666666,0.5,0.4583333333333333
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,28,3,4,0.3333333333333333,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,29,1,4,0.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,8,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,9,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,10,399,1,1.0,1.0,1.0
