calibration,alpha,method,baseline,scope,metric,delta,lo,hi,bootstrap
episode,0.01,absolute_state_trap,ac_reference,all,recall,0.008865248226950355,-0.007941899585921324,0.021239126074857728,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,ac_reference,all,fpr,0.00045348535890126976,-0.0014554822241946474,0.002865248082688071,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,ac_reference,excluding_S05,recall,0.005555555555555556,-0.010949155084491551,0.017762779466887476,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,ac_reference,excluding_S05,fpr,0.00039840637450199205,-0.0015845849446609666,0.0028789400694114024,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,v82_frozen,all,recall,0.044326241134751775,0.02519920130214248,0.06481513409961685,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,v82_frozen,all,fpr,0.006737496760818865,0.0031674722916337538,0.01148753833581396,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,v82_frozen,excluding_S05,recall,0.040740740740740744,0.020230948231893912,0.06030670870274939,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,v82_frozen,excluding_S05,fpr,0.0068393094289508636,0.003154744321849781,0.011710545577790782,2000 task clusters stratified by suite
episode,0.01,leaky_ac,old_ac,all,recall,0.014184397163120567,-4.892367906066258e-05,0.02393410917142353,2000 task clusters stratified by suite
episode,0.01,leaky_ac,old_ac,all,fpr,0.0009069707178025395,-0.0014275194274819966,0.004421305462727431,2000 task clusters stratified by suite
episode,0.01,leaky_ac,old_ac,excluding_S05,recall,0.014814814814814815,0.0,0.02456736278995842,2000 task clusters stratified by suite
episode,0.01,leaky_ac,old_ac,excluding_S05,fpr,0.0009296148738379814,-0.0014630991888893326,0.004531550931154002,2000 task clusters stratified by suite
episode,0.01,leaky_ac,ac_reference,all,recall,0.010638297872340425,-0.0053198600523381495,0.02133342816500711,2000 task clusters stratified by suite
episode,0.01,leaky_ac,ac_reference,all,fpr,-0.0005182689816014512,-0.002431891086266495,0.0020814734158615096,2000 task clusters stratified by suite
episode,0.01,leaky_ac,ac_reference,excluding_S05,recall,0.011111111111111112,-0.00555594243268338,0.021778844552856357,2000 task clusters stratified by suite
episode,0.01,leaky_ac,ac_reference,excluding_S05,fpr,-0.0005312084993359894,-0.002490211202543884,0.0021338530100498505,2000 task clusters stratified by suite
episode,0.01,leaky_ac,v82_frozen,all,recall,0.04609929078014184,0.027853218817703498,0.06753932837502817,2000 task clusters stratified by suite
episode,0.01,leaky_ac,v82_frozen,all,fpr,0.005765742420316144,0.0020894224244710257,0.010826236327182714,2000 task clusters stratified by suite
episode,0.01,leaky_ac,v82_frozen,excluding_S05,recall,0.046296296296296294,0.026528503963568897,0.06828220694101214,2000 task clusters stratified by suite
episode,0.01,leaky_ac,v82_frozen,excluding_S05,fpr,0.005909694555112882,0.0021406559265515893,0.011069767417003855,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,old_ac,all,recall,0.015957446808510637,-0.002882684568269465,0.029525095266493485,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,old_ac,all,fpr,0.000647836227001814,-0.0021726501611751435,0.004637295028702477,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,old_ac,excluding_S05,recall,0.016666666666666666,-0.003135042684489659,0.030249576392312502,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,old_ac,excluding_S05,fpr,0.0006640106241699867,-0.0022224497956115814,0.0047633035935165,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,ac_reference,all,recall,0.012411347517730497,-0.009034380968918215,0.027203451730499324,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,ac_reference,all,fpr,-0.0007774034724021767,-0.0031957424936773517,0.0023305955302035572,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,ac_reference,excluding_S05,recall,0.012962962962962963,-0.009554521073964586,0.027840432768540188,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,ac_reference,excluding_S05,fpr,-0.0007968127490039841,-0.0032688848453611783,0.0023990643742503,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,v82_frozen,all,recall,0.047872340425531915,0.02736044619668951,0.06578947368421052,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,v82_frozen,all,fpr,0.005506607929515419,0.002014841808550065,0.010717958302264706,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,v82_frozen,excluding_S05,recall,0.04814814814814815,0.0265284046310832,0.06717914783398345,2000 task clusters stratified by suite
episode,0.01,leaky_state_trap,v82_frozen,excluding_S05,fpr,0.005644090305444887,0.0020692128981819324,0.010994112556678943,2000 task clusters stratified by suite
task_init,0.01,ac_reference,old_ac,all,recall,-0.005319148936170213,-0.013752878479959693,0.0,2000 task clusters stratified by suite
task_init,0.01,ac_reference,old_ac,all,fpr,-0.00045348535890126976,-0.0008415437852008275,-6.517194804515267e-05,2000 task clusters stratified by suite
task_init,0.01,ac_reference,old_ac,excluding_S05,recall,-0.005555555555555556,-0.014601223701159296,0.0,2000 task clusters stratified by suite
task_init,0.01,ac_reference,old_ac,excluding_S05,fpr,-0.0004648074369189907,-0.0008617461145624252,-6.686034230252512e-05,2000 task clusters stratified by suite
task_init,0.01,ac_reference,v82_frozen,all,recall,0.0017730496453900709,0.0,0.007263922518159807,2000 task clusters stratified by suite
task_init,0.01,ac_reference,v82_frozen,all,fpr,0.0005830526043016325,0.00012946596917986098,0.0011029203313819443,2000 task clusters stratified by suite
task_init,0.01,ac_reference,v82_frozen,excluding_S05,recall,0.001851851851851852,0.0,0.007733212322997306,2000 task clusters stratified by suite
task_init,0.01,ac_reference,v82_frozen,excluding_S05,fpr,0.000597609561752988,0.0001328947862712335,0.0011289980121891492,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,old_ac,all,recall,0.005319148936170213,0.0,0.014970184423166976,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,old_ac,all,fpr,-0.00019435086810054417,-0.0005198873146386932,0.00012768633647911647,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,old_ac,excluding_S05,recall,0.005555555555555556,0.0,0.015384615384615385,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,old_ac,excluding_S05,fpr,-0.00019920318725099602,-0.0005333093441844558,0.00013075789232082344,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,ac_reference,all,recall,0.010638297872340425,0.003246753246753247,0.0221606648199446,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,ac_reference,all,fpr,0.0002591344908007256,-6.424371573961382e-05,0.0005875853024296452,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,ac_reference,excluding_S05,recall,0.011111111111111112,0.0035580901122945563,0.02373083131557707,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,ac_reference,excluding_S05,fpr,0.0002656042496679947,-6.590730501342819e-05,0.0006029403414289286,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,v82_frozen,all,recall,0.012411347517730497,0.004182803693073758,0.026948130765496025,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,v82_frozen,all,fpr,0.0008421870951023582,0.00045566612809552634,0.0012518324653632033,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,v82_frozen,excluding_S05,recall,0.012962962962962963,0.00434087052362241,0.02872203542648909,2000 task clusters stratified by suite
task_init,0.01,absolute_acc,v82_frozen,excluding_S05,fpr,0.0008632138114209827,0.0004671275691084936,0.001280642859237395,2000 task clusters stratified by suite
task_init,0.01,absolute_both,old_ac,all,recall,0.0,-0.01098901098901099,0.010792480566630281,2000 task clusters stratified by suite
task_init,0.01,absolute_both,old_ac,all,fpr,-0.000323918113500907,-0.0012266948261857253,0.0007016951228484128,2000 task clusters stratified by suite
task_init,0.01,absolute_both,old_ac,excluding_S05,recall,0.0,-0.011721056840551181,0.011014510635445793,2000 task clusters stratified by suite
task_init,0.01,absolute_both,old_ac,excluding_S05,fpr,-0.00033200531208499334,-0.0012578075354692025,0.0007192445353725449,2000 task clusters stratified by suite
task_init,0.01,absolute_both,ac_reference,all,recall,0.005319148936170213,0.0,0.014970184423166976,2000 task clusters stratified by suite
task_init,0.01,absolute_both,ac_reference,all,fpr,0.0001295672454003628,-0.0006421947813710772,0.0010372788287591546,2000 task clusters stratified by suite
task_init,0.01,absolute_both,ac_reference,excluding_S05,recall,0.005555555555555556,0.0,0.015384615384615385,2000 task clusters stratified by suite
task_init,0.01,absolute_both,ac_reference,excluding_S05,fpr,0.00013280212483399734,-0.000657496849353484,0.0010640351025413659,2000 task clusters stratified by suite
task_init,0.01,absolute_both,v82_frozen,all,recall,0.0070921985815602835,0.0,0.01930665532360447,2000 task clusters stratified by suite
task_init,0.01,absolute_both,v82_frozen,all,fpr,0.0007126198497019953,0.00019559073364034424,0.0014057507987220448,2000 task clusters stratified by suite
task_init,0.01,absolute_both,v82_frozen,excluding_S05,recall,0.007407407407407408,0.0,0.01951722178512105,2000 task clusters stratified by suite
task_init,0.01,absolute_both,v82_frozen,excluding_S05,fpr,0.0007304116865869854,0.00020089666888622993,0.0014391454146957048,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,old_ac,all,recall,0.0017730496453900709,-0.004878346949728666,0.007143497183819761,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,old_ac,all,fpr,-0.0002591344908007256,-0.0005293586895873854,0.0,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,old_ac,excluding_S05,recall,0.001851851851851852,-0.004696323742773599,0.0075959029857957236,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,old_ac,excluding_S05,fpr,-0.0002656042496679947,-0.0005447810720103348,0.0,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,ac_reference,all,recall,0.0070921985815602835,0.0,0.016552295675366733,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,ac_reference,all,fpr,0.00019435086810054417,-6.43014458234239e-05,0.00045549637887006754,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,ac_reference,excluding_S05,recall,0.007407407407407408,0.0,0.01818347710683476,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,ac_reference,excluding_S05,fpr,0.00019920318725099602,-6.596741209842338e-05,0.0004664847394375583,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,v82_frozen,all,recall,0.008865248226950355,0.0020039078156312623,0.020340712556208913,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,v82_frozen,all,fpr,0.0007774034724021767,0.00032804915536325684,0.0013043953340513019,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,v82_frozen,excluding_S05,recall,0.009259259259259259,0.0022171722622294607,0.02200856519451578,2000 task clusters stratified by suite
task_init,0.01,persistent_ac,v82_frozen,excluding_S05,fpr,0.0007968127490039841,0.0003362542910327829,0.0013364497098494596,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,old_ac,all,recall,-0.005319148936170213,-0.013752878479959693,0.0,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,old_ac,all,fpr,-0.0007774034724021767,-0.0013004282094418718,-0.0003219740896072161,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,old_ac,excluding_S05,recall,-0.005555555555555556,-0.014601223701159296,0.0,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,old_ac,excluding_S05,fpr,-0.0007968127490039841,-0.0013333377783704495,-0.00033047584662513984,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,ac_reference,all,recall,0.0,0.0,0.0,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,ac_reference,all,fpr,-0.000323918113500907,-0.0006537134024603055,-6.380776003771088e-05,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,ac_reference,excluding_S05,recall,0.0,0.0,0.0,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,ac_reference,excluding_S05,fpr,-0.00033200531208499334,-0.0006705592638510605,-6.53410076937907e-05,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,v82_frozen,all,recall,0.0017730496453900709,0.0,0.007263922518159807,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,v82_frozen,all,fpr,0.0002591344908007256,0.0,0.0005750513998561399,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,v82_frozen,excluding_S05,recall,0.001851851851851852,0.0,0.007733212322997306,2000 task clusters stratified by suite
task_init,0.01,joint_stop_or,v82_frozen,excluding_S05,fpr,0.0002656042496679947,0.0,0.0005896265053537427,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,old_ac,all,recall,0.005319148936170213,0.0,0.013700991969768527,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,old_ac,all,fpr,-0.00019435086810054417,-0.0006686849896584829,0.00025893696879408036,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,old_ac,excluding_S05,recall,0.003703703703703704,0.0,0.01230800821355236,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,old_ac,excluding_S05,fpr,-0.00019920318725099602,-0.0006867837238398732,0.0002654478194780906,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,ac_reference,all,recall,0.010638297872340425,0.003349250397926615,0.021377989762089242,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,ac_reference,all,fpr,0.0002591344908007256,-0.00013073711252114395,0.0007038682364985923,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,ac_reference,excluding_S05,recall,0.009259259259259259,0.0019047619047619048,0.020887923307743268,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,ac_reference,excluding_S05,fpr,0.0002656042496679947,-0.0001342223354735058,0.0007221437566361793,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,v82_frozen,all,recall,0.012411347517730497,0.004414767920179712,0.02549756148596445,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,v82_frozen,all,fpr,0.0008421870951023582,0.0005114108546953909,0.0012149269842475251,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,v82_frozen,excluding_S05,recall,0.011111111111111112,0.003277627460342724,0.025081662759147527,2000 task clusters stratified by suite
task_init,0.01,absolute_state_trap,v82_frozen,excluding_S05,fpr,0.0008632138114209827,0.0005237916018883592,0.0012437057862012685,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,old_ac,all,recall,-0.0017730496453900709,-0.009554750225736389,0.0030770416024653306,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,old_ac,all,fpr,-0.00045348535890126976,-0.000979174743529525,-6.41847493890678e-05,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,old_ac,excluding_S05,recall,-0.001851851851851852,-0.010363367202745442,0.003179776816906828,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,old_ac,excluding_S05,fpr,-0.0004648074369189907,-0.0010063973540389245,-6.569848994785419e-05,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,ac_reference,all,recall,0.0035460992907801418,0.0,0.008090778664360676,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,ac_reference,all,fpr,0.0,-0.0003923453503923344,0.0003872498013076282,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,ac_reference,excluding_S05,recall,0.003703703703703704,0.0,0.008197564595560949,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,ac_reference,excluding_S05,fpr,0.0,-0.0004017724884379728,0.0003966988068516649,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,v82_frozen,all,recall,0.005319148936170213,0.0,0.012195867374321661,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,v82_frozen,all,fpr,0.0005830526043016325,0.00013311824147241535,0.0010973600557110782,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,v82_frozen,excluding_S05,recall,0.005555555555555556,0.0,0.012605373379635765,2000 task clusters stratified by suite
task_init,0.01,leaky_ac,v82_frozen,excluding_S05,fpr,0.000597609561752988,0.0001360865986620593,0.0011240505522099832,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,old_ac,all,recall,0.0017730496453900709,0.0,0.006550936566306592,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,old_ac,all,fpr,-0.0005830526043016325,-0.0011195313784017231,-0.00019256660800668027,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,old_ac,excluding_S05,recall,0.001851851851851852,0.0,0.007265474638355986,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,old_ac,excluding_S05,fpr,-0.000597609561752988,-0.001148192865823336,-0.0001972749763419267,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,ac_reference,all,recall,0.0070921985815602835,0.0,0.018326262261539376,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,ac_reference,all,fpr,-0.0001295672454003628,-0.0006053114589604224,0.00032666981361986145,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,ac_reference,excluding_S05,recall,0.007407407407407408,0.0,0.02012409873875371,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,ac_reference,excluding_S05,fpr,-0.00013280212483399734,-0.000622428648540765,0.0003338703089862623,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,v82_frozen,all,recall,0.008865248226950355,0.0015218970527189704,0.02250967170635755,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,v82_frozen,all,fpr,0.00045348535890126976,0.00012798690149006182,0.0008941502470204333,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,v82_frozen,excluding_S05,recall,0.009259259259259259,0.0017543091529173196,0.024456521739130436,2000 task clusters stratified by suite
task_init,0.01,leaky_state_trap,v82_frozen,excluding_S05,fpr,0.0004648074369189907,0.00013133125105756468,0.0009164912973840629,2000 task clusters stratified by suite
