worker,init_state_id,snapshot,candidate,episode_id,recorded_success,replayed_success,on__moka_pot_1__flat_stove_1_cook_region,on__moka_pot_2__flat_stove_1_cook_region,turnon__flat_stove_1
1,20,4,11,200000411,False,False,False,False,True
1,20,4,12,200000412,False,False,False,False,True
1,20,4,13,200000413,False,False,False,False,True
1,20,4,14,200000414,False,False,False,False,True
1,20,4,15,200000415,False,False,False,False,True
2,3,0,0,300000000,False,False,False,True,True
2,3,0,1,300000001,False,False,False,True,True
2,3,0,2,300000002,False,False,False,True,True
2,3,0,3,300000003,False,False,False,True,True
2,3,0,4,300000004,False,False,False,True,True
2,3,0,5,300000005,False,False,False,True,True
2,3,0,6,300000006,False,False,False,True,True
2,3,0,7,300000007,False,False,False,True,True
2,3,0,8,300000008,False,False,False,True,True
2,3,0,9,300000009,False,False,False,True,True
2,3,0,10,300000010,False,False,False,True,True
2,3,0,11,300000011,False,False,False,True,True
2,3,0,12,300000012,False,False,False,True,True
2,3,0,13,300000013,False,False,False,False,True
2,3,0,14,300000014,False,False,False,True,True
2,3,0,15,300000015,False,False,False,True,True
2,3,1,0,300000100,False,False,False,True,True
2,3,1,1,300000101,False,False,False,False,True
2,3,1,2,300000102,False,False,False,True,True
2,3,1,3,300000103,False,False,False,True,True
2,3,1,4,300000104,True,True,True,True,True
2,3,1,5,300000105,False,False,False,True,True
2,3,1,6,300000106,False,False,False,True,True
2,3,1,7,300000107,False,False,False,True,True
2,3,1,8,300000108,False,False,False,True,True
2,3,1,9,300000109,False,False,False,True,True
2,3,1,10,300000110,False,False,False,True,True
2,3,1,11,300000111,False,False,False,False,True
2,3,1,12,300000112,False,False,False,True,True
2,3,1,13,300000113,False,False,False,True,True
2,3,1,14,300000114,False,False,False,True,True
2,3,1,15,300000115,False,False,False,True,True
2,3,2,0,300000200,False,False,False,True,True
2,3,2,1,300000201,True,True,True,True,True
2,3,2,2,300000202,True,True,True,True,True
2,3,2,3,300000203,False,False,False,True,True
2,3,2,4,300000204,False,False,False,True,True
2,3,2,5,300000205,False,False,False,False,True
2,3,2,6,300000206,False,False,False,True,True
2,3,2,7,300000207,False,False,False,True,True
2,3,2,8,300000208,False,False,False,True,True
2,3,2,9,300000209,False,False,False,False,True
2,3,2,10,300000210,False,False,False,False,True
2,3,2,11,300000211,False,False,False,True,True
2,3,2,12,300000212,False,False,False,True,True
2,3,2,13,300000213,False,False,False,True,True
2,3,2,14,300000214,False,False,False,True,True
2,3,2,15,300000215,False,False,False,False,True
