stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
grid,B,stagnation_vs_loop,back,0,state,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,state,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,state,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,action,3,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,action,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,action,8,main,,0.9912790697674418,128,41,,,
grid,B,stagnation_vs_loop,back,0,action,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,both,3,main,,1.0,128,41,,,
grid,B,stagnation_vs_loop,back,0,both,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,both,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,both,10,main,,0.9912790697674418,128,41,,,
grid,B,stagnation_vs_loop,front,9,state,3,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,state,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,9,state,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,9,state,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,9,action,3,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,action,5,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,action,8,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,action,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,9,both,3,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,both,5,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,both,8,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,9,both,10,main,,0.9912790697674418,128,41,,,
