fold,calibration,method,alpha,threshold,rank,units,attainable,no_exposure_units
2,episode,soft_sum_gap,0.005,10.917930296507262,3063,3077,True,238
2,episode,soft_sum_gap,0.01,9.558434128542096,3048,3077,True,238
2,episode,soft_sum_gap,0.02,7.721326298747703,3017,3077,True,238
2,episode,soft_sum_gap,0.05,5.676895785930915,2925,3077,True,238
2,task_init,soft_sum_gap,0.005,17.5772242161909,398,398,True,26
2,task_init,soft_sum_gap,0.01,13.012876024723063,396,398,True,26
2,task_init,soft_sum_gap,0.02,11.44165932510916,392,398,True,26
2,task_init,soft_sum_gap,0.05,9.47433508155003,380,398,True,26
2,episode,two_of_three,0.005,4.872505821334107,3063,3077,True,238
2,episode,two_of_three,0.01,4.4077978796630815,3048,3077,True,238
2,episode,two_of_three,0.02,3.271554522777325,3017,3077,True,238
2,episode,two_of_three,0.05,2.4258813581171235,2925,3077,True,238
2,task_init,two_of_three,0.005,8.442038517815478,398,398,True,26
2,task_init,two_of_three,0.01,6.6502790485874215,396,398,True,26
2,task_init,two_of_three,0.02,5.092134430540872,392,398,True,26
2,task_init,two_of_three,0.05,4.229910919936993,380,398,True,26
2,episode,lagged_agreement,0.005,4.872505821334107,3063,3077,True,238
2,episode,lagged_agreement,0.01,4.298903791423944,3048,3077,True,238
2,episode,lagged_agreement,0.02,3.2463077400425413,3017,3077,True,238
2,episode,lagged_agreement,0.05,2.464419377529548,2925,3077,True,238
2,task_init,lagged_agreement,0.005,8.442038517815478,398,398,True,26
2,task_init,lagged_agreement,0.01,6.496128368760163,396,398,True,26
2,task_init,lagged_agreement,0.02,5.092134430540872,392,398,True,26
2,task_init,lagged_agreement,0.05,3.9876912215619695,380,398,True,26
2,episode,state_adjustment_or,0.005,6.362596976135641,3063,3077,True,238
2,episode,state_adjustment_or,0.01,5.608825173759261,3048,3077,True,238
2,episode,state_adjustment_or,0.02,4.753159063701541,3017,3077,True,238
2,episode,state_adjustment_or,0.05,3.7506906355863334,2925,3077,True,238
2,task_init,state_adjustment_or,0.005,9.135185698375421,398,398,True,26
2,task_init,state_adjustment_or,0.01,8.442038517815478,396,398,True,26
2,task_init,state_adjustment_or,0.02,7.189275549320109,392,398,True,26
2,task_init,state_adjustment_or,0.05,5.203360065651096,380,398,True,26
3,episode,ac_recalibrated,0.005,7.057897937411856,3082,3096,True,229
3,episode,ac_recalibrated,0.01,6.046297025733376,3067,3096,True,229
3,episode,ac_recalibrated,0.02,4.819851365555382,3036,3096,True,229
3,episode,ac_recalibrated,0.05,3.7620610714075275,2943,3096,True,229
3,task_init,ac_recalibrated,0.005,9.137339479091693,399,400,True,26
3,task_init,ac_recalibrated,0.01,8.444192298531748,397,400,True,26
3,task_init,ac_recalibrated,0.02,7.191429330036379,393,400,True,26
3,task_init,ac_recalibrated,0.05,5.330676989321373,381,400,True,26
3,episode,max_or_gap,0.005,7.057897937411856,3082,3096,True,229
3,episode,max_or_gap,0.01,6.304126135035476,3067,3096,True,229
3,episode,max_or_gap,0.02,5.287191877381634,3036,3096,True,229
3,episode,max_or_gap,0.05,3.9956759225890326,2943,3096,True,229
3,task_init,max_or_gap,0.005,9.137339479091693,399,400,True,26
3,task_init,max_or_gap,0.01,8.444192298531748,397,400,True,26
3,task_init,max_or_gap,0.02,7.345580009863637,393,400,True,26
3,task_init,max_or_gap,0.05,5.805134968916488,381,400,True,26
3,episode,soft_sum_gap,0.005,11.816340674838596,3082,3096,True,229
3,episode,soft_sum_gap,0.01,9.880331596765993,3067,3096,True,229
3,episode,soft_sum_gap,0.02,7.73795347784122,3036,3096,True,229
3,episode,soft_sum_gap,0.05,5.585180663075835,2943,3096,True,229
3,task_init,soft_sum_gap,0.005,14.978842092179057,399,400,True,26
3,task_init,soft_sum_gap,0.01,14.537009339900017,397,400,True,26
3,task_init,soft_sum_gap,0.02,12.034403113012615,393,400,True,26
3,task_init,soft_sum_gap,0.05,9.880331596765993,381,400,True,26
3,episode,two_of_three,0.005,5.4237674123873845,3082,3096,True,229
3,episode,two_of_three,0.01,4.730620231827439,3067,3096,True,229
3,episode,two_of_three,0.02,3.359687155869036,3036,3096,True,229
3,episode,two_of_three,0.05,2.4552308816418837,2943,3096,True,229
3,task_init,two_of_three,0.005,7.191429330036379,399,400,True,26
3,task_init,two_of_three,0.01,6.940114901755473,397,400,True,26
3,task_init,two_of_three,0.02,5.841502613087363,393,400,True,26
3,task_init,two_of_three,0.05,4.483379128934169,381,400,True,26
3,episode,lagged_agreement,0.005,5.353149845173431,3082,3096,True,229
3,episode,lagged_agreement,0.01,4.366654854626027,3067,3096,True,229
3,episode,lagged_agreement,0.02,3.3382468246311667,3036,3096,True,229
3,episode,lagged_agreement,0.05,2.4317003842316898,2943,3096,True,229
3,task_init,lagged_agreement,0.005,7.345580009863637,399,400,True,26
3,task_init,lagged_agreement,0.01,6.192900499925252,397,400,True,26
3,task_init,lagged_agreement,0.02,5.770043649105219,393,400,True,26
3,task_init,lagged_agreement,0.05,4.3010575721402144,381,400,True,26
3,episode,state_adjustment_or,0.005,7.057897937411856,3082,3096,True,229
3,episode,state_adjustment_or,0.01,6.046297025733376,3067,3096,True,229
3,episode,state_adjustment_or,0.02,4.947684737065267,3036,3096,True,229
3,episode,state_adjustment_or,0.05,3.906230862237106,2943,3096,True,229
3,task_init,state_adjustment_or,0.005,9.137339479091693,399,400,True,26
3,task_init,state_adjustment_or,0.01,8.444192298531748,397,400,True,26
3,task_init,state_adjustment_or,0.02,7.345580009863637,393,400,True,26
3,task_init,state_adjustment_or,0.05,5.4237674123873845,381,400,True,26
4,episode,ac_recalibrated,0.005,5.473239822511666,3068,3082,True,235
4,episode,ac_recalibrated,0.01,4.730082221377059,3053,3082,True,235
4,episode,ac_recalibrated,0.02,4.160067726220738,3022,3082,True,235
4,episode,ac_recalibrated,0.05,3.446442014317252,2929,3082,True,235
4,task_init,ac_recalibrated,0.005,7.750507107521422,399,400,True,26
4,task_init,ac_recalibrated,0.01,6.092279030917889,397,400,True,26
4,task_init,ac_recalibrated,0.02,5.473239822511666,393,400,True,26
4,task_init,ac_recalibrated,0.05,4.427271267328979,381,400,True,26
4,episode,max_or_gap,0.005,6.001307252712163,3068,3082,True,235
4,episode,max_or_gap,0.01,5.3081600721522175,3053,3082,True,235
4,episode,max_or_gap,0.02,4.56209049013793,3022,3082,True,235
4,episode,max_or_gap,0.05,3.7755093029318876,2929,3082,True,235
4,task_init,max_or_gap,0.005,8.038189179973203,399,400,True,26
4,task_init,max_or_gap,0.01,6.9395768913050935,397,400,True,26
4,task_init,max_or_gap,0.02,5.958747638293367,393,400,True,26
4,task_init,max_or_gap,0.05,5.093750200806762,381,400,True,26
4,episode,soft_sum_gap,0.005,10.647032730991965,3068,3082,True,235
4,episode,soft_sum_gap,0.01,8.677592084526458,3053,3082,True,235
4,episode,soft_sum_gap,0.02,6.999188500757729,3022,3082,True,235
4,episode,soft_sum_gap,0.05,5.476991860877979,2929,3082,True,235
4,task_init,soft_sum_gap,0.005,13.186006602050242,399,400,True,26
4,task_init,soft_sum_gap,0.01,12.338708741663037,397,400,True,26
4,task_init,soft_sum_gap,0.02,10.486635934667753,393,400,True,26
4,task_init,soft_sum_gap,0.05,8.282196086708613,381,400,True,26
4,episode,two_of_three,0.005,4.97791838528164,3068,3082,True,235
4,episode,two_of_three,0.01,4.0010030315910505,3053,3082,True,235
4,episode,two_of_three,0.02,2.9671907361498566,3022,3082,True,235
4,episode,two_of_three,0.05,2.247210160286847,2929,3082,True,235
4,task_init,two_of_three,0.005,5.553282530185203,399,400,True,26
4,task_init,two_of_three,0.01,5.473239822511666,397,400,True,26
4,task_init,two_of_three,0.02,4.860135349625257,393,400,True,26
4,task_init,two_of_three,0.05,3.6113485295095287,381,400,True,26
4,episode,lagged_agreement,0.005,5.025927604468001,3068,3082,True,235
4,episode,lagged_agreement,0.01,4.0010030315910505,3053,3082,True,235
4,episode,lagged_agreement,0.02,2.848942908479528,3022,3082,True,235
4,episode,lagged_agreement,0.05,2.225054168389638,2929,3082,True,235
4,task_init,lagged_agreement,0.005,5.769505638654839,399,400,True,26
4,task_init,lagged_agreement,0.01,5.525883555997088,397,400,True,26
4,task_init,lagged_agreement,0.02,4.917293763465206,393,400,True,26
4,task_init,lagged_agreement,0.05,3.6113485295095287,381,400,True,26
4,episode,state_adjustment_or,0.005,5.640293907174832,3068,3082,True,235
4,episode,state_adjustment_or,0.01,5.059264024735593,3053,3082,True,235
4,episode,state_adjustment_or,0.02,4.374627533843556,3022,3082,True,235
4,episode,state_adjustment_or,0.05,3.6603379167098016,2929,3082,True,235
4,task_init,state_adjustment_or,0.005,8.443654288081367,399,400,True,26
4,task_init,state_adjustment_or,0.01,6.497744139026054,397,400,True,26
4,task_init,state_adjustment_or,0.02,5.640293907174832,393,400,True,26
4,task_init,state_adjustment_or,0.05,4.932108849250346,381,400,True,26
