task,short_task,window,key,family,token_role,scope,metric,layer,layer_group,denoise_step,relative_query,expert,failure_mean,success_mean,adjusted_difference,within_init_residual_sd,effect_sigma,permutation_p_raw,permutation_p_max_family,permutation_p_max_global,location
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,phase5,action_layer_denoise|action|layer_denoise|entropy_mean|L15|D0,action_layer_denoise,action,layer_denoise,entropy_mean,15.0,,0.0,,,0.9990269899560831,0.9989599028017082,5.3318992593485954e-05,8.657150474454996e-05,0.6158954121314683,0.0004997501249375312,0.0009995002498750624,0.004997501249375313,L15/d0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,phase5,state_group_summary|state|layer_group|top1_mean|Gfront_2_5,state_group_summary,state,layer_group,top1_mean,,front_2_5,,,,0.20501455632240875,0.22326327391482634,-0.009704071256625224,0.012969429356189395,-0.7482265402829119,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,front_2_5
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,phase5,state_layer_summary|state|layer|entropy_mean|L4,state_layer_summary,state,layer,entropy_mean,4.0,,,,,0.7583595285617727,0.7444022041113503,0.026006593406644928,0.03488781307932353,0.745434898642526,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,L4
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,action_group_denoise|action|layer_group_denoise|denoise_delta_mean|Gback_12_15|D2,action_group_denoise,action,layer_group_denoise,denoise_delta_mean,,back_12_15,2.0,,,0.004209264948376981,0.004156917461057611,5.038208453415103e-05,0.0001035615871580282,0.48649393966192567,0.0009995002498750624,0.010994502748625687,0.1634182908545727,back_12_15/d2
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,action_layer_denoise|action|layer_denoise|denoise_delta_mean|L14|D2,action_layer_denoise,action,layer_denoise,denoise_delta_mean,14.0,,2.0,,,0.004023063309116127,0.003943372180621172,7.71546130628878e-05,0.00012228026063227683,0.6309653959187116,0.0004997501249375312,0.0004997501249375312,0.0024987506246876563,L14/d2
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_group_summary|state|layer_group|top1_mean|Gback_12_15,state_group_summary,state,layer_group,top1_mean,,back_12_15,,,,0.05525853158906102,0.05341848496604582,0.0013377995052155983,0.002189811360086362,0.6109199767613033,0.0004997501249375312,0.0004997501249375312,0.004997501249375313,back_12_15
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|entropy_mean|L13,state_layer_summary,state,layer,entropy_mean,13.0,,,,,0.9917059633146968,0.9923042238303117,-0.0004948781165018064,0.0006679419316726005,-0.7408999091621286,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,L13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,query0,q0_action_group_denoise|action|layer_group_denoise|p4p5_gap_mean|Gback_12_15|D7,q0_action_group_denoise,action,layer_group_denoise,p4p5_gap_mean,,back_12_15,7.0,,,0.0004571011578145376,0.0004646562409671505,-1.7382554271382715e-05,6.655690420628946e-05,-0.26116831121691664,0.03548225887056472,0.7096451774112944,1.0,back_12_15/d7
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,query0,q0_action_layer_denoise|action|layer_denoise|top1_mean|L14|D0,q0_action_layer_denoise,action,layer_denoise,top1_mean,14.0,,0.0,,,0.03593188080855686,0.03591805585692155,-0.00012893709298445884,0.00033908632848389633,-0.3802485743408031,0.0024987506246876563,0.3488255872063968,0.7616191904047976,L14/d0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,phase5,action_group_denoise|action|layer_group_denoise|query_speed_mean|Gback_12_15|D9,action_group_denoise,action,layer_group_denoise,query_speed_mean,,back_12_15,9.0,,,0.05846062613030275,0.06084784407351838,-0.003673888961446352,0.0029069602848801925,-1.2638249585159942,0.0004997501249375312,0.005997001499250375,0.0814592703648176,back_12_15/d9
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,phase5,action_layer_denoise|action|layer_denoise|query_speed_mean|L13|D9,action_layer_denoise,action,layer_denoise,query_speed_mean,13.0,,9.0,,,0.05920381471514702,0.06339613216944405,-0.006224778257102274,0.004603443485716958,-1.3522004291821568,0.0004997501249375312,0.01199400299850075,0.034482758620689655,L13/d9
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,phase5,state_group_summary|state|layer_group|query_speed_mean|Gback_12_15,state_group_summary,state,layer_group,query_speed_mean,,back_12_15,,,,0.14520986254016557,0.14987028903159938,-0.002773328866372561,0.004785779938163862,-0.5794936044294154,0.05997001499250375,0.34382808595702147,1.0,back_12_15
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,phase5,state_layer_summary|state|layer|top1_std_query|L4,state_layer_summary,state,layer,top1_std_query,4.0,,,,,0.09608969185501337,0.14857712943778664,-0.042538946088632394,0.032186841812553754,-1.3216253503952362,0.0004997501249375312,0.0014992503748125937,0.04547726136931534,L4
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,preanchor4,action_group_denoise|action|layer_group_denoise|top1_std_query|Gback_12_15|D1,action_group_denoise,action,layer_group_denoise,top1_std_query,,back_12_15,1.0,,,0.0018068454519379884,0.001495221151672609,0.0002344536481883023,0.00023205957568575396,1.010316628803072,0.0014992503748125937,0.04097951024487756,0.4352823588205897,back_12_15/d1
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,preanchor4,action_layer_denoise|action|layer_denoise|top1_std_query|L15|D2,action_layer_denoise,action,layer_denoise,top1_std_query,15.0,,2.0,,,0.003912804463955884,0.0029486754518403047,0.000685804076889509,0.0007611672583527462,0.9009899852677166,0.004497751124437781,0.5077461269365318,0.8175912043978011,L15/d2
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,preanchor4,state_group_summary|state|layer_group|p4p5_gap_mean|Gfront_2_5,state_group_summary,state,layer_group,p4p5_gap_mean,,front_2_5,,,,0.006025072691651682,0.0062153074426622296,0.00034566199362756655,0.0010107110816958368,0.34199881636559515,0.19140429785107446,0.8495752123938031,1.0,front_2_5
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,preanchor4,state_layer_summary|state|layer|entropy_mean|L13,state_layer_summary,state,layer,entropy_mean,13.0,,,,,0.9739465000202592,0.9758705418533428,-0.0005731359311083691,0.001328491281522794,-0.43141866196623235,0.1374312843578211,0.9615192403798101,1.0,L13
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,query0,q0_action_group_denoise|action|layer_group_denoise|entropy_mean|Gback_12_15|D2,q0_action_group_denoise,action,layer_group_denoise,entropy_mean,,back_12_15,2.0,,,0.9980576043183178,0.9980801498153561,-4.9916340666095215e-05,6.675114190883504e-05,-0.7477975542990434,0.011494252873563218,0.3823088455772114,0.9920039980009995,back_12_15/d2
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,query0,q0_action_layer_denoise|action|layer_denoise|p4p5_gap_mean|L12|D0,q0_action_layer_denoise,action,layer_denoise,p4p5_gap_mean,12.0,,0.0,,,0.0007395379482962502,0.000572980395623208,0.000177287035151814,0.00016265749740660952,1.0899407526763658,0.0009995002498750624,0.0559720139930035,0.22938530734632684,L12/d0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,phase5,action_group_denoise|action|layer_group_denoise|top1_mean|Gback_12_15|D7,action_group_denoise,action,layer_group_denoise,top1_mean,,back_12_15,7.0,,,0.04257218650466687,0.0410868183894872,0.0016290007491651466,0.0004369209043704616,3.728365323953304,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,back_12_15/d7
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,phase5,action_layer_denoise|action|layer_denoise|top1_mean|L15|D0,action_layer_denoise,action,layer_denoise,top1_mean,15.0,,0.0,,,0.04056356253253447,0.038228844338088624,0.002419562069231877,0.0006750176130669877,3.5844428684437357,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,L15/d0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,phase5,state_group_summary|state|layer_group|query_speed_mean|Gfront_2_5,state_group_summary,state,layer_group,query_speed_mean,,front_2_5,,,,0.18132476468343992,0.19062620830810723,-0.015024623034854474,0.011852519652051502,-1.2676311430754663,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,front_2_5
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,phase5,state_layer_summary|state|layer|query_speed_mean|L2,state_layer_summary,state,layer,query_speed_mean,2.0,,,,,0.16364177819844838,0.17902924253548944,-0.030122812546120224,0.019084344055251227,-1.578404395713651,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,L2
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,preanchor4,action_group_denoise|action|layer_group_denoise|query_speed_mean|Gback_12_15|D1,action_group_denoise,action,layer_group_denoise,query_speed_mean,,back_12_15,1.0,,,0.029778662011832803,0.030426711901507048,-0.0004113359505021586,0.0008747470864876852,-0.47023414751087533,0.033483258370814596,0.6621689155422289,1.0,back_12_15/d1
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,preanchor4,action_layer_denoise|action|layer_denoise|top1_std_query|L13|D3,action_layer_denoise,action,layer_denoise,top1_std_query,13.0,,3.0,,,0.001381617396553928,0.001121411278762691,0.00025272030187602283,0.0003681902289766273,0.686385140036037,0.0009995002498750624,0.15342328835582209,0.511744127936032,L13/d3
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,preanchor4,state_group_summary|state|layer_group|p4p5_gap_mean|Gback_12_15,state_group_summary,state,layer_group,p4p5_gap_mean,,back_12_15,,,,0.0030378373906117034,0.0029481567398132354,0.0002508836259354719,0.0005000807346709335,0.5016862449231523,0.011494252873563218,0.09745127436281859,0.9985007496251874,back_12_15
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,preanchor4,state_layer_summary|state|layer|p4p5_gap_mean|L13,state_layer_summary,state,layer,p4p5_gap_mean,13.0,,,,,0.003363542938353242,0.003114260078249472,0.0005856843506580472,0.0011020902691908667,0.5314304708343405,0.00399800099950025,0.22338830584707647,0.9960019990004998,L13
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,query0,q0_action_group_denoise|action|layer_group_denoise|p4p5_gap_mean|Gback_12_15|D4,q0_action_group_denoise,action,layer_group_denoise,p4p5_gap_mean,,back_12_15,4.0,,,0.0005754399855898039,0.0005926701986876394,-3.7260241564710996e-05,8.79431766377406e-05,-0.4236854181216926,0.03948025987006497,0.6111944027986007,1.0,back_12_15/d4
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,query0,q0_action_layer_denoise|action|layer_denoise|top1_mean|L15|D8,q0_action_layer_denoise,action,layer_denoise,top1_mean,15.0,,8.0,,,0.0422356847572971,0.04294702507319299,0.00018942528681410096,0.00043547384330565526,0.43498660074778595,0.02048975512243878,0.9650174912543729,0.9995002498750625,L15/d8
