cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
external_8b,conditional_energy,L12,24,2174,424,0.19503219871205152,0.6560404312668464,0.6428481806775408,0.46175197677179014
external_8b,conditional_energy,L12,28,769,380,0.494148244473342,0.5825598701122987,0.5742449585596422,0.6144253968253969
external_8b,conditional_energy,L12,32,569,274,0.48154657293497366,0.49020165780032166,0.49020165780032166,0.4484495306402278
external_8b,conditional_energy,L13,4,15600,564,0.036153846153846154,0.4643841777370245,0.5960586739962226,0.529554702215562
external_8b,conditional_energy,L13,6,15600,564,0.036153846153846154,0.46113146415505857,0.5686141431891829,0.5111922824763511
external_8b,conditional_energy,L13,8,14456,564,0.03901494189263974,0.3930285148041732,0.42941921807771183,0.5159461992893423
external_8b,conditional_energy,L13,10,11342,564,0.04972667959795451,0.36712343505091144,0.32243626610080417,0.5121634473485718
external_8b,conditional_energy,L13,12,9146,564,0.06166630220861579,0.46084725410764077,0.3761256375276086,0.5456904051702709
external_8b,conditional_energy,L13,14,5753,564,0.09803580740483227,0.606782418892119,0.5006143308086454,0.5373412706082452
external_8b,conditional_energy,L13,16,4793,564,0.11767160442311704,0.5766696182555774,0.340770110560427,0.5267435453400504
external_8b,conditional_energy,L13,18,4300,564,0.13116279069767442,0.5279578036964478,0.24451635072447167,0.5321884641990491
external_8b,conditional_energy,L13,20,3995,564,0.1411764705882353,0.5681691337430314,0.35996698911027486,0.5148668830768092
external_8b,conditional_energy,L13,24,2174,424,0.19503219871205152,0.6243733153638814,0.5981764951902969,0.5009952338342981
external_8b,conditional_energy,L13,28,769,380,0.494148244473342,0.5814368826951698,0.5228532767013099,0.4654984126984127
external_8b,conditional_energy,L13,32,569,274,0.48154657293497366,0.5274155635283929,0.5274155635283929,0.41936504588123613
external_8b,conditional_energy,L14,4,15600,564,0.036153846153846154,0.47783475686720667,0.5756498785291324,0.536235729969925
external_8b,conditional_energy,L14,6,15600,564,0.036153846153846154,0.42948542882424967,0.5006575760647944,0.5307930858647352
external_8b,conditional_energy,L14,8,14456,564,0.03901494189263974,0.4171020159569363,0.45384690833135666,0.571736097486539
external_8b,conditional_energy,L14,10,11342,564,0.04972667959795451,0.45313394503381593,0.436470614483039,0.5831502312006034
external_8b,conditional_energy,L14,12,9146,564,0.06166630220861579,0.4895635512891075,0.4249781242310722,0.5902855456127268
external_8b,conditional_energy,L14,14,5753,564,0.09803580740483227,0.6828776503487328,0.634626080891361,0.5416223738379172
external_8b,conditional_energy,L14,16,4793,564,0.11767160442311704,0.7299543509942327,0.6817937476172322,0.6077219773299748
external_8b,conditional_energy,L14,18,4300,564,0.13116279069767442,0.6168086625055051,0.4712164660835986,0.6354572705412141
external_8b,conditional_energy,L14,20,3995,564,0.1411764705882353,0.5585240744071058,0.3864584430293509,0.5820609980374973
external_8b,conditional_energy,L14,24,2174,424,0.19503219871205152,0.5550579514824798,0.5501840234211627,0.46892861708149963
external_8b,conditional_energy,L14,28,769,380,0.494148244473342,0.4056352320389663,0.39300682215414684,0.34702222222222223
external_8b,conditional_energy,L14,32,569,274,0.48154657293497366,0.22820734875664975,0.22820734875664975,0.1171289948317688
external_8b,conditional_energy,L15,4,15600,564,0.036153846153846154,0.42472581171618373,0.49509094356767636,0.5015141581592832
external_8b,conditional_energy,L15,6,15600,564,0.036153846153846154,0.4163933274090174,0.44631297429023087,0.5142310053802046
external_8b,conditional_energy,L15,8,14456,564,0.03901494189263974,0.4222617537926824,0.4426519261814757,0.5316090074771652
external_8b,conditional_energy,L15,10,11342,564,0.04972667959795451,0.4637513505972897,0.44272067645688107,0.5432000787065884
external_8b,conditional_energy,L15,12,9146,564,0.06166630220861579,0.5653014060436573,0.5454564646719071,0.5889727815063386
external_8b,conditional_energy,L15,14,5753,564,0.09803580740483227,0.6362613766983896,0.5219093437301594,0.5955178878602215
external_8b,conditional_energy,L15,16,4793,564,0.11767160442311704,0.5698843178391686,0.35827773541746094,0.5596957651133502
external_8b,conditional_energy,L15,18,4300,564,0.13116279069767442,0.5010972405728431,0.23970153893984145,0.5077904538117773
external_8b,conditional_energy,L15,20,3995,564,0.1411764705882353,0.5022458973357229,0.23976092894706869,0.53301077525025
external_8b,conditional_energy,L15,24,2174,424,0.19503219871205152,0.40261725067385445,0.3253262233375157,0.48857763736966087
external_8b,conditional_energy,L15,28,769,380,0.494148244473342,0.6024015694763902,0.5958766374109643,0.5923047619047619
external_8b,conditional_energy,L15,32,569,274,0.48154657293497366,0.7686131386861313,0.7686131386861313,0.7716485602784516
external_8b,size,L2,4,15600,564,0.036153846153846154,0.43203863918085955,0.4464964948051022,0.48548801681704185
external_8b,size,L2,6,15600,564,0.036153846153846154,0.4231793459291082,0.43833851508904736,0.505364594715536
external_8b,size,L2,8,14456,564,0.03901494189263974,0.4946250763233291,0.47286351539754173,0.6077976151548842
external_8b,size,L2,10,11342,564,0.04972667959795451,0.6878032674913042,0.6873432061795357,0.6391368510805758
