cohort,quantity,layer,chunk,alive,alive_risk,auc_pooled,auc_within_suite,auc_within_task
external_8b,norm_fiedler,L12,14,5753,564,0.48251364383741385,0.5386979227212977,0.5580896422427956
external_8b,norm_fiedler,L12,16,4793,564,0.5406254349820305,0.5681895730080061,0.5552286681360201
external_8b,norm_fiedler,L12,18,4300,564,0.6104814949807889,0.648469650731835,0.5313100479834858
external_8b,norm_fiedler,L12,20,3995,564,0.6579789301136282,0.6778305870823402,0.5597637591182315
external_8b,norm_fiedler,L12,24,2174,424,0.7542479784366577,0.7753241321622752,0.5353992805098519
external_8b,norm_fiedler,L12,28,769,380,0.5873900690028413,0.6014302091751396,0.686247619047619
external_8b,norm_fiedler,L12,32,569,274,0.6855004330075467,0.6855004330075467,0.7581478746967619
external_8b,norm_fiedler,L13,4,15600,564,0.520614060533679,0.5781710561394418,0.5278324123505355
external_8b,norm_fiedler,L13,6,15600,564,0.6104378451527209,0.6143419639605135,0.548944772251881
external_8b,norm_fiedler,L13,8,14456,564,0.5824764188991879,0.6088291783140319,0.5047468009504501
external_8b,norm_fiedler,L13,10,11342,564,0.38736290039205157,0.5330745099108568,0.4513363722821631
external_8b,norm_fiedler,L13,12,9146,564,0.42362064918987624,0.5264507529486789,0.5387614963957246
external_8b,norm_fiedler,L13,14,5753,564,0.47372971875858505,0.5353030072700283,0.562515703821102
external_8b,norm_fiedler,L13,16,4793,564,0.5186084264509323,0.5556138009912314,0.5352054471032746
external_8b,norm_fiedler,L13,18,4300,564,0.5715595907938099,0.5548364927552832,0.5306402556191188
external_8b,norm_fiedler,L13,20,3995,564,0.5839808504437016,0.5627975224639535,0.5302521630728595
external_8b,norm_fiedler,L13,24,2174,424,0.731716307277628,0.7635089920535341,0.5875166633187853
external_8b,norm_fiedler,L13,28,769,380,0.5553849276146665,0.541975981506888,0.5126349206349207
external_8b,norm_fiedler,L13,32,569,274,0.6836075714462452,0.6836075714462452,0.7234205252610484
external_8b,norm_fiedler,L14,4,15600,564,0.6015095685249019,0.6111221411164807,0.5168274484093535
external_8b,norm_fiedler,L14,6,15600,564,0.6017824950614978,0.5920550167280592,0.5137679123349256
external_8b,norm_fiedler,L14,8,14456,564,0.6234603236109154,0.625806057730898,0.49851219671702307
external_8b,norm_fiedler,L14,10,11342,564,0.5367741649985721,0.6260244276095945,0.4853900895287443
external_8b,norm_fiedler,L14,12,9146,564,0.5332667871563606,0.6228224328184581,0.56160669898086
external_8b,norm_fiedler,L14,14,5753,564,0.609935741045228,0.6561450965313111,0.5561375364811844
external_8b,norm_fiedler,L14,16,4793,564,0.6612362042566607,0.7448784788410218,0.588613822418136
external_8b,norm_fiedler,L14,18,4300,564,0.6841707860646651,0.7110703854303877,0.6445269179669056
external_8b,norm_fiedler,L14,20,3995,564,0.6808257419316164,0.6323573342846889,0.5949098359644034
external_8b,norm_fiedler,L14,24,2174,424,0.7992385444743936,0.8164261815140109,0.6081152645130659
external_8b,norm_fiedler,L14,28,769,380,0.5255581112163442,0.5043507677272643,0.5002666666666666
external_8b,norm_fiedler,L14,32,569,274,0.48486947915377954,0.48486947915377954,0.5751503006012024
external_8b,norm_fiedler,L15,4,15600,564,0.5095171706108649,0.5214329431996966,0.49293913188265537
external_8b,norm_fiedler,L15,6,15600,564,0.5930463695641099,0.5611670121170476,0.5128365229517239
external_8b,norm_fiedler,L15,8,14456,564,0.5670961832209159,0.5608212656119733,0.48581954526627863
external_8b,norm_fiedler,L15,10,11342,564,0.4635549299926696,0.5744002171563426,0.4335093300101663
external_8b,norm_fiedler,L15,12,9146,564,0.5447165103936823,0.6822757497091724,0.5566585881183197
external_8b,norm_fiedler,L15,14,5753,564,0.5502930708577474,0.5963551493798568,0.5490925607375481
external_8b,norm_fiedler,L15,16,4793,564,0.5289983128986112,0.5412171178040411,0.48316475125944586
external_8b,norm_fiedler,L15,18,4300,564,0.5918407444530502,0.5814999959092508,0.5255234811634623
external_8b,norm_fiedler,L15,20,3995,564,0.6226174160914978,0.5311400577260741,0.5337389994939459
external_8b,norm_fiedler,L15,24,2174,424,0.6998072776280323,0.7026286072772898,0.5539161081791786
external_8b,norm_fiedler,L15,28,769,380,0.5637532133676093,0.5816685147249525,0.5928126984126985
external_8b,norm_fiedler,L15,32,569,274,0.7845725596931832,0.7845725596931832,0.8358295538445312
external_8b,gap_ratio,L2,4,15600,564,0.42196264426369623,0.43136708233359244,0.48696575192781993
external_8b,gap_ratio,L2,6,15600,564,0.5778941415307753,0.6049497970479012,0.5311417064718554
external_8b,gap_ratio,L2,8,14456,564,0.5532089748066645,0.5626780883408247,0.523984696880518
external_8b,gap_ratio,L2,10,11342,564,0.3977693265372462,0.4450577100417456,0.4380743121372118
external_8b,gap_ratio,L2,12,9146,564,0.39734028091122603,0.4809524294843142,0.46979088988317175
external_8b,gap_ratio,L2,14,5753,564,0.5087470221376643,0.5405655062640281,0.4854075262374611
external_8b,gap_ratio,L2,16,4793,564,0.47874269020558824,0.49270110560426994,0.42374448992443325
external_8b,gap_ratio,L2,18,4300,564,0.4196577387732167,0.3140994829293037,0.44568642737144926
external_8b,gap_ratio,L2,20,3995,564,0.504126952628413,0.36647245546431234,0.46880361396709413
external_8b,gap_ratio,L2,24,2174,424,0.6456913746630728,0.6189084065244668,0.594565475429594
external_8b,gap_ratio,L2,28,769,380,0.4456907049113787,0.44067732902328555,0.4941968253968254
external_8b,gap_ratio,L2,32,569,274,0.2657800321662749,0.2657800321662749,0.24947262946946525
external_8b,gap_ratio,L3,4,15600,564,0.4482437775815584,0.49616179281237915,0.49792388623520967
external_8b,gap_ratio,L3,6,15600,564,0.4077971733088814,0.4614001441879851,0.5423287856555629
external_8b,gap_ratio,L3,8,14456,564,0.4399911015677169,0.4678933056298685,0.5313419658622719
external_8b,gap_ratio,L3,10,11342,564,0.3487904340204435,0.36172365368025466,0.4653395861345227
external_8b,gap_ratio,L3,12,9146,564,0.30713281633503076,0.33615558658363826,0.46727799527715635
external_8b,gap_ratio,L3,14,5753,564,0.43537304089802625,0.4181974264278497,0.5538665223525774
external_8b,gap_ratio,L3,16,4793,564,0.5134431458571264,0.4259311856652688,0.5842057619647355
external_8b,gap_ratio,L3,18,4300,564,0.4975032081947545,0.362856099716102,0.5429984737518254
external_8b,gap_ratio,L3,20,3995,564,0.5043987754536754,0.36657131620177047,0.5433910564188648
external_8b,gap_ratio,L3,24,2174,424,0.5474070080862534,0.5791007946465914,0.45762495206442544
external_8b,gap_ratio,L3,28,769,380,0.5452442159383033,0.5294217143716288,0.5057269841269841
external_8b,gap_ratio,L3,32,569,274,0.583026104169244,0.583026104169244,0.678013922582006
external_8b,gap_ratio,L4,4,15600,564,0.4313390180352025,0.4663896961914096,0.5047818259394545
external_8b,gap_ratio,L4,6,15600,564,0.49913652859614466,0.5114505536593333,0.49775738087061494
external_8b,gap_ratio,L4,8,14456,564,0.5128352738348312,0.5359569555413435,0.4672465284590064
external_8b,gap_ratio,L4,10,11342,564,0.40890969784786185,0.47019770895100593,0.4495720329255895
external_8b,gap_ratio,L4,12,9146,564,0.38016006617842724,0.41715526190500457,0.4825767462092965
external_8b,gap_ratio,L4,14,5753,564,0.4364885006335005,0.40780387913689653,0.43078722047198437
external_8b,gap_ratio,L4,16,4793,564,0.4714148676229144,0.5093185284025924,0.44300023614609574
external_8b,gap_ratio,L4,18,4300,564,0.45508076487918964,0.4253964958642526,0.4853578997068286
external_8b,gap_ratio,L4,20,3995,564,0.48711580479193667,0.4100840101353747,0.543452770337822
external_8b,gap_ratio,L4,24,2174,424,0.7155835579514824,0.782879548306148,0.553477840068662
external_8b,gap_ratio,L4,28,769,380,0.49475037207414424,0.5122629630325697,0.48284444444444446
external_8b,gap_ratio,L4,32,569,274,0.535518990473834,0.535518990473834,0.6299704672502899
external_8b,gap_ratio,L5,4,15600,564,0.5267863038872191,0.5182844633691175,0.5129145723413776
external_8b,gap_ratio,L5,6,15600,564,0.5744139007280871,0.565094632752451,0.55840695992424
external_8b,gap_ratio,L5,8,14456,564,0.5512683456778023,0.5993066127009578,0.541386000479585
external_8b,gap_ratio,L5,10,11342,564,0.4248242907472406,0.5211696447163581,0.5094939822254287
external_8b,gap_ratio,L5,12,9146,564,0.3463792557736711,0.3572637016567346,0.5395149763857817
external_8b,gap_ratio,L5,14,5753,564,0.40414802726443966,0.4257938459612444,0.5167378573223294
external_8b,gap_ratio,L5,16,4793,564,0.4956426330185531,0.6799285169653069,0.45508304471032746
external_8b,gap_ratio,L5,18,4300,564,0.5076035639436877,0.6555732366825661,0.5079880974602791
external_8b,gap_ratio,L5,20,3995,564,0.4893826314516579,0.5589591468748186,0.5215813574593614
external_8b,gap_ratio,L5,24,2174,424,0.5355485175202156,0.5100501882057716,0.4282792498310842
external_8b,gap_ratio,L5,28,769,380,0.44893113245839533,0.387641188520739,0.3752126984126984
external_8b,gap_ratio,L5,32,569,274,0.35688481999257704,0.35688481999257704,0.34149878704777975
external_8b,gap_ratio,L12,4,15600,564,0.5825527009409097,0.6076293843097939,0.5132163633147055
external_8b,gap_ratio,L12,6,15600,564,0.6526148119218368,0.6634283040263744,0.5553474238498122
external_8b,gap_ratio,L12,8,14456,564,0.6268584347744404,0.64078624595032,0.5050029429075927
external_8b,gap_ratio,L12,10,11342,564,0.5055033960694822,0.5922685153050601,0.43987144590561766
external_8b,gap_ratio,L12,12,9146,564,0.494499558700298,0.6018970404741764,0.5262319786229183
external_8b,gap_ratio,L12,14,5753,564,0.49455066568805534,0.5778501104364699,0.5558669475637333
external_8b,gap_ratio,L12,16,4793,564,0.5850539755051661,0.6549342356080824,0.5765506926952141
external_8b,gap_ratio,L12,18,4300,564,0.6194226768113961,0.6823400312533238,0.5747147892350093
external_8b,gap_ratio,L12,20,3995,564,0.6358191685735606,0.6795633364209405,0.5604734691862403
external_8b,gap_ratio,L12,24,2174,424,0.6774595687331536,0.6784148891677123,0.4627380800204525
external_8b,gap_ratio,L12,28,769,380,0.5050331484237586,0.4583904978481084,0.42963809523809526
external_8b,gap_ratio,L12,32,569,274,0.43045898799950516,0.43045898799950516,0.43650458812361564
external_8b,gap_ratio,L13,4,15600,564,0.5127501325424183,0.5633647993571619,0.530017795260841
external_8b,gap_ratio,L13,6,15600,564,0.5851562043058833,0.57843976584472,0.5235240860416471
external_8b,gap_ratio,L13,8,14456,564,0.5204674791144656,0.5545211794389848,0.45913173326357554
external_8b,gap_ratio,L13,10,11342,564,0.40897632292731845,0.5354267270870311,0.4645066080739842
external_8b,gap_ratio,L13,12,9146,564,0.4249410360791431,0.49859354457342614,0.5040470420084514
external_8b,gap_ratio,L13,14,5753,564,0.47093790875132746,0.5068560033622763,0.5400471597827557
external_8b,gap_ratio,L13,16,4793,564,0.5426756153475916,0.5766850934044987,0.5225913098236776
external_8b,gap_ratio,L13,18,4300,564,0.5765695475875894,0.5795865479803971,0.47221459708146213
external_8b,gap_ratio,L13,20,3995,564,0.533416120437149,0.5188609093898359,0.45633740233772324
external_8b,gap_ratio,L13,24,2174,424,0.6620026954177898,0.7124362191551652,0.5368419130403024
external_8b,gap_ratio,L13,28,769,380,0.5354214585306454,0.5364975849950198,0.4720761904761905
external_8b,gap_ratio,L13,32,569,274,0.5507237411852035,0.5507237411852035,0.6074781141229828
external_8b,gap_ratio,L14,4,15600,564,0.5805906250530641,0.6053036959435865,0.4876681964347039
external_8b,gap_ratio,L14,6,15600,564,0.6199286016161685,0.6139484039816911,0.5084293340826075
external_8b,gap_ratio,L14,8,14456,564,0.6028419846720292,0.6104850808634914,0.5059294138164062
external_8b,gap_ratio,L14,10,11342,564,0.4864220555663033,0.5740884887306765,0.48051683993047584
external_8b,gap_ratio,L14,12,9146,564,0.4973598460244186,0.5690531759539801,0.5158696868008948
external_8b,gap_ratio,L14,14,5753,564,0.5722966203739771,0.5999539475449123,0.540540018168113
external_8b,gap_ratio,L14,16,4793,564,0.6099051802062423,0.6743785741517346,0.5419257714105793
external_8b,gap_ratio,L14,18,4300,564,0.6217773304022962,0.630218773266136,0.550426580874683
external_8b,gap_ratio,L14,20,3995,564,0.6014351314981675,0.5317928609652677,0.5186314321332033
external_8b,gap_ratio,L14,24,2174,424,0.7146266846361186,0.7042576327896277,0.49798214057449647
external_8b,gap_ratio,L14,28,769,380,0.4953253957515898,0.4293352628314759,0.41424761904761903
external_8b,gap_ratio,L14,32,569,274,0.36344179141407895,0.36344179141407895,0.46638012867840944
external_8b,gap_ratio,L15,4,15600,564,0.5051986343885785,0.5136875326206541,0.47816178077487437
external_8b,gap_ratio,L15,6,15600,564,0.5835243052607548,0.5619520199460046,0.5222544826366124
external_8b,gap_ratio,L15,8,14456,564,0.5441972700242805,0.5507730047350106,0.46467420922983016
external_8b,gap_ratio,L15,10,11342,564,0.4144954293550429,0.48931261093317735,0.44852917062932474
external_8b,gap_ratio,L15,12,9146,564,0.47535022998821547,0.5561337326540804,0.5197380686055183
external_8b,gap_ratio,L15,14,5753,564,0.5299600628170065,0.5399395505638073,0.48399659831075204
external_8b,gap_ratio,L15,16,4793,564,0.5006794104871967,0.4760932138772398,0.4665754880352645
external_8b,gap_ratio,L15,18,4300,564,0.5046381194283718,0.43493765698249975,0.45693015493066
external_8b,gap_ratio,L15,20,3995,564,0.5559588110903713,0.4747303358471183,0.48383712462508793
external_8b,gap_ratio,L15,24,2174,424,0.6946711590296496,0.7094897532413216,0.526086083161374
external_8b,gap_ratio,L15,28,769,380,0.5338790420782032,0.5545866300813773,0.5761777777777778
external_8b,gap_ratio,L15,32,569,274,0.6964122231844612,0.6964122231844612,0.7533751713954224
external_8b,spectral_erank,L2,4,15600,564,0.414279606014124,0.41717780180910863,0.48057090526885415
external_8b,spectral_erank,L2,6,15600,564,0.5834006658251873,0.6019088010994333,0.5429141560779661
external_8b,spectral_erank,L2,8,14456,564,0.5458707675012712,0.558433993592573,0.513809866370196
external_8b,spectral_erank,L2,10,11342,564,0.3951075312331792,0.4529240498170532,0.43100055750500116
external_8b,spectral_erank,L2,12,9146,564,0.4058979002728786,0.4925990015040046,0.4811630002485707
external_8b,spectral_erank,L2,14,5753,564,0.5228395036417736,0.5519342031136825,0.4975502039080771
external_8b,spectral_erank,L2,16,4793,564,0.49699851917442717,0.515542794510103,0.42918568954659947
external_8b,spectral_erank,L2,18,4300,564,0.4559955275107446,0.3413878480204865,0.43880733038331887
external_8b,spectral_erank,L2,20,3995,564,0.5315557360817411,0.3813004915097969,0.4629222774904652
external_8b,spectral_erank,L2,24,2174,424,0.6512082210242588,0.6204297365119197,0.5980168367999124
external_8b,spectral_erank,L2,28,769,380,0.45589230144770665,0.45093405250991375,0.5176888888888889
external_8b,spectral_erank,L2,32,569,274,0.26921316342941976,0.26921316342941976,0.26410716169180465
external_8b,spectral_erank,L3,4,15600,564,0.46118499997169915,0.5007216439683237,0.5033639286940776
external_8b,spectral_erank,L3,6,15600,564,0.4216517473901879,0.47496892824019316,0.5389882717783814
external_8b,spectral_erank,L3,8,14456,564,0.4635360189955748,0.499125759518312,0.533576395701175
external_8b,spectral_erank,L3,10,11342,564,0.35588337288066446,0.384803332209541,0.4670514544321648
external_8b,spectral_erank,L3,12,9146,564,0.304418492606164,0.34479123746238166,0.45685744469301515
external_8b,spectral_erank,L3,14,5753,564,0.42984733799950525,0.4223099553783008,0.5431347726086705
external_8b,spectral_erank,L3,16,4793,564,0.5333475043141832,0.4562781166603126,0.5912606265743073
external_8b,spectral_erank,L3,18,4300,564,0.529081146445548,0.4018215083410376,0.5422408397659021
external_8b,spectral_erank,L3,20,3995,564,0.5291654005717581,0.3842093612521787,0.5541601352769103
external_8b,spectral_erank,L3,24,2174,424,0.5609858490566038,0.5888864491844417,0.46093935465020724
external_8b,spectral_erank,L3,28,769,380,0.5583378433229603,0.542464620646883,0.509968253968254
external_8b,spectral_erank,L3,32,569,274,0.6211493257453916,0.6211493257453916,0.7340865942411138
external_8b,spectral_erank,L4,4,15600,564,0.4370537895811282,0.46517498751497266,0.49917007482334824
external_8b,spectral_erank,L4,6,15600,564,0.512775367486826,0.5179214119157852,0.5087155151780046
external_8b,spectral_erank,L4,8,14456,564,0.5421138218230606,0.560306079249124,0.4832499509515401
external_8b,spectral_erank,L4,10,11342,564,0.42259638099148644,0.4834030952215689,0.4601252746531991
external_8b,spectral_erank,L4,12,9146,564,0.4032300617654302,0.44869167614252664,0.49058150012428536
external_8b,spectral_erank,L4,14,5753,564,0.46790007913630716,0.4522382387395041,0.44692108467500336
external_8b,spectral_erank,L4,16,4793,564,0.5072037216852902,0.5517670606176134,0.45864491498740556
external_8b,spectral_erank,L4,18,4300,564,0.48576150014427383,0.4506011355919723,0.49565183973296145
external_8b,spectral_erank,L4,20,3995,564,0.504242193103762,0.40835609637632414,0.5677803971907824
external_8b,spectral_erank,L4,24,2174,424,0.719722371967655,0.7738425345043914,0.5681506911853327
external_8b,spectral_erank,L4,28,769,380,0.4954404004870789,0.5128314758781408,0.4739809523809524
external_8b,spectral_erank,L4,32,569,274,0.5538846962761351,0.5538846962761351,0.653346166016243
external_8b,spectral_erank,L5,4,15600,564,0.5361101441646432,0.5252523759100928,0.5189165704057528
external_8b,spectral_erank,L5,6,15600,564,0.592403998724574,0.5803988825431156,0.5603894144214459
external_8b,spectral_erank,L5,8,14456,564,0.5865501446824848,0.6206614502483604,0.5551113945022126
external_8b,spectral_erank,L5,10,11342,564,0.4359390813174723,0.5373668182133685,0.5148689863247302
external_8b,spectral_erank,L5,12,9146,564,0.34198247693093414,0.35619175258032154,0.5443970606512553
external_8b,spectral_erank,L5,14,5753,564,0.3982568827402211,0.39747829275053875,0.5355051315255417
external_8b,spectral_erank,L5,16,4793,564,0.5082439052204551,0.6830666221883339,0.46327436240554154
external_8b,spectral_erank,L5,18,4300,564,0.5298753644812976,0.664428174625901,0.5094868951280841
external_8b,spectral_erank,L5,20,3995,564,0.5181017981648341,0.576056681588907,0.5374233204556956
external_8b,spectral_erank,L5,24,2174,424,0.5581832884097035,0.5380280217482224,0.4356567630247804
external_8b,spectral_erank,L5,28,769,380,0.4626099309971587,0.40004510515138414,0.3797587301587302
external_8b,spectral_erank,L5,32,569,274,0.4011072621551404,0.4011072621551404,0.3948950532644236
external_8b,spectral_erank,L12,4,15600,564,0.5796177825700588,0.5958167179209894,0.5144937716587056
external_8b,spectral_erank,L12,6,15600,564,0.6597249343891446,0.6576260518400865,0.5553188057402725
external_8b,spectral_erank,L12,8,14456,564,0.6440247384585853,0.6501043884169891,0.5227475857258083
external_8b,spectral_erank,L12,10,11342,564,0.5115823176710109,0.5947313557893484,0.44536123044633197
external_8b,spectral_erank,L12,12,9146,564,0.5047234149985703,0.5996399415869651,0.5283642493164306
external_8b,spectral_erank,L12,14,5753,564,0.5204276572509495,0.5971595024546406,0.558543845068517
external_8b,spectral_erank,L12,16,4793,564,0.613664053839665,0.6866603126191384,0.5956785264483627
external_8b,spectral_erank,L12,18,4300,564,0.6410364652148162,0.6999379228811965,0.5808801730479944
external_8b,spectral_erank,L12,20,3995,564,0.641165964888346,0.6764073148349133,0.560843752699984
external_8b,spectral_erank,L12,24,2174,424,0.6842843665768195,0.6765767461313258,0.455716659666551
external_8b,spectral_erank,L12,28,769,380,0.5227878500879448,0.4711045123945197,0.4508190476190476
external_8b,spectral_erank,L12,32,569,274,0.4430285784980824,0.4430285784980824,0.4346324227402173
external_8b,spectral_erank,L13,4,15600,564,0.5320380024112343,0.5714413447782547,0.5357414171687844
external_8b,spectral_erank,L13,6,15600,564,0.5967981808199329,0.5846327618382466,0.5286233128323603
external_8b,spectral_erank,L13,8,14456,564,0.5432890479341138,0.5715400944600076,0.4823752534170427
external_8b,spectral_erank,L13,10,11342,564,0.4320653675927717,0.5544601334668663,0.4783261732200833
external_8b,spectral_erank,L13,12,9146,564,0.45687318087833517,0.517127161915633,0.5150462962962963
external_8b,spectral_erank,L13,14,5753,564,0.48842956116935854,0.5174959089323878,0.5664585709039602
external_8b,spectral_erank,L13,16,4793,564,0.5477402735921676,0.5798865802516203,0.5534969301007556
external_8b,spectral_erank,L13,18,4300,564,0.5836202199796497,0.6001323357359667,0.4990117817574912
external_8b,spectral_erank,L13,20,3995,564,0.5254875240558032,0.5142241258884034,0.4629161060985695
external_8b,spectral_erank,L13,24,2174,424,0.6697176549865229,0.7126704307820996,0.5393619546757729
external_8b,spectral_erank,L13,28,769,380,0.539003517791909,0.5405335563532485,0.48143492063492066
external_8b,spectral_erank,L13,32,569,274,0.5509093158480762,0.5509093158480762,0.6238529690960869
external_8b,spectral_erank,L14,4,15600,564,0.5695541103243469,0.5900940225819412,0.4948799600387125
external_8b,spectral_erank,L14,6,15600,564,0.6162920574545441,0.6067422902609276,0.5159611001841966
external_8b,spectral_erank,L14,8,14456,564,0.6115804315152554,0.61271171682415,0.5201534671811305
external_8b,spectral_erank,L14,10,11342,564,0.5119918562767076,0.5891146664815714,0.4878365526514282
external_8b,spectral_erank,L14,12,9146,564,0.529987306435538,0.5859706799178257,0.5381128821774795
external_8b,spectral_erank,L14,14,5753,564,0.5800679355811325,0.6047219415357376,0.5520207193799648
external_8b,spectral_erank,L14,16,4793,564,0.6104749542587571,0.6715740564239421,0.5419159319899244
external_8b,spectral_erank,L14,18,4300,564,0.6304116930156272,0.6285850303124514,0.54821956013308
external_8b,spectral_erank,L14,20,3995,564,0.6034559740042292,0.5301922841343562,0.5122872412643947
external_8b,spectral_erank,L14,24,2174,424,0.7117378706199461,0.6979882894186533,0.5036065813261262
external_8b,spectral_erank,L14,28,769,380,0.5011229874171289,0.4368433911556316,0.4207492063492064
external_8b,spectral_erank,L14,32,569,274,0.3956018804899171,0.3956018804899171,0.5123800232043033
external_8b,spectral_erank,L15,4,15600,564,0.5150500500925439,0.5139848734037,0.4846789048109644
external_8b,spectral_erank,L15,6,15600,564,0.5905560696880678,0.5656764068654508,0.5348984837605236
external_8b,spectral_erank,L15,8,14456,564,0.566647432677208,0.567511932606918,0.48856625901946676
external_8b,spectral_erank,L15,10,11342,564,0.45060819649693556,0.5211882368689823,0.4629521529531368
external_8b,spectral_erank,L15,12,9146,564,0.5105368567891563,0.5960724805010825,0.5267174683072334
external_8b,spectral_erank,L15,14,5753,564,0.5517842230359093,0.5667961798817838,0.4870407236320764
external_8b,spectral_erank,L15,16,4793,564,0.5155811611483694,0.49719214639725506,0.4694338397355164
external_8b,spectral_erank,L15,18,4300,564,0.5211280506325269,0.46647835584608965,0.4749925883631812
