quantity,layer,auc_suite_stratified,dev_suite,n_suite_strata,auc_task_stratified,dev_task,n_task_strata,shrinkage,sign_flip
vol,L4,0.5199,0.0199,100,0.5064,0.0064,183,0.68,False
fiedler,L2,0.5199,0.0199,100,0.4907,0.0093,183,0.532,True
log_kirchhoff,L4,0.4801,0.0199,100,0.4936,0.0064,183,0.68,False
log_spanning_trees,L4,0.5199,0.0199,100,0.5064,0.0064,183,0.68,False
res_mean,L4,0.4801,0.0199,100,0.4936,0.0064,183,0.68,False
res_chain_series,L4,0.4801,0.0199,100,0.4937,0.0063,183,0.682,False
res_adjacent_mean,L4,0.4801,0.0199,100,0.4937,0.0063,183,0.682,False
fiedler,L4,0.5198,0.0198,100,0.5064,0.0064,183,0.675,False
thalt_mean,L4,0.4802,0.0198,100,0.4936,0.0064,183,0.674,False
th_mean,L2,0.4803,0.0197,100,0.5059,0.0059,183,0.698,True
th_last,L2,0.4803,0.0197,100,0.5073,0.0073,183,0.63,True
ground_leak_mean,L4,0.4803,0.0197,100,0.4935,0.0065,183,0.669,False
conditional_energy,L4,0.5197,0.0197,100,0.5065,0.0065,183,0.669,False
ground_leak_cv,L13,0.4804,0.0196,100,0.4793,0.0207,183,-0.053,False
th_max,L14,0.4806,0.0194,100,0.5091,0.0091,183,0.53,True
res_end2end,L2,0.4807,0.0193,100,0.5089,0.0089,183,0.54,True
th_last,L14,0.4807,0.0193,100,0.5085,0.0085,183,0.56,True
centred_config_size,L3,0.4808,0.0192,100,0.5091,0.0091,183,0.523,True
fiedler,L14,0.5191,0.0191,100,0.4911,0.0089,183,0.536,True
th_max,L2,0.4809,0.0191,100,0.5078,0.0078,183,0.593,True
th_first,L15,0.5191,0.0191,100,0.4666,0.0334,183,-0.745,True
res_cv,L15,0.4817,0.0183,100,0.4774,0.0226,183,-0.233,False
fiedler,L15,0.482,0.018,100,0.5354,0.0354,183,-0.97,True
th_max,L15,0.5178,0.0178,100,0.4654,0.0346,183,-0.948,True
th_first,L2,0.4823,0.0177,100,0.5069,0.0069,183,0.609,True
ground_leak_cv,L5,0.4826,0.0174,100,0.4572,0.0428,183,-1.461,False
dd_deficit,L5,0.5173,0.0173,100,0.4566,0.0434,183,-1.516,True
res_end2end,L14,0.4833,0.0167,100,0.5096,0.0096,183,0.427,True
thalt_cv,L15,0.4834,0.0166,100,0.4859,0.0141,183,0.149,False
norm_fiedler,L3,0.4855,0.0145,100,0.5391,0.0391,183,-1.703,True
res_cv,L2,0.5142,0.0142,100,0.5256,0.0256,183,-0.805,False
th_first,L14,0.4858,0.0142,100,0.5106,0.0106,183,0.255,True
centred_config_size,L2,0.5142,0.0142,100,0.5502,0.0502,183,-2.53,False
kirchhoff_efficiency,L2,0.4862,0.0138,100,0.475,0.025,183,-0.82,False
ground_leak_mean,L13,0.5137,0.0137,100,0.497,0.003,183,0.785,True
conditional_energy,L13,0.4863,0.0137,100,0.503,0.003,183,0.785,True
spectral_erank,L2,0.4864,0.0136,100,0.4752,0.0248,183,-0.82,False
th_cv,L3,0.5127,0.0127,100,0.4692,0.0308,183,-1.419,True
res_shortcut,L5,0.512,0.012,100,0.5239,0.0239,183,-0.986,False
res_shortcut,L15,0.5116,0.0116,100,0.5325,0.0325,183,-1.798,False
th_mean,L14,0.4886,0.0114,100,0.5093,0.0093,183,0.191,True
gap_ratio,L2,0.4888,0.0112,100,0.4735,0.0265,183,-1.369,False
log_kirchhoff,L14,0.4895,0.0105,100,0.5095,0.0095,183,0.097,True
res_mean,L14,0.4895,0.0105,100,0.5095,0.0095,183,0.097,True
thalt_mean,L13,0.5104,0.0104,100,0.495,0.005,183,0.518,True
log_spanning_trees,L14,0.5101,0.0101,100,0.4904,0.0096,183,0.056,True
vol,L14,0.5098,0.0098,100,0.4904,0.0096,183,0.015,True
th_slope,L3,0.4905,0.0095,100,0.5064,0.0064,183,0.326,True
res_chain_series,L14,0.4911,0.0089,100,0.5099,0.0099,183,-0.107,True
res_adjacent_mean,L14,0.4911,0.0089,100,0.5099,0.0099,183,-0.107,True
lam_max,L13,0.4915,0.0085,100,0.5029,0.0029,183,0.657,True
th_slope,L13,0.5082,0.0082,100,0.5216,0.0216,183,-1.633,False
thalt_cv,L2,0.5079,0.0079,100,0.5222,0.0222,183,-1.818,False
res_chain_series,L13,0.5077,0.0077,100,0.4936,0.0064,183,0.165,True
res_adjacent_mean,L13,0.5077,0.0077,100,0.4936,0.0064,183,0.165,True
th_min,L13,0.5077,0.0077,100,0.4957,0.0043,183,0.436,True
kirchhoff_efficiency,L4,0.5074,0.0074,100,0.5037,0.0037,183,0.507,False
spectral_erank,L4,0.5072,0.0072,100,0.5035,0.0035,183,0.512,False
th_min,L14,0.493,0.007,100,0.5102,0.0102,183,-0.471,True
res_cv,L4,0.4932,0.0068,100,0.4963,0.0037,183,0.456,False
vol,L13,0.4933,0.0067,100,0.5064,0.0064,183,0.054,True
log_spanning_trees,L13,0.4934,0.0066,100,0.5065,0.0065,183,0.006,True
log_kirchhoff,L13,0.5064,0.0064,100,0.4933,0.0067,183,-0.05,True
res_mean,L13,0.5064,0.0064,100,0.4933,0.0067,183,-0.05,True
fiedler,L5,0.506,0.006,100,0.4567,0.0433,183,-6.272,True
res_end2end,L5,0.4943,0.0057,100,0.544,0.044,183,-6.686,True
th_mean,L13,0.5057,0.0057,100,0.4933,0.0067,183,-0.179,True
foster_residual,L4,0.4951,0.0049,100,0.4971,0.0029,183,0.419,False
log_kirchhoff,L5,0.4952,0.0048,100,0.5442,0.0442,183,-8.277,True
res_mean,L5,0.4952,0.0048,100,0.5442,0.0442,183,-8.277,True
vol,L5,0.5047,0.0047,100,0.4558,0.0442,183,-8.353,True
log_spanning_trees,L5,0.5047,0.0047,100,0.4558,0.0442,183,-8.313,True
res_chain_series,L5,0.4954,0.0046,100,0.5442,0.0442,183,-8.674,True
res_adjacent_mean,L5,0.4954,0.0046,100,0.5442,0.0442,183,-8.674,True
gap_ratio,L4,0.5045,0.0045,100,0.5037,0.0037,183,0.169,False
lam_max,L14,0.5043,0.0043,100,0.4893,0.0107,183,-1.466,True
norm_fiedler,L2,0.5042,0.0042,100,0.4784,0.0216,183,-4.111,True
th_slope,L15,0.4961,0.0039,100,0.4903,0.0097,183,-1.497,False
thalt_mean,L5,0.4961,0.0039,100,0.5449,0.0449,183,-10.506,True
thalt_mean,L14,0.4962,0.0038,100,0.5112,0.0112,183,-1.918,True
foster_residual,L14,0.5037,0.0037,100,0.5062,0.0062,183,-0.675,False
lam_max,L5,0.5036,0.0036,100,0.4556,0.0444,183,-11.293,True
res_shortcut,L3,0.4967,0.0033,100,0.5422,0.0422,183,-11.868,True
th_slope,L12,0.4967,0.0033,100,0.4754,0.0246,183,-6.351,False
ground_leak_mean,L5,0.4969,0.0031,100,0.5454,0.0454,183,-13.613,True
conditional_energy,L5,0.5031,0.0031,100,0.4546,0.0454,183,-13.612,True
thalt_cv,L4,0.4971,0.0029,100,0.4981,0.0019,183,0.352,False
ground_leak_mean,L14,0.502,0.002,100,0.5126,0.0126,183,-5.153,False
conditional_energy,L14,0.498,0.002,100,0.4874,0.0126,183,-5.153,False
fiedler,L13,0.4981,0.0019,100,0.5088,0.0088,183,-3.661,True
th_min,L5,0.5019,0.0019,100,0.5353,0.0353,183,-17.094,False
dd_deficit,L2,0.5019,0.0019,100,0.4688,0.0312,183,-15.838,True
th_last,L13,0.5018,0.0018,100,0.4983,0.0017,183,0.08,True
th_max,L13,0.5017,0.0017,100,0.4917,0.0083,183,-3.998,True
foster_residual,L2,0.4983,0.0017,100,0.4978,0.0022,183,-0.296,False
th_cv,L4,0.5016,0.0016,100,0.5031,0.0031,183,-0.975,False
foster_residual,L3,0.5016,0.0016,100,0.5039,0.0039,183,-1.434,False
foster_residual,L12,0.4986,0.0014,100,0.5008,0.0008,183,0.39,True
foster_residual,L15,0.4989,0.0011,100,0.4988,0.0012,183,-0.139,False
th_mean,L5,0.501,0.001,100,0.5351,0.0351,183,-34.908,False
th_first,L5,0.499,0.001,100,0.5344,0.0344,183,-33.091,True
th_last,L5,0.501,0.001,100,0.536,0.036,183,-33.688,False
res_end2end,L13,0.5008,0.0008,100,0.4933,0.0067,183,-7.329,True
th_max,L5,0.4995,0.0005,100,0.5334,0.0334,183,-62.3,True
foster_residual,L5,0.5005,0.0005,100,0.5004,0.0004,183,0.253,False
foster_residual,L13,0.4997,0.0003,100,0.5007,0.0007,183,-1.027,True
th_first,L13,0.5002,0.0002,100,0.4889,0.0111,183,-45.494,True
neg_count,L15,0.5002,0.0002,100,0.5005,0.0005,183,-2.06,False
neg_mass,L15,0.5002,0.0002,100,0.5005,0.0005,183,-2.063,False
n_near_zero,L2,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L3,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L4,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L5,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L12,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L13,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L14,0.5,0.0,100,0.5,0.0,183,,False
n_near_zero,L15,0.5,0.0,100,0.5,0.0,183,-0.41,False
neg_count,L2,0.5,0.0,100,0.5,0.0,183,,False
neg_count,L3,0.5,0.0,100,0.5,0.0,183,,False
neg_count,L4,0.5,0.0,100,0.5,0.0,183,,False
neg_count,L5,0.5,0.0,100,0.5,0.0,183,,False
neg_count,L12,0.5,0.0,100,0.5,0.0,183,,False
neg_count,L13,0.5,0.0,100,0.5,0.0,183,-4.026,False
neg_count,L14,0.5,0.0,100,0.5,0.0,183,1.0,False
neg_mass,L2,0.5,0.0,100,0.5,0.0,183,,False
neg_mass,L3,0.5,0.0,100,0.5,0.0,183,,False
neg_mass,L4,0.5,0.0,100,0.5,0.0,183,,False
neg_mass,L5,0.5,0.0,100,0.5,0.0,183,,False
neg_mass,L12,0.5,0.0,100,0.5,0.0,183,,False
neg_mass,L13,0.5,0.0,100,0.5,0.0,183,-4.026,False
neg_mass,L14,0.5,0.0,100,0.5,0.0,183,1.0,False
