method,cohort,suite,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
v82_frozen,A_geometry_holdout,libero_spatial,800,27,773,24,0,3,773,0.8888888888888888,0.0,1.0,10,18.5,
knn20,all,libero_goal,8000,208,7792,168,3,40,7789,0.8076923076923077,0.00038501026694045176,0.9824561403508771,134,23.0,19.0
knn20,all,libero_long,8000,541,7459,510,312,31,7147,0.9426987060998152,0.04182866335969969,0.6204379562043796,503,30.0,20.0
knn20,all,libero_object,8000,81,7919,78,93,3,7826,0.9629629629629629,0.011743907058972092,0.45614035087719296,71,18.0,12.0
knn20,all,libero_spatial,8000,266,7734,254,18,12,7716,0.9548872180451128,0.0023273855702094647,0.9338235294117647,178,16.0,13.0
knn20,A,libero_goal,4000,102,3898,83,0,19,3898,0.8137254901960784,0.0,1.0,62,23.0,
knn20,A,libero_long,4000,267,3733,253,162,14,3571,0.947565543071161,0.04339673185105813,0.6096385542168675,251,30.0,20.0
knn20,A,libero_object,4000,37,3963,37,44,0,3919,1.0,0.011102699974766591,0.4567901234567901,35,18.0,12.0
knn20,A,libero_spatial,4000,126,3874,120,5,6,3869,0.9523809523809523,0.0012906556530717604,0.96,86,16.0,12.0
knn20,B,libero_goal,4000,106,3894,85,3,21,3891,0.8018867924528302,0.0007704160246533128,0.9659090909090909,72,23.0,19.0
knn20,B,libero_long,4000,274,3726,257,150,17,3576,0.9379562043795621,0.040257648953301126,0.6314496314496314,252,31.0,20.0
knn20,B,libero_object,4000,44,3956,41,49,3,3907,0.9318181818181818,0.012386248736097068,0.45555555555555555,36,19.0,12.0
knn20,B,libero_spatial,4000,140,3860,134,13,6,3847,0.9571428571428572,0.003367875647668394,0.9115646258503401,92,16.0,13.0
knn20,A_geometry_holdout,libero_goal,800,20,780,17,0,3,780,0.85,0.0,1.0,17,16.0,
knn20,A_geometry_holdout,libero_long,800,50,750,47,30,3,720,0.94,0.04,0.6103896103896104,46,30.0,20.0
knn20,A_geometry_holdout,libero_object,800,13,787,13,13,0,774,1.0,0.016518424396442185,0.5,12,16.0,12.0
knn20,A_geometry_holdout,libero_spatial,800,27,773,24,1,3,772,0.8888888888888888,0.00129366106080207,0.96,15,16.0,10.0
c4_assigned_radius,all,libero_goal,8000,208,7792,137,2,71,7790,0.6586538461538461,0.0002566735112936345,0.9856115107913669,97,24.0,16.5
c4_assigned_radius,all,libero_long,8000,541,7459,516,551,25,6908,0.9537892791127541,0.0738704920230594,0.4835988753514527,504,26.0,17.0
c4_assigned_radius,all,libero_object,8000,81,7919,74,75,7,7844,0.9135802469135802,0.009470892789493623,0.4966442953020134,64,19.0,11.0
c4_assigned_radius,all,libero_spatial,8000,266,7734,227,7,39,7727,0.8533834586466166,0.0009050943884147918,0.9700854700854701,118,17.0,13.0
c4_assigned_radius,A,libero_goal,4000,102,3898,69,0,33,3898,0.6764705882352942,0.0,1.0,47,24.0,
c4_assigned_radius,A,libero_long,4000,267,3733,252,293,15,3440,0.9438202247191011,0.07848915081703724,0.46238532110091746,247,25.0,17.0
c4_assigned_radius,A,libero_object,4000,37,3963,36,34,1,3929,0.972972972972973,0.008579359071410548,0.5142857142857142,34,18.0,11.0
c4_assigned_radius,A,libero_spatial,4000,126,3874,111,4,15,3870,0.8809523809523809,0.0010325245224574084,0.9652173913043478,60,17.0,12.5
c4_assigned_radius,B,libero_goal,4000,106,3894,68,2,38,3892,0.6415094339622641,0.0005136106831022085,0.9714285714285714,50,24.0,16.5
c4_assigned_radius,B,libero_long,4000,274,3726,264,258,10,3468,0.9635036496350365,0.06924315619967794,0.5057471264367817,257,28.0,17.0
c4_assigned_radius,B,libero_object,4000,44,3956,38,41,6,3915,0.8636363636363636,0.010364004044489384,0.4810126582278481,30,20.0,12.0
c4_assigned_radius,B,libero_spatial,4000,140,3860,116,3,24,3857,0.8285714285714286,0.0007772020725388601,0.9747899159663865,58,17.5,14.0
c4_assigned_radius,A_geometry_holdout,libero_goal,800,20,780,17,0,3,780,0.85,0.0,1.0,16,15.0,
c4_assigned_radius,A_geometry_holdout,libero_long,800,50,750,48,55,2,695,0.96,0.07333333333333333,0.46601941747572817,47,22.5,12.0
c4_assigned_radius,A_geometry_holdout,libero_object,800,13,787,13,6,0,781,1.0,0.007623888182973317,0.6842105263157895,11,19.0,15.0
c4_assigned_radius,A_geometry_holdout,libero_spatial,800,27,773,22,1,5,772,0.8148148148148148,0.00129366106080207,0.9565217391304348,10,18.0,10.0
c32_assigned_radius,all,libero_goal,8000,208,7792,129,11,79,7781,0.6201923076923077,0.0014117043121149898,0.9214285714285714,103,21.0,19.0
c32_assigned_radius,all,libero_long,8000,541,7459,501,215,40,7244,0.9260628465804066,0.02882423917415203,0.6997206703910615,483,32.0,21.0
c32_assigned_radius,all,libero_object,8000,81,7919,77,54,4,7865,0.9506172839506173,0.006819042808435409,0.5877862595419847,67,19.0,12.5
c32_assigned_radius,all,libero_spatial,8000,266,7734,233,42,33,7692,0.8759398496240601,0.005430566330488751,0.8472727272727273,148,16.0,11.0
c32_assigned_radius,A,libero_goal,4000,102,3898,64,5,38,3893,0.6274509803921569,0.0012827090815802976,0.927536231884058,44,22.0,21.0
c32_assigned_radius,A,libero_long,4000,267,3733,249,109,18,3624,0.9325842696629213,0.02919903562818109,0.6955307262569832,239,32.0,20.0
c32_assigned_radius,A,libero_object,4000,37,3963,37,26,0,3937,1.0,0.006560686348725713,0.5873015873015873,32,19.0,12.5
c32_assigned_radius,A,libero_spatial,4000,126,3874,112,21,14,3853,0.8888888888888888,0.0054207537429013936,0.8421052631578947,70,16.0,11.0
c32_assigned_radius,B,libero_goal,4000,106,3894,65,6,41,3888,0.6132075471698113,0.0015408320493066256,0.9154929577464789,59,19.0,18.5
c32_assigned_radius,B,libero_long,4000,274,3726,252,106,22,3620,0.9197080291970803,0.02844873859366613,0.7039106145251397,244,32.0,21.0
c32_assigned_radius,B,libero_object,4000,44,3956,40,28,4,3928,0.9090909090909091,0.007077856420626896,0.5882352941176471,35,19.5,12.5
c32_assigned_radius,B,libero_spatial,4000,140,3860,121,21,19,3839,0.8642857142857143,0.005440414507772021,0.852112676056338,78,16.0,11.0
c32_assigned_radius,A_geometry_holdout,libero_goal,800,20,780,14,2,6,778,0.7,0.002564102564102564,0.875,14,16.5,19.0
c32_assigned_radius,A_geometry_holdout,libero_long,800,50,750,46,23,4,727,0.92,0.030666666666666665,0.6666666666666666,44,32.0,18.0
c32_assigned_radius,A_geometry_holdout,libero_object,800,13,787,13,10,0,777,1.0,0.012706480304955527,0.5652173913043478,11,18.0,12.0
c32_assigned_radius,A_geometry_holdout,libero_spatial,800,27,773,24,1,3,772,0.8888888888888888,0.00129366106080207,0.96,13,17.0,11.0
c32_union_radius,all,libero_goal,8000,208,7792,128,11,80,7781,0.6153846153846154,0.0014117043121149898,0.920863309352518,94,22.0,18.0
c32_union_radius,all,libero_long,8000,541,7459,482,202,59,7257,0.8909426987060998,0.02708137820083121,0.7046783625730995,465,32.0,20.0
c32_union_radius,all,libero_object,8000,81,7919,74,49,7,7870,0.9135802469135802,0.0061876499558025004,0.6016260162601627,63,19.0,12.0
c32_union_radius,all,libero_spatial,8000,266,7734,233,61,33,7673,0.8759398496240601,0.007887251099043186,0.7925170068027211,150,16.0,11.0
c32_union_radius,A,libero_goal,4000,102,3898,68,5,34,3893,0.6666666666666666,0.0012827090815802976,0.9315068493150684,44,23.0,18.0
c32_union_radius,A,libero_long,4000,267,3733,240,94,27,3639,0.898876404494382,0.025180819716046077,0.718562874251497,231,32.0,20.0
c32_union_radius,A,libero_object,4000,37,3963,37,22,0,3941,1.0,0.0055513499873832955,0.6271186440677966,31,19.0,12.5
c32_union_radius,A,libero_spatial,4000,126,3874,108,24,18,3850,0.8571428571428571,0.00619514713474445,0.8181818181818182,69,16.0,11.0
c32_union_radius,B,libero_goal,4000,106,3894,60,6,46,3888,0.5660377358490566,0.0015408320493066256,0.9090909090909091,50,21.0,20.0
c32_union_radius,B,libero_long,4000,274,3726,242,108,32,3618,0.8832116788321168,0.028985507246376812,0.6914285714285714,234,32.0,20.0
c32_union_radius,B,libero_object,4000,44,3956,37,27,7,3929,0.8409090909090909,0.006825075834175936,0.578125,32,19.0,12.0
c32_union_radius,B,libero_spatial,4000,140,3860,125,37,15,3823,0.8928571428571429,0.009585492227979275,0.7716049382716049,81,16.0,11.0
c32_union_radius,A_geometry_holdout,libero_goal,800,20,780,14,1,6,779,0.7,0.001282051282051282,0.9333333333333333,13,16.5,17.0
c32_union_radius,A_geometry_holdout,libero_long,800,50,750,42,21,8,729,0.84,0.028,0.6666666666666666,41,32.0,18.0
c32_union_radius,A_geometry_holdout,libero_object,800,13,787,13,6,0,781,1.0,0.007623888182973317,0.6842105263157895,11,18.0,12.5
c32_union_radius,A_geometry_holdout,libero_spatial,800,27,773,23,2,4,771,0.8518518518518519,0.00258732212160414,0.92,11,18.0,11.5
norm_only,all,libero_goal,8000,208,7792,143,6,65,7786,0.6875,0.0007700205338809035,0.959731543624161,117,24.0,11.0
norm_only,all,libero_long,8000,541,7459,405,191,136,7268,0.7486136783733827,0.025606649684944364,0.6795302013422819,388,32.0,21.0
norm_only,all,libero_object,8000,81,7919,62,482,19,7437,0.7654320987654321,0.06086627099381235,0.11397058823529412,52,19.0,12.0
norm_only,all,libero_spatial,8000,266,7734,192,4,74,7730,0.7218045112781954,0.000517196793379881,0.9795918367346939,70,18.0,15.5
norm_only,A,libero_goal,4000,102,3898,74,1,28,3897,0.7254901960784313,0.0002565418163160595,0.9866666666666667,58,24.0,11.0
norm_only,A,libero_long,4000,267,3733,201,96,66,3637,0.7528089887640449,0.025716581837664076,0.6767676767676768,193,32.0,21.0
norm_only,A,libero_object,4000,37,3963,32,227,5,3736,0.8648648648648649,0.057279838506182186,0.12355212355212356,28,18.0,12.0
norm_only,A,libero_spatial,4000,126,3874,95,0,31,3874,0.753968253968254,0.0,1.0,36,18.0,
norm_only,B,libero_goal,4000,106,3894,69,5,37,3889,0.6509433962264151,0.0012840267077555213,0.9324324324324325,59,24.0,11.0
norm_only,B,libero_long,4000,274,3726,204,95,70,3631,0.7445255474452555,0.02549651100375738,0.6822742474916388,195,32.0,21.0
norm_only,B,libero_object,4000,44,3956,30,255,14,3701,0.6818181818181818,0.06445904954499494,0.10526315789473684,24,20.0,12.0
norm_only,B,libero_spatial,4000,140,3860,97,4,43,3856,0.6928571428571428,0.0010362694300518134,0.9603960396039604,34,18.0,15.5
norm_only,A_geometry_holdout,libero_goal,800,20,780,14,0,6,780,0.7,0.0,1.0,14,15.0,
norm_only,A_geometry_holdout,libero_long,800,50,750,39,14,11,736,0.78,0.018666666666666668,0.7358490566037735,38,32.0,24.0
norm_only,A_geometry_holdout,libero_object,800,13,787,11,60,2,727,0.8461538461538461,0.07623888182973317,0.15492957746478872,9,19.0,12.0
norm_only,A_geometry_holdout,libero_spatial,800,27,773,22,0,5,773,0.8148148148148148,0.0,1.0,9,18.0,
cosine_knn20,all,libero_goal,8000,208,7792,1,38,207,7754,0.004807692307692308,0.004876796714579056,0.02564102564102564,1,10.0,15.0
cosine_knn20,all,libero_long,8000,541,7459,4,188,537,7271,0.0073937153419593345,0.025204450998793405,0.020833333333333332,4,18.5,12.0
cosine_knn20,all,libero_object,8000,81,7919,3,34,78,7885,0.037037037037037035,0.004293471397903776,0.08108108108108109,3,16.0,7.0
cosine_knn20,all,libero_spatial,8000,266,7734,5,13,261,7721,0.018796992481203006,0.0016808895784846134,0.2777777777777778,5,8.0,7.0
cosine_knn20,A,libero_goal,4000,102,3898,0,14,102,3884,0.0,0.0035915854284248334,0.0,0,,15.0
cosine_knn20,A,libero_long,4000,267,3733,1,89,266,3644,0.003745318352059925,0.02384141441200107,0.011111111111111112,1,19.0,13.0
cosine_knn20,A,libero_object,4000,37,3963,2,10,35,3953,0.05405405405405406,0.0025233409033560434,0.16666666666666666,2,13.5,7.0
cosine_knn20,A,libero_spatial,4000,126,3874,3,7,123,3867,0.023809523809523808,0.0018069179143004647,0.3,3,8.0,7.0
cosine_knn20,B,libero_goal,4000,106,3894,1,24,105,3870,0.009433962264150943,0.0061633281972265025,0.04,1,10.0,14.5
cosine_knn20,B,libero_long,4000,274,3726,3,99,271,3627,0.010948905109489052,0.026570048309178744,0.029411764705882353,3,18.0,12.0
cosine_knn20,B,libero_object,4000,44,3956,1,24,43,3932,0.022727272727272728,0.006066734074823054,0.04,1,18.0,7.0
cosine_knn20,B,libero_spatial,4000,140,3860,2,6,138,3854,0.014285714285714285,0.0015544041450777201,0.25,2,8.5,7.0
cosine_knn20,A_geometry_holdout,libero_goal,800,20,780,0,2,20,778,0.0,0.002564102564102564,0.0,0,,17.0
cosine_knn20,A_geometry_holdout,libero_long,800,50,750,0,20,50,730,0.0,0.02666666666666667,0.0,0,,18.0
cosine_knn20,A_geometry_holdout,libero_object,800,13,787,1,2,12,785,0.07692307692307693,0.0025412960609911056,0.3333333333333333,1,11.0,7.0
cosine_knn20,A_geometry_holdout,libero_spatial,800,27,773,0,0,27,773,0.0,0.0,,0,,
