method,cohort,query_cutoff,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
c4_assigned_radius,all,13,32000,1096,30904,222,297,874,30607,0.20255474452554745,0.009610406419880922,0.4277456647398844,222,12.0,12.0
c4_assigned_radius,all,20,32000,1096,30904,531,439,565,30465,0.4844890510948905,0.014205280869790319,0.5474226804123712,440,14.0,12.0
c4_assigned_radius,all,51,32000,1096,30904,954,635,142,30269,0.8704379562043796,0.020547501941496245,0.6003775959723097,783,19.0,15.0
c4_assigned_radius,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
c4_assigned_radius,A,10,16000,532,15468,21,19,511,15449,0.039473684210526314,0.0012283423842772176,0.525,21,9.0,10.0
c4_assigned_radius,A,13,16000,532,15468,107,158,425,15310,0.20112781954887218,0.01021463666925265,0.4037735849056604,107,12.0,12.0
c4_assigned_radius,A,20,16000,532,15468,264,227,268,15241,0.49624060150375937,0.014675459012154125,0.5376782077393075,223,14.0,12.0
c4_assigned_radius,A,51,16000,532,15468,468,331,64,15137,0.8796992481203008,0.02139901732609258,0.5857321652065082,388,19.0,16.0
c4_assigned_radius,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
c4_assigned_radius,B,10,16000,564,15436,20,20,544,15416,0.03546099290780142,0.001295672454003628,0.5,20,10.0,10.0
c4_assigned_radius,B,13,16000,564,15436,115,139,449,15297,0.20390070921985815,0.009004923555325214,0.452755905511811,115,12.0,12.0
c4_assigned_radius,B,20,16000,564,15436,267,212,297,15224,0.4734042553191489,0.013734128012438455,0.55741127348643,217,14.0,12.0
c4_assigned_radius,B,51,16000,564,15436,486,304,78,15132,0.8617021276595744,0.019694221300855144,0.6151898734177215,395,19.0,14.5
c4_assigned_radius,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
c4_assigned_radius,A_geometry_holdout,10,3200,110,3090,1,2,109,3088,0.00909090909090909,0.0006472491909385113,0.3333333333333333,1,8.0,10.0
c4_assigned_radius,A_geometry_holdout,13,3200,110,3090,19,35,91,3055,0.17272727272727273,0.011326860841423949,0.35185185185185186,19,13.0,12.0
c4_assigned_radius,A_geometry_holdout,20,3200,110,3090,65,49,45,3041,0.5909090909090909,0.015857605177993526,0.5701754385964912,55,16.0,12.0
c4_assigned_radius,A_geometry_holdout,51,3200,110,3090,100,62,10,3028,0.9090909090909091,0.020064724919093852,0.6172839506172839,84,17.5,12.0
c32_assigned_radius,all,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
c32_assigned_radius,all,10,32000,1096,30904,26,19,1070,30885,0.023722627737226276,0.0006148071447061869,0.5777777777777777,26,9.0,10.0
c32_assigned_radius,all,13,32000,1096,30904,108,119,988,30785,0.09854014598540146,0.0038506342221071707,0.47577092511013214,108,12.0,12.0
c32_assigned_radius,all,20,32000,1096,30904,402,207,694,30697,0.36678832116788324,0.006698162050220036,0.6600985221674877,327,15.0,13.0
c32_assigned_radius,all,51,32000,1096,30904,940,322,156,30582,0.8576642335766423,0.010419363189231168,0.7448494453248812,801,24.0,16.5
c32_assigned_radius,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
c32_assigned_radius,A,10,16000,532,15468,13,6,519,15462,0.02443609022556391,0.0003878975950349108,0.6842105263157895,13,9.0,10.0
c32_assigned_radius,A,13,16000,532,15468,45,65,487,15403,0.08458646616541353,0.004202223946211533,0.4090909090909091,45,12.0,12.0
c32_assigned_radius,A,20,16000,532,15468,192,106,340,15362,0.3609022556390977,0.0068528575122834235,0.6442953020134228,156,16.0,12.0
c32_assigned_radius,A,51,16000,532,15468,462,161,70,15307,0.868421052631579,0.010408585466770107,0.7415730337078652,385,25.0,16.0
c32_assigned_radius,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
c32_assigned_radius,B,10,16000,564,15436,13,13,551,15423,0.02304964539007092,0.0008421870951023582,0.5,13,9.0,10.0
c32_assigned_radius,B,13,16000,564,15436,63,54,501,15382,0.11170212765957446,0.003498315625809795,0.5384615384615384,63,12.0,11.0
c32_assigned_radius,B,20,16000,564,15436,210,101,354,15335,0.3723404255319149,0.0065431458927183205,0.6752411575562701,171,15.0,13.0
c32_assigned_radius,B,51,16000,564,15436,478,161,86,15275,0.8475177304964538,0.010430163254729204,0.7480438184663537,416,23.0,17.0
c32_assigned_radius,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
c32_assigned_radius,A_geometry_holdout,10,3200,110,3090,1,1,109,3089,0.00909090909090909,0.00032362459546925567,0.5,1,9.0,9.0
c32_assigned_radius,A_geometry_holdout,13,3200,110,3090,8,13,102,3077,0.07272727272727272,0.004207119741100324,0.38095238095238093,8,11.5,12.0
c32_assigned_radius,A_geometry_holdout,20,3200,110,3090,50,28,60,3062,0.45454545454545453,0.009061488673139158,0.6410256410256411,42,16.0,14.0
c32_assigned_radius,A_geometry_holdout,51,3200,110,3090,97,36,13,3054,0.8818181818181818,0.011650485436893204,0.7293233082706767,82,20.0,16.0
c32_union_radius,all,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
c32_union_radius,all,10,32000,1096,30904,30,20,1066,30884,0.02737226277372263,0.0006471654154801967,0.6,30,9.5,10.0
c32_union_radius,all,13,32000,1096,30904,105,127,991,30777,0.09580291970802919,0.004109500388299249,0.4525862068965517,105,12.0,11.0
c32_union_radius,all,20,32000,1096,30904,392,224,704,30680,0.35766423357664234,0.007248252653378203,0.6363636363636364,322,15.0,13.0
c32_union_radius,all,51,32000,1096,30904,917,323,179,30581,0.8366788321167883,0.010451721460005177,0.739516129032258,772,25.0,16.0
c32_union_radius,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
c32_union_radius,A,10,16000,532,15468,15,4,517,15464,0.02819548872180451,0.0002585983966899405,0.7894736842105263,15,9.0,10.0
c32_union_radius,A,13,16000,532,15468,48,53,484,15415,0.09022556390977443,0.0034264287561417118,0.4752475247524752,48,12.0,11.0
c32_union_radius,A,20,16000,532,15468,188,98,344,15370,0.3533834586466165,0.0063356607189035425,0.6573426573426573,156,16.0,13.0
c32_union_radius,A,51,16000,532,15468,453,145,79,15323,0.8515037593984962,0.009374191880010345,0.7575250836120402,375,25.0,17.0
c32_union_radius,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
c32_union_radius,B,10,16000,564,15436,15,16,549,15420,0.026595744680851064,0.0010365379632029023,0.4838709677419355,15,10.0,10.0
c32_union_radius,B,13,16000,564,15436,57,74,507,15362,0.10106382978723404,0.004793988079813423,0.4351145038167939,57,12.0,11.0
c32_union_radius,B,20,16000,564,15436,204,126,360,15310,0.3617021276595745,0.008162736460222855,0.6181818181818182,166,15.0,12.5
c32_union_radius,B,51,16000,564,15436,464,178,100,15258,0.8226950354609929,0.011531484840632288,0.7227414330218068,397,24.0,15.0
c32_union_radius,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
c32_union_radius,A_geometry_holdout,10,3200,110,3090,1,0,109,3090,0.00909090909090909,0.0,1.0,1,8.0,
c32_union_radius,A_geometry_holdout,13,3200,110,3090,5,8,105,3082,0.045454545454545456,0.0025889967637540453,0.38461538461538464,5,12.0,12.0
c32_union_radius,A_geometry_holdout,20,3200,110,3090,46,22,64,3068,0.41818181818181815,0.007119741100323625,0.6764705882352942,38,16.0,15.5
c32_union_radius,A_geometry_holdout,51,3200,110,3090,92,30,18,3060,0.8363636363636363,0.009708737864077669,0.7540983606557377,76,20.5,17.0
norm_only,all,7,32000,1096,30904,3,1,1093,30903,0.002737226277372263,3.235827077400984e-05,0.75,3,7.0,7.0
norm_only,all,10,32000,1096,30904,29,24,1067,30880,0.02645985401459854,0.000776598498576236,0.5471698113207547,29,8.0,10.0
norm_only,all,13,32000,1096,30904,49,483,1047,30421,0.04470802919708029,0.01562904478384675,0.09210526315789473,49,10.0,12.0
norm_only,all,20,32000,1096,30904,329,568,767,30336,0.3001824817518248,0.018379497799637587,0.36677814938684505,225,17.0,12.0
norm_only,all,51,32000,1096,30904,802,683,294,30221,0.7317518248175182,0.02210069893864872,0.54006734006734,627,24.0,12.0
norm_only,A,7,16000,532,15468,3,0,529,15468,0.005639097744360902,0.0,1.0,3,7.0,
norm_only,A,10,16000,532,15468,15,11,517,15457,0.02819548872180451,0.0007111455908973364,0.5769230769230769,15,8.0,10.0
norm_only,A,13,16000,532,15468,25,225,507,15243,0.046992481203007516,0.014546159813809155,0.1,25,10.0,12.0
norm_only,A,20,16000,532,15468,169,267,363,15201,0.3176691729323308,0.01726144297905353,0.3876146788990826,117,17.0,12.0
norm_only,A,51,16000,532,15468,402,324,130,15144,0.7556390977443609,0.02094647013188518,0.5537190082644629,315,24.0,12.0
norm_only,B,7,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
norm_only,B,10,16000,564,15436,14,13,550,15423,0.024822695035460994,0.0008421870951023582,0.5185185185185185,14,8.5,10.0
norm_only,B,13,16000,564,15436,24,258,540,15178,0.0425531914893617,0.0167141746566468,0.0851063829787234,24,10.0,12.0
norm_only,B,20,16000,564,15436,160,301,404,15135,0.28368794326241137,0.0194998704327546,0.3470715835140998,108,16.5,12.0
norm_only,B,51,16000,564,15436,400,359,164,15077,0.7092198581560284,0.02325732054936512,0.5270092226613966,312,24.0,12.0
norm_only,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
norm_only,A_geometry_holdout,10,3200,110,3090,1,3,109,3087,0.00909090909090909,0.000970873786407767,0.25,1,8.0,10.0
norm_only,A_geometry_holdout,13,3200,110,3090,4,59,106,3031,0.03636363636363636,0.019093851132686083,0.06349206349206349,4,13.0,12.0
norm_only,A_geometry_holdout,20,3200,110,3090,47,63,63,3027,0.42727272727272725,0.020388349514563107,0.42727272727272725,34,17.0,12.0
norm_only,A_geometry_holdout,51,3200,110,3090,86,74,24,3016,0.7818181818181819,0.02394822006472492,0.5375,70,19.0,12.0
cosine_knn20,all,7,32000,1096,30904,2,93,1094,30811,0.0018248175182481751,0.0030093191819829147,0.021052631578947368,2,7.0,7.0
cosine_knn20,all,10,32000,1096,30904,6,126,1090,30778,0.005474452554744526,0.004077142117525239,0.045454545454545456,6,8.0,7.0
cosine_knn20,all,13,32000,1096,30904,7,163,1089,30741,0.006386861313868613,0.005274398136163603,0.041176470588235294,7,8.0,7.0
cosine_knn20,all,20,32000,1096,30904,12,240,1084,30664,0.010948905109489052,0.007765984985762361,0.047619047619047616,12,10.5,9.0
cosine_knn20,all,51,32000,1096,30904,13,273,1083,30631,0.011861313868613138,0.008833807921304686,0.045454545454545456,13,11.0,12.0
cosine_knn20,A,7,16000,532,15468,1,37,531,15431,0.0018796992481203006,0.0023920351693819497,0.02631578947368421,1,7.0,7.0
cosine_knn20,A,10,16000,532,15468,3,55,529,15413,0.005639097744360902,0.0035557279544866822,0.05172413793103448,3,8.0,7.0
cosine_knn20,A,13,16000,532,15468,4,67,528,15401,0.007518796992481203,0.004331523144556503,0.056338028169014086,4,8.0,7.0
cosine_knn20,A,20,16000,532,15468,6,101,526,15367,0.011278195488721804,0.006529609516420998,0.056074766355140186,6,9.5,8.0
cosine_knn20,A,51,16000,532,15468,6,120,526,15348,0.011278195488721804,0.007757951900698216,0.047619047619047616,6,9.5,12.0
cosine_knn20,B,7,16000,564,15436,1,56,563,15380,0.0017730496453900709,0.003627882871210158,0.017543859649122806,1,7.0,7.0
cosine_knn20,B,10,16000,564,15436,3,71,561,15365,0.005319148936170213,0.004599637211712879,0.04054054054054054,3,10.0,7.0
cosine_knn20,B,13,16000,564,15436,3,96,561,15340,0.005319148936170213,0.006219227779217414,0.030303030303030304,3,10.0,7.0
cosine_knn20,B,20,16000,564,15436,6,139,558,15297,0.010638297872340425,0.009004923555325214,0.041379310344827586,6,13.5,10.0
cosine_knn20,B,51,16000,564,15436,7,153,557,15283,0.012411347517730497,0.009911894273127754,0.04375,7,17.0,11.0
cosine_knn20,A_geometry_holdout,7,3200,110,3090,0,7,110,3083,0.0,0.0022653721682847896,0.0,0,,7.0
cosine_knn20,A_geometry_holdout,10,3200,110,3090,0,11,110,3079,0.0,0.0035598705501618125,0.0,0,,7.0
cosine_knn20,A_geometry_holdout,13,3200,110,3090,1,11,109,3079,0.00909090909090909,0.0035598705501618125,0.08333333333333333,1,11.0,7.0
cosine_knn20,A_geometry_holdout,20,3200,110,3090,1,20,109,3070,0.00909090909090909,0.006472491909385114,0.047619047619047616,1,11.0,8.0
cosine_knn20,A_geometry_holdout,51,3200,110,3090,1,24,109,3066,0.00909090909090909,0.007766990291262136,0.04,1,11.0,17.0
