episode_id,group,success,n_q,scale_level,abstain,n_alarms,alarm_steps,alarm_channels,first_alarm_q,first_alarm_channel,first_loop_alarm_q,first_static_alarm_q,loop_n_entries,static_max_run,loop_onset_q,static_onset_q
195,20,1,39,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
196,20,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
197,20,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
198,20,0,52,group,0,1,36,loop,36,loop,36,-1,2,2,-1,-1
199,20,1,40,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
200,20,1,39,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
201,20,0,52,group,0,1,44,loop,44,loop,44,-1,2,1,-1,-1
202,20,1,38,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
203,20,0,52,group,0,1,47,loop,47,loop,47,-1,2,2,34,-1
204,20,0,52,group,0,1,36,loop,36,loop,36,-1,3,2,47,-1
205,20,1,38,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
206,20,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
207,20,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
208,20,1,39,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
209,20,1,39,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
210,20,1,43,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
211,20,0,52,group,0,1,45,static,45,static,-1,45,3,3,-1,-1
212,20,1,40,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
213,20,0,52,group,0,1,44,loop,44,loop,44,-1,2,0,-1,-1
214,20,1,41,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
215,20,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
216,20,1,40,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
217,20,1,38,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
218,20,0,52,group,0,1,50,loop,50,loop,50,-1,2,1,-1,-1
219,20,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
220,20,0,52,group,0,1,44,loop,44,loop,44,-1,1,2,-1,-1
221,20,0,52,group,0,1,43,loop,43,loop,43,-1,2,1,-1,-1
222,20,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
223,20,1,40,group,0,0,,,-1,none,-1,-1,0,2,-1,-1
224,23,1,40,group,0,1,17,loop,17,loop,17,-1,2,1,-1,-1
225,23,1,40,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
226,23,0,52,group,0,2,17|45,loop|loop,17,loop,17,-1,2,2,-1,-1
227,23,1,47,group,0,1,41,loop,41,loop,41,-1,3,2,-1,-1
228,23,1,39,group,0,0,,,-1,none,-1,-1,4,2,-1,-1
229,23,1,41,group,0,1,17,loop,17,loop,17,-1,1,2,-1,-1
230,23,1,40,group,0,0,,,-1,none,-1,-1,0,2,-1,-1
231,23,1,39,group,0,1,35,loop,35,loop,35,-1,3,2,-1,-1
232,23,1,40,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
233,23,1,39,group,0,2,17|36,loop|loop,17,loop,17,-1,2,2,-1,-1
234,23,1,37,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
235,23,1,41,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
236,23,1,42,group,0,0,,,-1,none,-1,-1,4,2,-1,-1
237,23,1,39,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
238,23,1,39,group,0,1,17,loop,17,loop,17,-1,2,1,-1,-1
239,23,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
240,23,0,52,group,0,2,17|44,loop|loop,17,loop,17,-1,3,2,48,43
241,23,1,39,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
242,23,1,40,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
243,23,0,52,group,0,2,17|50,loop|loop,17,loop,17,-1,2,2,-1,-1
244,23,1,39,group,0,2,17|36,loop|loop,17,loop,17,-1,2,2,-1,-1
245,23,1,41,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
246,23,1,39,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
247,23,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
248,23,1,39,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
249,23,1,39,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
250,23,1,40,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
251,23,1,39,group,0,0,,,-1,none,-1,-1,4,2,-1,-1
252,23,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
253,23,1,39,group,0,1,17,loop,17,loop,17,-1,2,2,-1,-1
254,23,1,42,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
255,23,1,39,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
256,26,1,38,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
257,26,0,52,group,0,1,38,loop,38,loop,38,-1,2,0,35,-1
258,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
259,26,0,52,group,0,0,,,-1,none,-1,-1,1,1,-1,38
260,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,42
261,26,0,52,group,0,2,18|46,loop|loop,18,loop,18,-1,3,0,43,-1
262,26,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,38
263,26,1,39,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
264,26,1,40,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
265,26,1,36,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
266,26,0,52,group,0,0,,,-1,none,-1,-1,3,0,-1,39
267,26,1,38,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
268,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,40
269,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,40
270,26,0,52,group,0,0,,,-1,none,-1,-1,2,1,-1,43
271,26,0,52,group,0,0,,,-1,none,-1,-1,3,0,48,40
272,26,1,42,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
273,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
274,26,0,52,group,0,1,45,loop,45,loop,45,-1,3,0,-1,-1
275,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
276,26,1,38,group,0,1,37,loop,37,loop,37,-1,3,0,-1,-1
277,26,0,52,group,0,0,,,-1,none,-1,-1,0,1,-1,38
278,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,40
279,26,1,39,group,0,0,,,-1,none,-1,-1,5,0,-1,-1
280,26,0,52,group,0,0,,,-1,none,-1,-1,3,0,48,40
281,26,0,52,group,0,1,38,loop,38,loop,38,-1,3,0,45,-1
282,26,0,52,group,0,0,,,-1,none,-1,-1,1,1,-1,38
283,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,40
284,26,0,52,group,0,1,38,loop,38,loop,38,-1,2,1,40,-1
285,26,1,39,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
286,26,0,52,group,0,1,38,loop,38,loop,38,-1,2,0,-1,-1
287,26,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,40
288,29,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
289,29,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
290,29,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
291,29,0,52,group,0,0,,,-1,none,-1,-1,1,1,-1,44
292,29,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
293,29,0,52,group,0,1,45,loop,45,loop,45,-1,2,1,-1,-1
294,29,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
295,29,1,40,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
296,29,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
297,29,1,40,group,0,1,36,loop,36,loop,36,-1,1,1,-1,-1
298,29,1,40,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
299,29,1,39,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
300,29,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
301,29,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
302,29,1,39,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
303,29,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
304,29,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
305,29,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
306,29,1,41,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
307,29,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
308,29,1,39,group,0,1,36,loop,36,loop,36,-1,1,0,-1,-1
309,29,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
310,29,1,39,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
311,29,1,40,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
312,29,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
313,29,1,39,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
314,29,0,52,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
315,29,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,39
316,29,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
317,29,1,40,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
318,29,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
319,29,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
320,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
321,33,1,39,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
322,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
323,33,1,39,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
324,33,1,38,group,0,1,26,static,26,static,-1,26,2,4,-1,-1
325,33,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
326,33,1,39,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
327,33,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
328,33,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
329,33,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
330,33,1,39,group,0,0,,,-1,none,-1,-1,0,0,-1,-1
331,33,1,38,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
332,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
333,33,1,39,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
334,33,1,39,group,0,1,35,loop,35,loop,35,-1,1,1,-1,-1
335,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
336,33,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
337,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
338,33,1,38,group,0,0,,,-1,none,-1,-1,0,2,-1,-1
339,33,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
340,33,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
341,33,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
342,33,1,38,group,0,1,28,static,28,static,-1,28,1,3,-1,-1
343,33,1,39,group,0,1,27,static,27,static,-1,27,3,3,-1,-1
344,33,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
345,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
346,33,1,39,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
347,33,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
348,33,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
349,33,1,39,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
350,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
351,33,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
352,36,1,39,group,0,1,35,loop,35,loop,35,-1,1,1,-1,-1
353,36,1,39,group,0,0,,,-1,none,-1,-1,3,2,-1,-1
354,36,1,41,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
355,36,1,39,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
356,36,1,39,group,0,0,,,-1,none,-1,-1,4,2,-1,-1
357,36,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
358,36,1,40,group,0,1,36,loop,36,loop,36,-1,3,1,-1,-1
359,36,1,40,group,0,1,35,loop,35,loop,35,-1,3,1,-1,-1
360,36,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
361,36,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
362,36,1,40,group,0,0,,,-1,none,-1,-1,4,2,-1,-1
363,36,1,39,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
364,36,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
365,36,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
366,36,1,39,group,0,1,35,loop,35,loop,35,-1,3,0,-1,-1
