layer,new,existing,pearson,spearman_40k
L4,shape_erank,conditional_effective_rank,-0.14839591823603931,-0.12562462943662014
L4,shape_erank,conditional_energy,0.05530925881457019,0.05327080459545976
L4,shape_erank,partial_edge_std,-0.31343485741893046,-0.26486704009336665
L4,lam1_share,conditional_effective_rank,0.08117531375584974,0.06890312265940426
L4,lam1_share,conditional_energy,-0.07149942853563773,-0.062408950250535965
L4,lam1_share,partial_edge_std,0.2562081999194336,0.20544439574315781
L4,size,conditional_effective_rank,0.5822309055734416,0.5915895176870555
L4,size,conditional_energy,-0.010238780175854502,-0.03351325916031776
L4,size,partial_edge_std,0.5248867680755177,0.5647885665692061
L4,procrustes_layer,conditional_effective_rank,0.2773176158239395,0.165104519986661
L4,procrustes_layer,conditional_energy,-0.005165849132856836,-0.026303774007150425
L4,procrustes_layer,partial_edge_std,0.20042237457527937,0.14127696866257242
L4,bandedness,conditional_effective_rank,0.057976246467029625,0.1657837776758238
L4,bandedness,conditional_energy,-0.10947922223838201,-0.1406927746582037
L4,bandedness,partial_edge_std,0.12695637840175855,0.17400659666354434
L5,shape_pr,conditional_effective_rank,-0.25693949954931306,-0.27766356726415103
L5,shape_pr,conditional_energy,0.05199846524736201,0.0431600087918511
L5,shape_pr,partial_edge_std,-0.35074058773273786,-0.3803842522617188
L5,shape_erank,conditional_effective_rank,-0.3383224166358166,-0.35270357823360493
L5,shape_erank,conditional_energy,0.06200130314839728,0.038418810828512506
L5,shape_erank,partial_edge_std,-0.4258273027954655,-0.4575360367085326
L5,lam1_share,conditional_effective_rank,0.22350338817390772,0.23255787334577308
L5,lam1_share,conditional_energy,-0.05643370744214046,-0.050364850645956596
L5,lam1_share,partial_edge_std,0.32528723786493696,0.32858844649477414
L5,size,conditional_effective_rank,0.6867608030853546,0.595144808476292
L5,size,conditional_energy,-0.02198215712507319,0.047287709188463325
L5,size,partial_edge_std,0.6888380251583033,0.6378229767683534
L5,procrustes_layer,conditional_effective_rank,0.5728134176731354,0.4221978642465778
L5,procrustes_layer,conditional_energy,-0.042076206730757904,-0.08945878996332819
L5,procrustes_layer,partial_edge_std,0.6419651438425441,0.4887707284523489
L5,bandedness,conditional_effective_rank,-0.4145575401771664,-0.10854815183523094
L5,bandedness,conditional_energy,0.005020158160888748,-0.00038627861063514547
L5,bandedness,partial_edge_std,-0.45648868667782044,-0.12132848516243766
L12,shape_pr,conditional_effective_rank,0.10198467261233753,-0.023045773362262333
L12,shape_pr,conditional_energy,-0.08549779290067637,-0.08756475702908002
L12,shape_pr,partial_edge_std,-0.1844288381670893,-0.23013822131459252
L12,shape_erank,conditional_effective_rank,-0.034246201944861145,-0.13754584533942726
L12,shape_erank,conditional_energy,-0.10302524767302235,-0.10824110713803607
L12,shape_erank,partial_edge_std,-0.3151005421339086,-0.3403290081200682
L12,lam1_share,conditional_effective_rank,-0.1304659789742508,-0.02772455390372525
L12,lam1_share,conditional_energy,0.07341149504423644,0.07644515246147165
L12,lam1_share,partial_edge_std,0.14774281531605069,0.17458649612360075
L12,size,conditional_effective_rank,0.755226236732404,0.7753845687570827
L12,size,conditional_energy,0.41743853051521623,0.4471140826747832
L12,size,partial_edge_std,0.7392568707246636,0.7582556782815901
L12,procrustes_layer,conditional_effective_rank,0.3578286841483718,0.22332872200724874
L12,procrustes_layer,conditional_energy,-0.07117429894733485,-0.07798375789864445
L12,procrustes_layer,partial_edge_std,0.235269270628313,0.19952831579292563
L12,bandedness,conditional_effective_rank,-0.2684576548023583,-0.08223771108045023
L12,bandedness,conditional_energy,0.09199647455940255,0.11314403396982146
L12,bandedness,partial_edge_std,-0.07532568081318307,0.02327065464420675
L13,shape_pr,conditional_effective_rank,0.27225045064752273,0.0907585585723665
L13,shape_pr,conditional_energy,-0.08613966417438897,-0.08854771129949889
L13,shape_pr,partial_edge_std,-0.024066998245395647,-0.11715855084243344
L13,shape_erank,conditional_effective_rank,0.11968139831692291,-0.03178137353608724
L13,shape_erank,conditional_energy,-0.1128413092851673,-0.12204851558853318
L13,shape_erank,partial_edge_std,-0.1744768445992019,-0.23520656517939198
L13,lam1_share,conditional_effective_rank,-0.2930155447185012,-0.13410299702887102
L13,lam1_share,conditional_energy,0.06771962808079261,0.0729373276586422
L13,lam1_share,partial_edge_std,-0.0064217932114907315,0.07095174496998272
L13,size,conditional_effective_rank,0.7304596443738152,0.7642083271886472
L13,size,conditional_energy,0.4398025466834844,0.44097049450968523
L13,size,partial_edge_std,0.7164521058782473,0.7436678606991834
L13,procrustes_layer,conditional_effective_rank,0.5049929167467506,0.26661358173625954
L13,procrustes_layer,conditional_energy,-0.1334738008112632,-0.13490532001616312
L13,procrustes_layer,partial_edge_std,0.3817834116578578,0.27394517634928295
L13,bandedness,conditional_effective_rank,-0.47925614044302817,-0.17817238660143078
L13,bandedness,conditional_energy,0.12580044676520993,0.13425248212105004
L13,bandedness,partial_edge_std,-0.2794376633940646,-0.08111358005644312
L14,shape_pr,conditional_effective_rank,0.21387159053238713,0.08797414812742782
L14,shape_pr,conditional_energy,-0.08805767430760977,-0.07605884993627761
L14,shape_pr,partial_edge_std,-0.10982389640511543,-0.15230126974900915
L14,shape_erank,conditional_effective_rank,0.09367912877800835,-0.01849903776043392
L14,shape_erank,conditional_energy,-0.11851496545494215,-0.11529260514386774
L14,shape_erank,partial_edge_std,-0.23034257214041187,-0.2541102069028389
L14,lam1_share,conditional_effective_rank,-0.21935957608558138,-0.1245581690920595
L14,lam1_share,conditional_energy,0.06469794452581898,0.05422817639868824
L14,lam1_share,partial_edge_std,0.09284635670783256,0.11110731708072327
L14,size,conditional_effective_rank,0.7102049756670141,0.7480407848241112
L14,size,conditional_energy,0.47265664172666094,0.463684091580581
L14,size,partial_edge_std,0.7002945266455608,0.7254915982531114
L14,procrustes_layer,conditional_effective_rank,0.38463528758605814,0.20117340698706002
L14,procrustes_layer,conditional_energy,-0.09943051647178373,-0.10553622766171311
L14,procrustes_layer,partial_edge_std,0.26560905638893195,0.19007287620951333
L14,bandedness,conditional_effective_rank,-0.36630327145402036,-0.1643259723824211
L14,bandedness,conditional_energy,0.09442792971871726,0.09751864547838061
L14,bandedness,partial_edge_std,-0.15841831665808387,-0.04939035751688122
L15,shape_pr,conditional_effective_rank,0.12382900375962773,0.04527798715132726
L15,shape_pr,conditional_energy,0.013388345805522004,0.029215515265176895
L15,shape_pr,partial_edge_std,-0.19704477471304546,-0.2164451911150554
L15,shape_erank,conditional_effective_rank,0.007558805036246378,-0.05903651962247691
L15,shape_erank,conditional_energy,-0.0198057065666486,-0.00930674675268284
L15,shape_erank,partial_edge_std,-0.3118635991602161,-0.31961935985584455
L15,lam1_share,conditional_effective_rank,-0.14885412183211255,-0.08888808877752795
L15,lam1_share,conditional_energy,-0.038999166517994795,-0.049813277368072305
L15,lam1_share,partial_edge_std,0.1664260695963503,0.16594684066215584
L15,size,conditional_effective_rank,0.7125119231784025,0.7099825095060258
L15,size,conditional_energy,0.47128613315287504,0.5054961340693385
L15,size,partial_edge_std,0.6722902006914413,0.6683159911882998
L15,procrustes_layer,conditional_effective_rank,0.2898673584998668,0.12772580079098506
L15,procrustes_layer,conditional_energy,-0.0402229694205003,-0.1042386143337313
L15,procrustes_layer,partial_edge_std,0.2825066612140632,0.1220587256363389
L15,bandedness,conditional_effective_rank,-0.34718861167458104,-0.1490995399099857
L15,bandedness,conditional_energy,-0.027459146498330887,-0.017351524292320133
L15,bandedness,partial_edge_std,-0.20850339335943774,-0.021161248260222025
