cohort,group,detector,detector_role,episodes,risk_n,timely_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,is_baseline
legacy_16x32,libero_long,periodicity,sub-condition: recurrence loss (only enters via turbulence),512,216,296,37,16,21,200,275,0.07407407407407407,0.07094594594594594,0.43243243243243246,6.5,0.07407407407407407,0.05555555555555555,0.032407407407407406,0.018518518518518517,,,,,,,True
legacy_16x32,libero_long,turbulence,branch: confirmed turbulence (acceleration AND periodicity),512,216,296,20,12,8,204,288,0.05555555555555555,0.02702702702702703,0.6,3.0,0.046296296296296294,0.023148148148148147,0.004629629629629629,0.0,,,,,,,True
legacy_16x32,libero_long,guard,intrinsic_guard_v7 (freeze OR turbulence),512,216,296,197,175,22,41,274,0.8101851851851852,0.07432432432432433,0.8883248730964467,19.0,0.8101851851851852,0.7870370370370371,0.7361111111111112,0.7314814814814815,,,,,,,True
legacy_16x32,libero_spatial,freeze,branch: relative freeze,1024,49,975,44,41,3,8,972,0.8367346938775511,0.003076923076923077,0.9318181818181818,2.0,0.5918367346938775,0.08163265306122448,0.0,0.0,,,,,,,True
legacy_16x32,libero_spatial,acceleration,sub-condition: flow acceleration (only enters via turbulence),1024,49,975,8,7,1,42,974,0.14285714285714285,0.0010256410256410256,0.875,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,,,,,,,True
legacy_16x32,libero_spatial,periodicity,sub-condition: recurrence loss (only enters via turbulence),1024,49,975,247,46,201,3,774,0.9387755102040817,0.20615384615384616,0.1862348178137652,9.0,0.9387755102040817,0.9183673469387755,0.7346938775510204,0.0,,,,,,,True
legacy_16x32,libero_spatial,turbulence,branch: confirmed turbulence (acceleration AND periodicity),1024,49,975,6,5,1,44,974,0.10204081632653061,0.0010256410256410256,0.8333333333333334,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,,,,,,,True
legacy_16x32,libero_spatial,guard,intrinsic_guard_v7 (freeze OR turbulence),1024,49,975,44,41,3,8,972,0.8367346938775511,0.003076923076923077,0.9318181818181818,2.0,0.5918367346938775,0.10204081632653061,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_goal/open_the_middle_drawer_of_the_cabinet,freeze,branch: relative freeze,512,0,512,0,0,0,0,512,,0.0,,,,,,,,,,,,,True
legacy_16x32,task:libero_goal/open_the_middle_drawer_of_the_cabinet,acceleration,sub-condition: flow acceleration (only enters via turbulence),512,0,512,0,0,0,0,512,,0.0,,,,,,,,,,,,,True
legacy_16x32,task:libero_goal/open_the_middle_drawer_of_the_cabinet,periodicity,sub-condition: recurrence loss (only enters via turbulence),512,0,512,0,0,0,0,512,,0.0,,,,,,,,,,,,,True
legacy_16x32,task:libero_goal/open_the_middle_drawer_of_the_cabinet,turbulence,branch: confirmed turbulence (acceleration AND periodicity),512,0,512,0,0,0,0,512,,0.0,,,,,,,,,,,,,True
legacy_16x32,task:libero_goal/open_the_middle_drawer_of_the_cabinet,guard,intrinsic_guard_v7 (freeze OR turbulence),512,0,512,0,0,0,0,512,,0.0,,,,,,,,,,,,,True
legacy_16x32,task:libero_goal/open_the_top_drawer_and_put_the_bowl_inside,freeze,branch: relative freeze,512,42,470,40,40,0,2,470,0.9523809523809523,0.0,1.0,5.0,0.9285714285714286,0.8095238095238095,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_goal/open_the_top_drawer_and_put_the_bowl_inside,acceleration,sub-condition: flow acceleration (only enters via turbulence),512,42,470,1,1,0,41,470,0.023809523809523808,0.0,1.0,9.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,,,,,,,True
legacy_16x32,task:libero_goal/open_the_top_drawer_and_put_the_bowl_inside,periodicity,sub-condition: recurrence loss (only enters via turbulence),512,42,470,47,41,6,1,464,0.9761904761904762,0.01276595744680851,0.8723404255319149,7.0,0.9761904761904762,0.9285714285714286,0.3333333333333333,0.047619047619047616,,,,,,,True
legacy_16x32,task:libero_goal/open_the_top_drawer_and_put_the_bowl_inside,turbulence,branch: confirmed turbulence (acceleration AND periodicity),512,42,470,1,1,0,41,470,0.023809523809523808,0.0,1.0,9.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,,,,,,,True
legacy_16x32,task:libero_goal/open_the_top_drawer_and_put_the_bowl_inside,guard,intrinsic_guard_v7 (freeze OR turbulence),512,42,470,41,41,0,1,470,0.9761904761904762,0.0,1.0,5.0,0.9523809523809523,0.8333333333333334,0.023809523809523808,0.0,,,,,,,True
legacy_16x32,task:libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,freeze,branch: relative freeze,512,216,296,186,172,14,44,282,0.7962962962962963,0.0472972972972973,0.9247311827956989,19.0,0.7824074074074074,0.7685185185185185,0.7314814814814815,0.7314814814814815,,,,,,,True
legacy_16x32,task:libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,acceleration,sub-condition: flow acceleration (only enters via turbulence),512,216,296,126,94,32,122,264,0.4351851851851852,0.10810810810810811,0.746031746031746,12.0,0.41203703703703703,0.37962962962962965,0.2962962962962963,0.22685185185185186,,,,,,,True
legacy_16x32,task:libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,periodicity,sub-condition: recurrence loss (only enters via turbulence),512,216,296,37,16,21,200,275,0.07407407407407407,0.07094594594594594,0.43243243243243246,6.5,0.07407407407407407,0.05555555555555555,0.032407407407407406,0.018518518518518517,,,,,,,True
legacy_16x32,task:libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,turbulence,branch: confirmed turbulence (acceleration AND periodicity),512,216,296,20,12,8,204,288,0.05555555555555555,0.02702702702702703,0.6,3.0,0.046296296296296294,0.023148148148148147,0.004629629629629629,0.0,,,,,,,True
legacy_16x32,task:libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,guard,intrinsic_guard_v7 (freeze OR turbulence),512,216,296,197,175,22,41,274,0.8101851851851852,0.07432432432432433,0.8883248730964467,19.0,0.8101851851851852,0.7870370370370371,0.7361111111111112,0.7314814814814815,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,freeze,branch: relative freeze,512,12,500,12,11,1,1,499,0.9166666666666666,0.002,0.9166666666666666,3.0,0.5,0.3333333333333333,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,acceleration,sub-condition: flow acceleration (only enters via turbulence),512,12,500,7,6,1,6,499,0.5,0.002,0.8571428571428571,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,periodicity,sub-condition: recurrence loss (only enters via turbulence),512,12,500,12,11,1,1,499,0.9166666666666666,0.002,0.9166666666666666,6.0,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,turbulence,branch: confirmed turbulence (acceleration AND periodicity),512,12,500,6,5,1,7,499,0.4166666666666667,0.002,0.8333333333333334,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,guard,intrinsic_guard_v7 (freeze OR turbulence),512,12,500,12,11,1,1,499,0.9166666666666666,0.002,0.9166666666666666,3.0,0.5,0.4166666666666667,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,freeze,branch: relative freeze,512,37,475,32,30,2,7,473,0.8108108108108109,0.004210526315789474,0.9375,2.0,0.6216216216216216,0.0,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,acceleration,sub-condition: flow acceleration (only enters via turbulence),512,37,475,1,1,0,36,475,0.02702702702702703,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,periodicity,sub-condition: recurrence loss (only enters via turbulence),512,37,475,235,35,200,2,275,0.9459459459459459,0.42105263157894735,0.14893617021276595,10.0,0.9459459459459459,0.918918918918919,0.8378378378378378,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,turbulence,branch: confirmed turbulence (acceleration AND periodicity),512,37,475,0,0,0,37,475,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,True
legacy_16x32,task:libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,guard,intrinsic_guard_v7 (freeze OR turbulence),512,37,475,32,30,2,7,473,0.8108108108108109,0.004210526315789474,0.9375,2.0,0.6216216216216216,0.0,0.0,0.0,,,,,,,True
legacy_16x32,all,horizon_cap_length_restatement,horizon_cap_length_restatement,2560,307,2253,309,307,2,0,2251,1.0,0.000887705281846427,0.9935275080906149,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0021470746108427268,0.9682539682539683,1.0,False
legacy_16x32,libero_goal,horizon_cap_length_restatement,horizon_cap_length_restatement,1024,42,982,42,42,0,0,982,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False
legacy_16x32,libero_long,horizon_cap_length_restatement,horizon_cap_length_restatement,512,216,296,217,216,1,0,295,1.0,0.0033783783783783786,0.9953917050691244,0.0,0.0,0.0,0.0,0.0,,,,,,,False
legacy_16x32,libero_spatial,horizon_cap_length_restatement,horizon_cap_length_restatement,1024,49,975,50,49,1,0,974,1.0,0.0010256410256410256,0.98,0.0,0.0,0.0,0.0,0.0,,,,,,,False
