experiment,unit,event,leg,signal,lead,effect,ci_lo,ci_hi,p_maxT,n_groups,n_groups_pos,n_groups_neg,n_events_used,n_pairs
E2,U1_main_S8,loop,resid_mob1w8,S_margin,2,0.047396,-0.072503,0.167296,1.0,9,6,2,53,861
E2,U1_main_S8,loop,resid_mob1w8,V,-4,0.083525,-0.161879,0.328929,1.0,10,8,2,55,932
E2,U1_main_S8,loop,resid_mob1w8,V,-3,0.177346,-0.017406,0.372097,0.493753,10,9,1,55,916
E2,U1_main_S8,loop,resid_mob1w8,V,-2,0.235468,0.084727,0.386209,0.14043,10,8,1,55,903
E2,U1_main_S8,loop,resid_mob1w8,V,-1,0.199164,0.040152,0.358175,0.311344,10,9,1,55,893
E2,U1_main_S8,loop,resid_mob1w8,V,0,0.088295,-0.032851,0.209441,1.0,10,7,2,55,884
E2,U1_main_S8,loop,resid_mob1w8,V,1,0.063366,-0.053292,0.180023,1.0,9,6,2,54,880
E2,U1_main_S8,loop,resid_mob1w8,V,2,-0.000148,-0.090451,0.090156,1.0,9,3,5,53,861
E2,U1_main_S8,loop,resid_mob1w8,A,-4,0.101014,-0.149827,0.351855,0.993003,10,7,3,55,932
E2,U1_main_S8,loop,resid_mob1w8,A,-3,0.210705,0.011809,0.409601,0.248876,10,9,1,55,916
E2,U1_main_S8,loop,resid_mob1w8,A,-2,0.28841,0.187811,0.389008,0.025987,10,10,0,55,903
E2,U1_main_S8,loop,resid_mob1w8,A,-1,0.234802,0.10101,0.368594,0.142429,10,9,0,55,893
E2,U1_main_S8,loop,resid_mob1w8,A,0,0.2174,0.085394,0.349405,0.193903,10,9,1,55,884
E2,U1_main_S8,loop,resid_mob1w8,A,1,0.067865,-0.059227,0.194958,1.0,9,5,3,54,880
E2,U1_main_S8,loop,resid_mob1w8,A,2,-0.043735,-0.181156,0.093686,1.0,9,4,4,53,861
E2,U1_main_S8,loop,resid_mob1w8,D_layer,-4,-0.009214,-0.215118,0.196691,1.0,10,5,5,55,932
E2,U1_main_S8,loop,resid_mob1w8,D_layer,-3,0.187116,-0.027241,0.401474,0.402299,10,8,2,55,916
E2,U1_main_S8,loop,resid_mob1w8,D_layer,-2,0.223151,0.069023,0.377279,0.178411,10,7,2,55,903
E2,U1_main_S8,loop,resid_mob1w8,D_layer,-1,0.207004,0.054498,0.359509,0.267366,10,9,1,55,893
E2,U1_main_S8,loop,resid_mob1w8,D_layer,0,0.060809,-0.130064,0.251682,1.0,10,7,2,55,884
E2,U1_main_S8,loop,resid_mob1w8,D_layer,1,0.09092,-0.034828,0.216667,1.0,9,6,2,54,880
E2,U1_main_S8,loop,resid_mob1w8,D_layer,2,0.134883,0.011306,0.25846,0.861569,9,7,1,53,861
E2,U1_main_S8,loop,resid_mob1w8,flow_com,-4,0.03148,-0.136511,0.19947,1.0,10,7,3,55,932
E2,U1_main_S8,loop,resid_mob1w8,flow_com,-3,0.08339,-0.103675,0.270455,1.0,10,7,3,55,916
E2,U1_main_S8,loop,resid_mob1w8,flow_com,-2,-0.036575,-0.207574,0.134425,1.0,10,6,4,55,903
E2,U1_main_S8,loop,resid_mob1w8,flow_com,-1,0.065064,-0.070634,0.200762,1.0,10,6,3,55,893
E2,U1_main_S8,loop,resid_mob1w8,flow_com,0,-0.096868,-0.21875,0.025014,0.999,10,2,6,55,884
E2,U1_main_S8,loop,resid_mob1w8,flow_com,1,-0.123955,-0.25385,0.005941,0.934033,9,2,7,54,880
E2,U1_main_S8,loop,resid_mob1w8,flow_com,2,-0.078641,-0.173026,0.015745,1.0,9,3,5,53,861
E2,U2_grid_S8,loop,raw,D_tok,-4,0.239361,0.100685,0.378038,0.085957,20,17,3,56,175
E2,U2_grid_S8,loop,raw,D_tok,-3,0.27369,0.123555,0.423826,0.024988,20,16,3,55,168
E2,U2_grid_S8,loop,raw,D_tok,-2,0.175496,-0.008658,0.359649,0.448276,19,15,4,54,166
