direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error,evaluation_mode
B_to_A,trap,0,0.604910714286,0.5691056910569106,70,123,0.035805023229089405,onset_absorbing_proxy
B_to_A,trap,0,0.649305555556,0.38461538461538464,5,13,0.26469017094061537,onset_absorbing_proxy
B_to_A,trap,0,0.687007874016,0.6747967479674797,83,123,0.012211126048520371,onset_absorbing_proxy
B_to_A,trap,0,0.70703125,0.6981132075471698,37,53,0.008918042452830233,onset_absorbing_proxy
B_to_A,trap,0,0.712389380531,0.6170212765957447,29,47,0.0953681039352553,onset_absorbing_proxy
B_to_A,trap,2,0.022740468357,0.37874300756827906,2302,6078,0.35600253921127906,onset_absorbing_proxy
B_to_A,trap,2,0.079961669506,0.3914563106796117,1008,2575,0.3114946411736117,onset_absorbing_proxy
B_to_A,trap,2,0.212643678161,0.44680851063829785,21,47,0.23416483247729786,onset_absorbing_proxy
B_to_A,trap,2,0.268802228412,0.5439560439560439,99,182,0.2751538155440439,onset_absorbing_proxy
B_to_A,trap,2,0.283924050633,0.5671397379912664,1039,1832,0.28321568735826635,onset_absorbing_proxy
B_to_A,trap,2,0.369402985075,0.6282051282051282,49,78,0.25880214313012817,onset_absorbing_proxy
B_to_A,trap,2,0.371794871795,0.5454545454545454,30,55,0.17365967365954543,onset_absorbing_proxy
B_to_A,trap,2,0.431046195652,0.6154949784791965,429,697,0.18444878282719657,onset_absorbing_proxy
B_to_A,trap,2,0.690972222222,0.46153846153846156,6,13,0.2294337606835385,onset_absorbing_proxy
B_to_A,trap,2,0.707589285714,0.6016260162601627,74,123,0.10596326945383738,onset_absorbing_proxy
B_to_A,trap,2,0.71768707483,0.3548387096774194,11,31,0.3628483651525807,onset_absorbing_proxy
B_to_A,trap,2,0.722440944882,0.7073170731707317,87,123,0.015123871711268277,onset_absorbing_proxy
B_to_A,trap,2,0.74609375,0.7169811320754716,38,53,0.02911261792452835,onset_absorbing_proxy
B_to_A,trap,2,0.836283185841,0.6595744680851063,31,47,0.1767087177558937,onset_absorbing_proxy
B_to_A,trap,4,0.027191794078,0.3994735110233629,2428,6078,0.37228171694536294,onset_absorbing_proxy
B_to_A,trap,4,0.108922487223,0.4500970873786408,1159,2575,0.3411746001556408,onset_absorbing_proxy
B_to_A,trap,4,0.270114942529,0.5106382978723404,24,47,0.2405233553433404,onset_absorbing_proxy
B_to_A,trap,4,0.315063291139,0.618995633187773,1134,1832,0.30393234204877295,onset_absorbing_proxy
B_to_A,trap,4,0.349582172702,0.5934065934065934,108,182,0.24382442070459343,onset_absorbing_proxy
B_to_A,trap,4,0.391791044776,0.6282051282051282,49,78,0.23641408342912817,onset_absorbing_proxy
B_to_A,trap,4,0.41452991453,0.5818181818181818,32,55,0.1672882672881818,onset_absorbing_proxy
B_to_A,trap,4,0.463654891304,0.6441893830703013,449,697,0.18053449176630126,onset_absorbing_proxy
B_to_A,trap,4,0.71875,0.46153846153846156,6,13,0.25721153846153844,onset_absorbing_proxy
B_to_A,trap,4,0.725446428571,0.6016260162601627,74,123,0.12382041231083729,onset_absorbing_proxy
B_to_A,trap,4,0.726377952756,0.7073170731707317,87,123,0.019060879585268364,onset_absorbing_proxy
B_to_A,trap,4,0.751700680272,0.3870967741935484,12,31,0.3646039060784516,onset_absorbing_proxy
B_to_A,trap,4,0.76171875,0.7169811320754716,38,53,0.04473761792452835,onset_absorbing_proxy
B_to_A,trap,4,0.853982300885,0.6595744680851063,31,47,0.1944078327998937,onset_absorbing_proxy
