direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error
A_to_B,trap,0,0.027133388567,0.0010285420416559527,4,3889,0.026104846525344047
A_to_B,trap,0,0.032608695652,0.06578947368421052,10,152,0.03318077803221052
A_to_B,trap,0,0.0375,0.022222222222222223,4,180,0.015277777777777776
A_to_B,trap,0,0.041503267974,0.00647894343384002,26,4013,0.03502432454015998
A_to_B,trap,0,0.052927927928,0.03091684434968017,58,1876,0.022011083578319834
A_to_B,trap,0,0.055555555556,0.07407407407407407,6,81,0.018518518518074067
A_to_B,trap,0,0.084615384615,0.14285714285714285,31,217,0.05824175824214285
A_to_B,trap,0,0.108333333333,0.046875,9,192,0.061458333333000006
A_to_B,trap,0,0.15,0.17040358744394618,38,223,0.020403587443946186
A_to_B,trap,2,0.015625,0.06060606060606061,6,99,0.04498106060606061
A_to_B,trap,2,0.016310914217,0.002077562326869806,6,2888,0.014233351890130194
A_to_B,trap,2,0.068558409279,0.0025713551041398816,10,3889,0.06598705417486012
A_to_B,trap,2,0.153267973856,0.02143035135808622,86,4013,0.13183762249791378
A_to_B,trap,2,0.1625,0.12222222222222222,22,180,0.04027777777777779
A_to_B,trap,2,0.163043478261,0.25,38,152,0.08695652173900001
A_to_B,trap,2,0.166666666667,0.2345679012345679,19,81,0.06790123456756789
A_to_B,trap,2,0.176923076923,0.3778801843317972,82,217,0.20095710740879721
A_to_B,trap,2,0.203828828829,0.0943496801705757,177,1876,0.1094791486584243
A_to_B,trap,2,0.21,0.2645739910313901,59,223,0.05457399103139013
A_to_B,trap,2,0.227611940299,0.06470588235294118,33,510,0.16290605794605884
A_to_B,trap,2,0.358333333333,0.21354166666666666,41,192,0.14479166666633334
A_to_B,trap,4,0.044502617801,0.003808864265927978,11,2888,0.04069375353507202
A_to_B,trap,4,0.078125,0.18181818181818182,18,99,0.10369318181818182
A_to_B,trap,4,0.139395194698,0.014913859604011315,58,3889,0.12448133509398868
A_to_B,trap,4,0.166666666667,0.2962962962962963,24,81,0.12962962962929628
A_to_B,trap,4,0.20652173913,0.3026315789473684,46,152,0.09610983981736843
A_to_B,trap,4,0.207692307692,0.4055299539170507,88,217,0.1978376462250507
A_to_B,trap,4,0.21,0.273542600896861,61,223,0.063542600896861
A_to_B,trap,4,0.233006535948,0.05083478694243708,204,4013,0.18217174900556293
A_to_B,trap,4,0.2375,0.23333333333333334,42,180,0.004166666666666652
A_to_B,trap,4,0.255630630631,0.1513859275053305,284,1876,0.1042447031256695
A_to_B,trap,4,0.309701492537,0.16470588235294117,84,510,0.14499561018405885
A_to_B,trap,4,0.375,0.234375,45,192,0.140625
B_to_A,loop,0,0.000580781415,0.012696363245104368,59,4647,0.012115581830104367
B_to_A,loop,0,0.001529902643,0.03771043771043771,56,1485,0.03618053506743771
B_to_A,loop,0,0.006268806419,0.03662258392675483,36,983,0.030353777507754833
B_to_A,loop,0,0.012195121951,0.0,0,7,0.012195121951
B_to_A,loop,0,0.0125,0.0,0,26,0.0125
B_to_A,loop,0,0.013157894737,0.0,0,11,0.013157894737
B_to_A,loop,0,0.021212121212,0.011627906976744186,1,86,0.009584214235255815
B_to_A,loop,0,0.021915584416,0.021538461538461538,7,325,0.0003771228775384626
B_to_A,loop,0,0.033333333333,0.0,0,23,0.033333333333
B_to_A,loop,0,0.046875,0.06666666666666667,1,15,0.019791666666666666
B_to_A,loop,0,0.048076923077,0.03125,1,32,0.016826923076999997
