direction,horizon,score_bin,score_low,score_high,persistence,raw_events,raw_support,mapping_level,mapped_events,mapped_support,posterior_mean,ci_low,ci_high
A_to_B,2,7,0.995,1.0000001,1,0,1,score_bin_backoff,66,103,0.6394230769230769,0.5607926802412847,0.7149897139241166
A_to_B,2,7,0.995,1.0000001,2,7,21,score_bin_backoff,66,103,0.6394230769230769,0.5607926802412847,0.7149897139241166
A_to_B,2,7,0.995,1.0000001,3,59,81,score_bin_x_persistence,59,81,0.725609756097561,0.641955221601212,0.8029712853955498
A_to_B,4,0,0.0,0.5,0,1655,4027,score_bin_x_persistence,1655,4027,0.41099801390268126,0.39827305509402683,0.4237732265473312
A_to_B,4,0,0.0,0.5,1,0,0,score_bin_backoff,1655,4027,0.41099801390268126,0.39827305509402683,0.4237732265473312
A_to_B,4,0,0.0,0.5,2,0,0,score_bin_backoff,1655,4027,0.41099801390268126,0.39827305509402683,0.4237732265473312
A_to_B,4,0,0.0,0.5,3,0,0,score_bin_backoff,1655,4027,0.41099801390268126,0.39827305509402683,0.4237732265473312
A_to_B,4,1,0.5,0.75,0,1442,3519,score_bin_x_persistence,1442,3519,0.40980113636363635,0.39619741306475126,0.42346314048194117
A_to_B,4,1,0.5,0.75,1,0,0,score_bin_backoff,1442,3519,0.40980113636363635,0.39619741306475126,0.42346314048194117
A_to_B,4,1,0.5,0.75,2,0,0,score_bin_backoff,1442,3519,0.40980113636363635,0.39619741306475126,0.42346314048194117
A_to_B,4,1,0.5,0.75,3,0,0,score_bin_backoff,1442,3519,0.40980113636363635,0.39619741306475126,0.42346314048194117
A_to_B,4,2,0.75,0.9,0,1329,2502,score_bin_x_persistence,1329,2502,0.531162604874151,0.5147445356726121,0.5475523557248263
A_to_B,4,2,0.75,0.9,1,0,0,score_bin_backoff,1329,2502,0.531162604874151,0.5147445356726121,0.5475523557248263
A_to_B,4,2,0.75,0.9,2,0,0,score_bin_backoff,1329,2502,0.531162604874151,0.5147445356726121,0.5475523557248263
