cohort,quantity,axis,axis_size,step_offset,best_cut,best_split_score,canonical_cut,canonical_split_score,extreme_correlation,mean_offdiag_correlation,all_scores
development_extra,load_entropy,layer,8,0,3,0.143201328013907,4.0,0.0978654944309297,0.09460813081138872,0.2885303530400673,"[0.11667, 0.13192, 0.1432, 0.09787, 0.01303, -0.00984, 0.05608]"
development_extra,token_differentiation,step,10,0,6,0.12572317288555235,,,0.712301691891496,0.9040583947105801,"[0.03024, 0.04477, 0.06648, 0.0922, 0.11465, 0.12572, 0.12174, 0.10353, 0.07637]"
development_extra,token_differentiation,layer,8,0,3,0.13114142795379702,4.0,0.12416616622256371,0.5308168219931337,0.6936667944970141,"[0.11686, 0.08185, 0.13114, 0.12417, 0.04621, 0.00674, 0.03625]"
development_extra,action_consensus,step,10,0,6,0.1201581020248591,,,0.7224431172201837,0.9078976080339787,"[0.03085, 0.04492, 0.06572, 0.09002, 0.11072, 0.12016, 0.11523, 0.09739, 0.07217]"
development_extra,action_consensus,layer,8,0,3,0.13476556237685278,4.0,0.1240189547462952,0.5377330167372255,0.6986521498259933,"[0.11839, 0.08525, 0.13477, 0.12402, 0.04637, 0.00514, 0.03017]"
development_extra,state_action_alignment,step,10,0,8,0.0008457448943379742,,,0.998344399918601,0.9995198437367586,"[-2e-05, 4e-05, 0.00011, 0.00023, 0.0004, 0.00058, 0.00074, 0.00085, 0.00084]"
development_extra,state_action_alignment,layer,8,0,5,0.05258752758401848,4.0,0.0505984827312502,0.17078057453924197,0.13957322298720917,"[-0.02977, -0.0717, -0.02258, 0.0506, 0.05259, 0.02369, 0.01644]"
development_extra,conditional_energy,step,10,0,8,0.0008534935630595264,,,0.9983233571306015,0.999512499063692,"[-1e-05, 4e-05, 0.00011, 0.00023, 0.0004, 0.00058, 0.00075, 0.00085, 0.00085]"
development_extra,conditional_energy,layer,8,0,5,0.0580993382944279,4.0,0.05650049851640804,0.16892182655794746,0.14222744740805557,"[-0.03047, -0.07566, -0.02179, 0.0565, 0.0581, 0.02749, 0.01785]"
development_extra,conditional_effective_rank,step,10,0,7,0.04093273055012392,,,0.9005295816302488,0.9703497366655791,"[0.00769, 0.01133, 0.017, 0.02466, 0.03261, 0.03844, 0.04093, 0.03946, 0.03554]"
development_extra,conditional_effective_rank,layer,8,0,3,0.1552206359860585,4.0,0.1540777317767162,0.45110939420161417,0.48358409925643003,"[0.03961, 0.02587, 0.15522, 0.15408, 0.04642, -0.02704, -0.06353]"
development_extra,flow_speed,step,9,1,5,0.15161661875353594,,,0.5969554144891037,0.8223755745037246,"[0.05586, 0.06775, 0.09576, 0.1413, 0.15162, 0.14928, 0.12178, 0.10966]"
development_extra,flow_speed,layer,8,0,4,0.08310820971120314,4.0,0.08310820971120314,0.7702348995022207,0.8456988291766917,"[0.02692, 0.05046, 0.05242, 0.08311, 0.03408, 0.02383, 0.01913]"
development_extra,mobility,step,10,0,6,0.048649270715530823,,,0.8761390030905377,0.9614482170473505,"[0.01485, 0.02008, 0.0276, 0.03658, 0.04453, 0.04865, 0.04759, 0.04252, 0.0362]"
development_extra,mobility,layer,8,0,4,0.12738780058449206,4.0,0.12738780058449206,0.6703617641294947,0.8034573918829958,"[0.10722, 0.07594, 0.09738, 0.12739, 0.05849, 0.03078, -0.00444]"
development_extra,state_mobility,step,10,0,9,4.672529896332378e-08,,,0.9999988868310156,0.9999989792222512,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
development_extra,state_mobility,layer,8,0,4,0.10746655618352408,4.0,0.10746655618352408,0.5300083111895917,0.5894743951946245,"[0.03447, 0.07792, 0.10258, 0.10747, 0.02221, -0.00192, -0.03627]"
external_8b,token_entropy,step,10,0,7,0.05819254528113482,,,0.8346401113426279,0.9530024039396471,"[0.02159, 0.0257, 0.03193, 0.03995, 0.04854, 0.05498, 0.05819, 0.05804, 0.0558]"
external_8b,token_entropy,layer,8,0,3,0.16642171180964882,4.0,0.1576239996815535,0.45542830595145106,0.6343654162920648,"[0.07749, 0.11101, 0.16642, 0.15762, 0.06917, 0.0293, 0.032]"
external_8b,load_entropy,step,10,0,9,0.1085382593156895,,,0.7501418893091982,0.9202633419842081,"[0.02182, 0.02926, 0.03893, 0.05393, 0.07037, 0.08455, 0.09429, 0.0997, 0.10854]"
external_8b,load_entropy,layer,8,0,1,0.21394468545644882,4.0,0.11595969887968122,0.1091737038573804,0.32941109121821643,"[0.21394, 0.16588, 0.18749, 0.11596, 0.01006, -0.02435, -0.01905]"
external_8b,token_differentiation,step,10,0,7,0.07842615307822831,,,0.7754324210207666,0.9356928986358961,"[0.03376, 0.04002, 0.04959, 0.06076, 0.07136, 0.07779, 0.07843, 0.07372, 0.06542]"
external_8b,token_differentiation,layer,8,0,3,0.16008877786483988,4.0,0.15241797377248412,0.47346579868778726,0.6646126067148764,"[0.09315, 0.11373, 0.16009, 0.15242, 0.06886, 0.01933, 0.03726]"
external_8b,action_consensus,step,10,0,7,0.07616093566799786,,,0.7793235873676893,0.9371598760454612,"[0.03399, 0.04006, 0.04932, 0.06003, 0.07006, 0.07592, 0.07616, 0.07141, 0.06356]"
external_8b,action_consensus,layer,8,0,3,0.16103597637864442,4.0,0.15417316655709512,0.4781335046685634,0.6663841090789214,"[0.09232, 0.11524, 0.16104, 0.15417, 0.06923, 0.01788, 0.03249]"
external_8b,state_action_alignment,step,10,0,9,0.0006457180902781356,,,0.9987067393979892,0.9996241265281106,"[3e-05, 8e-05, 0.00012, 0.0002, 0.00031, 0.00041, 0.0005, 0.00058, 0.00065]"
external_8b,state_action_alignment,layer,8,0,4,0.10301465469008944,4.0,0.10301465469008944,0.07588892105963194,0.09749038649961325,"[-0.05176, -0.02113, 0.04573, 0.10301, 0.04739, 0.03891, 0.04074]"
external_8b,conditional_energy,step,10,0,9,0.0007213769967003847,,,0.9985430132079436,0.9995821726053865,"[4e-05, 0.0001, 0.00014, 0.00023, 0.00034, 0.00046, 0.00056, 0.00065, 0.00072]"
external_8b,conditional_energy,layer,8,0,4,0.10666120908076285,4.0,0.10666120908076285,0.07477266282789434,0.10008921768213505,"[-0.05293, -0.02206, 0.0459, 0.10666, 0.05111, 0.04301, 0.04446]"
external_8b,conditional_effective_rank,step,10,0,8,0.03937849863204301,,,0.8930075369992457,0.9706223175753632,"[0.01175, 0.01455, 0.01896, 0.02488, 0.03113, 0.03608, 0.03891, 0.03938, 0.0382]"
external_8b,conditional_effective_rank,layer,8,0,4,0.23965979023289208,4.0,0.23965979023289208,0.2582211320310755,0.3651088432638304,"[0.02323, 0.10317, 0.19254, 0.23966, 0.0786, -0.0096, -0.02391]"
external_8b,flow_speed,step,9,1,4,0.09580993344828126,,,0.67236646358097,0.8522501503823635,"[0.08934, 0.07727, 0.08429, 0.09581, 0.08984, 0.07955, 0.06105, 0.05808]"
external_8b,flow_speed,layer,8,0,4,0.0958000904410734,4.0,0.0958000904410734,0.7341005894271847,0.8269803046058585,"[0.04247, 0.04435, 0.06577, 0.0958, 0.04183, 0.0261, 0.01506]"
external_8b,mobility,step,10,0,7,0.043822158780757126,,,0.8737446352066635,0.9653270132660321,"[0.01655, 0.01993, 0.02518, 0.03178, 0.03817, 0.04252, 0.04382, 0.04275, 0.04083]"
external_8b,mobility,layer,8,0,4,0.14513288743808306,4.0,0.14513288743808306,0.6107367530485501,0.7693089076243294,"[0.09514, 0.08324, 0.10824, 0.14513, 0.07013, 0.03234, 0.00167]"
external_8b,state_mobility,step,10,0,8,2.5366132638815486e-08,,,0.9999989326794934,0.9999989840424326,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
external_8b,state_mobility,layer,8,0,4,0.1040466999666575,4.0,0.1040466999666575,0.5035701452486046,0.5722103932307542,"[0.0629, 0.05905, 0.0904, 0.10405, 0.01519, -0.02064, -0.03795]"
