cohort,quantity,step,tasks,tasks_back_above_front,median_back_minus_front
development_extra,token_entropy,1,3,3,0.0016782283782958984
development_extra,token_entropy,2,3,3,0.0016188621520996094
development_extra,token_entropy,3,3,3,0.0015535354614257812
development_extra,token_entropy,4,3,3,0.001392364501953125
development_extra,token_entropy,5,3,3,0.0011751651763916016
development_extra,token_entropy,6,3,3,0.0006971359252929688
development_extra,token_entropy,7,3,2,7.319450378417969e-05
development_extra,token_entropy,8,3,0,-0.0005009174346923828
development_extra,token_entropy,9,3,0,-0.0014891624450683594
development_main,action_consensus,0,37,37,0.0009105205535888672
development_main,action_consensus,1,37,37,0.0008358955383300781
development_main,action_consensus,2,37,37,0.0007831454277038574
development_main,action_consensus,3,37,37,0.0007120966911315918
development_main,action_consensus,4,37,37,0.0006422996520996094
development_main,action_consensus,5,37,37,0.0005436539649963379
development_main,action_consensus,6,37,36,0.0003783702850341797
development_main,action_consensus,7,37,28,0.00014162063598632812
development_main,action_consensus,8,37,13,-0.00010406970977783203
development_main,action_consensus,9,37,5,-0.00048100948333740234
development_main,conditional_effective_rank,0,37,37,0.01300191879272461
development_main,conditional_effective_rank,1,37,37,0.013490453362464905
development_main,conditional_effective_rank,2,37,37,0.014357872307300568
development_main,conditional_effective_rank,3,37,37,0.015581294894218445
development_main,conditional_effective_rank,4,37,37,0.016680508852005005
development_main,conditional_effective_rank,5,37,37,0.018387332558631897
development_main,conditional_effective_rank,6,37,37,0.02041967213153839
development_main,conditional_effective_rank,7,37,37,0.023378707468509674
development_main,conditional_effective_rank,8,37,37,0.027656950056552887
development_main,conditional_effective_rank,9,37,37,0.035969920456409454
development_main,conditional_energy,0,37,0,-0.18095789849758148
development_main,conditional_energy,1,37,0,-0.1810172200202942
development_main,conditional_energy,2,37,0,-0.1817696988582611
development_main,conditional_energy,3,37,0,-0.18107536435127258
development_main,conditional_energy,4,37,0,-0.18123403191566467
development_main,conditional_energy,5,37,0,-0.18125031888484955
development_main,conditional_energy,6,37,0,-0.181392103433609
development_main,conditional_energy,7,37,0,-0.18189208209514618
development_main,conditional_energy,8,37,0,-0.18281108140945435
development_main,conditional_energy,9,37,0,-0.18312996625900269
development_main,flow_speed,0,37,0,
development_main,flow_speed,1,37,0,-0.003097172826528549
development_main,flow_speed,2,37,0,-0.0030299988575279713
development_main,flow_speed,3,37,0,-0.0029148245230317116
development_main,flow_speed,4,37,0,-0.0022741244174540043
development_main,flow_speed,5,37,0,-0.0020078523084521294
development_main,flow_speed,6,37,0,-0.0024448540061712265
development_main,flow_speed,7,37,0,-0.001968749798834324
development_main,flow_speed,8,37,0,-0.0021025938913226128
development_main,flow_speed,9,37,15,-0.00018954090774059296
development_main,load_entropy,0,37,5,-0.00015497207641601562
development_main,load_entropy,1,37,5,-0.0002772808074951172
development_main,load_entropy,2,37,1,-0.0003616809844970703
development_main,load_entropy,3,37,0,-0.0005402565002441406
development_main,load_entropy,4,37,0,-0.0007097721099853516
development_main,load_entropy,5,37,0,-0.0008919239044189453
development_main,load_entropy,6,37,0,-0.001176595687866211
development_main,load_entropy,7,37,0,-0.0015349388122558594
development_main,load_entropy,8,37,0,-0.001898050308227539
development_main,load_entropy,9,37,0,-0.002644777297973633
development_main,mobility,0,37,4,-0.003994498401880264
development_main,mobility,1,37,7,-0.002571776509284973
development_main,mobility,2,37,10,-0.0014437772333621979
development_main,mobility,3,37,17,-0.00017945840954780579
development_main,mobility,4,37,27,0.001252688467502594
development_main,mobility,5,37,31,0.0034329555928707123
development_main,mobility,6,37,33,0.006248906254768372
development_main,mobility,7,37,36,0.00945127010345459
development_main,mobility,8,37,37,0.013293750584125519
development_main,mobility,9,37,37,0.018575165420770645
development_main,state_action_alignment,0,37,37,0.10214918851852417
development_main,state_action_alignment,1,37,37,0.10221207141876221
development_main,state_action_alignment,2,37,37,0.10213106870651245
development_main,state_action_alignment,3,37,37,0.10188817977905273
development_main,state_action_alignment,4,37,37,0.10195493698120117
development_main,state_action_alignment,5,37,37,0.1018667221069336
development_main,state_action_alignment,6,37,37,0.10176247358322144
development_main,state_action_alignment,7,37,37,0.1019471287727356
development_main,state_action_alignment,8,37,37,0.10220319032669067
development_main,state_action_alignment,9,37,37,0.10213911533355713
development_main,state_mobility,0,37,0,-0.08911371231079102
development_main,state_mobility,1,37,0,-0.08911191672086716
development_main,state_mobility,2,37,0,-0.08911479264497757
development_main,state_mobility,3,37,0,-0.08911383897066116
development_main,state_mobility,4,37,0,-0.08911355584859848
development_main,state_mobility,5,37,0,-0.08911429345607758
development_main,state_mobility,6,37,0,-0.0891135036945343
development_main,state_mobility,7,37,0,-0.08911335468292236
development_main,state_mobility,8,37,0,-0.08911312371492386
development_main,state_mobility,9,37,0,-0.08911225944757462
development_main,token_differentiation,0,37,0,-0.001633325358852744
development_main,token_differentiation,1,37,0,-0.0014983927831053734
development_main,token_differentiation,2,37,0,-0.001404257956892252
development_main,token_differentiation,3,37,0,-0.0012780844699591398
development_main,token_differentiation,4,37,0,-0.0011482946574687958
development_main,token_differentiation,5,37,0,-0.0009698504582047462
development_main,token_differentiation,6,37,1,-0.0006638942286372185
development_main,token_differentiation,7,37,9,-0.00025184580590575933
development_main,token_differentiation,8,37,24,0.00018917489796876907
development_main,token_differentiation,9,37,32,0.0008177738636732101
development_main,token_entropy,0,37,37,0.0013306140899658203
development_main,token_entropy,1,37,37,0.0010921955108642578
development_main,token_entropy,2,37,36,0.0009644031524658203
development_main,token_entropy,3,37,34,0.0006392002105712891
development_main,token_entropy,4,37,29,0.00041294097900390625
development_main,token_entropy,5,37,23,0.0001246929168701172
development_main,token_entropy,6,37,9,-0.000301361083984375
development_main,token_entropy,7,37,4,-0.0009627342224121094
development_main,token_entropy,8,37,0,-0.0019943714141845703
development_main,token_entropy,9,37,0,-0.0033676624298095703
external_8b,action_consensus,0,39,39,0.0009189248085021973
external_8b,action_consensus,1,39,39,0.0008647441864013672
external_8b,action_consensus,2,39,39,0.0008512139320373535
external_8b,action_consensus,3,39,39,0.0007785558700561523
external_8b,action_consensus,4,39,39,0.0006908774375915527
external_8b,action_consensus,5,39,39,0.0005755424499511719
external_8b,action_consensus,6,39,38,0.0003857612609863281
external_8b,action_consensus,7,39,30,0.00015842914581298828
external_8b,action_consensus,8,39,16,-9.196996688842773e-05
external_8b,action_consensus,9,39,7,-0.00045502185821533203
external_8b,conditional_effective_rank,0,39,39,0.013029783964157104
external_8b,conditional_effective_rank,1,39,39,0.013477720320224762
external_8b,conditional_effective_rank,2,39,39,0.014349855482578278
external_8b,conditional_effective_rank,3,39,39,0.015537604689598083
external_8b,conditional_effective_rank,4,39,39,0.016821734607219696
external_8b,conditional_effective_rank,5,39,39,0.01849537342786789
external_8b,conditional_effective_rank,6,39,39,0.020547568798065186
external_8b,conditional_effective_rank,7,39,39,0.023561887443065643
external_8b,conditional_effective_rank,8,39,39,0.0277554914355278
external_8b,conditional_effective_rank,9,39,39,0.03593333810567856
external_8b,conditional_energy,0,39,0,-0.17942063510417938
external_8b,conditional_energy,1,39,0,-0.1795072853565216
external_8b,conditional_energy,2,39,0,-0.18025630712509155
external_8b,conditional_energy,3,39,0,-0.17962118983268738
external_8b,conditional_energy,4,39,0,-0.17979374527931213
external_8b,conditional_energy,5,39,0,-0.1798553317785263
external_8b,conditional_energy,6,39,0,-0.18002302944660187
external_8b,conditional_energy,7,39,0,-0.18051859736442566
external_8b,conditional_energy,8,39,0,-0.18097324669361115
external_8b,conditional_energy,9,39,0,-0.18096096813678741
external_8b,flow_speed,0,39,0,
external_8b,flow_speed,1,39,0,-0.003097718581557274
external_8b,flow_speed,2,39,0,-0.0030879070982337
external_8b,flow_speed,3,39,0,-0.0028785299509763718
external_8b,flow_speed,4,39,0,-0.002241029404103756
external_8b,flow_speed,5,39,0,-0.002001649234443903
external_8b,flow_speed,6,39,0,-0.002474298235028982
external_8b,flow_speed,7,39,0,-0.002014844212681055
external_8b,flow_speed,8,39,0,-0.0021745366975665092
external_8b,flow_speed,9,39,14,-0.00017957575619220734
external_8b,load_entropy,0,39,5,-0.00015997886657714844
external_8b,load_entropy,1,39,8,-0.0001926422119140625
external_8b,load_entropy,2,39,1,-0.0003275871276855469
external_8b,load_entropy,3,39,0,-0.0005085468292236328
external_8b,load_entropy,4,39,0,-0.0006732940673828125
external_8b,load_entropy,5,39,0,-0.0008337497711181641
external_8b,load_entropy,6,39,0,-0.0011436939239501953
external_8b,load_entropy,7,39,0,-0.0014896392822265625
external_8b,load_entropy,8,39,0,-0.0018565654754638672
external_8b,load_entropy,9,39,0,-0.002470254898071289
external_8b,mobility,0,39,4,-0.003944363445043564
external_8b,mobility,1,39,7,-0.0028849244117736816
external_8b,mobility,2,39,10,-0.0017184074968099594
external_8b,mobility,3,39,14,-0.00046541541814804077
external_8b,mobility,4,39,27,0.0009746551513671875
external_8b,mobility,5,39,31,0.0029201433062553406
external_8b,mobility,6,39,34,0.005311418324708939
external_8b,mobility,7,39,38,0.008400101214647293
external_8b,mobility,8,39,39,0.012474097311496735
external_8b,mobility,9,39,39,0.017595607787370682
external_8b,state_action_alignment,0,39,39,0.10034912824630737
external_8b,state_action_alignment,1,39,39,0.10042905807495117
external_8b,state_action_alignment,2,39,39,0.10088175535202026
external_8b,state_action_alignment,3,39,39,0.10055118799209595
external_8b,state_action_alignment,4,39,39,0.1006879210472107
external_8b,state_action_alignment,5,39,39,0.10072708129882812
external_8b,state_action_alignment,6,39,39,0.10086601972579956
external_8b,state_action_alignment,7,39,39,0.10096919536590576
external_8b,state_action_alignment,8,39,39,0.10096335411071777
external_8b,state_action_alignment,9,39,39,0.101071298122406
external_8b,state_mobility,0,39,0,-0.08731198310852051
external_8b,state_mobility,1,39,0,-0.08731144666671753
external_8b,state_mobility,2,39,0,-0.08731304109096527
external_8b,state_mobility,3,39,0,-0.08731202781200409
external_8b,state_mobility,4,39,0,-0.08731360733509064
external_8b,state_mobility,5,39,0,-0.08731227368116379
external_8b,state_mobility,6,39,0,-0.08731423318386078
external_8b,state_mobility,7,39,0,-0.08731252700090408
external_8b,state_mobility,8,39,0,-0.08731310814619064
external_8b,state_mobility,9,39,0,-0.08731406927108765
external_8b,token_differentiation,0,39,0,-0.0016531676519662142
external_8b,token_differentiation,1,39,0,-0.00156217603944242
external_8b,token_differentiation,2,39,0,-0.0015252633020281792
external_8b,token_differentiation,3,39,0,-0.0013964888639748096
external_8b,token_differentiation,4,39,0,-0.0012462716549634933
external_8b,token_differentiation,5,39,0,-0.001038100104779005
external_8b,token_differentiation,6,39,1,-0.0006774822250008583
external_8b,token_differentiation,7,39,9,-0.00027382466942071915
external_8b,token_differentiation,8,39,23,0.00016968604177236557
external_8b,token_differentiation,9,39,32,0.0008145726751536131
external_8b,token_entropy,0,39,39,0.001405954360961914
external_8b,token_entropy,1,39,39,0.0012142658233642578
external_8b,token_entropy,2,39,37,0.0010159015655517578
external_8b,token_entropy,3,39,36,0.0006694793701171875
external_8b,token_entropy,4,39,31,0.00044155120849609375
external_8b,token_entropy,5,39,27,0.00016927719116210938
external_8b,token_entropy,6,39,12,-0.00018739700317382812
external_8b,token_entropy,7,39,6,-0.0008456707000732422
external_8b,token_entropy,8,39,0,-0.0017957687377929688
external_8b,token_entropy,9,39,0,-0.0032138824462890625
