cohort,quantity,layer,from_step,to_step,normalised_increment,span
development_extra,conditional_energy,L2,0,1,0.4128685431901191,0.0013388246297836026
development_extra,conditional_energy,L2,1,2,-0.2097343261322276,0.0013388246297836026
development_extra,conditional_energy,L2,2,3,-0.0440192772156706,0.0013388246297836026
development_extra,conditional_energy,L2,3,4,-0.08185025654726386,0.0013388246297836026
development_extra,conditional_energy,L2,4,5,0.4244994268033108,0.0013388246297836026
development_extra,conditional_energy,L2,5,6,-0.05070842654731231,0.0013388246297836026
development_extra,conditional_energy,L2,6,7,-0.42235133059539565,0.0013388246297836026
development_extra,conditional_energy,L2,7,8,0.03861008158317804,0.0013388246297836026
development_extra,conditional_energy,L2,8,9,-0.56555032444047,0.0013388246297836026
development_extra,conditional_energy,L3,0,1,-0.21842074889939472,0.0018074810504914163
development_extra,conditional_energy,L3,1,2,0.27127405233393964,0.0018074810504914163
development_extra,conditional_energy,L3,2,3,-0.13388514237663535,0.0018074810504914163
development_extra,conditional_energy,L3,3,4,0.17262444558031376,0.0018074810504914163
development_extra,conditional_energy,L3,4,5,0.06860789130900441,0.0018074810504914163
development_extra,conditional_energy,L3,5,6,0.3149268743095525,0.0018074810504914163
development_extra,conditional_energy,L3,6,7,0.306451878843825,0.0018074810504914163
development_extra,conditional_energy,L3,7,8,-0.05431251957989051,0.0018074810504914163
development_extra,conditional_energy,L3,8,9,-0.4925307919338768,0.0018074810504914163
development_extra,conditional_energy,L4,0,1,-0.08027757279900202,0.0021001100540160855
development_extra,conditional_energy,L4,1,2,0.3535150706703931,0.0021001100540160855
development_extra,conditional_energy,L4,2,3,0.058970028949271454,0.0021001100540160855
development_extra,conditional_energy,L4,3,4,0.15208321507638836,0.0021001100540160855
development_extra,conditional_energy,L4,4,5,0.4206732133734252,0.0021001100540160855
development_extra,conditional_energy,L4,5,6,-0.20852727479139743,0.0021001100540160855
development_extra,conditional_energy,L4,6,7,-0.42525685417492387,0.0021001100540160855
development_extra,conditional_energy,L4,7,8,0.33167537038088646,0.0021001100540160855
development_extra,conditional_energy,L4,8,9,0.31686723051595667,0.0021001100540160855
development_extra,conditional_energy,L5,0,1,0.22530793688334239,0.005544319748878507
development_extra,conditional_energy,L5,1,2,0.0598081559263955,0.005544319748878507
development_extra,conditional_energy,L5,2,3,0.0858568076694673,0.005544319748878507
development_extra,conditional_energy,L5,3,4,0.1540826665734942,0.005544319748878507
development_extra,conditional_energy,L5,4,5,0.06008767096778364,0.005544319748878507
development_extra,conditional_energy,L5,5,6,0.05562349323923967,0.005544319748878507
development_extra,conditional_energy,L5,6,7,0.07123870853299757,0.005544319748878507
development_extra,conditional_energy,L5,7,8,0.20794037729155196,0.005544319748878507
development_extra,conditional_energy,L5,8,9,0.08005418291572776,0.005544319748878507
development_extra,flow_speed,L12,1,2,0.04908182507949104,0.011368060018867301
development_extra,flow_speed,L12,2,3,-0.025558189473585305,0.011368060018867301
development_extra,flow_speed,L12,3,4,0.010173383772064474,0.011368060018867301
development_extra,flow_speed,L12,4,5,0.053851960717365976,0.011368060018867301
development_extra,flow_speed,L12,5,6,0.07465156590684131,0.011368060018867301
development_extra,flow_speed,L12,6,7,0.11112201617165347,0.011368060018867301
development_extra,flow_speed,L12,7,8,0.2022731753438539,0.011368060018867301
development_extra,flow_speed,L12,8,9,0.5244042624823151,0.011368060018867301
development_extra,flow_speed,L13,1,2,0.01764036197542446,0.0117357699200511
development_extra,flow_speed,L13,2,3,0.01205509449229077,0.0117357699200511
development_extra,flow_speed,L13,3,4,0.0193685721829242,0.0117357699200511
development_extra,flow_speed,L13,4,5,0.053218280150909805,0.0117357699200511
development_extra,flow_speed,L13,5,6,0.09190880192476572,0.0117357699200511
development_extra,flow_speed,L13,6,7,0.10870583064912756,0.0117357699200511
development_extra,flow_speed,L13,7,8,0.19061053534084277,0.0117357699200511
development_extra,flow_speed,L13,8,9,0.5064925232837147,0.0117357699200511
development_extra,flow_speed,L14,1,2,0.012427202054683487,0.0112686175853014
development_extra,flow_speed,L14,2,3,-0.0031292806216617016,0.0112686175853014
development_extra,flow_speed,L14,3,4,0.03576333107594944,0.0112686175853014
development_extra,flow_speed,L14,4,5,0.04391658524515129,0.0112686175853014
development_extra,flow_speed,L14,5,6,0.06481969713674185,0.0112686175853014
development_extra,flow_speed,L14,6,7,0.10388380230530202,0.0112686175853014
development_extra,flow_speed,L14,7,8,0.1867875066138649,0.0112686175853014
development_extra,flow_speed,L14,8,9,0.5555311561899687,0.0112686175853014
development_extra,flow_speed,L15,1,2,0.0039263263493554,0.012176398187875699
development_extra,flow_speed,L15,2,3,-0.0038946994364819783,0.012176398187875699
development_extra,flow_speed,L15,3,4,0.042695414548897706,0.012176398187875699
development_extra,flow_speed,L15,4,5,0.06717846940733194,0.012176398187875699
development_extra,flow_speed,L15,5,6,0.07317656888609432,0.012176398187875699
development_extra,flow_speed,L15,6,7,0.17106347043377126,0.012176398187875699
development_extra,flow_speed,L15,7,8,0.16348306923777486,0.012176398187875699
development_extra,flow_speed,L15,8,9,0.48237138057325646,0.012176398187875699
development_extra,flow_speed,L2,1,2,0.14546848742972046,0.009257251862436502
development_extra,flow_speed,L2,2,3,-0.15790478142206069,0.009257251862436502
development_extra,flow_speed,L2,3,4,-0.024641700315147397,0.009257251862436502
development_extra,flow_speed,L2,4,5,0.052276087125032546,0.009257251862436502
development_extra,flow_speed,L2,5,6,0.17707399124850626,0.009257251862436502
development_extra,flow_speed,L2,6,7,0.048892853382750304,0.009257251862436502
development_extra,flow_speed,L2,7,8,0.2161360098395427,0.009257251862436502
development_extra,flow_speed,L2,8,9,0.5056210584041682,0.009257251862436502
development_extra,flow_speed,L3,1,2,0.02523087119203614,0.009446045849472201
development_extra,flow_speed,L3,2,3,-0.02286954709754784,0.009446045849472201
development_extra,flow_speed,L3,3,4,-0.009990175610038208,0.009446045849472201
development_extra,flow_speed,L3,4,5,0.03339025652605983,0.009446045849472201
development_extra,flow_speed,L3,5,6,0.13977559730777442,0.009446045849472201
development_extra,flow_speed,L3,6,7,0.09083210251163899,0.009446045849472201
development_extra,flow_speed,L3,7,8,0.30560433899958217,0.009446045849472201
development_extra,flow_speed,L3,8,9,0.4303977046549446,0.009446045849472201
development_extra,flow_speed,L4,1,2,-0.04596390834740122,0.010118153877556301
development_extra,flow_speed,L4,2,3,0.03902424319685914,0.010118153877556301
development_extra,flow_speed,L4,3,4,-0.02958496578467706,0.010118153877556301
development_extra,flow_speed,L4,4,5,0.05505341584834982,0.010118153877556301
development_extra,flow_speed,L4,5,6,0.12624107338863633,0.010118153877556301
development_extra,flow_speed,L4,6,7,0.08286555442902575,0.010118153877556301
development_extra,flow_speed,L4,7,8,0.24401946377511613,0.010118153877556301
development_extra,flow_speed,L4,8,9,0.4823812151466899,0.010118153877556301
development_extra,flow_speed,L5,1,2,0.0034841419003425315,0.011406633071601401
development_extra,flow_speed,L5,2,3,-0.009491516788476826,0.011406633071601401
development_extra,flow_speed,L5,3,4,0.011678117314174112,0.011406633071601401
development_extra,flow_speed,L5,4,5,0.04939654773326516,0.011406633071601401
development_extra,flow_speed,L5,5,6,0.10747940504151622,0.011406633071601401
development_extra,flow_speed,L5,6,7,0.1589698017901899,0.011406633071601401
development_extra,flow_speed,L5,7,8,0.30924888504274195,0.011406633071601401
development_extra,flow_speed,L5,8,9,0.36322724307811266,0.011406633071601401
development_extra,load_entropy,L12,0,1,-0.03596799999988079,0.003725290298461914
development_extra,load_entropy,L12,1,2,-0.09612800000011922,0.003725290298461914
development_extra,load_entropy,L12,2,3,-0.08896,0.003725290298461914
development_extra,load_entropy,L12,3,4,-0.085184,0.003725290298461914
development_extra,load_entropy,L12,4,5,-0.122624,0.003725290298461914
development_extra,load_entropy,L12,5,6,-0.09849600000011921,0.003725290298461914
development_extra,load_entropy,L12,6,7,-0.1409919999998808,0.003725290298461914
development_extra,load_entropy,L12,7,8,-0.131008,0.003725290298461914
development_extra,load_entropy,L12,8,9,-0.20064,0.003725290298461914
development_extra,load_entropy,L13,0,1,-0.00583788638574957,0.0031855106353759766
development_extra,load_entropy,L13,1,2,-0.07424593967517401,0.0031855106353759766
development_extra,load_entropy,L13,2,3,-0.08090711773070879,0.0031855106353759766
development_extra,load_entropy,L13,3,4,-0.08562233365766035,0.0031855106353759766
development_extra,load_entropy,L13,4,5,-0.0963251253648679,0.0031855106353759766
development_extra,load_entropy,L13,5,6,-0.1369657959733553,0.0031855106353759766
development_extra,load_entropy,L13,6,7,-0.14759374298330963,0.0031855106353759766
development_extra,load_entropy,L13,7,8,-0.15859591347952998,0.0031855106353759766
development_extra,load_entropy,L13,8,9,-0.21390614474964448,0.0031855106353759766
development_extra,load_entropy,L14,0,1,-0.05443079986711831,0.003591775894165039
development_extra,load_entropy,L14,1,2,-0.0841022236974353,0.003591775894165039
development_extra,load_entropy,L14,2,3,-0.06491868569532028,0.003591775894165039
development_extra,load_entropy,L14,3,4,-0.10209093926319283,0.003591775894165039
development_extra,load_entropy,L14,4,5,-0.10321938267507468,0.003591775894165039
development_extra,load_entropy,L14,5,6,-0.10647195486226352,0.003591775894165039
development_extra,load_entropy,L14,6,7,-0.10813143046797212,0.003591775894165039
development_extra,load_entropy,L14,7,8,-0.13468304015930965,0.003591775894165039
development_extra,load_entropy,L14,8,9,-0.2419515433123133,0.003591775894165039
development_extra,load_entropy,L15,0,1,-0.025982798216778492,0.0052945613861083984
development_extra,load_entropy,L15,1,2,-0.04674201828252353,0.0052945613861083984
development_extra,load_entropy,L15,2,3,-0.05700905120007205,0.0052945613861083984
development_extra,load_entropy,L15,3,4,-0.07110370603863647,0.0052945613861083984
development_extra,load_entropy,L15,4,5,-0.0811906155716666,0.0052945613861083984
development_extra,load_entropy,L15,5,6,-0.09240329625793668,0.0052945613861083984
development_extra,load_entropy,L15,6,7,-0.1469806817670104,0.0052945613861083984
development_extra,load_entropy,L15,7,8,-0.19975683343098405,0.0052945613861083984
development_extra,load_entropy,L15,8,9,-0.27883099923439175,0.0052945613861083984
development_extra,load_entropy,L2,0,1,-0.20123747790218033,0.0008091926574707031
development_extra,load_entropy,L2,1,2,0.22304065998821448,0.0008091926574707031
development_extra,load_entropy,L2,2,3,-0.07248084855682459,0.0008091926574707031
development_extra,load_entropy,L2,3,4,0.14201532115552817,0.0008091926574707031
development_extra,load_entropy,L2,4,5,-0.1626399528579847,0.0008091926574707031
development_extra,load_entropy,L2,5,6,0.12905126694166175,0.0008091926574707031
development_extra,load_entropy,L2,6,7,0.1773718326458456,0.0008091926574707031
development_extra,load_entropy,L2,7,8,-0.29876252209781967,0.0008091926574707031
development_extra,load_entropy,L2,8,9,-0.7012374779021803,0.0008091926574707031
development_extra,load_entropy,L3,0,1,0.2587262706673422,0.0023360252380366653
development_extra,load_entropy,L3,1,2,0.05909369259033579,0.0023360252380366653
development_extra,load_entropy,L3,2,3,0.10328638497654545,0.0023360252380366653
development_extra,load_entropy,L3,3,4,-0.00010206164523374057,0.0023360252380366653
development_extra,load_entropy,L3,4,5,-0.20300061236991,0.0023360252380366653
development_extra,load_entropy,L3,5,6,-0.0963461931006511,0.0023360252380366653
development_extra,load_entropy,L3,6,7,-0.19493774239644449,0.0023360252380366653
development_extra,load_entropy,L3,7,8,-0.18422126964690172,0.0023360252380366653
development_extra,load_entropy,L3,8,9,-0.32139212084085894,0.0023360252380366653
development_extra,load_entropy,L4,0,1,0.07723642172523962,0.0029850006103515625
development_extra,load_entropy,L4,1,2,-0.24992012779552716,0.0029850006103515625
development_extra,load_entropy,L4,2,3,-0.08698083067107529,0.0029850006103515625
development_extra,load_entropy,L4,3,4,-0.12635782747588956,0.0029850006103515625
development_extra,load_entropy,L4,4,5,-0.0689297124600639,0.0029850006103515625
development_extra,load_entropy,L4,5,6,0.03138977635782748,0.0029850006103515625
development_extra,load_entropy,L4,6,7,-0.041373801916932906,0.0029850006103515625
development_extra,load_entropy,L4,7,8,-0.13123003194888178,0.0029850006103515625
development_extra,load_entropy,L4,8,9,-0.32659744408945685,0.0029850006103515625
development_extra,load_entropy,L5,0,1,-0.16917774495322502,0.002421140670776367
development_extra,load_entropy,L5,1,2,-0.033382570162481535,0.002421140670776367
development_extra,load_entropy,L5,2,3,0.0038404726735598227,0.002421140670776367
development_extra,load_entropy,L5,3,4,-0.016838995568685376,0.002421140670776367
development_extra,load_entropy,L5,4,5,-0.03210241260462826,0.002421140670776367
development_extra,load_entropy,L5,5,6,-0.03249630723781388,0.002421140670776367
development_extra,load_entropy,L5,6,7,-0.11866075824716889,0.002421140670776367
development_extra,load_entropy,L5,7,8,-0.2964057114719978,0.002421140670776367
development_extra,load_entropy,L5,8,9,-0.3047759724275591,0.002421140670776367
development_extra,mobility,L12,0,1,0.028367080684368887,0.021669644862413403
development_extra,mobility,L12,1,2,0.051987389848992205,0.021669644862413403
development_extra,mobility,L12,2,3,0.0641179899743896,0.021669644862413403
development_extra,mobility,L12,3,4,0.0715583779060372,0.021669644862413403
development_extra,mobility,L12,4,5,0.08710651943362682,0.021669644862413403
development_extra,mobility,L12,5,6,0.09480855871537289,0.021669644862413403
development_extra,mobility,L12,6,7,0.13099294624405583,0.021669644862413403
development_extra,mobility,L12,7,8,0.18656858695033696,0.021669644862413403
development_extra,mobility,L12,8,9,0.2844925502428196,0.021669644862413403
development_extra,mobility,L13,0,1,0.026725362683333122,0.0224480368196964
development_extra,mobility,L13,1,2,0.05229653116100327,0.0224480368196964
development_extra,mobility,L13,2,3,0.06546994456714707,0.0224480368196964
development_extra,mobility,L13,3,4,0.06845956478497893,0.0224480368196964
development_extra,mobility,L13,4,5,0.0907216559857391,0.0224480368196964
development_extra,mobility,L13,5,6,0.09826316590409222,0.0224480368196964
development_extra,mobility,L13,6,7,0.13375509409545366,0.0224480368196964
development_extra,mobility,L13,7,8,0.18424009629182506,0.0224480368196964
development_extra,mobility,L13,8,9,0.2800685845264276,0.0224480368196964
