layer,token,vf_row,vf_profile,vf_top31,det_row,p_row,nsig_row,det_top31pc,p_top31pc,nsig_top31pc,det_rand_profile,p_rand_profile,nsig_rand_profile
13,9,0.005524502,0.01192003094929851,0.9207942,0.7569721115537849,0.0,11,0.7390438247011952,0.0,5,0.7664342629482072,0.0,10
13,10,0.0071594403,0.01618237123183312,0.9159411,0.7659362549800797,0.0,17,0.750996015936255,0.0,4,0.7579681274900398,0.0,13
14,0,0.0173115,0.03996203928554386,0.90946907,0.7514940239043825,0.0,14,0.7156374501992031,0.0,4,0.7539840637450199,0.0,16
14,1,0.006565691,0.012553015305112627,0.91298515,0.7415338645418327,0.0,12,0.7176294820717131,0.0,5,0.7435258964143426,0.0,11
14,2,0.0060047586,0.013789329918032405,0.91575545,0.7221115537848606,0.0,11,0.6767928286852589,0.0,4,0.7410358565737052,0.0,5
14,3,0.0057781637,0.012988137816716611,0.91436076,0.7360557768924303,0.0,12,0.670816733067729,0.0,4,0.7111553784860558,0.0,7
14,4,0.0055099465,0.013830389654959325,0.9143582,0.7151394422310757,0.0,11,0.6777888446215139,0.0,3,0.7485059760956175,0.0,13
14,5,0.0055084657,0.012736831660213029,0.91429824,0.750996015936255,0.0,12,0.6947211155378485,0.0,5,0.7126494023904382,0.0,13
14,6,0.0054421155,0.012265900184745035,0.9146191,0.7365537848605578,0.0,11,0.7176294820717131,0.0,4,0.7445219123505976,0.0,3
14,7,0.005261169,0.011928125602588817,0.9155549,0.7191235059760956,0.0,11,0.7196215139442231,0.0,4,0.6932270916334662,0.0,12
14,8,0.0051294155,0.012372478445358222,0.9149376,0.7116533864541832,0.0,9,0.723605577689243,0.0,4,0.7161354581673307,0.0,13
14,9,0.005316924,0.011760685548933069,0.91443694,0.7445219123505976,0.0,9,0.7360557768924303,0.0,3,0.7076693227091634,0.0,11
14,10,0.0066784658,0.014006575958384776,0.9085536,0.7549800796812749,0.0,17,0.7465139442231076,0.0,6,0.718625498007968,0.0,16
15,0,0.014765518,0.03012097544095232,0.90336937,0.8286852589641435,0.0,16,0.728585657370518,0.0,5,0.7888446215139442,0.0,15
15,1,0.00811778,0.018997127726112898,0.9033569,0.7823705179282868,0.0,17,0.7355577689243028,0.0,3,0.7295816733067729,0.0,11
15,2,0.0071001407,0.015331124421641742,0.907652,0.7504980079681275,0.0,16,0.674800796812749,0.0,5,0.6563745019920318,0.0,5
15,3,0.006720343,0.015787449566734984,0.9071671,0.7325697211155379,0.0,15,0.6578685258964143,0.0,4,0.7066733067729083,0.0,14
15,4,0.006509901,0.01609326459187646,0.90783703,0.7250996015936255,0.0,10,0.6812749003984064,0.0,5,0.6947211155378487,0.0,13
15,5,0.006258873,0.013617378419607692,0.90866244,0.6997011952191234,0.0,10,0.700199203187251,0.0,4,0.6947211155378487,0.0,15
15,6,0.00608174,0.014575464400626783,0.9094965,0.703187250996016,0.0,10,0.7176294820717131,0.0,6,0.7400398406374502,0.0,13
15,7,0.0058658393,0.013547846785916954,0.91051257,0.6942231075697212,0.0,8,0.7156374501992031,0.0,4,0.7171314741035857,0.0,8
15,8,0.0056998865,0.013845175517721606,0.9105109,0.7141434262948207,0.0,7,0.7221115537848606,0.0,3,0.6902390438247012,0.0,11
15,9,0.005805993,0.012151626933575145,0.9106072,0.6807768924302788,0.0,11,0.74800796812749,0.0,3,0.6673306772908367,0.0,6
15,10,0.007374271,0.017530713683837077,0.9043547,0.7624501992031872,0.0,9,0.7534860557768924,0.0,4,0.656374501992032,0.0,6
