quantity,family,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_fp,dev_precision,dev_lift,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,precision_ci_low,precision_ci_high,lift_ci_low,lift_ci_high,median_alarm_chunk,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
stretch_slope,A_primary_formation_slope,per_task,True,L14,high,0.9,109,13,23,11,0.8934426229508197,1.2689859019121728,113,38,0.20035460992907803,0.002527267890396382,0.7483443708609272,32,35,0.47761194029850745,0.2831858407079646,0.566659053620489,1.3206254556061838,0.6735529355271369,0.8108134645981452,1.1886387965103236,1.430866513854687,16.0,38,16,24,15,11,1,5,1,6,1,1,1,58,20,2,18
stretch_slope,A_primary_formation_slope,global,True,L14,high,0.975,72,18,9,2,0.8,1.7667273621961288,67,18,0.11879432624113476,0.0011971268954509178,0.788235294117647,9,6,0.6,0.13432835820895522,0.4559209757422709,1.7288857851612232,0.6899066575288014,0.8616376400260227,1.513215434770435,1.8898837427324264,30.0,8,0,5,0,59,18,4,6,0,0,0,0,0,0,0,0
centred_slope,A_primary_formation_slope,per_task,True,L3,high,0.96,52,25,25,15,0.6753246753246753,1.7289254961713898,53,24,0.09397163120567376,0.0015961691939345571,0.6883116883116883,20,18,0.5263157894736842,0.37735849056603776,0.4224739152886672,1.6292406783064464,0.577999646731762,0.7807271801019183,1.3681309681257539,1.8479890754165604,18.0,19,4,13,4,5,13,3,9,13,3,3,1,16,4,1,4
centred_slope,A_primary_formation_slope,global,True,L15,low,0.96,118,17,14,9,0.8740740740740741,1.6800592635613982,164,23,0.2907801418439716,0.0015296621441872838,0.8770053475935828,27,9,0.75,0.16463414634146342,0.5406300204731486,1.6221913589371995,0.822205889348535,0.9166272807077945,1.5208291404701442,1.6954798031851444,30.0,15,1,13,1,111,20,14,8,0,0,0,0,38,2,0,0
pc1_index_corr_s9,A_secondary_endpoint,per_task,True,L2,low,0.995,4,1,2,1,0.8,1.857792229609057,4,0,0.0070921985815602835,0.0,1.0,0,0,0.0,0.0,0.9584541062801932,1.0433467741935485,0.5101091634281154,1.0,0.5322207501492938,1.0433467741935485,26.0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
pc1_index_corr_s9,A_secondary_endpoint,global,True,L5,low,0.975,49,8,2,1,0.8596491228070176,1.1378046134510234,57,8,0.10106382978723404,0.0005320563979781857,0.8769230769230769,6,1,0.8571428571428571,0.10526315789473684,0.6683201445932961,1.3121302477822592,0.7754850591500291,0.936295324911022,1.160349669875577,1.4009682821708167,35.0,1,0,0,0,52,8,5,1,4,0,1,0,0,0,0,0
arc_stretch_s9,A_secondary_endpoint,per_task,True,L14,high,0.9,110,12,18,12,0.9016393442622951,1.2187066693348922,106,20,0.1879432624113475,0.0013301409949454642,0.8412698412698413,27,17,0.6136363636363636,0.25471698113207547,0.6552418986319468,1.2839072761163393,0.7675124813623222,0.8948337428707895,1.1713421912804731,1.3656540351572097,17.0,26,6,18,6,23,5,9,5,3,2,0,2,54,7,0,4
arc_stretch_s9,A_secondary_endpoint,global,True,L14,low,0.975,16,8,4,1,0.6666666666666666,1.2000233855288998,27,7,0.047872340425531915,0.0004655493482309125,0.7941176470588235,5,4,0.5555555555555556,0.18518518518518517,0.5462956994163369,1.453640670990564,0.6320161194464684,0.8965047310263949,1.1569121267506137,1.6410613006549783,25.5,0,0,0,0,16,1,0,1,11,6,5,3,0,0,0,0
fiedler_index_rho_s9,A_secondary_endpoint,per_task,True,L2,low,0.975,24,6,9,4,0.8,1.7022127268384368,18,7,0.031914893617021274,0.0004655493482309125,0.72,4,7,0.36363636363636365,0.2222222222222222,0.44457897931366036,1.6195097687963873,0.5242339480495528,0.8571614615134238,1.179169444445762,1.9280296671621924,17.0,6,0,4,0,6,4,0,4,0,2,0,2,6,1,0,1
fiedler_index_rho_s9,A_secondary_endpoint,global,True,L3,high,0.95,15,4,3,1,0.7894736842105263,1.5499019706429258,12,10,0.02127659574468085,0.0006650704974727321,0.5454545454545454,6,9,0.4,0.5,0.2925867755737942,1.864248800667256,0.3465979531662233,0.7307970582275931,1.184598833923739,2.4977104887752404,18.0,0,1,0,1,11,7,5,6,0,0,0,0,1,2,1,2
along_state_energy_s9,A_secondary_endpoint,per_task,True,back_median,low,0.95,29,1,14,0,0.9666666666666667,1.731664036995609,34,4,0.06028368794326241,0.00026602819898909286,0.8947368421052632,16,4,0.8,0.47058823529411764,0.512295855143997,1.746523679864185,0.7586947827316042,0.9582974265330919,1.480969980751355,1.8705937534156547,16.0,19,0,16,0,7,0,0,0,0,0,0,0,8,4,0,4
along_state_energy_s9,A_secondary_endpoint,global,True,L13,low,0.99,17,3,2,1,0.85,1.233052679379781,21,4,0.03723404255319149,0.00026602819898909286,0.84,2,4,0.3333333333333333,0.09523809523809523,0.6259024829704005,1.342062098896841,0.6534637838781023,0.9359654854464978,1.0440344968387116,1.49538548082539,37.0,3,0,2,0,18,4,0,4,0,0,0,0,0,0,0,0
along_state_fraction_s9,A_secondary_endpoint,per_task,True,L2,low,0.96,29,6,6,3,0.8285714285714286,1.4975836735426462,41,9,0.0726950354609929,0.0005985634477254589,0.82,8,6,0.5714285714285714,0.1951219512195122,0.5861298301760973,1.3990074515634847,0.6920394632230499,0.9022980733116982,1.1806931290549278,1.5394167415785869,22.0,26,0,5,0,12,4,3,2,2,5,0,4,1,0,0,0
along_state_fraction_s9,A_secondary_endpoint,global,True,front_median,low,0.95,13,3,2,1,0.8125,1.8769238820632979,12,43,0.02127659574468085,0.002859803139132748,0.21818181818181817,3,43,0.06521739130434782,0.25,0.17631714617062072,1.2374395963208555,0.12946024039511173,0.3437003402506616,0.7342464598980866,1.9493302138526305,15.0,2,0,0,0,10,43,3,43,0,0,0,0,0,0,0,0
pc1_state_cos_s9,A_secondary_endpoint,per_task,True,L2,low,0.925,32,5,9,5,0.8648648648648649,1.592077771710486,42,10,0.07446808510638298,0.0006650704974727321,0.8076923076923077,13,9,0.5909090909090909,0.30952380952380953,0.534963268875016,1.5098089059288473,0.6810113918301832,0.8920395397673995,1.2730058892871177,1.6674781086247017,20.5,32,1,11,1,8,8,2,7,0,1,0,1,2,0,0,0
pc1_state_cos_s9,A_secondary_endpoint,global,True,L12,low,0.975,5,2,1,0,0.7142857142857143,1.0743038459589669,4,2,0.0070921985815602835,0.00013301409949454643,0.6666666666666666,0,0,0.0,0.0,0.7871145030250637,0.8469754579600706,0.29999331507461663,0.9032285889207645,0.38113046313042476,1.1475186716156893,27.0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
saa_slope,A_negative_control,per_task,True,L4,high,0.95,100,22,33,18,0.819672131147541,1.676434899302235,88,13,0.15602836879432624,0.0008645916467145518,0.8712871287128713,30,9,0.7692307692307693,0.3409090909090909,0.5585343362946804,1.5599526691465282,0.7921530010488851,0.9232128555725831,1.4182709093661674,1.6529205020718725,26.0,49,2,29,2,36,5,1,3,2,4,0,2,1,2,0,2
saa_slope,A_negative_control,global,True,L14,high,0.98,31,13,19,12,0.7045454545454546,2.1519820293503833,41,21,0.0726950354609929,0.0013966480446927375,0.6612903225806451,15,18,0.45454545454545453,0.36585365853658536,0.42426893757346423,1.5586583509101217,0.5371769954639053,0.7665829812692694,1.2661237905753835,1.8068326794170073,20.5,10,0,0,0,31,20,15,18,0,0,0,0,0,1,0,0
state_mobility_s9,B_state_channel,per_task,True,L2,low,0.96,180,23,42,16,0.8866995073891626,1.453280954182068,193,39,0.3421985815602837,0.0025937749401436553,0.8318965517241379,68,25,0.7311827956989247,0.35233160621761656,0.5527357469602905,1.5050529232079914,0.7784586668278742,0.8745223686901685,1.4083740215987877,1.5821708176095146,19.0,56,1,45,1,64,23,19,16,18,11,4,8,55,4,0,0
state_mobility_s9,B_state_channel,global,True,L3,low,0.99,92,4,2,1,0.9583333333333334,1.5740226804927226,124,8,0.2198581560283688,0.0005320563979781857,0.9393939393939394,15,1,0.9375,0.12096774193548387,0.6288556013125407,1.4938150148193743,0.8849635324188387,0.9689731155346868,1.407260316313876,1.5408515301640893,37.0,8,0,0,0,116,7,15,1,0,0,0,0,0,1,0,0
state_mobility_mean,B_state_channel,per_task,True,L2,low,0.96,180,23,42,16,0.8866995073891626,1.453280954182068,193,39,0.3421985815602837,0.0025937749401436553,0.8318965517241379,68,25,0.7311827956989247,0.35233160621761656,0.5527357469602905,1.5050529232079914,0.7784586668278742,0.8745223686901685,1.4083740215987877,1.5821708176095146,19.0,56,1,45,1,64,23,19,16,18,11,4,8,55,4,0,0
state_mobility_mean,B_state_channel,global,True,L3,low,0.99,92,4,2,1,0.9583333333333334,1.5740226804927226,124,8,0.2198581560283688,0.0005320563979781857,0.9393939393939394,15,1,0.9375,0.12096774193548387,0.6288556013125407,1.4938150148193743,0.8849635324188387,0.9689731155346868,1.407260316313876,1.5408515301640893,37.0,8,0,0,0,116,7,15,1,0,0,0,0,0,1,0,0
state_minus_action_mobility,B_state_channel,per_task,True,back_median,low,0.95,187,36,44,25,0.8385650224215246,1.4296546451529009,212,48,0.375886524822695,0.0031923383878691143,0.8153846153846154,74,32,0.6981132075471698,0.3490566037735849,0.5254083893728251,1.5519063491885468,0.7637523158960854,0.8578330889599922,1.4536355553967633,1.632697738199383,19.0,56,2,45,1,65,27,22,21,22,11,2,6,69,8,5,4
state_minus_action_mobility,B_state_channel,global,True,L4,high,0.995,11,2,4,2,0.8461538461538461,2.187635174504793,7,3,0.012411347517730497,0.00019952114924181964,0.7,3,2,0.6,0.42857142857142855,0.32930656796635155,2.125678829678021,0.39677814739821715,0.8922087326189844,1.2048898685760796,2.709356020831476,17.0,4,0,2,0,0,1,0,0,3,1,1,1,0,1,0,1
state_over_action_logratio,B_state_channel,per_task,True,all_median,low,0.96,169,41,44,28,0.8047619047619048,1.4932773502530274,204,46,0.3617021276595745,0.0030593242883745677,0.816,71,32,0.6893203883495146,0.3480392156862745,0.5394357233693363,1.5126918085870036,0.7633112722023568,0.859124482512101,1.4150180255669484,1.5926354990840732,21.0,56,2,43,2,66,31,21,22,20,9,2,7,62,4,5,1
state_over_action_logratio,B_state_channel,global,True,L3,low,0.99,89,5,2,1,0.9468085106382979,1.5554482497979416,127,8,0.225177304964539,0.0005320563979781857,0.9407407407407408,14,1,0.9333333333333333,0.11023622047244094,0.6351485833146928,1.481134911505641,0.887423055073803,0.9696696390625822,1.397189694484633,1.5266815742579505,37.0,5,0,0,0,119,7,14,1,1,0,0,0,2,1,0,0
