cohort,quantity,layer,group,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
development_main,shape_erank,L5,front,18,3059,487,0.15920235371036287,0.5544459205278134,0.5140269108882968,0.6260058669967974
development_main,shape_erank,L5,front,20,2776,487,0.17543227665706052,0.6047694401310436,0.48608519342568,0.5962315977901916
development_main,shape_erank,L5,front,24,1312,361,0.27515243902439024,0.6347509983659131,0.6463852952112192,0.5033330289471282
development_main,shape_erank,L5,front,28,671,324,0.4828614008941878,0.48978012594727294,0.494379105330114,0.5393387766028644
development_main,shape_erank,L5,front,32,515,222,0.43106796116504853,0.7538357470098085,0.7538357470098085,0.837232904517651
development_main,shape_erank,L12,back,4,14800,487,0.0329054054054054,0.6305336068888711,0.5537432376935526,0.47230433873809313
development_main,shape_erank,L12,back,6,14800,487,0.0329054054054054,0.610785401935691,0.5611391646989687,0.5075577055152438
development_main,shape_erank,L12,back,8,13666,487,0.03563588467730133,0.6045871621098403,0.5846271326167053,0.513724884080371
development_main,shape_erank,L12,back,10,10516,487,0.04631038417649296,0.6302245049930151,0.6362625000111518,0.471686612192619
development_main,shape_erank,L12,back,12,8342,487,0.058379285543035245,0.6013382966681785,0.6441232464819338,0.4932993209499515
development_main,shape_erank,L12,back,14,4808,487,0.10128951747088186,0.5011885034977929,0.47609069048436964,0.5618904301780906
development_main,shape_erank,L12,back,16,3554,487,0.13702870005627463,0.5188912373822415,0.3808357982252778,0.524515963883459
development_main,shape_erank,L12,back,18,3059,487,0.15920235371036287,0.5968788820371653,0.49006427145412307,0.48833328847861773
development_main,shape_erank,L12,back,20,2776,487,0.17543227665706052,0.7108243783544728,0.6532482834517572,0.5424523934446468
development_main,shape_erank,L12,back,24,1312,361,0.27515243902439024,0.6638936707533403,0.6940442936000228,0.5521641859190941
development_main,shape_erank,L12,back,28,671,324,0.4828614008941878,0.6035685060661046,0.6625516005919464,0.7052067996252175
development_main,shape_erank,L12,back,32,515,222,0.43106796116504853,0.7477784952187683,0.7477784952187683,0.7510766108017665
development_main,shape_erank,L13,back,4,14800,487,0.0329054054054054,0.414827791853904,0.4388125386762487,0.49311714294245873
development_main,shape_erank,L13,back,6,14800,487,0.0329054054054054,0.4276203293598344,0.4471800068176139,0.5123592821523485
development_main,shape_erank,L13,back,8,13666,487,0.03563588467730133,0.43146336192558227,0.4350008068311252,0.49508500772797526
development_main,shape_erank,L13,back,10,10516,487,0.04631038417649296,0.49009801759701793,0.5210032304427071,0.470884161632061
development_main,shape_erank,L13,back,12,8342,487,0.058379285543035245,0.5129665380085926,0.5913213678268179,0.5100959292925664
development_main,shape_erank,L13,back,14,4808,487,0.10128951747088186,0.5201425443859248,0.5113019580900034,0.5207734606594103
development_main,shape_erank,L13,back,16,3554,487,0.13702870005627463,0.49574660106358404,0.3888949956031657,0.46278972354091036
development_main,shape_erank,L13,back,18,3059,487,0.15920235371036287,0.5310714662085131,0.4670191330033175,0.44200285275991064
development_main,shape_erank,L13,back,20,2776,487,0.17543227665706052,0.5735591073458187,0.5782534669888434,0.4703867164593685
development_main,shape_erank,L13,back,24,1312,361,0.27515243902439024,0.6434457387033914,0.6945114452145561,0.5941923112044563
development_main,shape_erank,L13,back,28,671,324,0.4828614008941878,0.3985484043120931,0.47089596801412364,0.39842055949672067
development_main,shape_erank,L13,back,32,515,222,0.43106796116504853,0.6324293576853304,0.6324293576853304,0.6095400060345064
development_main,shape_erank,L14,back,4,14800,487,0.0329054054054054,0.557594501688633,0.5091180911678248,0.473110573621189
development_main,shape_erank,L14,back,6,14800,487,0.0329054054054054,0.41702284980656146,0.4223200202908142,0.4580787721341336
development_main,shape_erank,L14,back,8,13666,487,0.03563588467730133,0.40872550490614695,0.4257867278643011,0.4669551777434312
development_main,shape_erank,L14,back,10,10516,487,0.04631038417649296,0.5356490817286952,0.5399603354093455,0.4629599623465506
development_main,shape_erank,L14,back,12,8342,487,0.058379285543035245,0.5830925514686757,0.5834441863389389,0.48045485574677543
development_main,shape_erank,L14,back,14,4808,487,0.10128951747088186,0.6031239441398604,0.535078338535988,0.5328799981896767
development_main,shape_erank,L14,back,16,3554,487,0.13702870005627463,0.5386652240951401,0.37013933301356355,0.5683119240435632
development_main,shape_erank,L14,back,18,3059,487,0.15920235371036287,0.583754203378031,0.4351895488381413,0.5585219474123314
development_main,shape_erank,L14,back,20,2776,487,0.17543227665706052,0.6358680879808171,0.548064347631921,0.5301688219499399
development_main,shape_erank,L14,back,24,1312,361,0.27515243902439024,0.7119579623140534,0.6514190922004748,0.5964980367089764
development_main,shape_erank,L14,back,28,671,324,0.4828614008941878,0.6048448785000178,0.634700262221876,0.5736581448266631
development_main,shape_erank,L14,back,32,515,222,0.43106796116504853,0.6488331334747717,0.6488331334747717,0.630276764407384
development_main,shape_erank,L15,back,4,14800,487,0.0329054054054054,0.517151234981022,0.4552966441012372,0.4496819851294455
development_main,shape_erank,L15,back,6,14800,487,0.0329054054054054,0.4697743941515238,0.44073786025387196,0.46012123383797665
development_main,shape_erank,L15,back,8,13666,487,0.03563588467730133,0.42850893860293265,0.4444073099575114,0.47130757341576507
development_main,shape_erank,L15,back,10,10516,487,0.04631038417649296,0.5388102429033831,0.5520167294287889,0.4551437852518846
development_main,shape_erank,L15,back,12,8342,487,0.058379285543035245,0.5637771100163774,0.5813501123972266,0.45840818452915605
development_main,shape_erank,L15,back,14,4808,487,0.10128951747088186,0.5193715140280004,0.4584477170552477,0.5095268267294245
development_main,shape_erank,L15,back,16,3554,487,0.13702870005627463,0.46509508050526605,0.35241292935752927,0.47991715535697665
development_main,shape_erank,L15,back,18,3059,487,0.15920235371036287,0.5462199935492318,0.4875548274096229,0.4808515219204995
development_main,shape_erank,L15,back,20,2776,487,0.17543227665706052,0.7053805226854979,0.6718521974209909,0.5287799759266689
development_main,shape_erank,L15,back,24,1312,361,0.27515243902439024,0.5747092286585632,0.6334432887473663,0.5348370011871062
development_main,shape_erank,L15,back,28,671,324,0.4828614008941878,0.4161418863628278,0.4629384427655321,0.487806183911123
development_main,shape_erank,L15,back,32,515,222,0.43106796116504853,0.6776742612920087,0.6776742612920087,0.7480593575993636
development_main,lam1_share,L2,front,4,14800,487,0.0329054054054054,0.49622311733664676,0.5235478762883514,0.4977515004926991
development_main,lam1_share,L2,front,6,14800,487,0.0329054054054054,0.4062751643334537,0.4740918209198544,0.47750007465137806
development_main,lam1_share,L2,front,8,13666,487,0.03563588467730133,0.40121604699655183,0.4568709941172221,0.497323029366306
development_main,lam1_share,L2,front,10,10516,487,0.04631038417649296,0.3987741504462521,0.451172674790503,0.5051117643881701
development_main,lam1_share,L2,front,12,8342,487,0.058379285543035245,0.4202712929548268,0.4290634520398056,0.5416501994035857
development_main,lam1_share,L2,front,14,4808,487,0.10128951747088186,0.45150706140252916,0.41976162382566873,0.5379715326650223
development_main,lam1_share,L2,front,16,3554,487,0.13702870005627463,0.41905319192383117,0.39670437285154686,0.42456716001117006
development_main,lam1_share,L2,front,18,3059,487,0.15920235371036287,0.32857642403901116,0.2855830816158408,0.43106278763086364
development_main,lam1_share,L2,front,20,2776,487,0.17543227665706052,0.2522393053824962,0.2491187986953436,0.4106663374587204
development_main,lam1_share,L2,front,24,1312,361,0.27515243902439024,0.3607690985724314,0.447235701823798,0.3412017167381974
development_main,lam1_share,L2,front,28,671,324,0.4828614008941878,0.37370583840324473,0.3684996235428512,0.28079239726944183
development_main,lam1_share,L2,front,32,515,222,0.43106796116504853,0.4894766780432309,0.4894766780432309,0.36124749705132075
development_main,lam1_share,L3,front,4,14800,487,0.0329054054054054,0.4707435594728647,0.4700604549105827,0.4665591686822539
development_main,lam1_share,L3,front,6,14800,487,0.0329054054054054,0.4359442048848916,0.4326237156992697,0.46536474663322286
development_main,lam1_share,L3,front,8,13666,487,0.03563588467730133,0.4299877083400525,0.42759483979169577,0.45916537867078827
development_main,lam1_share,L3,front,10,10516,487,0.04631038417649296,0.42836052654693585,0.39462922172292064,0.5296250858390623
development_main,lam1_share,L3,front,12,8342,487,0.058379285543035245,0.43151774265858206,0.4201808723966089,0.5290931627923687
development_main,lam1_share,L3,front,14,4808,487,0.10128951747088186,0.5338766265889284,0.5970038683852852,0.4878595189065647
development_main,lam1_share,L3,front,16,3554,487,0.13702870005627463,0.50131927004631,0.6322381218855757,0.4684678395234106
development_main,lam1_share,L3,front,18,3059,487,0.15920235371036287,0.40291314455788285,0.4541138183626365,0.46473073714239577
development_main,lam1_share,L3,front,20,2776,487,0.17543227665706052,0.36323753546781634,0.3473258929639465,0.4930094750162032
development_main,lam1_share,L3,front,24,1312,361,0.27515243902439024,0.37578172560739387,0.33381796340963477,0.4597753629805497
development_main,lam1_share,L3,front,28,671,324,0.4828614008941878,0.43119151812715695,0.3463405768881273,0.27107482264757066
development_main,lam1_share,L3,front,32,515,222,0.43106796116504853,0.1737847062079144,0.1737847062079144,0.1333625915462051
development_main,lam1_share,L4,front,4,14800,487,0.0329054054054054,0.4753557563370185,0.48257177345829383,0.5161276837170414
development_main,lam1_share,L4,front,6,14800,487,0.0329054054054054,0.4656575038186304,0.5026167422898333,0.47370778464570457
development_main,lam1_share,L4,front,8,13666,487,0.03563588467730133,0.5243750830649159,0.5582484810306914,0.48998763523956723
development_main,lam1_share,L4,front,10,10516,487,0.04631038417649296,0.42470767013852845,0.4232999583370134,0.5139310046835336
development_main,lam1_share,L4,front,12,8342,487,0.058379285543035245,0.3783910639059859,0.3343558282208589,0.4897334099809579
development_main,lam1_share,L4,front,14,4808,487,0.10128951747088186,0.41020264436088116,0.38450181470583844,0.4578760381073069
development_main,lam1_share,L4,front,16,3554,487,0.13702870005627463,0.3748039171708637,0.4511643283502545,0.39481522852089734
development_main,lam1_share,L4,front,18,3059,487,0.15920235371036287,0.38235651032601925,0.42602845459065913,0.4020911268401647
development_main,lam1_share,L4,front,20,2776,487,0.17543227665706052,0.3056179765201486,0.28318061835610103,0.38650041665380697
development_main,lam1_share,L4,front,24,1312,361,0.27515243902439024,0.29634646137175913,0.349071893680106,0.42174230663866313
development_main,lam1_share,L4,front,28,671,324,0.4828614008941878,0.3764186857366492,0.3461328763922424,0.42990228885022086
development_main,lam1_share,L4,front,32,515,222,0.43106796116504853,0.33783783783783783,0.33783783783783783,0.3203500013714787
development_main,lam1_share,L5,front,4,14800,487,0.0329054054054054,0.5152771040987278,0.5177155135613807,0.524464749619278
development_main,lam1_share,L5,front,6,14800,487,0.0329054054054054,0.3590773655172829,0.43184878856485487,0.48200901788647016
development_main,lam1_share,L5,front,8,13666,487,0.03563588467730133,0.34189410288566546,0.3882636791634343,0.4899659969088099
development_main,lam1_share,L5,front,10,10516,487,0.04631038417649296,0.4224354095914456,0.3925523173809594,0.5393933782397012
development_main,lam1_share,L5,front,12,8342,487,0.058379285543035245,0.48635026278400734,0.4696770151532198,0.49462867818776274
development_main,lam1_share,L5,front,14,4808,487,0.10128951747088186,0.555484009852081,0.5644795602885606,0.45245638252132786
development_main,lam1_share,L5,front,16,3554,487,0.13702870005627463,0.48325655166041903,0.4754410158019559,0.34520152657544445
development_main,lam1_share,L5,front,18,3059,487,0.15920235371036287,0.48513968148533726,0.5145807512190054,0.3565411631724843
development_main,lam1_share,L5,front,20,2776,487,0.17543227665706052,0.4399413138274921,0.5457327527771797,0.3888614548933675
development_main,lam1_share,L5,front,24,1312,361,0.27515243902439024,0.3219500685966951,0.3319779580707592,0.4493196968313396
development_main,lam1_share,L5,front,28,671,324,0.4828614008941878,0.49607748959333975,0.49579406495833006,0.46371302369160755
development_main,lam1_share,L5,front,32,515,222,0.43106796116504853,0.23630968852811857,0.23630968852811857,0.16967934827330827
development_main,lam1_share,L12,back,4,14800,487,0.0329054054054054,0.4108154144270275,0.46017803070668245,0.5251843889038191
