cohort,quantity,layer,chunk,within_task_spearman_vs_mobility,episodes
development_main,procrustes_layer,L15,20,-0.061763787327782406,2776
development_main,procrustes_layer,L15,24,-0.16054332394161558,1312
development_main,procrustes_layer,L15,28,-0.00830009994175943,671
development_main,procrustes_layer,L15,32,-0.01517346248119933,515
external_8b,shape_pr,L2,4,-0.09759207981230976,15600
external_8b,shape_pr,L2,6,-0.047463397279448094,15600
external_8b,shape_pr,L2,8,0.031353711755933045,14456
external_8b,shape_pr,L2,10,-0.014035051529896033,11342
external_8b,shape_pr,L2,12,-0.025014930723028347,9146
external_8b,shape_pr,L2,14,0.1442654618019318,5753
external_8b,shape_pr,L2,16,0.09730638587594144,4793
external_8b,shape_pr,L2,18,-0.06907337292814916,4300
external_8b,shape_pr,L2,20,-0.10025860157853919,3995
external_8b,shape_pr,L2,24,0.019738281920188977,2174
external_8b,shape_pr,L2,28,0.2611972620137813,769
external_8b,shape_pr,L2,32,0.014886355998729593,569
external_8b,shape_erank,L2,4,-0.13003281594615362,15600
external_8b,shape_erank,L2,6,-0.0725148190673894,15600
external_8b,shape_erank,L2,8,-0.025607050538587323,14456
external_8b,shape_erank,L2,10,-0.04090169911728668,11342
external_8b,shape_erank,L2,12,-0.057365785153695066,9146
external_8b,shape_erank,L2,14,0.1233167551902143,5753
external_8b,shape_erank,L2,16,0.03857000789564256,4793
external_8b,shape_erank,L2,18,-0.11581111440578508,4300
external_8b,shape_erank,L2,20,-0.15740470039498672,3995
external_8b,shape_erank,L2,24,0.006950583211914876,2174
external_8b,shape_erank,L2,28,0.24027252219604503,769
external_8b,shape_erank,L2,32,-0.020392590086487205,569
external_8b,lam1_share,L5,4,0.1053149101361447,15600
external_8b,lam1_share,L5,6,0.15605570415617145,15600
external_8b,lam1_share,L5,8,0.12487999822604974,14456
external_8b,lam1_share,L5,10,0.25821488323729963,11342
external_8b,lam1_share,L5,12,0.3004695687043557,9146
external_8b,lam1_share,L5,14,0.3058332125979874,5753
external_8b,lam1_share,L5,16,0.30457066641368047,4793
external_8b,lam1_share,L5,18,0.5159102868122667,4300
external_8b,lam1_share,L5,20,0.3327821331978211,3995
external_8b,lam1_share,L5,24,0.34996508929128606,2174
external_8b,lam1_share,L5,28,0.5234939482137475,769
external_8b,lam1_share,L5,32,0.5771577789360909,569
external_8b,bandedness,L5,4,-0.15172787410459238,15600
external_8b,bandedness,L5,6,-0.08761657816611554,15600
external_8b,bandedness,L5,8,-0.29576313416126626,14456
external_8b,bandedness,L5,10,-0.03984446019831494,11342
external_8b,bandedness,L5,12,-0.20195897775735108,9146
external_8b,bandedness,L5,14,-0.27833022298428534,5753
external_8b,bandedness,L5,16,-0.24350800884987045,4793
external_8b,bandedness,L5,18,-0.24330888054019423,4300
external_8b,bandedness,L5,20,-0.139431245002851,3995
external_8b,bandedness,L5,24,-0.11269215068995053,2174
external_8b,bandedness,L5,28,-0.351134337823515,769
external_8b,bandedness,L5,32,-0.48014938750845343,569
external_8b,procrustes_layer,L15,4,0.07996147343069135,15600
external_8b,procrustes_layer,L15,6,0.04697376960956497,15600
external_8b,procrustes_layer,L15,8,0.16623181553290284,14456
external_8b,procrustes_layer,L15,10,0.060422529964255615,11342
external_8b,procrustes_layer,L15,12,0.11093982245124803,9146
external_8b,procrustes_layer,L15,14,0.11560246323777347,5753
external_8b,procrustes_layer,L15,16,0.04158201941635757,4793
external_8b,procrustes_layer,L15,18,0.0021255770067901054,4300
external_8b,procrustes_layer,L15,20,-0.13761350721406423,3995
external_8b,procrustes_layer,L15,24,-0.07794727566041497,2174
external_8b,procrustes_layer,L15,28,0.052189497243879016,769
external_8b,procrustes_layer,L15,32,-0.06980249393060987,569
