dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
rolling_star,q1|action|front_2_5|denoise_motion|d7_to_d8,q1_motion,1,front_2_5,denoise_motion,8,motion,0.011400453746318817,0.011696955189108849,-5.876119871428059e-05,0.00034519335567992024,-0.17022691122933079,,,0.36681659170414793,0.9875062468765617,1.0
rolling_star,q1|action|front_2_5|denoise_motion|d8_to_d9,q1_motion,1,front_2_5,denoise_motion,9,motion,0.015615926124155521,0.016145799309015274,9.458178096705941e-05,0.000570920289413131,0.16566547506007073,,,0.42478760619690153,0.9895052473763118,1.0
rolling_star,q1|action|back_12_15|entropy|d0,q1_level,1,back_12_15,entropy,0,level,0.9993501305580139,0.999352216720581,-4.922761532404873e-07,4.625889395962988e-05,-0.010641762288352516,,,0.9560219890054973,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d1,q1_level,1,back_12_15,entropy,1,level,0.999320924282074,0.99932861328125,-2.2453613848190146e-06,4.637782773245266e-05,-0.04841454407421143,,,0.8070964517741129,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d2,q1_level,1,back_12_15,entropy,2,level,0.999262273311615,0.9992820024490356,-2.283073028434867e-06,4.5447783856604354e-05,-0.05023507935256774,,,0.7946026986506747,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d3,q1_level,1,back_12_15,entropy,3,level,0.9991816878318787,0.9992188811302185,-3.85924256278198e-06,4.612361381130706e-05,-0.08367173002900954,,,0.679160419790105,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d4,q1_level,1,back_12_15,entropy,4,level,0.9990627765655518,0.9991239309310913,-8.47411003841716e-06,4.689196055232855e-05,-0.18071562670024371,,,0.37831084457771114,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d5,q1_level,1,back_12_15,entropy,5,level,0.9989224672317505,0.9990043044090271,-1.1009015854756543e-05,4.7089178271889976e-05,-0.23379078290963526,,,0.2543728135932034,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d6,q1_level,1,back_12_15,entropy,6,level,0.9987319707870483,0.9988346099853516,-1.057216822468298e-05,5.278813831722596e-05,-0.2002754512983657,,,0.31384307846076964,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d7,q1_level,1,back_12_15,entropy,7,level,0.9984798431396484,0.9985916018486023,-8.673804580785666e-06,5.761580564351859e-05,-0.15054557484542289,,,0.44377811094452774,1.0,1.0
