dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
right16x32_pooled,q2|action|front_2_5|denoise_motion|d4_to_d5,q2_motion,2,front_2_5,denoise_motion,5,motion,0.00718206912279129,0.007996880449354649,-6.983059371084644e-06,0.00028820553769727915,-0.024229442039449642,,,0.783608195902049,1.0,1.0
right16x32_pooled,q2|action|front_2_5|denoise_motion|d5_to_d6,q2_motion,2,front_2_5,denoise_motion,6,motion,0.00851474516093731,0.009718713350594044,-5.006470042065553e-06,0.0002935531622139454,-0.01705473040830939,,,0.8620689655172413,1.0,1.0
right16x32_pooled,q2|action|front_2_5|denoise_motion|d6_to_d7,q2_motion,2,front_2_5,denoise_motion,7,motion,0.009389660321176052,0.01072456780821085,7.549887264696106e-06,0.00037440003528143765,0.02016529528107772,,,0.8330834582708646,1.0,1.0
right16x32_pooled,q2|action|front_2_5|denoise_motion|d7_to_d8,q2_motion,2,front_2_5,denoise_motion,8,motion,0.011427778750658035,0.013832866214215755,-2.389586662265867e-05,0.00044815044980583534,-0.053321081420339395,,,0.5147426286856571,1.0,1.0
right16x32_pooled,q2|action|front_2_5|denoise_motion|d8_to_d9,q2_motion,2,front_2_5,denoise_motion,9,motion,0.015379447489976883,0.018664414063096046,-1.019558142206313e-05,0.00045375471027110447,-0.02246936768099131,,,0.782608695652174,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d0,q2_level,2,back_12_15,entropy,0,level,0.999279797077179,0.9988024234771729,2.829590750811437e-06,7.963834725728525e-05,0.035530505695578564,,,0.6331834082958521,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d1,q2_level,2,back_12_15,entropy,1,level,0.9992659091949463,0.998760998249054,3.1727623278115196e-06,7.864513292457924e-05,0.04034276769363721,,,0.600199900049975,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d2,q2_level,2,back_12_15,entropy,2,level,0.9992141723632812,0.9986680746078491,2.3083453764216274e-06,8.076019684866945e-05,0.028582711118783733,,,0.6966516741629185,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d3,q2_level,2,back_12_15,entropy,3,level,0.9991446137428284,0.9985453486442566,1.6534029256399904e-06,8.367522322983791e-05,0.019759767130808206,,,0.7841079460269865,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d4,q2_level,2,back_12_15,entropy,4,level,0.9990455508232117,0.9983891844749451,-1.4080239098169687e-06,8.9248828121602e-05,-0.015776385409772872,,,0.823088455772114,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d5,q2_level,2,back_12_15,entropy,5,level,0.9989151358604431,0.9981794953346252,-3.359875244382508e-06,9.713031088905477e-05,-0.034591418617204474,,,0.6486756621689156,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d6,q2_level,2,back_12_15,entropy,6,level,0.9987464547157288,0.9979214072227478,-6.253574451965574e-06,0.00010912353719110744,-0.057307292385635596,,,0.4672663668165917,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d7,q2_level,2,back_12_15,entropy,7,level,0.998494565486908,0.9975453615188599,-8.906603174448958e-06,0.0001234614445862603,-0.07214076592329255,,,0.36881559220389803,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d8,q2_level,2,back_12_15,entropy,8,level,0.9980974793434143,0.9970217347145081,-1.005502799070653e-05,0.0001380060807559236,-0.07285931123926176,,,0.35782108945527236,1.0,1.0
right16x32_pooled,q2|action|back_12_15|entropy|d9,q2_level,2,back_12_15,entropy,9,level,0.9975172281265259,0.9962635636329651,-8.058421992877673e-06,0.00014828574151907702,-0.05434387629130852,,,0.4782608695652174,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top1|d0,q2_level,2,back_12_15,top1,0,level,0.03576793149113655,0.03722985088825226,-2.571119873967794e-05,0.0003215196018375291,-0.07996774875539431,,,0.31384307846076964,1.0,1.0
