quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,L3,low,0.925,global,51,341,0.10472279260780287,0.02382449521414099,0.13010204081632654,10,340,0.02857142857142857,0.19607843137254902,0.14758373595226937,0.8815472787489493
mobility,adjacent_query,L3,low,0.95,per_task,125,6,0.25667351129363447,0.00041919932928107315,0.9541984732824428,23,1,0.9583333333333334,0.184,0.7187819438011421,1.3275214848001675
mobility,adjacent_query,L3,low,0.95,global,35,113,0.07186858316221766,0.00789492070146021,0.23648648648648649,4,112,0.034482758620689655,0.11428571428571428,0.23975158599944701,0.9863813225704039
mobility,adjacent_query,L3,low,0.96,per_task,112,4,0.2299794661190965,0.00027946621952071543,0.9655172413793104,21,1,0.9545454545454546,0.1875,0.7082273377786193,1.3632871676595966
mobility,adjacent_query,L3,low,0.96,global,24,56,0.049281314168377825,0.003912527073290016,0.3,1,55,0.017857142857142856,0.041666666666666664,0.29381144199877834,1.021063025861489
mobility,adjacent_query,L3,low,0.975,per_task,84,4,0.17248459958932238,0.00027946621952071543,0.9545454545454546,7,1,0.875,0.08333333333333333,0.7868999826566778,1.2130454639518273
mobility,adjacent_query,L3,low,0.975,global,10,3,0.02053388090349076,0.00020959966464053657,0.7692307692307693,1,2,0.3333333333333333,0.1,0.6622525359500339,1.1615369175253816
mobility,adjacent_query,L3,low,0.98,per_task,67,3,0.1375770020533881,0.00020959966464053657,0.9571428571428572,7,0,1.0,0.1044776119402985,0.7685483078411763,1.245390624606846
mobility,adjacent_query,L3,low,0.98,global,6,3,0.012320328542094456,0.00020959966464053657,0.6666666666666666,1,2,0.3333333333333333,0.16666666666666666,0.5767282849133694,1.155945848514794
mobility,adjacent_query,L3,low,0.99,per_task,36,1,0.07392197125256673,6.986655488017886e-05,0.972972972972973,6,0,1.0,0.16666666666666666,0.7497414291429136,1.2977447092462961
mobility,adjacent_query,L3,low,0.99,global,3,0,0.006160164271047228,0.0,1.0,1,0,1.0,0.3333333333333333,0.5514159152032906,1.8135131258069144
mobility,adjacent_query,L3,low,0.995,per_task,22,1,0.045174537987679675,6.986655488017886e-05,0.9565217391304348,4,0,1.0,0.18181818181818182,0.6789309028730723,1.4088646356833439
mobility,adjacent_query,L3,low,0.995,global,2,0,0.004106776180698152,0.0,1.0,0,0,0.0,0.0,0.8953488372093024,1.1168831168831168
mobility,adjacent_query,L3,high,0.5,per_task,100,478,0.2053388090349076,0.03339621323272549,0.17301038062283736,60,464,0.11450381679389313,0.6,0.08753999584673135,1.976358108649572
mobility,adjacent_query,L3,high,0.5,global,158,3663,0.324435318275154,0.25592119052609513,0.041350431824129806,128,3653,0.03385347791589527,0.810126582278481,0.039000883323066254,1.0602434688876383
mobility,adjacent_query,L3,high,0.6,per_task,87,344,0.17864476386036962,0.024034094878781526,0.20185614849187936,52,331,0.13577023498694518,0.5977011494252874,0.10260100737760194,1.9673895378920525
mobility,adjacent_query,L3,high,0.6,global,123,2927,0.25256673511293637,0.20449940613428352,0.040327868852459016,94,2921,0.031177446102819237,0.7642276422764228,0.04017700842144523,1.0037548945763035
mobility,adjacent_query,L3,high,0.7,per_task,76,275,0.15605749486652978,0.019213302592049186,0.21652421652421652,45,263,0.1461038961038961,0.5921052631578947,0.11229961947015517,1.928093946763196
mobility,adjacent_query,L3,high,0.7,global,97,2077,0.19917864476386038,0.1451128344861315,0.04461821527138914,70,2073,0.032664489034064395,0.7216494845360825,0.04281639616713201,1.0420824559176771
