evidence_step,authority_steps,gate_close_count,gate_open_count,reached_query,min_horizontal_m,closures,closed_fully,closed_holding,lifted,success,segments,last_target,end_state,gate_open_last,stage,kind,main_id,failed,base_task,arm,timing,replicate,physical_class,target
0,111,5,0,46,0.004,0,0,0,False,False,1,moka_pot_2,resting_elsewhere,0,reached_never_closed,fork,41a51d866c05253cf3b29dfd,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,late,0,untouched,moka_pot_1
0,84,5,0,46,0.003,0,0,0,False,False,1,moka_pot_2,resting_elsewhere,0,reached_never_closed,fork,41a51d866c05253cf3b29dfd,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,late,1,untouched,moka_pot_1
,0,0,0,58,0.058,0,0,0,False,False,1,moka_pot_1,resting_at_start,0,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,mid,0,untouched,moka_pot_1
,0,0,0,56,0.053,0,0,0,False,False,1,moka_pot_1,resting_at_start,0,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,mid,1,untouched,moka_pot_1
,0,0,0,55,0.038,0,0,0,False,False,1,moka_pot_1,resting_elsewhere,0,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,late,0,untouched,moka_pot_1
,0,0,0,54,0.029,0,0,0,False,False,1,moka_pot_1,resting_elsewhere,0,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,late,1,untouched,moka_pot_1
,0,0,2,26,0.051,1,0,1,True,True,2,moka_pot_1,held_at_end,2,success,fork,ea40cec54e925f93ce4bdde9,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,mid,0,untouched,moka_pot_1
,0,0,0,27,0.053,1,0,1,True,True,2,moka_pot_1,held_at_end,0,success,fork,ea40cec54e925f93ce4bdde9,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,mid,1,untouched,moka_pot_1
141,128,8,0,30,0.006,1,1,0,False,False,1,moka_pot_1,resting_at_start,0,closed_missed,fork,8a7cb159fe6112c33d5c9160,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,mid,0,untouched,moka_pot_1
,0,0,2,28,0.051,1,0,1,True,True,1,moka_pot_1,held_at_end,2,success,fork,8a7cb159fe6112c33d5c9160,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full_z10,mid,1,untouched,moka_pot_1
4,26,3,0,42,0.015,0,0,0,False,False,2,cream_cheese_1,resting_at_start,0,reached_never_closed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,0,displaced_reachable,alphabet_soup_1
126,125,5,0,14,0.004,2,1,1,True,False,1,alphabet_soup_1,resting_elsewhere,0,lifted_not_placed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,1,displaced_reachable,alphabet_soup_1
,0,0,0,,0.371,0,0,0,False,False,1,alphabet_soup_1,resting_elsewhere,0,no_evidence,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,0,displaced_reachable,alphabet_soup_1
,0,0,0,,0.37,0,0,0,False,False,1,alphabet_soup_1,resting_elsewhere,0,no_evidence,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,1,displaced_reachable,alphabet_soup_1
0,122,2,0,28,0.003,4,4,0,False,False,1,alphabet_soup_1,resting_elsewhere,0,closed_missed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,early,0,displaced_reachable,alphabet_soup_1
0,125,5,0,28,0.006,2,2,0,False,False,1,alphabet_soup_1,resting_elsewhere,0,closed_missed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,early,1,displaced_reachable,alphabet_soup_1
,0,0,0,,0.43,0,0,0,False,False,2,alphabet_soup_1,resting_at_start,0,no_evidence,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
0,98,8,0,27,0.004,1,0,1,True,False,1,cream_cheese_1,resting_elsewhere,0,lifted_not_placed,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
257,43,6,0,,0.089,0,0,0,False,False,1,alphabet_soup_1,resting_at_start,0,never_reached,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
258,42,5,0,,0.102,0,0,0,False,False,1,alphabet_soup_1,resting_at_start,0,never_reached,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
0,191,11,0,22,0.002,4,1,3,False,False,1,alphabet_soup_1,resting_at_start,0,closed_not_lifted,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,early,0,dropped_or_tipped,alphabet_soup_1
0,128,8,0,22,0.002,2,1,1,False,False,1,alphabet_soup_1,resting_at_start,0,closed_not_lifted,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,early,1,dropped_or_tipped,alphabet_soup_1
8,72,4,0,37,0.003,0,0,0,True,False,1,alphabet_soup_1,resting_elsewhere,0,lifted_not_placed,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
8,72,3,0,37,0.004,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
8,72,4,0,47,0.003,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
8,72,3,0,47,0.003,0,0,0,True,False,1,alphabet_soup_1,resting_elsewhere,0,lifted_not_placed,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
,0,0,0,,0.425,0,0,0,False,False,1,ketchup_1,resting_at_start,0,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,ketchup_1
,0,0,0,,0.392,0,0,0,False,False,1,ketchup_1,resting_at_start,0,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,ketchup_1
,0,0,0,,0.366,0,0,0,False,False,1,ketchup_1,resting_at_start,0,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,ketchup_1
,0,0,0,,0.365,0,0,0,False,False,1,ketchup_1,resting_at_start,0,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,ketchup_1
,0,0,0,,0.339,0,0,0,False,False,1,ketchup_1,resting_at_start,0,no_evidence,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,ketchup_1
,0,0,0,,0.361,0,0,0,False,False,1,ketchup_1,resting_at_start,0,no_evidence,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,ketchup_1
259,41,2,0,73,0.062,0,0,0,False,False,1,ketchup_1,resting_at_start,0,reached_never_closed,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,ketchup_1
268,32,2,0,,0.123,0,0,0,False,False,1,ketchup_1,resting_at_start,0,never_reached,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,ketchup_1
219,71,2,0,50,0.004,0,0,0,False,False,1,alphabet_soup_1,resting_at_start,0,reached_never_closed,fork,a57e6c1376ad60d45b89da03,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
238,62,2,0,52,0.004,0,0,0,False,False,1,alphabet_soup_1,resting_at_start,0,reached_never_closed,fork,a57e6c1376ad60d45b89da03,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
39,61,1,0,51,0.004,0,0,0,True,False,1,alphabet_soup_1,resting_elsewhere,0,lifted_not_placed,fork,a57e6c1376ad60d45b89da03,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
49,71,2,0,52,0.004,0,0,0,True,False,1,alphabet_soup_1,resting_elsewhere,0,lifted_not_placed,fork,a57e6c1376ad60d45b89da03,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
,0,0,0,,0.218,0,0,0,False,False,2,tomato_sauce_1,resting_at_start,0,no_evidence,fork,3e6466b66694b7b6325fa52e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
0,63,3,0,40,0.005,1,0,1,True,False,2,tomato_sauce_1,held_at_end,0,lifted_not_placed,fork,3e6466b66694b7b6325fa52e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
39,71,5,0,50,0.0,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,3e6466b66694b7b6325fa52e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
39,71,4,0,50,0.0,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,3e6466b66694b7b6325fa52e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
,0,0,0,38,0.047,0,0,0,False,False,2,tomato_sauce_1,resting_at_start,0,no_evidence,fork,3e6466b66694b7b6325fa52e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,early,0,dropped_or_tipped,alphabet_soup_1
78,61,1,1,9,0.004,4,3,1,True,False,1,alphabet_soup_1,resting_elsewhere,1,lifted_not_placed,fork,3e6466b66694b7b6325fa52e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,early,1,dropped_or_tipped,alphabet_soup_1
49,71,3,0,36,0.0,0,0,0,True,False,2,alphabet_soup_1,resting_at_start,0,lifted_not_placed,fork,baf735f8d5fac5f51ee9e77e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
49,71,3,0,36,0.001,0,0,0,True,False,2,alphabet_soup_1,resting_at_start,0,lifted_not_placed,fork,baf735f8d5fac5f51ee9e77e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
57,73,7,0,52,0.0,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,baf735f8d5fac5f51ee9e77e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
58,72,6,0,52,0.0,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,baf735f8d5fac5f51ee9e77e,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
,0,0,0,31,0.023,0,0,0,False,False,1,tomato_sauce_1,resting_at_start,0,no_evidence,fork,b4b4b5f994a0fe81751b44aa,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,tomato_sauce_1
,0,0,0,31,0.02,1,0,1,False,False,1,tomato_sauce_1,resting_at_start,0,no_evidence,fork,b4b4b5f994a0fe81751b44aa,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,tomato_sauce_1
,0,0,0,44,0.024,0,0,0,False,False,1,tomato_sauce_1,resting_at_start,0,no_evidence,fork,b4b4b5f994a0fe81751b44aa,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,tomato_sauce_1
,0,0,0,44,0.025,0,0,0,False,False,1,tomato_sauce_1,resting_at_start,0,no_evidence,fork,b4b4b5f994a0fe81751b44aa,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,tomato_sauce_1
59,71,4,0,37,0.001,0,0,0,False,False,2,alphabet_soup_1,resting_at_start,0,reached_never_closed,fork,121e84fc58a0dd3b4f398731,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
58,72,5,0,37,0.002,0,0,0,False,False,2,alphabet_soup_1,resting_at_start,0,reached_never_closed,fork,121e84fc58a0dd3b4f398731,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
0,79,16,0,47,0.001,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,121e84fc58a0dd3b4f398731,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
0,79,16,0,47,0.001,0,0,0,True,True,1,alphabet_soup_1,resting_elsewhere,0,success,fork,121e84fc58a0dd3b4f398731,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
0,144,7,0,45,0.005,1,0,1,False,False,1,cream_cheese_1,resting_at_start,0,closed_not_lifted,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,untouched,cream_cheese_1
0,88,11,0,45,0.007,1,0,1,True,True,1,cream_cheese_1,held_at_end,0,success,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,untouched,cream_cheese_1
,0,0,0,,0.214,0,0,0,False,False,9,cream_cheese_1,resting_at_start,0,no_evidence,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,0,untouched,cream_cheese_1
,0,0,0,,0.116,1,1,0,True,False,4,tomato_sauce_1,held_at_end,0,lifted_not_placed,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,1,untouched,cream_cheese_1
58,72,6,0,34,0.0,0,0,0,True,False,2,alphabet_soup_1,resting_at_start,0,lifted_not_placed,fork,684d02b81d7b0f9e173d2080,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
49,71,3,0,34,0.0,0,0,0,True,False,2,alphabet_soup_1,resting_at_start,0,lifted_not_placed,fork,684d02b81d7b0f9e173d2080,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
67,73,8,0,69,0.001,0,0,0,False,False,2,alphabet_soup_1,resting_at_start,0,reached_never_closed,fork,684d02b81d7b0f9e173d2080,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,0,dropped_or_tipped,alphabet_soup_1
68,72,6,0,69,0.001,0,0,0,False,False,2,alphabet_soup_1,resting_at_start,0,reached_never_closed,fork,684d02b81d7b0f9e173d2080,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,late,1,dropped_or_tipped,alphabet_soup_1
,0,0,0,31,0.003,0,0,0,True,True,2,tomato_sauce_1,resting_elsewhere,0,success,fork,684d02b81d7b0f9e173d2080,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,early,0,dropped_or_tipped,alphabet_soup_1
,0,0,0,31,0.005,0,0,0,True,True,2,tomato_sauce_1,resting_elsewhere,0,success,fork,684d02b81d7b0f9e173d2080,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,early,1,dropped_or_tipped,alphabet_soup_1
,0,0,2,31,0.015,1,0,1,True,False,2,tomato_sauce_1,held_at_end,2,lifted_not_placed,fork,8353120bf0d822eb880f7328,False,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,0,dropped_or_tipped,alphabet_soup_1
,0,0,0,33,0.008,1,1,0,True,True,2,tomato_sauce_1,resting_elsewhere,0,success,fork,8353120bf0d822eb880f7328,False,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full_z10,mid,1,dropped_or_tipped,alphabet_soup_1
188,72,12,0,30,0.003,2,0,2,True,False,1,cream_cheese_1,held_at_end,0,lifted_not_placed,fork,5668eade328ccdc00feb05fb,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,mid,0,untouched,cream_cheese_1
183,77,17,0,30,0.004,2,1,1,True,False,1,cream_cheese_1,held_at_end,0,lifted_not_placed,fork,5668eade328ccdc00feb05fb,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,mid,1,untouched,cream_cheese_1
,0,0,0,71,0.003,1,0,1,True,False,1,butter_1,held_at_end,0,lifted_not_placed,fork,5668eade328ccdc00feb05fb,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,late,0,untouched,cream_cheese_1
,0,0,0,,0.578,0,0,0,False,False,2,cream_cheese_1,resting_at_start,0,no_evidence,fork,5668eade328ccdc00feb05fb,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,late,1,untouched,cream_cheese_1
59,208,20,0,18,0.008,1,0,1,False,False,1,cream_cheese_1,resting_at_start,0,closed_not_lifted,fork,31ef8731d245196447af6a5a,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,mid,0,untouched,cream_cheese_1
,0,0,0,,0.081,0,0,0,False,False,2,butter_1,resting_at_start,0,no_evidence,fork,31ef8731d245196447af6a5a,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,mid,1,untouched,cream_cheese_1
,0,0,0,,0.4,0,0,0,False,False,1,cream_cheese_1,resting_at_start,0,no_evidence,fork,31ef8731d245196447af6a5a,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,late,0,untouched,cream_cheese_1
,0,0,0,,0.407,0,0,0,False,False,1,cream_cheese_1,resting_at_start,0,no_evidence,fork,31ef8731d245196447af6a5a,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,late,1,untouched,cream_cheese_1
0,131,11,0,23,0.003,1,0,1,True,False,1,butter_1,resting_elsewhere,0,lifted_not_placed,fork,31ef8731d245196447af6a5a,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full_z10,early,0,untouched,cream_cheese_1
