layer_group,flow_step,action_token_position,failed_to_success_center_h
back,2,4,0.0295568760484457
back,2,5,0.03279031068086624
back,2,6,0.027408068999648094
back,2,7,0.028271924704313278
back,2,8,0.031945474445819855
back,2,9,0.03060081973671913
back,2,10,0.03528609499335289
back,3,1,0.030397552996873856
back,3,2,0.03362017124891281
back,3,3,0.0355522483587265
back,3,4,0.032572705298662186
back,3,5,0.03487033396959305
back,3,6,0.02935432270169258
back,3,7,0.03113936260342598
back,3,8,0.034754108637571335
back,3,9,0.03298768401145935
back,3,10,0.035658009350299835
back,4,1,0.03349606692790985
back,4,2,0.037987783551216125
back,4,3,0.038810282945632935
back,4,4,0.03550118952989578
back,4,5,0.03635666146874428
back,4,6,0.032021887600421906
back,4,7,0.03282203525304794
back,4,8,0.03825706988573074
back,4,9,0.03539556637406349
back,4,10,0.03602876886725426
back,5,1,0.03931191936135292
back,5,2,0.04323209077119827
back,5,3,0.04121577367186546
back,5,4,0.03711673617362976
back,5,5,0.03804127871990204
back,5,6,0.03404127061367035
back,5,7,0.03367708995938301
back,5,8,0.0438234806060791
back,5,9,0.03601611405611038
back,5,10,0.036049943417310715
back,6,1,0.04680631309747696
back,6,2,0.04919782280921936
back,6,3,0.04128760099411011
back,6,4,0.03567371144890785
back,6,5,0.039119333028793335
back,6,6,0.03336858004331589
back,6,7,0.03435973450541496
back,6,8,0.046890635043382645
back,6,9,0.03568849712610245
back,6,10,0.035497453063726425
back,7,1,0.05122683197259903
back,7,2,0.050872474908828735
back,7,3,0.04362259432673454
back,7,4,0.03499066084623337
back,7,5,0.0381249375641346
back,7,6,0.0338105633854866
back,7,7,0.035311777144670486
back,7,8,0.04241284355521202
back,7,9,0.03506919741630554
back,7,10,0.03478870913386345
back,8,1,0.0528751015663147
back,8,2,0.04952528700232506
back,8,3,0.04841383546590805
back,8,4,0.03657678887248039
back,8,5,0.038441743701696396
back,8,6,0.03464131057262421
back,8,7,0.03431757539510727
back,8,8,0.03941266983747482
back,8,9,0.03477577865123749
back,8,10,0.03682724013924599
back,9,1,0.05698802322149277
back,9,2,0.05236714705824852
back,9,3,0.05487966164946556
back,9,4,0.04033789411187172
back,9,5,0.041258424520492554
back,9,6,0.03830180689692497
back,9,7,0.03801596537232399
back,9,8,0.04253578558564186
back,9,9,0.038543444126844406
back,9,10,0.04160550981760025
