candidate,episode_id,outcome,closure_query,stored_layer_index,model_layer,layer_group,within_flow_wj,late_flow_wj,route_acceleration,gate_entropy,top12_margin,state_action_gap,chunk_jump_full_h,chunk_jump_d9_h,event_to_success_center_h
3,100000003,success,29,4,12,back,0.01608453318476677,0.024950718507170677,0.007402610569269677,0.9978543471956709,0.0012908749049529433,0.09643091261386871,0.03655564412474632,0.050662439316511154,0.02143315225839615
3,100000003,success,29,5,13,back,0.01604272983968258,0.024397261440753937,0.0069650577930977665,0.9980537713983052,0.00104673916939646,0.1246102899312973,0.04225902631878853,0.050454139709472656,0.02219848334789276
3,100000003,success,29,6,14,back,0.015193374827504158,0.022971581667661667,0.006900141109678862,0.9979914586442448,0.0026520187966525555,0.08790452778339386,0.035148825496435165,0.05078207328915596,0.0212537981569767
3,100000003,success,29,7,15,back,0.016577819362282753,0.02527715638279915,0.007456237824188233,0.9963314339429747,0.0019042905187234282,0.0778069719672203,0.03606916964054108,0.0466131791472435,0.019042881205677986
4,100000004,success,33,0,2,front,0.020805438980460167,0.028373325243592262,0.011632838387836488,0.998164947863129,0.0015106212813407183,0.2086089849472046,0.04419919475913048,0.04713169485330582,0.025272758677601814
4,100000004,success,33,1,3,front,0.023331113159656525,0.03289613872766495,0.011951201193508607,0.9970802670427495,0.0015777635853737593,0.21179449558258057,0.04679184779524803,0.05391809344291687,0.026855697855353355
4,100000004,success,33,2,4,front,0.024001378566026688,0.03472406789660454,0.012893538871761399,0.997472442521165,0.0022154939360916615,0.21281319856643677,0.042047154158353806,0.04633738473057747,0.02418065071105957
4,100000004,success,33,3,5,front,0.02517792209982872,0.03717672824859619,0.013366110410689797,0.9959600821239258,0.002328520640730858,0.23457607626914978,0.05460469797253609,0.07763516157865524,0.02684660628437996
4,100000004,success,33,4,12,back,0.01566537842154503,0.024749521166086197,0.007284528270632311,0.9981518015092972,0.0012146271765232086,0.09753288328647614,0.03468124940991402,0.05020264908671379,0.019548095762729645
4,100000004,success,33,5,13,back,0.01598074659705162,0.02416219934821129,0.007015952088308195,0.9976545239932865,0.0015503145987167954,0.12252867966890335,0.04473123699426651,0.05333184450864792,0.022676005959510803
4,100000004,success,33,6,14,back,0.01494530588388443,0.023142972961068153,0.006823881655654463,0.9978577455728519,0.0019775505643337965,0.07842198014259338,0.034373924136161804,0.05019494891166687,0.022232070565223694
4,100000004,success,33,7,15,back,0.016407908871769905,0.025043465197086334,0.0072676431894476345,0.9961328765329007,0.001763909705914557,0.08378826826810837,0.04339371994137764,0.04918231442570686,0.019897472113370895
7,100000007,success,30,0,2,front,0.02241763472557068,0.030401192605495453,0.01180704184944414,0.9979747900857232,0.002078158315271139,0.21270716190338135,0.04822823032736778,0.048418570309877396,0.03051517717540264
7,100000007,success,30,1,3,front,0.024328909814357758,0.033612124621868134,0.012297265015364508,0.996841981640326,0.0019470412516966462,0.19013728201389313,0.050944142043590546,0.056881584227085114,0.03205566853284836
7,100000007,success,30,2,4,front,0.02429455704987049,0.03416472673416138,0.01286824812847683,0.9975219528866953,0.0010864135110750794,0.19359581172466278,0.04307541251182556,0.04940574988722801,0.02618711069226265
7,100000007,success,30,3,5,front,0.02617632783949375,0.03753574565052986,0.01350706132591137,0.9958772346413521,0.0012970048701390624,0.2357507348060608,0.062222257256507874,0.08611465245485306,0.03142068535089493
7,100000007,success,30,4,12,back,0.017488183453679085,0.026453610509634018,0.007724675712165674,0.9978564729012355,0.0018371641635894775,0.09455903619527817,0.04146086052060127,0.053844403475522995,0.020611638203263283
7,100000007,success,30,5,13,back,0.016053179278969765,0.02409091778099537,0.006971408796332752,0.9982539592039096,0.001492259674705565,0.1311223804950714,0.043860506266355515,0.05247517675161362,0.021726533770561218
7,100000007,success,30,6,14,back,0.015578635968267918,0.0235538762062788,0.007194299770504583,0.9981099271734651,0.001605246914550662,0.09418956935405731,0.0359850712120533,0.048723794519901276,0.02069264091551304
7,100000007,success,30,7,15,back,0.017281442880630493,0.025629950687289238,0.007484403772794654,0.9960331747505424,0.001965329749509692,0.08433530479669571,0.04403515160083771,0.05198425054550171,0.018411805853247643
8,100000008,success,33,0,2,front,0.02218189463019371,0.030830668285489082,0.012112250887113811,0.9979263184954039,0.0016113643068820238,0.2856728136539459,0.04471416771411896,0.04474931210279465,0.026865685358643532
8,100000008,success,33,1,3,front,0.023873450234532356,0.03350067511200905,0.012153334844788822,0.9965901233670964,0.0017852436285465956,0.196367084980011,0.046264342963695526,0.052632879465818405,0.027174804359674454
8,100000008,success,33,2,4,front,0.024103011935949326,0.035418760031461716,0.012979964935900035,0.9972448406810133,0.0017089113825932145,0.19816459715366364,0.04088236019015312,0.049374811351299286,0.0249774269759655
8,100000008,success,33,3,5,front,0.025528231635689735,0.038180217146873474,0.013659419549100221,0.9956921606711056,0.002612356562167406,0.3000429570674896,0.058962561190128326,0.08113671839237213,0.029126394540071487
8,100000008,success,33,4,12,back,0.017398914322257042,0.027627896517515182,0.007717382990284273,0.9980217275907967,0.002233858685940504,0.09369339793920517,0.037923213094472885,0.0552506260573864,0.026625946164131165
8,100000008,success,33,5,13,back,0.016438521444797516,0.026260387152433395,0.007255899365236779,0.9979326543362618,0.0008880767854861915,0.13598917424678802,0.04067469760775566,0.05451272800564766,0.02576003223657608
8,100000008,success,33,6,14,back,0.01661860942840576,0.026559917256236076,0.007202884556710646,0.9976022894225662,0.0018951945239678025,0.1188751757144928,0.038385309278964996,0.055363286286592484,0.024881117045879364
8,100000008,success,33,7,15,back,0.01617271825671196,0.024963349103927612,0.007367257265903132,0.9965281545783377,0.0018066354095935822,0.08536407351493835,0.04750315845012665,0.05547836422920227,0.022246835753321648
10,100000010,success,32,0,2,front,0.020874429494142532,0.028986316174268723,0.01158931518130391,0.9979638382305162,0.0015228480333462358,0.21149159967899323,0.05061275139451027,0.04596858099102974,0.03015753999352455
10,100000010,success,32,1,3,front,0.023304719477891922,0.032892342656850815,0.011974457034263508,0.9970309492977881,0.0014892586041241884,0.21593530476093292,0.04703270271420479,0.05029530078172684,0.03126879781484604
10,100000010,success,32,2,4,front,0.023570002987980843,0.0348837785422802,0.012717503339332538,0.9974183023826735,0.0018677361076697707,0.1994546800851822,0.042014773935079575,0.04976343736052513,0.02671254612505436
10,100000010,success,32,3,5,front,0.02516142465174198,0.03571558743715286,0.013543183809263238,0.9957719124659636,0.0018738023936748505,0.1973547339439392,0.05937885865569115,0.08628608286380768,0.02970052883028984
10,100000010,success,32,4,12,back,0.015388729982078075,0.022907454520463943,0.007246152247974126,0.9982370705075949,0.0033660337794572115,0.09089083969593048,0.03701755031943321,0.047614142298698425,0.02056475356221199
10,100000010,success,32,5,13,back,0.014677333645522594,0.021458612754940987,0.00687986254864455,0.9982114794891466,0.000720219686627388,0.11459769308567047,0.04050198197364807,0.04881679266691208,0.023506266996264458
10,100000010,success,32,6,14,back,0.014523543417453766,0.02271680161356926,0.0067933179464944775,0.9981103124146029,0.0017273079138249159,0.08193055540323257,0.030658302828669548,0.04304775595664978,0.021024510264396667
10,100000010,success,32,7,15,back,0.01683052070438862,0.02551739290356636,0.007156183872927051,0.9948698703414942,0.0061399550177156925,0.10599584132432938,0.045375145971775055,0.055472057312726974,0.021129922941327095
12,100000012,success,36,0,2,front,0.020305031910538673,0.02836414985358715,0.011510159448533404,0.9981073543130081,0.0013793904799968004,0.26492857933044434,0.047958265990018845,0.047599632292985916,0.026015538722276688
12,100000012,success,36,1,3,front,0.022742245346307755,0.03167317062616348,0.01203203226350742,0.9970362807599648,0.0011566102039068937,0.2116692215204239,0.04643772915005684,0.05406109243631363,0.026717476546764374
12,100000012,success,36,2,4,front,0.023534616455435753,0.03405264765024185,0.012911122010124537,0.9973270415088195,0.0018310758750885725,0.24446000158786774,0.04086073487997055,0.04974023252725601,0.024316586554050446
12,100000012,success,36,3,5,front,0.025664396584033966,0.03594726696610451,0.01365082422618203,0.9954448427398589,0.001608281978406012,0.22480884194374084,0.05921256169676781,0.08219586312770844,0.02690463326871395
12,100000012,success,36,4,12,back,0.01581105776131153,0.023842601105570793,0.007137271133202295,0.997873905062727,0.001519752317108214,0.0944959819316864,0.037689827382564545,0.048635564744472504,0.02184901386499405
12,100000012,success,36,5,13,back,0.014660975895822048,0.021799610927700996,0.006696539562690353,0.998309826048216,0.0016082354122772813,0.1252051144838333,0.04138890281319618,0.04917050153017044,0.02004586160182953
12,100000012,success,36,6,14,back,0.014545067213475704,0.02273828722536564,0.0066828780568722514,0.9975597340354367,0.002105703577399254,0.08928072452545166,0.034001026302576065,0.049028180539608,0.019425509497523308
12,100000012,success,36,7,15,back,0.016778526827692986,0.02531474269926548,0.0071558565763065836,0.9952552972206898,0.0018371839541941881,0.1089181900024414,0.04318191856145859,0.051675498485565186,0.02070223167538643
13,100000013,success,33,0,2,front,0.021395226940512657,0.029370028525590897,0.01170784002185064,0.9979885418184861,0.00184628926217556,0.285781592130661,0.04250180721282959,0.04449852183461189,0.02831214666366577
13,100000013,success,33,1,3,front,0.023042069748044014,0.03224920853972435,0.011963747783474693,0.9973065893319788,0.002145397709682584,0.21458932757377625,0.045201096683740616,0.05519741028547287,0.025679193437099457
13,100000013,success,33,2,4,front,0.023953909054398537,0.03549351915717125,0.012998267204865889,0.9976300405431096,0.001449564122594893,0.19117754697799683,0.0400877520442009,0.04661620780825615,0.02721288427710533
13,100000013,success,33,3,5,front,0.026123132556676865,0.03935959190130234,0.013825164665047343,0.996002217873387,0.0010650675976648927,0.21346911787986755,0.055648308247327805,0.08049774169921875,0.02852354757487774
13,100000013,success,33,4,12,back,0.017442498356103897,0.027443889528512955,0.007626385310171221,0.9979219982912145,0.0032378274481743574,0.09371693432331085,0.037855591624975204,0.05126148462295532,0.020636405795812607
13,100000013,success,33,5,13,back,0.01664169877767563,0.02588912658393383,0.007342438699030788,0.997967195331861,0.002990737557411194,0.1349625140428543,0.04335891082882881,0.05513492971658707,0.019660353660583496
13,100000013,success,33,6,14,back,0.015545841306447983,0.024726321920752525,0.007171441032087995,0.9977739005909033,0.004086323082447052,0.10229987651109695,0.03468983247876167,0.04727621749043465,0.022581852972507477
13,100000013,success,33,7,15,back,0.01693139597773552,0.027294140309095383,0.007197107804286621,0.995796684846994,0.0032805793453007936,0.08682932704687119,0.04443000629544258,0.054830409586429596,0.02028978429734707
