candidate,episode_id,outcome,relative_query,query,pot_lift_from_event_m,eef_object_distance_m,gripper_aperture
13,100000013,success,-8,25,-0.003943920135498047,0.49581751227378845,0.07918273657560349
13,100000013,success,-7,26,-0.003943920135498047,0.41456305980682373,0.07947269082069397
13,100000013,success,-6,27,-0.003943920135498047,0.3274911940097809,0.07965975999832153
13,100000013,success,-5,28,-0.003943920135498047,0.25016093254089355,0.07978056371212006
13,100000013,success,-4,29,-0.003943920135498047,0.19485141336917877,0.07985860109329224
13,100000013,success,-3,30,-0.003943920135498047,0.1362648457288742,0.07990880310535431
13,100000013,success,-2,31,-0.003943920135498047,0.08568508177995682,0.07993592321872711
13,100000013,success,-1,32,-0.0032944083213806152,0.06603208929300308,0.07989614456892014
13,100000013,success,0,33,0.0,0.06438204646110535,0.06880277395248413
13,100000013,success,1,34,0.0026183128356933594,0.07149215042591095,0.02043447643518448
13,100000013,success,2,35,0.05615609884262085,0.0692257434129715,0.019937489181756973
13,100000013,success,3,36,0.12253385782241821,0.06784780323505402,0.019584782421588898
13,100000013,success,4,37,0.16300660371780396,0.06828749924898148,0.01942593790590763
13,100000013,success,5,38,0.17318350076675415,0.06954839080572128,0.01901218853890896
13,100000013,success,6,39,0.16032308340072632,0.07129821926355362,0.018561817705631256
13,100000013,success,7,40,0.1381639838218689,0.07412324845790863,0.018190745264291763
13,100000013,success,8,41,0.08358532190322876,0.07710066437721252,0.014755692332983017
