candidate,episode_id,outcome,relative_query,query,layer_group,within_flow_wj,late_flow_wj,route_acceleration,gate_entropy,top12_margin,state_action_gap,chunk_jump_full_h,chunk_jump_d9_h
3,100000003,success,1,30,back,0.01633408758789301,0.02519707754254341,0.007026940068060014,0.9975038052773764,0.001898197951959446,0.1167223397642374,0.04094790108501911,0.05662545841187239
3,100000003,success,2,31,front,0.02142898878082633,0.027763865888118744,0.011610548302602542,0.9981699559979224,0.00128478417173028,0.3123033381998539,0.03731871489435434,0.03308225004002452
3,100000003,success,2,31,back,0.016013879096135497,0.024609040468931198,0.0069487716581431,0.9974831088851714,0.0018707135459408164,0.10477834567427635,0.03547975234687328,0.04735095705837011
3,100000003,success,3,32,front,0.020196049474179745,0.02605935651808977,0.011237741976094224,0.9981363712258617,0.001557927142130211,0.33295464143157005,0.02965410426259041,0.02230912446975708
3,100000003,success,3,32,back,0.015575529774650931,0.02450522081926465,0.006714749470788964,0.9973086892401459,0.001711267133941874,0.10214785858988762,0.022773778531700373,0.031133944168686867
3,100000003,success,4,33,front,0.020407005213201046,0.0269557717256248,0.011220501610147489,0.9980091866158958,0.0017036249919328839,0.3693062588572502,0.03327733278274536,0.02471513533964753
3,100000003,success,4,33,back,0.015764249488711357,0.025253255385905504,0.006780746002564833,0.9969341763799742,0.002310181502252817,0.10485517792403698,0.024422988761216402,0.03276301175355911
3,100000003,success,5,34,front,0.021566782612353563,0.028827732894569635,0.011355241298205896,0.9975219236496446,0.002455877809552476,0.4004383347928524,0.03344735270366073,0.025632491800934076
3,100000003,success,5,34,back,0.015815738355740905,0.024927585385739803,0.006875952275992276,0.996921005948571,0.002365097461733967,0.11094920709729195,0.024362966418266296,0.03452376276254654
3,100000003,success,6,35,front,0.021486838813871145,0.02875912142917514,0.011481103806296699,0.9976301557714856,0.0019310117640998214,0.3996393494307995,0.033075975719839334,0.026879260316491127
3,100000003,success,6,35,back,0.015353103633970022,0.02406785963103175,0.006769263785159773,0.9973844183608004,0.0014831513253739104,0.11328747868537903,0.025991166010499,0.03897703159600496
3,100000003,success,7,36,front,0.021132093388587236,0.028649059124290943,0.011321066624872516,0.9976760906177046,0.0016555615584366024,0.39230042695999146,0.035205069463700056,0.02278382144868374
3,100000003,success,7,36,back,0.015475299675017595,0.025229785591363907,0.00696475568580473,0.9975474527543389,0.001596821064595133,0.1113397367298603,0.023660555016249418,0.029845398385077715
3,100000003,success,8,37,front,0.021478562150150537,0.029313753359019756,0.011326327736946789,0.9976197284633639,0.0020843442471232265,0.3856859914958477,0.03297952236607671,0.021949587855488062
3,100000003,success,8,37,back,0.015500066569074988,0.024507793597877026,0.006851280729181338,0.9973462640097064,0.0014083914284128696,0.10756415501236916,0.022951906081289053,0.029246614780277014
4,100000004,success,-8,25,front,0.02202215138822794,0.028820579405874014,0.011873811183200128,0.9984860343128106,0.0013626108120661229,0.27260298281908035,0.032563466578722,0.027020865585654974
4,100000004,success,-8,25,back,0.015596403740346432,0.024280719459056854,0.0069564731715278305,0.9979879605171262,0.001566307299071923,0.12108558416366577,0.024891589302569628,0.03478296799585223
4,100000004,success,-7,26,front,0.02169764321297407,0.028548825532197952,0.011758167639511949,0.99816352384678,0.0017403147503500804,0.2548629194498062,0.035487246699631214,0.02803224418312311
4,100000004,success,-7,26,back,0.015617629745975137,0.024060236290097237,0.006921150819753162,0.9974574284357446,0.0016074759187176824,0.10973813012242317,0.029814054258167744,0.0383183266967535
4,100000004,success,-6,27,front,0.023484519217163324,0.033373887185007334,0.012282445788301375,0.9969486229226465,0.0023414457973558456,0.2297586128115654,0.03769857622683048,0.03884583432227373
4,100000004,success,-6,27,back,0.017052580369636416,0.027526164427399635,0.007345999119913196,0.9972977391047655,0.002887731301598251,0.10338279791176319,0.03443996608257294,0.04832984786480665
4,100000004,success,-5,28,front,0.022389194928109646,0.031798732466995716,0.011860323533132135,0.9972390569044645,0.002005776244914159,0.21465829759836197,0.03513002581894398,0.032829135190695524
4,100000004,success,-5,28,back,0.015264613553881645,0.02437832858413458,0.006864001668805913,0.9973984160287541,0.00287555530667305,0.1111922413110733,0.029999563936144114,0.040374625474214554
4,100000004,success,-4,29,front,0.023682416882365942,0.033368914388120174,0.01221096835522169,0.9976808270199093,0.0018257240881212056,0.22304299473762512,0.03539558220654726,0.031751119531691074
4,100000004,success,-4,29,back,0.01552704768255353,0.025273302104324102,0.006905680786080013,0.9978869774640192,0.00160750572104007,0.11431461572647095,0.027544834185391665,0.039976924657821655
4,100000004,success,-3,30,front,0.022011674474924803,0.030887688975781202,0.011986324994114119,0.9975763957146523,0.0018798754608724266,0.2547943741083145,0.036689288914203644,0.032078833784908056
4,100000004,success,-3,30,back,0.014423699351027608,0.022352142725139856,0.006650283067177392,0.9976882859074773,0.001969182281754911,0.11620462127029896,0.028213724959641695,0.041441744193434715
4,100000004,success,-2,31,front,0.02367960847914219,0.033334491308778524,0.012205271945227641,0.997035517156995,0.0017814829770941287,0.2661227025091648,0.037873330526053905,0.030661365017294884
4,100000004,success,-2,31,back,0.014869313454255462,0.023116831202059984,0.006793608364622498,0.9976661826971884,0.0016082711808849126,0.11922712624073029,0.02770688757300377,0.037662715651094913
4,100000004,success,-1,32,front,0.025042916648089886,0.03635902749374509,0.012566395362892094,0.9956819964964396,0.005923737393459305,0.23728463426232338,0.0407694298774004,0.048437511548399925
4,100000004,success,-1,32,back,0.017332160845398903,0.027868300210684538,0.007760659242626357,0.9974675943302371,0.002333854528842494,0.09836232289671898,0.03455732483416796,0.04504102189093828
4,100000004,success,0,33,front,0.023328963201493025,0.033292565029114485,0.012460922215949072,0.9971694348877422,0.0019080998608842492,0.21694818884134293,0.0469107236713171,0.05625558365136385
4,100000004,success,0,33,back,0.015749834943562746,0.024274539668112993,0.007098001301010652,0.997449236902084,0.0016266005113720894,0.09556795284152031,0.03929503262042999,0.05072793923318386
