episode_id,init_state_id,query,method,score,threshold,fired
0,0,26,double_typed_noisy_or,0.8554904955414906,0.883317912519382,False
0,0,27,single,0.6503459607105214,0.8002717334147347,False
0,0,27,double_shared_max,0.666474977806132,0.7971970517340012,False
0,0,27,double_shared_noisy_or,0.8118370228331011,0.9230434346424627,False
0,0,27,double_typed_max,0.7029036920839801,0.7386961999004723,False
0,0,27,double_typed_noisy_or,0.8398611217789432,0.883317912519382,False
0,0,28,single,0.7618886024261171,0.8002717334147347,False
0,0,28,double_shared_max,0.7646426579055489,0.7971970517340012,False
0,0,28,double_shared_noisy_or,0.8835687631019349,0.9230434346424627,False
0,0,28,double_typed_max,0.7860048024812686,0.7386961999004723,True
0,0,28,double_typed_noisy_or,0.899448395147372,0.883317912519382,True
0,0,29,single,0.6843910444609416,0.8002717334147347,False
0,0,29,double_shared_max,0.6291629252000763,0.7971970517340012,False
0,0,29,double_shared_noisy_or,0.8568978583678182,0.9230434346424627,False
0,0,29,double_typed_max,0.6431031316760907,0.7386961999004723,False
0,0,29,double_typed_noisy_or,0.8537000707000875,0.883317912519382,False
0,0,30,single,0.6316652344483784,0.8002717334147347,False
0,0,30,double_shared_max,0.6521093314428655,0.7971970517340012,False
0,0,30,double_shared_noisy_or,0.8456867914278626,0.9230434346424627,False
0,0,30,double_typed_max,0.6505533694848014,0.7386961999004723,False
0,0,30,double_typed_noisy_or,0.8534653352401499,0.883317912519382,False
