level,cohort,suite,task,method,failure,episodes,cutoff_query,detected,recall
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,51,188,0.9038461538461539
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,7,5,0.02403846153846154
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,10,8,0.038461538461538464
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,14,26,0.125
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,19,26,0.125
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,29,26,0.125
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,39,26,0.125
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,51,26,0.125
suite,all,libero_goal,all,cosine_without_center,True,208,7,9,0.04326923076923077
suite,all,libero_goal,all,cosine_without_center,True,208,10,62,0.2980769230769231
suite,all,libero_goal,all,cosine_without_center,True,208,14,73,0.35096153846153844
suite,all,libero_goal,all,cosine_without_center,True,208,19,74,0.3557692307692308
suite,all,libero_goal,all,cosine_without_center,True,208,29,80,0.38461538461538464
suite,all,libero_goal,all,cosine_without_center,True,208,39,80,0.38461538461538464
suite,all,libero_goal,all,cosine_without_center,True,208,51,80,0.38461538461538464
suite,all,libero_goal,all,norm_only,True,208,7,1,0.004807692307692308
suite,all,libero_goal,all,norm_only,True,208,10,3,0.014423076923076924
suite,all,libero_goal,all,norm_only,True,208,14,50,0.2403846153846154
suite,all,libero_goal,all,norm_only,True,208,19,78,0.375
suite,all,libero_goal,all,norm_only,True,208,29,183,0.8798076923076923
suite,all,libero_goal,all,norm_only,True,208,39,183,0.8798076923076923
suite,all,libero_goal,all,norm_only,True,208,51,183,0.8798076923076923
suite,all,libero_long,all,euclidean,True,541,7,0,0.0
suite,all,libero_long,all,euclidean,True,541,10,14,0.025878003696857672
suite,all,libero_long,all,euclidean,True,541,14,42,0.07763401109057301
suite,all,libero_long,all,euclidean,True,541,19,57,0.10536044362292052
suite,all,libero_long,all,euclidean,True,541,29,106,0.19593345656192238
suite,all,libero_long,all,euclidean,True,541,39,352,0.6506469500924215
suite,all,libero_long,all,euclidean,True,541,51,430,0.7948243992606284
suite,all,libero_long,all,cosine,True,541,7,0,0.0
suite,all,libero_long,all,cosine,True,541,10,0,0.0
suite,all,libero_long,all,cosine,True,541,14,1,0.0018484288354898336
suite,all,libero_long,all,cosine,True,541,19,3,0.005545286506469501
suite,all,libero_long,all,cosine,True,541,29,6,0.011090573012939002
suite,all,libero_long,all,cosine,True,541,39,6,0.011090573012939002
suite,all,libero_long,all,cosine,True,541,51,7,0.012939001848428836
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,7,0,0.0
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,10,14,0.025878003696857672
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,14,37,0.06839186691312385
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,19,57,0.10536044362292052
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,29,88,0.16266173752310537
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,39,325,0.600739371534196
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,51,381,0.7042513863216266
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,7,0,0.0
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,10,0,0.0
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,14,0,0.0
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,19,1,0.0018484288354898336
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,29,2,0.0036968576709796672
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,39,2,0.0036968576709796672
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,51,2,0.0036968576709796672
suite,all,libero_long,all,cosine_without_center,True,541,7,0,0.0
suite,all,libero_long,all,cosine_without_center,True,541,10,3,0.005545286506469501
suite,all,libero_long,all,cosine_without_center,True,541,14,3,0.005545286506469501
suite,all,libero_long,all,cosine_without_center,True,541,19,9,0.0166358595194085
suite,all,libero_long,all,cosine_without_center,True,541,29,14,0.025878003696857672
suite,all,libero_long,all,cosine_without_center,True,541,39,15,0.027726432532347505
suite,all,libero_long,all,cosine_without_center,True,541,51,17,0.031423290203327174
suite,all,libero_long,all,norm_only,True,541,7,0,0.0
suite,all,libero_long,all,norm_only,True,541,10,13,0.024029574861367836
suite,all,libero_long,all,norm_only,True,541,14,30,0.05545286506469501
suite,all,libero_long,all,norm_only,True,541,19,42,0.07763401109057301
suite,all,libero_long,all,norm_only,True,541,29,68,0.1256931608133087
suite,all,libero_long,all,norm_only,True,541,39,288,0.532347504621072
suite,all,libero_long,all,norm_only,True,541,51,334,0.6173752310536045
suite,all,libero_object,all,euclidean,True,81,7,0,0.0
suite,all,libero_object,all,euclidean,True,81,10,0,0.0
suite,all,libero_object,all,euclidean,True,81,14,11,0.13580246913580246
suite,all,libero_object,all,euclidean,True,81,19,48,0.5925925925925926
suite,all,libero_object,all,euclidean,True,81,29,75,0.9259259259259259
suite,all,libero_object,all,euclidean,True,81,39,75,0.9259259259259259
suite,all,libero_object,all,euclidean,True,81,51,75,0.9259259259259259
suite,all,libero_object,all,cosine,True,81,7,0,0.0
suite,all,libero_object,all,cosine,True,81,10,0,0.0
suite,all,libero_object,all,cosine,True,81,14,0,0.0
suite,all,libero_object,all,cosine,True,81,19,0,0.0
suite,all,libero_object,all,cosine,True,81,29,0,0.0
suite,all,libero_object,all,cosine,True,81,39,0,0.0
suite,all,libero_object,all,cosine,True,81,51,0,0.0
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,7,0,0.0
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,10,2,0.024691358024691357
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,14,15,0.18518518518518517
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,19,47,0.5802469135802469
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,29,77,0.9506172839506173
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,39,77,0.9506172839506173
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,51,77,0.9506172839506173
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,7,0,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,10,0,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,14,0,0.0
