level,cohort,suite,task,method,failure,episodes,query_bin,count,fraction
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q0-6,0,0.0
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q7,5,0.004562043795620438
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q8-10,5,0.004562043795620438
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q11-14,18,0.016423357664233577
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q15-19,1,0.0009124087591240876
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q20-29,1,0.0009124087591240876
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q30-39,0,0.0
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,q40-51,0,0.0
all,all,all,all,cosine_without_center,False,30904,no_alarm,29779,0.9635969453792389
all,all,all,all,cosine_without_center,False,30904,q0-6,0,0.0
all,all,all,all,cosine_without_center,False,30904,q7,272,0.008801449650530676
all,all,all,all,cosine_without_center,False,30904,q8-10,425,0.013752265078954181
all,all,all,all,cosine_without_center,False,30904,q11-14,157,0.0050802485115195445
all,all,all,all,cosine_without_center,False,30904,q15-19,141,0.004562516179135387
all,all,all,all,cosine_without_center,False,30904,q20-29,129,0.004174216929847269
all,all,all,all,cosine_without_center,False,30904,q30-39,0,0.0
all,all,all,all,cosine_without_center,False,30904,q40-51,1,3.235827077400984e-05
all,all,all,all,cosine_without_center,True,1096,no_alarm,938,0.8558394160583942
all,all,all,all,cosine_without_center,True,1096,q0-6,0,0.0
all,all,all,all,cosine_without_center,True,1096,q7,12,0.010948905109489052
all,all,all,all,cosine_without_center,True,1096,q8-10,60,0.05474452554744526
all,all,all,all,cosine_without_center,True,1096,q11-14,33,0.030109489051094892
all,all,all,all,cosine_without_center,True,1096,q15-19,34,0.03102189781021898
all,all,all,all,cosine_without_center,True,1096,q20-29,16,0.014598540145985401
all,all,all,all,cosine_without_center,True,1096,q30-39,1,0.0009124087591240876
all,all,all,all,cosine_without_center,True,1096,q40-51,2,0.0018248175182481751
all,all,all,all,norm_only,False,30904,no_alarm,29437,0.9525304167745275
all,all,all,all,norm_only,False,30904,q0-6,0,0.0
all,all,all,all,norm_only,False,30904,q7,0,0.0
all,all,all,all,norm_only,False,30904,q8-10,793,0.0256601087237898
all,all,all,all,norm_only,False,30904,q11-14,607,0.01964147035982397
all,all,all,all,norm_only,False,30904,q15-19,24,0.000776598498576236
all,all,all,all,norm_only,False,30904,q20-29,24,0.000776598498576236
all,all,all,all,norm_only,False,30904,q30-39,18,0.0005824488739321771
all,all,all,all,norm_only,False,30904,q40-51,1,3.235827077400984e-05
all,all,all,all,norm_only,True,1096,no_alarm,272,0.24817518248175183
all,all,all,all,norm_only,True,1096,q0-6,0,0.0
all,all,all,all,norm_only,True,1096,q7,1,0.0009124087591240876
all,all,all,all,norm_only,True,1096,q8-10,25,0.02281021897810219
all,all,all,all,norm_only,True,1096,q11-14,106,0.09671532846715329
all,all,all,all,norm_only,True,1096,q15-19,253,0.23083941605839417
all,all,all,all,norm_only,True,1096,q20-29,173,0.15784671532846714
all,all,all,all,norm_only,True,1096,q30-39,220,0.20072992700729927
all,all,all,all,norm_only,True,1096,q40-51,46,0.041970802919708027
cohort,A,all,all,euclidean,False,15468,no_alarm,14119,0.9127876907163176
cohort,A,all,all,euclidean,False,15468,q0-6,0,0.0
cohort,A,all,all,euclidean,False,15468,q7,0,0.0
cohort,A,all,all,euclidean,False,15468,q8-10,896,0.057926040858546676
cohort,A,all,all,euclidean,False,15468,q11-14,393,0.025407292474786656
cohort,A,all,all,euclidean,False,15468,q15-19,29,0.0018748383760020689
cohort,A,all,all,euclidean,False,15468,q20-29,15,0.000969743987587277
cohort,A,all,all,euclidean,False,15468,q30-39,16,0.001034393586759762
cohort,A,all,all,euclidean,False,15468,q40-51,0,0.0
cohort,A,all,all,euclidean,True,532,no_alarm,54,0.10150375939849623
cohort,A,all,all,euclidean,True,532,q0-6,0,0.0
cohort,A,all,all,euclidean,True,532,q7,0,0.0
cohort,A,all,all,euclidean,True,532,q8-10,35,0.06578947368421052
cohort,A,all,all,euclidean,True,532,q11-14,125,0.2349624060150376
cohort,A,all,all,euclidean,True,532,q15-19,82,0.15413533834586465
cohort,A,all,all,euclidean,True,532,q20-29,76,0.14285714285714285
cohort,A,all,all,euclidean,True,532,q30-39,118,0.22180451127819548
cohort,A,all,all,euclidean,True,532,q40-51,42,0.07894736842105263
cohort,A,all,all,cosine,False,15468,no_alarm,15146,0.9791828290664598
cohort,A,all,all,cosine,False,15468,q0-6,0,0.0
cohort,A,all,all,cosine,False,15468,q7,66,0.004266873545384018
cohort,A,all,all,cosine,False,15468,q8-10,48,0.0031031807602792862
cohort,A,all,all,cosine,False,15468,q11-14,135,0.008727695888285493
cohort,A,all,all,cosine,False,15468,q15-19,54,0.0034910783553141972
cohort,A,all,all,cosine,False,15468,q20-29,18,0.0011636927851047323
cohort,A,all,all,cosine,False,15468,q30-39,1,6.464959917248513e-05
cohort,A,all,all,cosine,False,15468,q40-51,0,0.0
cohort,A,all,all,cosine,True,532,no_alarm,515,0.9680451127819549
cohort,A,all,all,cosine,True,532,q0-6,0,0.0
cohort,A,all,all,cosine,True,532,q7,4,0.007518796992481203
cohort,A,all,all,cosine,True,532,q8-10,4,0.007518796992481203
cohort,A,all,all,cosine,True,532,q11-14,6,0.011278195488721804
cohort,A,all,all,cosine,True,532,q15-19,2,0.0037593984962406013
cohort,A,all,all,cosine,True,532,q20-29,1,0.0018796992481203006
cohort,A,all,all,cosine,True,532,q30-39,0,0.0
cohort,A,all,all,cosine,True,532,q40-51,0,0.0
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,no_alarm,14481,0.9361908456167571
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q0-6,0,0.0
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q7,50,0.0032324799586242567
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q8-10,623,0.04027670028445823
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q11-14,259,0.016744246185673647
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q15-19,34,0.0021980863718644946
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q20-29,8,0.000517196793379881
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q30-39,13,0.0008404447892423067
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,q40-51,0,0.0
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,no_alarm,86,0.16165413533834586
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q0-6,0,0.0
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q7,1,0.0018796992481203006
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q8-10,19,0.03571428571428571
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q11-14,61,0.11466165413533834
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q15-19,138,0.2593984962406015
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q20-29,83,0.15601503759398497
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q30-39,114,0.21428571428571427
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,q40-51,30,0.05639097744360902
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,no_alarm,15146,0.9791828290664598
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q0-6,0,0.0
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q7,145,0.009374191880010345
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q8-10,70,0.004525471942073959
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q11-14,73,0.004719420739591414
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q15-19,30,0.001939487975174554
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q20-29,2,0.00012929919834497026
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q30-39,2,0.00012929919834497026
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,q40-51,0,0.0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,no_alarm,518,0.9736842105263158
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q0-6,0,0.0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q7,4,0.007518796992481203
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q8-10,3,0.005639097744360902
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q11-14,6,0.011278195488721804
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q15-19,0,0.0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q20-29,1,0.0018796992481203006
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q30-39,0,0.0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,q40-51,0,0.0
cohort,A,all,all,cosine_without_center,False,15468,no_alarm,14893,0.9628264804758211
cohort,A,all,all,cosine_without_center,False,15468,q0-6,0,0.0
cohort,A,all,all,cosine_without_center,False,15468,q7,139,0.008986294284975433
cohort,A,all,all,cosine_without_center,False,15468,q8-10,213,0.013770364623739333
cohort,A,all,all,cosine_without_center,False,15468,q11-14,76,0.00491336953710887
cohort,A,all,all,cosine_without_center,False,15468,q15-19,75,0.004848719937936384
cohort,A,all,all,cosine_without_center,False,15468,q20-29,72,0.004654771140418929
cohort,A,all,all,cosine_without_center,False,15468,q30-39,0,0.0
cohort,A,all,all,cosine_without_center,False,15468,q40-51,0,0.0
cohort,A,all,all,cosine_without_center,True,532,no_alarm,456,0.8571428571428571
cohort,A,all,all,cosine_without_center,True,532,q0-6,0,0.0
cohort,A,all,all,cosine_without_center,True,532,q7,6,0.011278195488721804
cohort,A,all,all,cosine_without_center,True,532,q8-10,29,0.05451127819548872
cohort,A,all,all,cosine_without_center,True,532,q11-14,24,0.045112781954887216
cohort,A,all,all,cosine_without_center,True,532,q15-19,10,0.018796992481203006
cohort,A,all,all,cosine_without_center,True,532,q20-29,6,0.011278195488721804
cohort,A,all,all,cosine_without_center,True,532,q30-39,0,0.0
cohort,A,all,all,cosine_without_center,True,532,q40-51,1,0.0018796992481203006
cohort,A,all,all,norm_only,False,15468,no_alarm,14755,0.9539048357900181
cohort,A,all,all,norm_only,False,15468,q0-6,0,0.0
cohort,A,all,all,norm_only,False,15468,q7,0,0.0
cohort,A,all,all,norm_only,False,15468,q8-10,381,0.024631497284716836
cohort,A,all,all,norm_only,False,15468,q11-14,296,0.019136281355055598
cohort,A,all,all,norm_only,False,15468,q15-19,12,0.0007757951900698216
cohort,A,all,all,norm_only,False,15468,q20-29,11,0.0007111455908973364
cohort,A,all,all,norm_only,False,15468,q30-39,13,0.0008404447892423067
cohort,A,all,all,norm_only,False,15468,q40-51,0,0.0
cohort,A,all,all,norm_only,True,532,no_alarm,132,0.24812030075187969
cohort,A,all,all,norm_only,True,532,q0-6,0,0.0
cohort,A,all,all,norm_only,True,532,q7,1,0.0018796992481203006
cohort,A,all,all,norm_only,True,532,q8-10,10,0.018796992481203006
cohort,A,all,all,norm_only,True,532,q11-14,47,0.08834586466165413
cohort,A,all,all,norm_only,True,532,q15-19,129,0.2424812030075188
cohort,A,all,all,norm_only,True,532,q20-29,86,0.16165413533834586
cohort,A,all,all,norm_only,True,532,q30-39,105,0.19736842105263158
cohort,A,all,all,norm_only,True,532,q40-51,22,0.041353383458646614
cohort,B,all,all,euclidean,False,15436,no_alarm,14031,0.9089790101062452
cohort,B,all,all,euclidean,False,15436,q0-6,0,0.0
cohort,B,all,all,euclidean,False,15436,q7,4,0.0002591344908007256
cohort,B,all,all,euclidean,False,15436,q8-10,933,0.06044311997926924
cohort,B,all,all,euclidean,False,15436,q11-14,405,0.026237367193573464
cohort,B,all,all,euclidean,False,15436,q15-19,36,0.00233221041720653
cohort,B,all,all,euclidean,False,15436,q20-29,12,0.0007774034724021767
cohort,B,all,all,euclidean,False,15436,q30-39,15,0.0009717543405027209
cohort,B,all,all,euclidean,False,15436,q40-51,0,0.0
cohort,B,all,all,euclidean,True,564,no_alarm,65,0.11524822695035461
cohort,B,all,all,euclidean,True,564,q0-6,0,0.0
cohort,B,all,all,euclidean,True,564,q7,0,0.0
cohort,B,all,all,euclidean,True,564,q8-10,28,0.04964539007092199
cohort,B,all,all,euclidean,True,564,q11-14,153,0.2712765957446808
cohort,B,all,all,euclidean,True,564,q15-19,85,0.15070921985815602
cohort,B,all,all,euclidean,True,564,q20-29,69,0.12234042553191489
cohort,B,all,all,euclidean,True,564,q30-39,128,0.22695035460992907
cohort,B,all,all,euclidean,True,564,q40-51,36,0.06382978723404255
cohort,B,all,all,cosine,False,15436,no_alarm,15086,0.9773257320549366
cohort,B,all,all,cosine,False,15436,q0-6,0,0.0
cohort,B,all,all,cosine,False,15436,q7,72,0.00466442083441306
cohort,B,all,all,cosine,False,15436,q8-10,70,0.004534853589012697
cohort,B,all,all,cosine,False,15436,q11-14,131,0.008486654573723763
cohort,B,all,all,cosine,False,15436,q15-19,60,0.0038870173620108835
cohort,B,all,all,cosine,False,15436,q20-29,16,0.0010365379632029023
cohort,B,all,all,cosine,False,15436,q30-39,1,6.47836227001814e-05
cohort,B,all,all,cosine,False,15436,q40-51,0,0.0
cohort,B,all,all,cosine,True,564,no_alarm,543,0.9627659574468085
cohort,B,all,all,cosine,True,564,q0-6,0,0.0
cohort,B,all,all,cosine,True,564,q7,1,0.0017730496453900709
cohort,B,all,all,cosine,True,564,q8-10,3,0.005319148936170213
cohort,B,all,all,cosine,True,564,q11-14,12,0.02127659574468085
cohort,B,all,all,cosine,True,564,q15-19,2,0.0035460992907801418
cohort,B,all,all,cosine,True,564,q20-29,2,0.0035460992907801418
cohort,B,all,all,cosine,True,564,q30-39,0,0.0
cohort,B,all,all,cosine,True,564,q40-51,1,0.0017730496453900709
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,no_alarm,14456,0.9365120497538222
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q0-6,0,0.0
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q7,42,0.0027209121534076184
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q8-10,603,0.03906452448820938
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q11-14,276,0.017880279865250065
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q15-19,31,0.002008292303705623
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q20-29,11,0.0007126198497019953
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q30-39,17,0.0011013215859030838
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,q40-51,0,0.0
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,no_alarm,100,0.1773049645390071
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q0-6,0,0.0
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q7,2,0.0035460992907801418
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q8-10,16,0.028368794326241134
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q11-14,80,0.14184397163120568
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q15-19,137,0.2429078014184397
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q20-29,80,0.14184397163120568
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q30-39,123,0.21808510638297873
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,q40-51,26,0.04609929078014184
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,no_alarm,15116,0.9792692407359419
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q0-6,0,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q7,141,0.009134490800725576
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q8-10,76,0.004923555325213786
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q11-14,78,0.005053122570614149
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q15-19,24,0.0015548069448043534
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q20-29,1,6.47836227001814e-05
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q30-39,0,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,q40-51,0,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,no_alarm,548,0.9716312056737588
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q0-6,0,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q7,1,0.0017730496453900709
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q8-10,2,0.0035460992907801418
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q11-14,12,0.02127659574468085
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q15-19,1,0.0017730496453900709
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q20-29,0,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q30-39,0,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,q40-51,0,0.0
cohort,B,all,all,cosine_without_center,False,15436,no_alarm,14886,0.9643690075149002
cohort,B,all,all,cosine_without_center,False,15436,q0-6,0,0.0
cohort,B,all,all,cosine_without_center,False,15436,q7,133,0.008616221819124125
cohort,B,all,all,cosine_without_center,False,15436,q8-10,212,0.013734128012438455
cohort,B,all,all,cosine_without_center,False,15436,q11-14,81,0.005247473438714693
cohort,B,all,all,cosine_without_center,False,15436,q15-19,66,0.004275719098211972
cohort,B,all,all,cosine_without_center,False,15436,q20-29,57,0.0036926664939103395
cohort,B,all,all,cosine_without_center,False,15436,q30-39,0,0.0
cohort,B,all,all,cosine_without_center,False,15436,q40-51,1,6.47836227001814e-05
cohort,B,all,all,cosine_without_center,True,564,no_alarm,482,0.8546099290780141
cohort,B,all,all,cosine_without_center,True,564,q0-6,0,0.0
cohort,B,all,all,cosine_without_center,True,564,q7,6,0.010638297872340425
cohort,B,all,all,cosine_without_center,True,564,q8-10,31,0.0549645390070922
cohort,B,all,all,cosine_without_center,True,564,q11-14,9,0.015957446808510637
cohort,B,all,all,cosine_without_center,True,564,q15-19,24,0.0425531914893617
cohort,B,all,all,cosine_without_center,True,564,q20-29,10,0.01773049645390071
cohort,B,all,all,cosine_without_center,True,564,q30-39,1,0.0017730496453900709
cohort,B,all,all,cosine_without_center,True,564,q40-51,1,0.0017730496453900709
cohort,B,all,all,norm_only,False,15436,no_alarm,14682,0.9511531484840632
cohort,B,all,all,norm_only,False,15436,q0-6,0,0.0
cohort,B,all,all,norm_only,False,15436,q7,0,0.0
cohort,B,all,all,norm_only,False,15436,q8-10,412,0.026690852552474734
cohort,B,all,all,norm_only,False,15436,q11-14,311,0.020147706659756414
cohort,B,all,all,norm_only,False,15436,q15-19,12,0.0007774034724021767
cohort,B,all,all,norm_only,False,15436,q20-29,13,0.0008421870951023582
cohort,B,all,all,norm_only,False,15436,q30-39,5,0.000323918113500907
cohort,B,all,all,norm_only,False,15436,q40-51,1,6.47836227001814e-05
cohort,B,all,all,norm_only,True,564,no_alarm,140,0.24822695035460993
cohort,B,all,all,norm_only,True,564,q0-6,0,0.0
cohort,B,all,all,norm_only,True,564,q7,0,0.0
cohort,B,all,all,norm_only,True,564,q8-10,15,0.026595744680851064
cohort,B,all,all,norm_only,True,564,q11-14,59,0.10460992907801418
cohort,B,all,all,norm_only,True,564,q15-19,124,0.2198581560283688
cohort,B,all,all,norm_only,True,564,q20-29,87,0.15425531914893617
cohort,B,all,all,norm_only,True,564,q30-39,115,0.20390070921985815
cohort,B,all,all,norm_only,True,564,q40-51,24,0.0425531914893617
suite,all,libero_goal,all,euclidean,False,7792,no_alarm,5865,0.7526950718685832
suite,all,libero_goal,all,euclidean,False,7792,q0-6,0,0.0
suite,all,libero_goal,all,euclidean,False,7792,q7,3,0.00038501026694045176
suite,all,libero_goal,all,euclidean,False,7792,q8-10,1556,0.19969199178644764
suite,all,libero_goal,all,euclidean,False,7792,q11-14,351,0.04504620123203285
suite,all,libero_goal,all,euclidean,False,7792,q15-19,13,0.0016683778234086242
suite,all,libero_goal,all,euclidean,False,7792,q20-29,4,0.000513347022587269
suite,all,libero_goal,all,euclidean,False,7792,q30-39,0,0.0
suite,all,libero_goal,all,euclidean,False,7792,q40-51,0,0.0
suite,all,libero_goal,all,euclidean,True,208,no_alarm,2,0.009615384615384616
suite,all,libero_goal,all,euclidean,True,208,q0-6,0,0.0
suite,all,libero_goal,all,euclidean,True,208,q7,0,0.0
suite,all,libero_goal,all,euclidean,True,208,q8-10,20,0.09615384615384616
suite,all,libero_goal,all,euclidean,True,208,q11-14,61,0.2932692307692308
suite,all,libero_goal,all,euclidean,True,208,q15-19,56,0.2692307692307692
suite,all,libero_goal,all,euclidean,True,208,q20-29,69,0.3317307692307692
suite,all,libero_goal,all,euclidean,True,208,q30-39,0,0.0
suite,all,libero_goal,all,euclidean,True,208,q40-51,0,0.0
suite,all,libero_goal,all,cosine,False,7792,no_alarm,7491,0.961370636550308
suite,all,libero_goal,all,cosine,False,7792,q0-6,0,0.0
suite,all,libero_goal,all,cosine,False,7792,q7,69,0.00885523613963039
suite,all,libero_goal,all,cosine,False,7792,q8-10,37,0.004748459958932238
suite,all,libero_goal,all,cosine,False,7792,q11-14,126,0.016170431211498974
suite,all,libero_goal,all,cosine,False,7792,q15-19,69,0.00885523613963039
suite,all,libero_goal,all,cosine,False,7792,q20-29,0,0.0
suite,all,libero_goal,all,cosine,False,7792,q30-39,0,0.0
suite,all,libero_goal,all,cosine,False,7792,q40-51,0,0.0
suite,all,libero_goal,all,cosine,True,208,no_alarm,182,0.875
suite,all,libero_goal,all,cosine,True,208,q0-6,0,0.0
suite,all,libero_goal,all,cosine,True,208,q7,3,0.014423076923076924
suite,all,libero_goal,all,cosine,True,208,q8-10,4,0.019230769230769232
suite,all,libero_goal,all,cosine,True,208,q11-14,17,0.08173076923076923
suite,all,libero_goal,all,cosine,True,208,q15-19,2,0.009615384615384616
suite,all,libero_goal,all,cosine,True,208,q20-29,0,0.0
suite,all,libero_goal,all,cosine,True,208,q30-39,0,0.0
suite,all,libero_goal,all,cosine,True,208,q40-51,0,0.0
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,no_alarm,6284,0.8064681724845996
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,q0-6,0,0.0
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,q7,21,0.0026950718685831623
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,q8-10,1082,0.13886036960985626
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,q11-14,389,0.04992299794661191
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,q15-19,15,0.0019250513347022586
