level,cohort,suite,task,method,failure,episodes,progress_bin,count,alarms,fraction_of_alarms
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,"[0,25%)",5,30,0.16666666666666666
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,"[25,50%)",24,30,0.8
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,"[50,75%)",1,30,0.03333333333333333
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,"[75,100%)",0,30,0.0
all,all,all,all,cosine_without_center,False,30904,"[0,25%)",16,1125,0.014222222222222223
all,all,all,all,cosine_without_center,False,30904,"[25,50%)",296,1125,0.26311111111111113
all,all,all,all,cosine_without_center,False,30904,"[50,75%)",453,1125,0.4026666666666667
all,all,all,all,cosine_without_center,False,30904,"[75,100%)",360,1125,0.32
all,all,all,all,cosine_without_center,True,1096,"[0,25%)",12,158,0.0759493670886076
all,all,all,all,cosine_without_center,True,1096,"[25,50%)",90,158,0.569620253164557
all,all,all,all,cosine_without_center,True,1096,"[50,75%)",40,158,0.25316455696202533
all,all,all,all,cosine_without_center,True,1096,"[75,100%)",16,158,0.10126582278481013
all,all,all,all,norm_only,False,30904,"[0,25%)",2,1467,0.0013633265167007499
all,all,all,all,norm_only,False,30904,"[25,50%)",46,1467,0.03135650988411725
all,all,all,all,norm_only,False,30904,"[50,75%)",400,1467,0.27266530334015
all,all,all,all,norm_only,False,30904,"[75,100%)",1019,1467,0.6946148602590321
all,all,all,all,norm_only,True,1096,"[0,25%)",29,824,0.03519417475728155
all,all,all,all,norm_only,True,1096,"[25,50%)",88,824,0.10679611650485436
all,all,all,all,norm_only,True,1096,"[50,75%)",414,824,0.5024271844660194
all,all,all,all,norm_only,True,1096,"[75,100%)",293,824,0.35558252427184467
cohort,A,all,all,euclidean,False,15468,"[0,25%)",1,1349,0.0007412898443291327
cohort,A,all,all,euclidean,False,15468,"[25,50%)",21,1349,0.015567086730911787
cohort,A,all,all,euclidean,False,15468,"[50,75%)",560,1349,0.41512231282431433
cohort,A,all,all,euclidean,False,15468,"[75,100%)",767,1349,0.5685693106004448
cohort,A,all,all,euclidean,True,532,"[0,25%)",15,478,0.03138075313807531
cohort,A,all,all,euclidean,True,532,"[25,50%)",80,478,0.16736401673640167
cohort,A,all,all,euclidean,True,532,"[50,75%)",285,478,0.5962343096234309
cohort,A,all,all,euclidean,True,532,"[75,100%)",98,478,0.20502092050209206
cohort,A,all,all,cosine,False,15468,"[0,25%)",0,322,0.0
cohort,A,all,all,cosine,False,15468,"[25,50%)",40,322,0.12422360248447205
cohort,A,all,all,cosine,False,15468,"[50,75%)",156,322,0.484472049689441
cohort,A,all,all,cosine,False,15468,"[75,100%)",126,322,0.391304347826087
cohort,A,all,all,cosine,True,532,"[0,25%)",3,17,0.17647058823529413
cohort,A,all,all,cosine,True,532,"[25,50%)",12,17,0.7058823529411765
cohort,A,all,all,cosine,True,532,"[50,75%)",2,17,0.11764705882352941
cohort,A,all,all,cosine,True,532,"[75,100%)",0,17,0.0
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,"[0,25%)",1,987,0.0010131712259371835
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,"[25,50%)",26,987,0.02634245187436677
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,"[50,75%)",485,987,0.49138804457953394
cohort,A,all,all,cosine_neighbors_euclidean_score,False,15468,"[75,100%)",475,987,0.48125633232016213
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,"[0,25%)",12,446,0.026905829596412557
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,"[25,50%)",63,446,0.1412556053811659
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,"[50,75%)",227,446,0.5089686098654709
cohort,A,all,all,cosine_neighbors_euclidean_score,True,532,"[75,100%)",144,446,0.32286995515695066
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,"[0,25%)",0,322,0.0
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,"[25,50%)",62,322,0.19254658385093168
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,"[50,75%)",175,322,0.5434782608695652
cohort,A,all,all,euclidean_neighbors_cosine_score,False,15468,"[75,100%)",85,322,0.2639751552795031
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,"[0,25%)",4,14,0.2857142857142857
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,"[25,50%)",9,14,0.6428571428571429
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,"[50,75%)",1,14,0.07142857142857142
cohort,A,all,all,euclidean_neighbors_cosine_score,True,532,"[75,100%)",0,14,0.0
cohort,A,all,all,cosine_without_center,False,15468,"[0,25%)",8,575,0.01391304347826087
cohort,A,all,all,cosine_without_center,False,15468,"[25,50%)",136,575,0.23652173913043478
cohort,A,all,all,cosine_without_center,False,15468,"[50,75%)",233,575,0.4052173913043478
cohort,A,all,all,cosine_without_center,False,15468,"[75,100%)",198,575,0.3443478260869565
cohort,A,all,all,cosine_without_center,True,532,"[0,25%)",7,76,0.09210526315789473
cohort,A,all,all,cosine_without_center,True,532,"[25,50%)",43,76,0.5657894736842105
cohort,A,all,all,cosine_without_center,True,532,"[50,75%)",20,76,0.2631578947368421
cohort,A,all,all,cosine_without_center,True,532,"[75,100%)",6,76,0.07894736842105263
cohort,A,all,all,norm_only,False,15468,"[0,25%)",1,713,0.001402524544179523
cohort,A,all,all,norm_only,False,15468,"[25,50%)",20,713,0.028050490883590462
cohort,A,all,all,norm_only,False,15468,"[50,75%)",189,713,0.2650771388499299
cohort,A,all,all,norm_only,False,15468,"[75,100%)",503,713,0.7054698457223001
cohort,A,all,all,norm_only,True,532,"[0,25%)",14,400,0.035
cohort,A,all,all,norm_only,True,532,"[25,50%)",43,400,0.1075
cohort,A,all,all,norm_only,True,532,"[50,75%)",201,400,0.5025
cohort,A,all,all,norm_only,True,532,"[75,100%)",142,400,0.355
cohort,B,all,all,euclidean,False,15436,"[0,25%)",1,1405,0.0007117437722419929
cohort,B,all,all,euclidean,False,15436,"[25,50%)",27,1405,0.019217081850533807
cohort,B,all,all,euclidean,False,15436,"[50,75%)",565,1405,0.40213523131672596
cohort,B,all,all,euclidean,False,15436,"[75,100%)",812,1405,0.5779359430604982
cohort,B,all,all,euclidean,True,564,"[0,25%)",15,499,0.03006012024048096
cohort,B,all,all,euclidean,True,564,"[25,50%)",79,499,0.15831663326653306
cohort,B,all,all,euclidean,True,564,"[50,75%)",313,499,0.627254509018036
cohort,B,all,all,euclidean,True,564,"[75,100%)",92,499,0.1843687374749499
cohort,B,all,all,cosine,False,15436,"[0,25%)",0,350,0.0
cohort,B,all,all,cosine,False,15436,"[25,50%)",58,350,0.1657142857142857
cohort,B,all,all,cosine,False,15436,"[50,75%)",171,350,0.48857142857142855
cohort,B,all,all,cosine,False,15436,"[75,100%)",121,350,0.3457142857142857
cohort,B,all,all,cosine,True,564,"[0,25%)",1,21,0.047619047619047616
cohort,B,all,all,cosine,True,564,"[25,50%)",16,21,0.7619047619047619
cohort,B,all,all,cosine,True,564,"[50,75%)",3,21,0.14285714285714285
cohort,B,all,all,cosine,True,564,"[75,100%)",1,21,0.047619047619047616
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,"[0,25%)",1,980,0.0010204081632653062
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,"[25,50%)",30,980,0.030612244897959183
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,"[50,75%)",499,980,0.5091836734693878
cohort,B,all,all,cosine_neighbors_euclidean_score,False,15436,"[75,100%)",450,980,0.45918367346938777
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,"[0,25%)",13,464,0.028017241379310345
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,"[25,50%)",65,464,0.1400862068965517
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,"[50,75%)",237,464,0.5107758620689655
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,"[75,100%)",149,464,0.32112068965517243
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,"[0,25%)",1,320,0.003125
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,"[25,50%)",75,320,0.234375
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,"[50,75%)",155,320,0.484375
cohort,B,all,all,euclidean_neighbors_cosine_score,False,15436,"[75,100%)",89,320,0.278125
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,"[0,25%)",1,16,0.0625
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,"[25,50%)",15,16,0.9375
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,"[50,75%)",0,16,0.0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,"[75,100%)",0,16,0.0
cohort,B,all,all,cosine_without_center,False,15436,"[0,25%)",8,550,0.014545454545454545
cohort,B,all,all,cosine_without_center,False,15436,"[25,50%)",160,550,0.2909090909090909
cohort,B,all,all,cosine_without_center,False,15436,"[50,75%)",220,550,0.4
cohort,B,all,all,cosine_without_center,False,15436,"[75,100%)",162,550,0.29454545454545455
cohort,B,all,all,cosine_without_center,True,564,"[0,25%)",5,82,0.06097560975609756
cohort,B,all,all,cosine_without_center,True,564,"[25,50%)",47,82,0.573170731707317
cohort,B,all,all,cosine_without_center,True,564,"[50,75%)",20,82,0.24390243902439024
cohort,B,all,all,cosine_without_center,True,564,"[75,100%)",10,82,0.12195121951219512
cohort,B,all,all,norm_only,False,15436,"[0,25%)",1,754,0.001326259946949602
cohort,B,all,all,norm_only,False,15436,"[25,50%)",26,754,0.034482758620689655
cohort,B,all,all,norm_only,False,15436,"[50,75%)",211,754,0.27984084880636606
cohort,B,all,all,norm_only,False,15436,"[75,100%)",516,754,0.6843501326259946
cohort,B,all,all,norm_only,True,564,"[0,25%)",15,424,0.03537735849056604
cohort,B,all,all,norm_only,True,564,"[25,50%)",45,424,0.10613207547169812
cohort,B,all,all,norm_only,True,564,"[50,75%)",213,424,0.5023584905660378
cohort,B,all,all,norm_only,True,564,"[75,100%)",151,424,0.3561320754716981
suite,all,libero_goal,all,euclidean,False,7792,"[0,25%)",0,1927,0.0
suite,all,libero_goal,all,euclidean,False,7792,"[25,50%)",32,1927,0.01660612350804359
suite,all,libero_goal,all,euclidean,False,7792,"[50,75%)",956,1927,0.49610793980280227
suite,all,libero_goal,all,euclidean,False,7792,"[75,100%)",939,1927,0.48728593668915415
suite,all,libero_goal,all,euclidean,True,208,"[0,25%)",0,206,0.0
suite,all,libero_goal,all,euclidean,True,208,"[25,50%)",81,206,0.3932038834951456
suite,all,libero_goal,all,euclidean,True,208,"[50,75%)",70,206,0.33980582524271846
suite,all,libero_goal,all,euclidean,True,208,"[75,100%)",55,206,0.2669902912621359
suite,all,libero_goal,all,cosine,False,7792,"[0,25%)",0,301,0.0
suite,all,libero_goal,all,cosine,False,7792,"[25,50%)",42,301,0.13953488372093023
suite,all,libero_goal,all,cosine,False,7792,"[50,75%)",137,301,0.45514950166112955
suite,all,libero_goal,all,cosine,False,7792,"[75,100%)",122,301,0.4053156146179402
suite,all,libero_goal,all,cosine,True,208,"[0,25%)",3,26,0.11538461538461539
suite,all,libero_goal,all,cosine,True,208,"[25,50%)",21,26,0.8076923076923077
suite,all,libero_goal,all,cosine,True,208,"[50,75%)",2,26,0.07692307692307693
suite,all,libero_goal,all,cosine,True,208,"[75,100%)",0,26,0.0
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,"[0,25%)",0,1508,0.0
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,"[25,50%)",27,1508,0.01790450928381963
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,"[50,75%)",744,1508,0.493368700265252
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7792,"[75,100%)",737,1508,0.4887267904509284
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,"[0,25%)",0,188,0.0
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,"[25,50%)",67,188,0.35638297872340424
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,"[50,75%)",40,188,0.2127659574468085
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,"[75,100%)",81,188,0.4308510638297872
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,7792,"[0,25%)",0,393,0.0
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,7792,"[25,50%)",72,393,0.183206106870229
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,7792,"[50,75%)",226,393,0.5750636132315522
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,7792,"[75,100%)",95,393,0.24173027989821882
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,"[0,25%)",5,26,0.19230769230769232
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,"[25,50%)",21,26,0.8076923076923077
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,"[50,75%)",0,26,0.0
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,208,"[75,100%)",0,26,0.0
suite,all,libero_goal,all,cosine_without_center,False,7792,"[0,25%)",0,555,0.0
suite,all,libero_goal,all,cosine_without_center,False,7792,"[25,50%)",197,555,0.35495495495495494
suite,all,libero_goal,all,cosine_without_center,False,7792,"[50,75%)",328,555,0.590990990990991
suite,all,libero_goal,all,cosine_without_center,False,7792,"[75,100%)",30,555,0.05405405405405406
suite,all,libero_goal,all,cosine_without_center,True,208,"[0,25%)",9,80,0.1125
suite,all,libero_goal,all,cosine_without_center,True,208,"[25,50%)",64,80,0.8
suite,all,libero_goal,all,cosine_without_center,True,208,"[50,75%)",7,80,0.0875
suite,all,libero_goal,all,cosine_without_center,True,208,"[75,100%)",0,80,0.0
suite,all,libero_goal,all,norm_only,False,7792,"[0,25%)",0,871,0.0
suite,all,libero_goal,all,norm_only,False,7792,"[25,50%)",11,871,0.012629161882893225
suite,all,libero_goal,all,norm_only,False,7792,"[50,75%)",285,871,0.32721010332950634
suite,all,libero_goal,all,norm_only,False,7792,"[75,100%)",575,871,0.6601607347876005
suite,all,libero_goal,all,norm_only,True,208,"[0,25%)",1,183,0.00546448087431694
suite,all,libero_goal,all,norm_only,True,208,"[25,50%)",49,183,0.2677595628415301
suite,all,libero_goal,all,norm_only,True,208,"[50,75%)",41,183,0.22404371584699453
suite,all,libero_goal,all,norm_only,True,208,"[75,100%)",92,183,0.5027322404371585
suite,all,libero_long,all,euclidean,False,7459,"[0,25%)",2,159,0.012578616352201259
suite,all,libero_long,all,euclidean,False,7459,"[25,50%)",16,159,0.10062893081761007
suite,all,libero_long,all,euclidean,False,7459,"[50,75%)",62,159,0.389937106918239
suite,all,libero_long,all,euclidean,False,7459,"[75,100%)",79,159,0.4968553459119497
suite,all,libero_long,all,euclidean,True,541,"[0,25%)",30,430,0.06976744186046512
suite,all,libero_long,all,euclidean,True,541,"[25,50%)",40,430,0.09302325581395349
suite,all,libero_long,all,euclidean,True,541,"[50,75%)",275,430,0.6395348837209303
suite,all,libero_long,all,euclidean,True,541,"[75,100%)",85,430,0.19767441860465115
suite,all,libero_long,all,cosine,False,7459,"[0,25%)",0,203,0.0
suite,all,libero_long,all,cosine,False,7459,"[25,50%)",56,203,0.27586206896551724
suite,all,libero_long,all,cosine,False,7459,"[50,75%)",103,203,0.5073891625615764
suite,all,libero_long,all,cosine,False,7459,"[75,100%)",44,203,0.21674876847290642
suite,all,libero_long,all,cosine,True,541,"[0,25%)",1,7,0.14285714285714285
suite,all,libero_long,all,cosine,True,541,"[25,50%)",2,7,0.2857142857142857
suite,all,libero_long,all,cosine,True,541,"[50,75%)",3,7,0.42857142857142855
suite,all,libero_long,all,cosine,True,541,"[75,100%)",1,7,0.14285714285714285
suite,all,libero_long,all,cosine_neighbors_euclidean_score,False,7459,"[0,25%)",2,145,0.013793103448275862
suite,all,libero_long,all,cosine_neighbors_euclidean_score,False,7459,"[25,50%)",20,145,0.13793103448275862
suite,all,libero_long,all,cosine_neighbors_euclidean_score,False,7459,"[50,75%)",55,145,0.3793103448275862
suite,all,libero_long,all,cosine_neighbors_euclidean_score,False,7459,"[75,100%)",68,145,0.4689655172413793
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,"[0,25%)",25,381,0.06561679790026247
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,"[25,50%)",42,381,0.11023622047244094
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,"[50,75%)",251,381,0.6587926509186351
suite,all,libero_long,all,cosine_neighbors_euclidean_score,True,541,"[75,100%)",63,381,0.16535433070866143
suite,all,libero_long,all,euclidean_neighbors_cosine_score,False,7459,"[0,25%)",1,107,0.009345794392523364
suite,all,libero_long,all,euclidean_neighbors_cosine_score,False,7459,"[25,50%)",65,107,0.6074766355140186
suite,all,libero_long,all,euclidean_neighbors_cosine_score,False,7459,"[50,75%)",31,107,0.2897196261682243
suite,all,libero_long,all,euclidean_neighbors_cosine_score,False,7459,"[75,100%)",10,107,0.09345794392523364
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,"[0,25%)",0,2,0.0
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,"[25,50%)",1,2,0.5
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,"[50,75%)",1,2,0.5
suite,all,libero_long,all,euclidean_neighbors_cosine_score,True,541,"[75,100%)",0,2,0.0
suite,all,libero_long,all,cosine_without_center,False,7459,"[0,25%)",16,370,0.043243243243243246
suite,all,libero_long,all,cosine_without_center,False,7459,"[25,50%)",91,370,0.24594594594594596
suite,all,libero_long,all,cosine_without_center,False,7459,"[50,75%)",89,370,0.24054054054054055
suite,all,libero_long,all,cosine_without_center,False,7459,"[75,100%)",174,370,0.4702702702702703
suite,all,libero_long,all,cosine_without_center,True,541,"[0,25%)",3,17,0.17647058823529413
suite,all,libero_long,all,cosine_without_center,True,541,"[25,50%)",9,17,0.5294117647058824
suite,all,libero_long,all,cosine_without_center,True,541,"[50,75%)",3,17,0.17647058823529413
suite,all,libero_long,all,cosine_without_center,True,541,"[75,100%)",2,17,0.11764705882352941
suite,all,libero_long,all,norm_only,False,7459,"[0,25%)",2,54,0.037037037037037035
suite,all,libero_long,all,norm_only,False,7459,"[25,50%)",6,54,0.1111111111111111
suite,all,libero_long,all,norm_only,False,7459,"[50,75%)",18,54,0.3333333333333333
suite,all,libero_long,all,norm_only,False,7459,"[75,100%)",28,54,0.5185185185185185
suite,all,libero_long,all,norm_only,True,541,"[0,25%)",28,334,0.08383233532934131
suite,all,libero_long,all,norm_only,True,541,"[25,50%)",23,334,0.0688622754491018
suite,all,libero_long,all,norm_only,True,541,"[50,75%)",234,334,0.7005988023952096
suite,all,libero_long,all,norm_only,True,541,"[75,100%)",49,334,0.1467065868263473
suite,all,libero_object,all,euclidean,False,7919,"[0,25%)",0,141,0.0
suite,all,libero_object,all,euclidean,False,7919,"[25,50%)",0,141,0.0
suite,all,libero_object,all,euclidean,False,7919,"[50,75%)",68,141,0.48226950354609927
suite,all,libero_object,all,euclidean,False,7919,"[75,100%)",73,141,0.5177304964539007
suite,all,libero_object,all,euclidean,True,81,"[0,25%)",0,75,0.0
suite,all,libero_object,all,euclidean,True,81,"[25,50%)",9,75,0.12
suite,all,libero_object,all,euclidean,True,81,"[50,75%)",42,75,0.56
suite,all,libero_object,all,euclidean,True,81,"[75,100%)",24,75,0.32
suite,all,libero_object,all,cosine,False,7919,"[0,25%)",0,73,0.0
suite,all,libero_object,all,cosine,False,7919,"[25,50%)",0,73,0.0
suite,all,libero_object,all,cosine,False,7919,"[50,75%)",17,73,0.2328767123287671
suite,all,libero_object,all,cosine,False,7919,"[75,100%)",56,73,0.7671232876712328
suite,all,libero_object,all,cosine,True,81,"[0,25%)",0,0,
suite,all,libero_object,all,cosine,True,81,"[25,50%)",0,0,
suite,all,libero_object,all,cosine,True,81,"[50,75%)",0,0,
suite,all,libero_object,all,cosine,True,81,"[75,100%)",0,0,
suite,all,libero_object,all,cosine_neighbors_euclidean_score,False,7919,"[0,25%)",0,164,0.0
suite,all,libero_object,all,cosine_neighbors_euclidean_score,False,7919,"[25,50%)",9,164,0.054878048780487805
suite,all,libero_object,all,cosine_neighbors_euclidean_score,False,7919,"[50,75%)",127,164,0.774390243902439
suite,all,libero_object,all,cosine_neighbors_euclidean_score,False,7919,"[75,100%)",28,164,0.17073170731707318
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,"[0,25%)",0,77,0.0
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,"[25,50%)",10,77,0.12987012987012986
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,"[50,75%)",40,77,0.5194805194805194
suite,all,libero_object,all,cosine_neighbors_euclidean_score,True,81,"[75,100%)",27,77,0.35064935064935066
suite,all,libero_object,all,euclidean_neighbors_cosine_score,False,7919,"[0,25%)",0,54,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,False,7919,"[25,50%)",0,54,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,False,7919,"[50,75%)",15,54,0.2777777777777778
suite,all,libero_object,all,euclidean_neighbors_cosine_score,False,7919,"[75,100%)",39,54,0.7222222222222222
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,"[0,25%)",0,0,
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,"[25,50%)",0,0,
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,"[50,75%)",0,0,
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,"[75,100%)",0,0,
suite,all,libero_object,all,cosine_without_center,False,7919,"[0,25%)",0,107,0.0
suite,all,libero_object,all,cosine_without_center,False,7919,"[25,50%)",8,107,0.07476635514018691
suite,all,libero_object,all,cosine_without_center,False,7919,"[50,75%)",20,107,0.18691588785046728
suite,all,libero_object,all,cosine_without_center,False,7919,"[75,100%)",79,107,0.7383177570093458
suite,all,libero_object,all,cosine_without_center,True,81,"[0,25%)",0,27,0.0
suite,all,libero_object,all,cosine_without_center,True,81,"[25,50%)",11,27,0.4074074074074074
suite,all,libero_object,all,cosine_without_center,True,81,"[50,75%)",14,27,0.5185185185185185
suite,all,libero_object,all,cosine_without_center,True,81,"[75,100%)",2,27,0.07407407407407407
suite,all,libero_object,all,norm_only,False,7919,"[0,25%)",0,253,0.0
suite,all,libero_object,all,norm_only,False,7919,"[25,50%)",29,253,0.11462450592885376
suite,all,libero_object,all,norm_only,False,7919,"[50,75%)",87,253,0.3438735177865613
suite,all,libero_object,all,norm_only,False,7919,"[75,100%)",137,253,0.541501976284585
suite,all,libero_object,all,norm_only,True,81,"[0,25%)",0,67,0.0
suite,all,libero_object,all,norm_only,True,81,"[25,50%)",9,67,0.13432835820895522
suite,all,libero_object,all,norm_only,True,81,"[50,75%)",36,67,0.5373134328358209
suite,all,libero_object,all,norm_only,True,81,"[75,100%)",22,67,0.3283582089552239
suite,all,libero_spatial,all,euclidean,False,7734,"[0,25%)",0,527,0.0
suite,all,libero_spatial,all,euclidean,False,7734,"[25,50%)",0,527,0.0
suite,all,libero_spatial,all,euclidean,False,7734,"[50,75%)",39,527,0.07400379506641366
suite,all,libero_spatial,all,euclidean,False,7734,"[75,100%)",488,527,0.9259962049335864
suite,all,libero_spatial,all,euclidean,True,266,"[0,25%)",0,266,0.0
suite,all,libero_spatial,all,euclidean,True,266,"[25,50%)",29,266,0.10902255639097744
suite,all,libero_spatial,all,euclidean,True,266,"[50,75%)",211,266,0.793233082706767
suite,all,libero_spatial,all,euclidean,True,266,"[75,100%)",26,266,0.09774436090225563
suite,all,libero_spatial,all,cosine,False,7734,"[0,25%)",0,95,0.0
suite,all,libero_spatial,all,cosine,False,7734,"[25,50%)",0,95,0.0
suite,all,libero_spatial,all,cosine,False,7734,"[50,75%)",70,95,0.7368421052631579
suite,all,libero_spatial,all,cosine,False,7734,"[75,100%)",25,95,0.2631578947368421
suite,all,libero_spatial,all,cosine,True,266,"[0,25%)",0,5,0.0
suite,all,libero_spatial,all,cosine,True,266,"[25,50%)",5,5,1.0
suite,all,libero_spatial,all,cosine,True,266,"[50,75%)",0,5,0.0
suite,all,libero_spatial,all,cosine,True,266,"[75,100%)",0,5,0.0
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,False,7734,"[0,25%)",0,150,0.0
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,False,7734,"[25,50%)",0,150,0.0
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,False,7734,"[50,75%)",58,150,0.38666666666666666
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,False,7734,"[75,100%)",92,150,0.6133333333333333
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,"[0,25%)",0,264,0.0
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,"[25,50%)",9,264,0.03409090909090909
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,"[50,75%)",133,264,0.5037878787878788
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,"[75,100%)",122,264,0.4621212121212121
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,False,7734,"[0,25%)",0,88,0.0
