method,calibration,threshold,units,rank,fold,suite
norm_only,task_init,5.67975664138794,70,68,libero_object_full_1,libero_object
euclidean,episode,1.6769474744796753,554,528,libero_object_full_2,libero_object
euclidean,task_init,2.1025044918060303,70,68,libero_object_full_2,libero_object
cosine,episode,0.306998461484909,554,528,libero_object_full_2,libero_object
cosine,task_init,0.3816905617713928,70,68,libero_object_full_2,libero_object
cosine_neighbors_euclidean_score,episode,2.9940974712371826,554,528,libero_object_full_2,libero_object
cosine_neighbors_euclidean_score,task_init,3.728264808654785,70,68,libero_object_full_2,libero_object
euclidean_neighbors_cosine_score,episode,0.450218915939331,554,528,libero_object_full_2,libero_object
euclidean_neighbors_cosine_score,task_init,0.5713679194450378,70,68,libero_object_full_2,libero_object
cosine_without_center,episode,0.2479527443647384,554,528,libero_object_full_2,libero_object
cosine_without_center,task_init,0.3946210443973541,70,68,libero_object_full_2,libero_object
norm_only,episode,6.742151260375977,554,528,libero_object_full_2,libero_object
norm_only,task_init,7.521652221679687,70,68,libero_object_full_2,libero_object
euclidean,episode,1.575398564338684,557,531,libero_object_full_3,libero_object
euclidean,task_init,2.761309862136841,70,68,libero_object_full_3,libero_object
cosine,episode,0.3197823464870453,557,531,libero_object_full_3,libero_object
cosine,task_init,0.4008255004882812,70,68,libero_object_full_3,libero_object
cosine_neighbors_euclidean_score,episode,2.7932865619659424,557,531,libero_object_full_3,libero_object
cosine_neighbors_euclidean_score,task_init,3.37753701210022,70,68,libero_object_full_3,libero_object
euclidean_neighbors_cosine_score,episode,0.444824606180191,557,531,libero_object_full_3,libero_object
euclidean_neighbors_cosine_score,task_init,0.5035867691040039,70,68,libero_object_full_3,libero_object
cosine_without_center,episode,0.2132362425327301,557,531,libero_object_full_3,libero_object
cosine_without_center,task_init,0.2836020290851593,70,68,libero_object_full_3,libero_object
norm_only,episode,6.202128887176514,557,531,libero_object_full_3,libero_object
norm_only,task_init,7.221375465393066,70,68,libero_object_full_3,libero_object
euclidean,episode,1.6881214380264282,543,517,libero_spatial_full_0,libero_spatial
euclidean,task_init,2.021517753601074,70,68,libero_spatial_full_0,libero_spatial
cosine,episode,0.2595140635967254,543,517,libero_spatial_full_0,libero_spatial
cosine,task_init,0.3804036676883697,70,68,libero_spatial_full_0,libero_spatial
cosine_neighbors_euclidean_score,episode,2.5364859104156494,543,517,libero_spatial_full_0,libero_spatial
cosine_neighbors_euclidean_score,task_init,3.2524895668029785,70,68,libero_spatial_full_0,libero_spatial
euclidean_neighbors_cosine_score,episode,0.3534770905971527,543,517,libero_spatial_full_0,libero_spatial
euclidean_neighbors_cosine_score,task_init,0.4720713198184967,70,68,libero_spatial_full_0,libero_spatial
cosine_without_center,episode,0.2475750744342804,543,517,libero_spatial_full_0,libero_spatial
cosine_without_center,task_init,0.3971701264381408,70,68,libero_spatial_full_0,libero_spatial
norm_only,episode,5.912968158721924,543,517,libero_spatial_full_0,libero_spatial
norm_only,task_init,6.885584831237793,70,68,libero_spatial_full_0,libero_spatial
euclidean,episode,1.524238109588623,549,523,libero_spatial_full_1,libero_spatial
euclidean,task_init,2.192049026489258,70,68,libero_spatial_full_1,libero_spatial
cosine,episode,0.2849724590778351,549,523,libero_spatial_full_1,libero_spatial
cosine,task_init,0.3697794079780578,70,68,libero_spatial_full_1,libero_spatial
cosine_neighbors_euclidean_score,episode,2.408653259277344,549,523,libero_spatial_full_1,libero_spatial
cosine_neighbors_euclidean_score,task_init,3.004129409790039,70,68,libero_spatial_full_1,libero_spatial
euclidean_neighbors_cosine_score,episode,0.3749221563339233,549,523,libero_spatial_full_1,libero_spatial
euclidean_neighbors_cosine_score,task_init,0.5794082283973694,70,68,libero_spatial_full_1,libero_spatial
cosine_without_center,episode,0.2658609747886657,549,523,libero_spatial_full_1,libero_spatial
cosine_without_center,task_init,0.3447635769844055,70,68,libero_spatial_full_1,libero_spatial
norm_only,episode,5.04538106918335,549,523,libero_spatial_full_1,libero_spatial
norm_only,task_init,5.962634086608887,70,68,libero_spatial_full_1,libero_spatial
euclidean,episode,1.6953964233398438,542,516,libero_spatial_full_2,libero_spatial
euclidean,task_init,1.9988833665847776,70,68,libero_spatial_full_2,libero_spatial
cosine,episode,0.2380560487508773,542,516,libero_spatial_full_2,libero_spatial
cosine,task_init,0.3380890488624573,70,68,libero_spatial_full_2,libero_spatial
cosine_neighbors_euclidean_score,episode,2.6272823810577397,542,516,libero_spatial_full_2,libero_spatial
cosine_neighbors_euclidean_score,task_init,3.696152925491333,70,68,libero_spatial_full_2,libero_spatial
euclidean_neighbors_cosine_score,episode,0.318893700838089,542,516,libero_spatial_full_2,libero_spatial
euclidean_neighbors_cosine_score,task_init,0.4947265982627868,70,68,libero_spatial_full_2,libero_spatial
cosine_without_center,episode,0.2275484353303909,542,516,libero_spatial_full_2,libero_spatial
cosine_without_center,task_init,0.3617591261863708,70,68,libero_spatial_full_2,libero_spatial
norm_only,episode,6.17126989364624,542,516,libero_spatial_full_2,libero_spatial
norm_only,task_init,6.720889091491699,70,68,libero_spatial_full_2,libero_spatial
euclidean,episode,1.7363826036453247,542,516,libero_spatial_full_3,libero_spatial
euclidean,task_init,2.3054089546203613,70,68,libero_spatial_full_3,libero_spatial
cosine,episode,0.2945071160793304,542,516,libero_spatial_full_3,libero_spatial
cosine,task_init,0.3914263546466827,70,68,libero_spatial_full_3,libero_spatial
cosine_neighbors_euclidean_score,episode,2.8282272815704346,542,516,libero_spatial_full_3,libero_spatial
cosine_neighbors_euclidean_score,task_init,4.32516622543335,70,68,libero_spatial_full_3,libero_spatial
euclidean_neighbors_cosine_score,episode,0.4410194158554077,542,516,libero_spatial_full_3,libero_spatial
euclidean_neighbors_cosine_score,task_init,0.577734112739563,70,68,libero_spatial_full_3,libero_spatial
cosine_without_center,episode,0.1703391224145889,542,516,libero_spatial_full_3,libero_spatial
cosine_without_center,task_init,0.2880176901817322,70,68,libero_spatial_full_3,libero_spatial
norm_only,episode,6.527319431304932,542,516,libero_spatial_full_3,libero_spatial
norm_only,task_init,7.897656440734863,70,68,libero_spatial_full_3,libero_spatial
