task,scene,successes,mixed,balanced16,action_auk8_route,action_auk8_hidden,action_auk8_noise7,action_auk8_noise24,action_auk8_top4_weighted,action_auk8_top4_jaccard,success_auk8_route,mst_action_gain,mst_success_gain,balanced_cut_action_between_within_ratio,balanced_cut_success_gap,balanced_cut_min_size,union_components_k4,union_largest_k4,mutual_components_k4,mutual_largest_k4,union_lambda2_k4,route_neighbor_radius_k4
goal-top,20,32,False,False,0.19088200644841263,0.35599113343253963,0.34459542410714283,0.19941127232142852,0.1089496527777778,0.1376116071428572,nan,0.19354838709677413,0.0,1.0561794572842045,0.0,4,1,32,12,19,0.3145782706017882,0.02632876903397427
goal-top,23,32,False,False,0.27123387896825396,0.43342540922619044,0.4277241443452381,0.231858878968254,0.15884486607142856,0.1509151785714285,nan,0.28387096774193543,0.0,1.0302169553531273,0.0,4,1,32,9,21,0.39199945299354083,0.026476815502073994
goal-top,26,29,True,False,0.2781972346230158,0.48010819692460316,0.4510363963293651,0.225550285218254,0.09589285714285714,0.09169952876984122,-0.059626436781609185,0.3096774193548387,0.0786290322580645,1.045642782221209,0.1785714285714286,4,1,32,11,20,0.37570058745558993,0.026630286314937062
goal-top,29,27,True,True,0.22244140625000006,0.41906281001984125,0.39372705853174594,0.20692026289682536,0.1441117931547619,0.13399615575396823,-0.12824074074074074,0.26881720430107525,-0.11491935483870963,0.9928023395124406,0.012820512820512775,6,1,32,8,24,0.3270795068588145,0.026616564201753092
goal-top,33,32,False,False,0.23124286954365075,0.4072792658730159,0.38543154761904763,0.1826134672619048,0.044861111111111115,0.045710255456349144,nan,0.2548387096774193,0.0,1.037038007636111,0.0,4,1,32,9,23,0.3593450226260824,0.026645992656824657
goal-top,36,31,True,False,0.27526289682539684,0.4555819072420635,0.43677021329365073,0.27253844246031744,0.10889477926587295,0.08889136904761902,-0.06451612903225806,0.30215053763440847,-0.0020161290322581182,1.055441201488032,0.0357142857142857,4,1,32,10,22,0.3720018829380695,0.02659627245975264
goal-top,39,32,False,False,0.2460373263888888,0.38413101438492064,0.36792410714285706,0.2532511780753969,0.208028583829365,0.22944599454365083,nan,0.20967741935483863,0.0,1.0495643836193462,0.0,4,1,32,9,22,0.3747026165699508,0.026472090025220062
goal-top,42,32,False,False,0.25207837301587305,0.4263771081349207,0.40118582589285723,0.22147259424603177,0.1291548859126984,0.11532242063492064,nan,0.3204301075268817,0.0,1.0284742709948287,0.0,4,1,32,9,22,0.3569668508708459,0.026602347954810236
goal-top,46,32,False,False,0.25545913938492054,0.4486083209325397,0.43385075644841264,0.2598164682539682,0.11548518105158727,0.10051773313492063,nan,0.23763440860215046,0.0,1.0507794246256128,0.0,4,1,32,12,20,0.374340480420776,0.026437451485224032
goal-top,49,32,False,False,0.3268306671626984,0.5330140128968255,0.5102740575396825,0.20369202628968253,0.2401822916666666,0.20391121031746026,nan,0.34408602150537626,0.0,1.0377761562170817,0.0,4,1,32,9,21,0.3517084941138713,0.026636423313945022
