window,task,suite,query,method,auc,failures,successes
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v82,0.6188549918534749,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v82,0.6188549918534749,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v82,0.6188549918534749,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,eef_motion_low,0.3033316478453846,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,eef_motion_low,0.3033316478453846,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,eef_motion_low,0.3033316478453846,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,clock,0.5,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v7,0.6198662846227316,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v7,0.6198662846227316,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v7,0.6198662846227316,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v8_fixed,0.6009326366649812,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v8_fixed,0.6009326366649812,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v8_fixed,0.6009326366649812,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v82,0.5966627338614529,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v82,0.5966627338614529,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,v82,0.5966627338614529,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,eef_motion_low,0.3504129445474465,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,eef_motion_low,0.3504129445474465,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,eef_motion_low,0.3504129445474465,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,clock,0.5,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v7,0.6167762233833362,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v7,0.6167762233833362,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v7,0.6167762233833362,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v8_fixed,0.5177818978594303,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v8_fixed,0.5177818978594303,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v8_fixed,0.5177818978594303,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v82,0.5013202988931963,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v82,0.5013202988931963,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,v82,0.5013202988931963,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,eef_motion_low,0.3524355300859599,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,eef_motion_low,0.3524355300859599,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,eef_motion_low,0.3524355300859599,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,clock,0.5,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v7,0.6161582111354571,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v7,0.6161582111354571,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v7,0.6161582111354571,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v8_fixed,0.5912129894937918,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v8_fixed,0.5912129894937918,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v8_fixed,0.5912129894937918,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v82,0.589134221023653,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v82,0.589134221023653,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,v82,0.589134221023653,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,eef_motion_low,0.3547390302826001,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,eef_motion_low,0.3547390302826001,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,eef_motion_low,0.3547390302826001,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,clock,0.5,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v7,0.5880667453227709,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v7,0.5880667453227709,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v7,0.5880667453227709,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v8_fixed,0.574189561211304,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v8_fixed,0.574189561211304,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v8_fixed,0.574189561211304,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v82,0.5778414517669532,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v82,0.5778414517669532,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,v82,0.5778414517669532,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,eef_motion_low,0.6438563964267655,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,eef_motion_low,0.6438563964267655,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,eef_motion_low,0.6438563964267655,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,v7,0.5620540479802236,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,v7,0.5620540479802236,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,v8_fixed,0.6177875161525929,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,v8_fixed,0.6177875161525929,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,v82,0.622338333614248,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,v82,0.622338333614248,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,eef_motion_low,0.5755941345019383,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,eef_motion_low,0.5755941345019383,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v7,0.5611551210742176,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v7,0.5611551210742176,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v7,0.5611551210742176,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v8_fixed,0.6852632170346649,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v8_fixed,0.6852632170346649,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v8_fixed,0.6852632170346649,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v82,0.6851508511714142,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v82,0.6851508511714142,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,v82,0.6851508511714142,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,eef_motion_low,0.6691387156581831,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,eef_motion_low,0.6691387156581831,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,eef_motion_low,0.6691387156581831,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,clock,0.5,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,v7,0.5925613798528008,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,v7,0.5925613798528008,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,v8_fixed,0.7700432608573515,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,v8_fixed,0.7700432608573515,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,v82,0.7697623461992247,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,v82,0.7697623461992247,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,eef_motion_low,0.7635260407888084,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,eef_motion_low,0.7635260407888084,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,clock,0.5,51,349
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,v7,0.615674318507891,51,328
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,v7,0.615674318507891,51,328
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,v8_fixed,0.7657221425155428,51,328
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,v8_fixed,0.7657221425155428,51,328
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,v82,0.7666188426590148,51,328
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,v82,0.7666188426590148,51,328
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,eef_motion_low,0.8321377331420373,51,328
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,eef_motion_low,0.8321377331420373,51,328
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,clock,0.5,51,328
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,clock,0.5,51,328
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,v7,0.6586743393009378,51,184
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,v7,0.6586743393009378,51,184
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,v8_fixed,0.7002344416027281,51,184
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,v8_fixed,0.7002344416027281,51,184
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,v82,0.7017263427109974,51,184
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,v82,0.7017263427109974,51,184
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,eef_motion_low,0.9591858482523444,51,184
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,eef_motion_low,0.9591858482523444,51,184
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,clock,0.5,51,184
band_50_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,clock,0.5,51,184
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v7,0.13032581453634084,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v7,0.13032581453634084,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v7,0.13032581453634084,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v8_fixed,0.11278195488721804,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v8_fixed,0.11278195488721804,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v8_fixed,0.11278195488721804,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v82,0.09022556390977443,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v82,0.09022556390977443,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,v82,0.09022556390977443,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,eef_motion_low,0.6265664160401002,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,eef_motion_low,0.6265664160401002,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,eef_motion_low,0.6265664160401002,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,clock,0.5,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,clock,0.5,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,7,clock,0.5,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v7,0.16541353383458646,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v7,0.16541353383458646,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v7,0.16541353383458646,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v8_fixed,0.12781954887218044,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v8_fixed,0.12781954887218044,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v8_fixed,0.12781954887218044,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v82,0.11528822055137844,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v82,0.11528822055137844,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,v82,0.11528822055137844,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,eef_motion_low,0.7418546365914787,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,eef_motion_low,0.7418546365914787,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,eef_motion_low,0.7418546365914787,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,clock,0.5,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,clock,0.5,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,8,clock,0.5,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v7,0.6516290726817042,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v7,0.6516290726817042,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v7,0.6516290726817042,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v8_fixed,0.6491228070175439,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v8_fixed,0.6491228070175439,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v8_fixed,0.6491228070175439,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v82,0.6441102756892231,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v82,0.6441102756892231,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,v82,0.6441102756892231,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,eef_motion_low,0.5914786967418546,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,eef_motion_low,0.5914786967418546,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,eef_motion_low,0.5914786967418546,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,clock,0.5,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,clock,0.5,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,9,clock,0.5,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v7,0.6491228070175439,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v7,0.6491228070175439,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v7,0.6491228070175439,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v8_fixed,0.6441102756892231,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v8_fixed,0.6441102756892231,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v8_fixed,0.6441102756892231,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v82,0.6390977443609023,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v82,0.6390977443609023,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,v82,0.6390977443609023,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,eef_motion_low,0.9573934837092731,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,eef_motion_low,0.9573934837092731,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,eef_motion_low,0.9573934837092731,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,clock,0.5,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,clock,0.5,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,10,clock,0.5,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v7,0.6691729323308271,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v7,0.6691729323308271,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v7,0.6691729323308271,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v8_fixed,0.6591478696741855,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v8_fixed,0.6591478696741855,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v8_fixed,0.6591478696741855,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v82,0.6541353383458647,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v82,0.6541353383458647,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,v82,0.6541353383458647,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,eef_motion_low,1.0,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,eef_motion_low,1.0,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,eef_motion_low,1.0,1,399
early_q7_q13,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,clock,0.5,1,399
through_50pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,clock,0.5,1,399
through_60pct,libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,11,clock,0.5,1,399
