window,method,scope,estimate,lo,hi,tasks
through_50pct,eef_motion_low,libero_long,0.6758557113903102,0.567861417246273,0.7856359516423339,10
through_50pct,eef_motion_low,libero_object,0.8134686267814364,0.7039635653504134,0.8956314628371669,8
through_50pct,eef_motion_low,libero_spatial,0.6881654934348563,0.6231381813430749,0.7547373842734583,10
through_50pct,v7,all,0.4880325707902726,0.4479136268153922,0.5262550745090635,36
through_50pct,v7,libero_goal,0.5292324372426297,0.4149509011285624,0.6195860957415006,8
through_50pct,v7,libero_long,0.6356808147946056,0.5610071056191968,0.7218452670878481,10
through_50pct,v7,libero_object,0.2747637892334949,0.2084752493705635,0.35858911736250837,8
through_50pct,v7,libero_spatial,0.47803945886947624,0.41811110040363164,0.5458730399413918,10
through_50pct,v82,all,0.6053575153312145,0.5534966914534671,0.6569587031097786,36
through_50pct,v82,libero_goal,0.49059155716774694,0.35435138176913067,0.5843989855258375,8
through_50pct,v82,libero_long,0.6416354346611685,0.5673650210373599,0.7316981859089082,10
through_50pct,v82,libero_object,0.6414243632326957,0.5049249081886623,0.7756695733290332,8
through_50pct,v82,libero_spatial,0.6320388842108495,0.5529479684562166,0.7145931014285307,10
through_50pct,v8_fixed,all,0.5964107430882953,0.5442069078995329,0.6481141996256291,36
through_50pct,v8_fixed,libero_goal,0.49209540233175186,0.36031914691151057,0.584483730357184,8
through_50pct,v8_fixed,libero_long,0.6393436357764892,0.5634500460611488,0.7334339020249281,10
through_50pct,v8_fixed,libero_object,0.6178379467245197,0.4809755528785471,0.754787745677497,8
through_50pct,v8_fixed,libero_spatial,0.6197883600963565,0.5301495366930586,0.7079036245706012,10
through_60pct,clock,all,0.5,0.5,0.5,36
through_60pct,clock,libero_goal,0.5,0.5,0.5,8
through_60pct,clock,libero_long,0.5,0.5,0.5,10
through_60pct,clock,libero_object,0.5,0.5,0.5,8
through_60pct,clock,libero_spatial,0.5,0.5,0.5,10
through_60pct,eef_motion_low,all,0.7063636148819793,0.6559676461058449,0.7566481215546776,36
through_60pct,eef_motion_low,libero_goal,0.6430360117013865,0.5036833234140055,0.7574955838244365,8
through_60pct,eef_motion_low,libero_long,0.6896046195930923,0.5885734729921481,0.7895931518594645,10
through_60pct,eef_motion_low,libero_object,0.7925193254966618,0.6746218811201761,0.8827669380305407,8
through_60pct,eef_motion_low,libero_spatial,0.7048601242235948,0.624029979154108,0.7753638430025149,10
through_60pct,v7,all,0.5016874061699232,0.45768075121192825,0.5425346116858779,36
through_60pct,v7,libero_goal,0.5246478553880161,0.4043520346568072,0.6292018908073866,8
through_60pct,v7,libero_long,0.6459848615284741,0.5772284093458901,0.726814319359051,10
through_60pct,v7,libero_object,0.31477421044547615,0.23570143901250554,0.4034471285285643,8
through_60pct,v7,libero_spatial,0.48855214801645575,0.42197595383652065,0.563058690796836,10
through_60pct,v82,all,0.6235489356063207,0.5737068103815559,0.6728960696229402,36
through_60pct,v82,libero_goal,0.5110489052451698,0.38105474068056383,0.6152138642449085,8
through_60pct,v82,libero_long,0.6463868757718074,0.5749092085363847,0.7330716524907847,10
through_60pct,v82,libero_object,0.6734930491844847,0.5465338914674865,0.799142938993126,8
through_60pct,v82,libero_spatial,0.6507557288672241,0.561717231299168,0.7416246803857995,10
through_60pct,v8_fixed,all,0.6133544928283398,0.5630245057390162,0.6631770826388084,36
through_60pct,v8_fixed,libero_goal,0.5102797316153922,0.38358872752632583,0.6132814511997238,8
through_60pct,v8_fixed,libero_long,0.6462959569606939,0.5753617074172948,0.7326189459654131,10
through_60pct,v8_fixed,libero_object,0.6507035858661452,0.5237463366850128,0.7780816271514011,8
through_60pct,v8_fixed,libero_spatial,0.6329935632360997,0.5405917831003367,0.7288111013640475,10
