variant,task,task_threshold,success_alarm_episodes,success_episodes,direction,frozen_threshold
actual_support,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9984433650970459,3,397,seed1000_1007_to_seed1008_1015,0.9999402165412903
actual_support,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9865015149116516,3,386,seed1000_1007_to_seed1008_1015,0.9999402165412903
actual_support,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9982256293296814,3,388,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_goal/put_the_cream_cheese_in_the_bowl,0.9984433650970459,3,390,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.987863302230835,3,348,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9972164630889893,3,383,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9999402165412903,2,262,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9989770650863647,3,395,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9983543753623962,3,397,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9845833778381348,3,386,seed1000_1007_to_seed1008_1015,0.9999402165412903
selected_weight,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9982966184616089,3,388,seed1000_1007_to_seed1008_1015,0.9999402165412903
rank_shape,libero_goal/put_the_cream_cheese_in_the_bowl,0.9483517408370972,3,390,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9754036068916321,3,348,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9988865852355957,3,383,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9998987913131714,1,262,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9989770650863647,3,395,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9998443126678467,2,397,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9933730363845825,3,386,seed1000_1007_to_seed1008_1015,0.9998987913131714
rank_shape,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9988288879394531,3,388,seed1000_1007_to_seed1008_1015,0.9998987913131714
reconstructed_support,libero_goal/put_the_cream_cheese_in_the_bowl,0.9982929825782776,3,390,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9820228219032288,3,348,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.997165858745575,3,383,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9999402165412903,2,262,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9982209801673889,3,395,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9979763627052307,3,397,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9877590537071228,3,386,seed1000_1007_to_seed1008_1015,0.9999402165412903
reconstructed_support,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9982966184616089,3,388,seed1000_1007_to_seed1008_1015,0.9999402165412903
tie_resolved_support,libero_goal/put_the_cream_cheese_in_the_bowl,0.9979182481765747,3,390,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9916805624961853,3,348,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9975199699401855,3,383,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9998325705528259,2,262,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9961962103843689,3,395,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9984654188156128,3,397,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9822248220443726,3,386,seed1000_1007_to_seed1008_1015,0.9998325705528259
tie_resolved_support,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9962233304977417,3,388,seed1000_1007_to_seed1008_1015,0.9998325705528259
chunk_relabel_soft,libero_goal/put_the_cream_cheese_in_the_bowl,0.7731128334999084,2,390,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9612328410148621,3,348,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9984816908836365,3,383,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9977225661277771,2,262,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9936621785163879,3,395,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9994440674781799,3,397,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9769017100334167,2,386,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_soft,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9927948713302612,3,388,seed1000_1007_to_seed1008_1015,0.9994440674781799
chunk_relabel_support,libero_goal/put_the_cream_cheese_in_the_bowl,0.989708662033081,3,390,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9941291809082031,3,348,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9960416555404663,3,383,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9995024800300598,2,262,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9956191182136536,3,395,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9913049340248108,3,397,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9917313456535339,3,386,seed1000_1007_to_seed1008_1015,0.9995024800300598
chunk_relabel_support,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9932396411895752,3,388,seed1000_1007_to_seed1008_1015,0.9995024800300598
