window,target,scope,model,control_reference,worker,n,positive,brier,brier_gain_vs_rate,brier_gain_vs_controls
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe_sparse,controls_sparse_base,2,80,75,0.19138088772783923,-0.01080130295275274,-0.005780096451211939
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe_sparse,controls_sparse_base,3,96,9,0.7618824522248202,-0.05430188581857029,0.00035398102066308063
fixed_q0_q7,eventual_stagnation_or_loop,absolute,rate_only,controls,0,96,52,0.24932352701822916,0.0,0.18415803053046653
fixed_q0_q7,eventual_stagnation_or_loop,absolute,rate_only,controls,1,80,78,0.3054309039792387,0.0,0.1429134592846806
fixed_q0_q7,eventual_stagnation_or_loop,absolute,rate_only,controls,2,80,63,0.25,0.0,0.4912385368991137
fixed_q0_q7,eventual_stagnation_or_loop,absolute,rate_only,controls,3,96,6,0.5366363525390625,0.0,-0.010736383085491378
fixed_q0_q7,eventual_stagnation_or_loop,absolute,physical,controls,0,96,52,0.43130227221217937,-0.18197874519395016,0.0021792853365163686
fixed_q0_q7,eventual_stagnation_or_loop,absolute,physical,controls,1,80,78,0.3178526906247159,-0.012421786645477152,0.13049167263920344
fixed_q0_q7,eventual_stagnation_or_loop,absolute,physical,controls,2,80,63,0.5920370277813316,-0.34203702778133155,0.14920150911778216
fixed_q0_q7,eventual_stagnation_or_loop,absolute,physical,controls,3,96,6,0.46206560115203815,0.07457075138702428,0.0638343683015329
fixed_q0_q7,eventual_stagnation_or_loop,absolute,noise_action,controls,0,96,52,0.4277616791769725,-0.17843815215874334,0.0057198783717232055
fixed_q0_q7,eventual_stagnation_or_loop,absolute,noise_action,controls,1,80,78,0.5764124911321986,-0.27098158715295984,-0.12806812786827929
fixed_q0_q7,eventual_stagnation_or_loop,absolute,noise_action,controls,2,80,63,0.7312773767403952,-0.4812773767403953,0.00996116015871848
fixed_q0_q7,eventual_stagnation_or_loop,absolute,noise_action,controls,3,96,6,0.6378163319440322,-0.10117997940496966,-0.11191636249046105
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls,controls,0,96,52,0.4334815575486957,-0.18415803053046653,0.0
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls,controls,1,80,78,0.44834436326391935,-0.1429134592846806,0.0
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls,controls,2,80,63,0.7412385368991137,-0.4912385368991137,0.0
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls,controls,3,96,6,0.5258999694535712,0.010736383085491378,0.0
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_trap_only,controls,0,96,52,0.32282523361594573,-0.07350170659771656,0.11065632393274998
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_trap_only,controls,1,80,78,0.14185553431193115,0.1635753696673076,0.30648882895198815
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_trap_only,controls,2,80,63,0.401950242214547,-0.15195024221454703,0.33928829468456667
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_trap_only,controls,3,96,6,0.6193170586136404,-0.08268070607457785,-0.09341708916006923
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_nontrap,controls,0,96,52,0.32459385726085466,-0.0752703302426255,0.10888770028784105
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_nontrap,controls,1,80,78,0.31148287747469827,-0.006051973495459485,0.1368614857892211
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_nontrap,controls,2,80,63,0.16992321778804503,0.08007678221195495,0.5713153191110687
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_nontrap,controls,3,96,6,0.35421648767035024,0.18241986486871228,0.17168348178322093
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_full,controls,0,96,52,0.2662012655984922,-0.01687773858026306,0.16728029195020344
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_full,controls,1,80,78,0.17279713050757892,0.13263377347165983,0.2755472327563404
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_full,controls,2,80,63,0.23795120274949477,0.012048797250505252,0.5032873341496189
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_full,controls,3,96,6,0.30178583997251424,0.23485051256654824,0.22411412948105683
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe,controls,0,96,52,0.32931877076322347,-0.0799952437449943,0.10416278678547224
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe,controls,1,80,78,0.17534343869774321,0.13008746528149556,0.2730009245661762
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe,controls,2,80,63,0.29284111744505126,-0.04284111744505123,0.44839741945406253
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe,controls,3,96,6,0.33183408042623125,0.20480227211283128,0.19406588902733987
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls_sparse_base,controls,0,96,52,0.43369634474493884,-0.18437281772670966,-0.00021478719624314717
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls_sparse_base,controls,1,80,78,0.45448622677425965,-0.14905532279502082,-0.00614186351034021
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls_sparse_base,controls,2,80,63,0.7450963062421104,-0.49509630624211043,-0.00385776934299673
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls_sparse_base,controls,3,96,6,0.5346264688741715,0.0020098836648909644,-0.008726499420600416
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_trap,controls,0,96,52,0.27402250995361116,-0.02469898293538197,0.15945904759508453
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_trap,controls,1,80,78,0.27933415703730174,0.026096746941936994,0.1690102062266176
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_trap,controls,2,80,63,0.24200798420307307,0.007992015796926936,0.4992305526960406
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_trap,controls,3,96,6,0.5560709549855726,-0.01943460244651011,-0.030170985532001492
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_nontrap,controls,0,96,52,0.2997982055049128,-0.050474678486683654,0.1336833520437829
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_nontrap,controls,1,80,78,0.2585436194806048,0.04688728449863397,0.18980074378331457
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_nontrap,controls,2,80,63,0.18353714018833855,0.06646285981166143,0.5577013967107751
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_nontrap,controls,3,96,6,0.310717446714555,0.22591890582450755,0.2151825227390162
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_full,controls,0,96,52,0.29968374535931913,-0.050360218341089946,0.13379781218937659
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_full,controls,1,80,78,0.2585436194806048,0.04688728449863397,0.18980074378331457
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_full,controls,2,80,63,0.18353714018833855,0.06646285981166143,0.5577013967107751
fixed_q0_q7,eventual_stagnation_or_loop,absolute,moe_sparse_full,controls,3,96,6,0.310717446714555,0.22591890582450755,0.2151825227390162
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe_sparse,controls_sparse_base,0,96,52,0.420937192035818,-0.1716136650175888,0.012759152709120888
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe_sparse,controls_sparse_base,1,80,78,0.28806308960219457,0.017367814377044193,0.166423137172065
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe_sparse,controls_sparse_base,2,80,63,0.6330021779001687,-0.38300217790016866,0.11209412834194173
fixed_q0_q7,eventual_stagnation_or_loop,absolute,controls+moe_sparse,controls_sparse_base,3,96,6,0.16140251464211186,0.37523383789695064,0.3732239542320597
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,rate_only,controls,0,96,52,0.24932352701822916,0.0,0.050175658620898456
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,rate_only,controls,1,80,78,0.3054309039792387,0.0,0.015119441314099352
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,rate_only,controls,2,80,63,0.25,0.0,-0.0035233220549330257
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,rate_only,controls,3,96,6,0.5366363525390625,0.0,0.07338354342224446
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,physical,controls,0,96,52,0.45308229380968257,-0.20375876679145344,-0.15358310817055496
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,physical,controls,1,80,78,0.7220248706875688,-0.41659396670833004,-0.4014745253942307
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,physical,controls,2,80,63,0.24199464150310152,0.008005358496898474,0.004482036441965448
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,physical,controls,3,96,6,0.405382726753504,0.13125362578555846,0.20463716920780295
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,noise_action,controls,0,96,52,0.24575198118449504,0.0035715458337341292,0.053747204454632595
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,noise_action,controls,1,80,78,0.31404038400678014,-0.00860948002754141,0.006509961286557939
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,noise_action,controls,2,80,63,0.2463220835181883,0.0036779164818116937,0.0001545944268786695
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,noise_action,controls,3,96,6,0.5919775110873714,-0.05534115854830882,0.01804238487393563
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls,controls,0,96,52,0.29949918563912764,-0.050175658620898456,0.0
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls,controls,1,80,78,0.3205503452933381,-0.015119441314099352,0.0
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls,controls,2,80,63,0.24647667794506697,0.0035233220549330257,0.0
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls,controls,3,96,6,0.6100198959613069,-0.07338354342224446,0.0
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_trap_only,controls,0,96,52,0.27098235023800377,-0.02165882321977457,0.028516835401123892
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_trap_only,controls,1,80,78,0.30984771462692906,-0.004416810647690293,0.01070263066640906
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_trap_only,controls,2,80,63,0.2710440424362699,-0.021044042436269887,-0.024567364491202913
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_trap_only,controls,3,96,6,0.575439072592185,-0.038802720053122394,0.034580823369122056
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_nontrap,controls,0,96,52,0.2541355007834062,-0.00481197376517703,0.04536368485572143
